step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
11009,1790233872.724,-0.0349628,-0.06312028,0.2642504,-0.00469022,-0.1032703,-0.004249051,-0.1166666,-0.01191346,-0.001632692,-0.2078982,-0.00894757,-0.0003254784,0,-0.0001622783,0.2887415,-0.004737237,0,0,-0.01209027,0.04659231,-0.1,-0.05917811,-0.005922122,0.1156313,0.07125278,-0.00107509,-0.000684469,0.1277868,0.2287325,0.09267581,0.3258795,15,1,14.11162,4.336978,6.24757,0.0006167809,1.5e-05,17.69724,0.002453853,2.982546e-08,0.001751969,8.507365e-05,0.0113993,0,0.1,0,1.5e-05,-0.003691157,3.499827,1.217252,1.557621,35426,0.6608385,182.2,15.66075
11010,1790233875.516,-0.03281408,-0.05859729,0.234682,-0.004609588,-0.06173872,-0.003374978,-0.06272727,-0.01236371,-0.001403927,-0.1317866,-0.009935876,-0.0002950989,-0.001383636,-0.0002773639,0.257068,-0.004658216,-0.001342584,-0.0008802268,-0.01026295,0.03640016,-0.09090909,-0.04944173,-0.007183541,0.1043782,0.05289481,-0.001025453,-0.000660485,0.1093834,0.1994319,0.08050093,0.2652167,15,1,10.95557,2.29998,4.286796,0.0005731144,1.5e-05,17.7074,0.002400534,2.956981e-08,0.001704529,0.000122861,0.01193132,0.05,0.1,0,1.5e-05,-0.004147259,3.956548,1.221223,1.561087,35331,0.6612023,193.06,17.83607
11011,1790233878.295,-0.04255402,-0.07430783,0.3063752,-0.005706112,-0.07744886,-0.004061864,-0.09375002,-0.01724029,-0.001987252,-0.2902067,-0.01305632,-0.0003763429,-0.0016025,-0.0003414184,0.3348061,-0.005146347,-0.002158576,-4.027765e-05,-0.01317245,0.02237586,-0.075,-0.06005554,-0.006337833,0.1361668,0.0665259,-0.001262121,-0.0008112512,0.1475428,0.2514535,0.1074718,0.3571223,15,1,24.49971,6.946474,3.95523,0.0005798665,1.5e-05,17.71657,0.002416784,3.067551e-08,0.001667361,0.0001695258,0.008932903,0,0.05,0,1.5e-05,-0.005648837,3.664312,1.220212,1.548239,35508,0.6615291,195.95,17.72146
11012,1790233881.093,-0.0486159,-0.07913934,0.3471003,-0.007744907,-0.07491262,-0.003777532,-0.1166667,-0.02212482,-0.002047099,-0.3294165,-0.01812639,-0.0004178643,-0.004310667,-0.0007145243,0.3704999,-0.006105356,-0.004546104,-0.001218319,-0.01528108,0.0259389,-0.06,-0.06924245,-0.008028423,0.155762,0.05952867,-0.001708186,-0.001145784,0.1645903,0.2843902,0.1093543,0.3840974,15,1,18.88921,8.976717,3.79599,0.0005618501,2.25e-05,17.72786,0.002402811,3.349623e-08,0.001679856,0.0001610716,0.01166813,0,0.1,0,2.25e-05,-0.004410204,3.68776,1.222461,1.566776,35244,0.661999,220.51,20.2578
11013,1790233883.925,-0.05321934,-0.09257135,0.3940913,-0.008500832,-0.1510228,-0.004887938,-0.1595456,-0.02259359,-0.002532116,-0.306596,-0.0185389,-0.0004720346,-0.00318,-0.0005067015,0.426359,-0.006952378,-0.003239324,-0.001794046,-0.01792325,0.04902725,-0.06363638,-0.0780355,-0.008124316,0.1735079,0.08025907,-0.001739897,-0.001185134,0.1916644,0.3299343,0.136302,0.4573677,15,0.875,20.37298,4.906106,4.117836,0.0005903204,2.25e-05,17.73967,0.002487523,3.394128e-08,0.001685704,0.0002114642,0.01161874,0,0.05,0,2.25e-05,-0.003850063,2.932359,1.256202,1.565393,34839,0.6623855,223.3,19.79761
11014,1790233886.751,-0.05658135,-0.09587978,0.4096499,-0.01000128,-0.1608273,-0.005976956,-0.1950001,-0.02408737,-0.002405361,-0.3210029,-0.02038465,-0.0004907873,-0.002920001,-0.0006631789,0.43245,-0.007817837,-0.002978405,-0.004729998,-0.01959088,0.05898349,-0.05,-0.08855482,-0.009110861,0.1783062,0.08725573,-0.001982867,-0.001334172,0.191544,0.3373507,0.1265877,0.465647,15,0.7142857,16.66892,1.952559,3.291014,0.0005782363,2.25e-05,17.75019,0.002331523,3.303916e-08,0.001583362,0.0001698914,0.01199353,0,0.05,0,2.25e-05,-0.005424827,2.84902,1.243539,1.573229,34899,0.6627514,239.37,20.84493
11015,1790233889.550,-0.04705866,-0.08170195,0.3513464,-0.007145861,-0.1835595,-0.005675747,-0.1138461,-0.01861446,-0.002107983,-0.1972909,-0.01408884,-0.000415227,-0.001373846,-0.0002848211,0.3861615,-0.006095103,-0.001501042,-0.002443186,-0.01648348,0.06419347,-0.09230771,-0.0671026,-0.007490273,0.1520151,0.08103722,-0.001459197,-0.0009669139,0.1644955,0.3077125,0.1017639,0.4147748,15,1,15.7495,2.07029,3.842781,0.00054033,1e-05,17.75831,0.002245889,3.45924e-08,0.001528269,0.0001772559,0.01118645,0.1,0.05,0,1e-05,-0.003279679,2.691924,1.211253,1.578946,35231,0.6629386,246.8,22.93924
11016,1790233892.354,-0.0505663,-0.08602291,0.3676499,-0.007702447,-0.08427801,-0.003982832,-0.08150001,-0.02316445,-0.002291756,-0.3467367,-0.01786356,-0.0004452944,-0.004734001,-0.0004785207,0.40557,-0.006250881,-0.004973182,0,-0.01536238,0.03187621,-0.06,-0.0669839,-0.007645949,0.1681583,0.06175987,-0.001557172,-0.001105046,0.1754904,0.3111487,0.1334215,0.3994116,15,0.8571429,17.09426,2.048112,8.58782,0.0005405041,1e-05,17.7635,0.002203943,3.365545e-08,0.001525517,0.0001378883,0.01050958,0.05,0.1,0,1e-05,-0.003853318,2.641937,1.228363,1.565905,35180,0.6631482,242.61,22.43469
11017,1790233895.164,-0.02647669,-0.05118524,0.1904999,-0.003058708,-0.04001856,-0.002660068,-0.04416667,-0.008352171,-0.001118809,-0.09687235,-0.006485214,-0.0002425926,0,-0.0001175703,0.2101248,-0.003436811,0,0,-0.008364256,0.02318562,-0.1,-0.04268229,-0.005445227,0.08412677,0.05163132,-0.0007678528,-0.0004545265,0.08939748,0.1684996,0.05525079,0.236384,15,1,12.89253,1.364289,4.800068,0.0005219308,1e-05,17.76927,0.002081754,3.106978e-08,0.001472645,8.71474e-05,0.009295087,0.05,0.1,0,1e-05,-0.003968094,2.549758,1.22685,1.573979,35098,0.6633415,260.99,24.2517
11018,1790233897.971,-0.04111614,-0.07433616,0.3136501,-0.006561625,-0.1890411,-0.004838735,-0.145,-0.01347315,-0.001954366,-0.2447764,-0.009715232,-0.0003622538,0,-0.000147636,0.358725,-0.005311219,0,0,-0.01470519,0.05258256,-0.09,-0.05883472,-0.006026836,0.1355747,0.08407607,-0.001246116,-0.0007402189,0.1512335,0.2676443,0.1035128,0.3902701,15,0.9,27.33421,4.10226,3.720226,0.0005037885,1e-05,17.77452,0.002027617,2.862162e-08,0.001417155,0.0001066448,0.009200685,0.05,0.1,0,1e-05,-0.004230131,2.280449,1.223797,1.574928,35124,0.6635411,252.78,23.76647
