attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,base_forward_m,base_left_m,base_roll_deg,base_pitch_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
5,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1999,0.2187,-0.0841,87.2789
6,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1879,0.2186,-0.0811,89.1847
7,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0199,0.2717,0.0089,86.9966
8,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1022,0.1985,-0.0022,87.8719
9,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1229,0.1994,-0.0193,87.377
10,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1532,0.1964,-0.0469,88.0101
11,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1309,0.2066,-0.026,88.1901
12,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1002,0.2285,-0.005,87.1598
13,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0238,0.2766,0.0064,86.7732
14,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1601,0.1957,-0.051,87.3262
15,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.02,0.2798,0.0087,86.9794
0,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0188,0.2524,-0.0058,87.4887
1,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1025,0.1972,-0.0025,88.3116
2,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0084,0.2564,-0.0027,88.2042
3,2,0.04,spawn,0.03195,0.03085,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0125,0.2407,-0.0042,87.7728
4,2,0.04,spawn,0.03195,0.03084,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2127,0.2069,-0.1011,89.8072
5,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1962,0.2153,-0.0786,88.1901
6,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.184,0.2151,-0.0756,88.5566
7,2,0.04,spawn,0.03195,0.03084,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0268,0.2666,0.0153,87.6823
8,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0982,0.1952,-0.0008,89.2349
9,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1188,0.1948,-0.0141,88.3651
10,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1496,0.1923,-0.0418,89.4743
11,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1269,0.2021,-0.0207,89.7832
12,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.095,0.2268,-0.0034,87.9766
13,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.032,0.2715,0.0129,87.2751
14,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1565,0.1917,-0.0459,88.2747
15,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0271,0.2747,0.0153,87.6508
0,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.015,0.2501,-0.004,88.249
1,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0997,0.1937,-0.001,89.2896
2,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0048,0.2534,-0.0012,89.1545
3,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0091,0.238,-0.0026,88.6098
4,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2102,0.203,-0.0972,88.8566
5,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1939,0.2111,-0.0746,89.1364
6,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1811,0.2109,-0.0716,86.8826
7,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.031,0.2614,0.0199,88.4955
8,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0954,0.1914,0.0004,89.5612
9,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1162,0.19,-0.0103,89.3566
10,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.147,0.1877,-0.038,89.2653
11,3,0.06,spawn,0.03799,0.03617,0.01159,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1241,0.1973,-0.0169,88.8867
12,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0918,0.2238,-0.0019,88.8675
13,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.235,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0367,0.2664,0.0175,87.9768
14,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.235,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1542,0.1872,-0.0422,89.2429
15,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0314,0.2695,0.0199,88.4551
0,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0298,0.2364,-0.0024,88.9003
1,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1098,0.1876,-0.0042,89.914
2,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0165,0.2438,-0.0003,89.781
3,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0218,0.2266,-0.0013,89.249
4,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2182,0.1978,-0.105,88.2191
5,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2035,0.2064,-0.0826,89.7629
6,4,0.08,spawn,0.03878,0.03658,0.01287,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1892,0.2063,-0.0796,86.1395
7,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0167,0.2586,0.0109,89.1388
8,4,0.08,spawn,0.03879,0.03659,0.01288,0.03879,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1043,0.1846,0.001,88.9386
9,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1259,0.1865,-0.0179,89.98
10,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1554,0.1837,-0.0456,88.6377
11,4,0.08,spawn,0.03879,0.03659,0.01288,0.03879,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1327,0.1937,-0.0246,88.2505
12,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1034,0.2136,-0.0008,89.4996
13,4,0.08,spawn,0.03879,0.03658,0.01288,0.03879,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0186,0.2635,0.0084,88.6392
14,4,0.08,spawn,0.03878,0.03658,0.01288,0.03878,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1636,0.1831,-0.0497,89.8677
15,4,0.08,spawn,0.03879,0.03659,0.01288,0.03879,0.003,-2.71,1.63,0.343,0.0042,0.237,-0.0042,-0.0002,-1.7,-0.77,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0168,0.2667,0.0108,89.099
0,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0335,0.2339,-0.001,89.5345
1,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1121,0.1878,-0.0053,89.4236
2,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0191,0.2426,0.0006,89.5606
3,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0249,0.2248,-0.0002,89.8927
4,5,0.1,spawn,0.03846,0.03685,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2199,0.1976,-0.1062,87.491
5,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2057,0.2063,-0.0837,89.5784
6,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1907,0.2061,-0.0808,85.3185
7,5,0.1,spawn,0.03846,0.03685,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0132,0.2588,0.0096,89.7786
8,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1061,0.1845,0.0006,88.2364
9,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1281,0.1866,-0.019,89.3553
10,5,0.1,spawn,0.03846,0.03686,0.011,0.03846,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1571,0.1837,-0.0466,87.9254
11,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1344,0.1938,-0.0257,87.5221
12,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1062,0.2129,-0.0007,89.85
13,5,0.1,spawn,0.03847,0.03686,0.011,0.03847,0.0036,-2.12,1.66,0.3413,0.0047,0.302,-0.0047,0.0,-1.81,-1.23,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,-0.0138,0.2638,0.007,89.2667
