attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,55,1.1,stand,0.09655,0.09655,0.03,-7.46,53.52,0.3105,0,0.0,0.0
0,56,1.12,stand,0.09681,0.09681,0.03,-7.2,52.72,0.3102,0,0.0,0.0
0,57,1.14,stand,0.09805,0.09805,0.03,-6.74,52.64,0.3101,0,0.0,0.0
0,58,1.16,stand,0.09739,0.09739,0.03,-6.29,52.59,0.3099,0,0.0,0.0
0,59,1.18,stand,0.09496,0.09496,0.03,-6.49,53.03,0.3098,0,0.0,0.0
0,60,1.2,stand,0.09497,0.09497,0.03,-5.97,53.33,0.3097,0,0.0,0.0
0,61,1.22,stand,0.09231,0.09231,0.03,-6.05,53.93,0.3097,0,0.0,0.0
0,62,1.24,stand,0.09068,0.09068,0.03,-5.68,54.4,0.3097,0,0.0,0.0
0,63,1.26,stand,0.0879,0.0879,0.03,-5.51,53.89,0.3098,0,0.0,0.0
0,64,1.28,stand,0.08553,0.08553,0.03,-5.2,58.67,0.3099,0,0.0,0.0
0,65,1.3,stand,0.08247,0.08247,0.03,-5.33,63.7,0.3101,0,0.0,0.0
0,66,1.32,stand,0.07871,0.07871,0.03,-6.08,67.73,0.3103,0,0.0,0.0
0,67,1.34,stand,0.07559,0.07559,0.03,-6.62,67.79,0.3105,0,0.0,0.0
0,68,1.36,stand,0.0734,0.0734,0.03,-6.23,68.98,0.3108,0,0.0,0.0
0,69,1.38,stand,0.06967,0.06967,0.03,-6.1,73.63,0.311,0,0.0,0.0
0,70,1.4,stand,0.06507,0.06507,0.03,-6.24,77.8,0.3113,0,0.0,0.0
0,71,1.42,stand,0.06118,0.06118,0.03,-6.72,79.98,0.3115,0,0.0,0.0
0,72,1.44,stand,0.05834,0.05834,0.03,-6.87,80.77,0.3118,0,0.0,0.0
0,73,1.46,stand,0.05555,0.05555,0.03,-6.73,82.9,0.3121,0,0.0,0.0
0,74,1.48,stand,0.05176,0.05176,0.03,-6.54,83.38,0.3124,0,0.0,0.0
0,75,1.5,stand,0.04748,0.04748,0.03,-6.45,82.04,0.3126,0,0.0,0.0
0,76,1.52,stand,0.04402,0.04402,0.03,-6.1,81.17,0.3128,0,0.0,0.0
0,77,1.54,stand,0.04174,0.04174,0.03,-5.96,77.63,0.3131,0,0.0,0.0
0,78,1.56,stand,0.03909,0.03909,0.03,-5.59,74.64,0.3132,0,0.0,0.0
