step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789607691.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06601,1e-05,0.01730728,0.01147484,0,0.5345669,0.07515883,80613,0.5000502,,
1,1789607691.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06595,0.0002562891,-0.005039233,0.01094476,0,0.4735239,0.04001307,95712,0.5000807,,
2,1789607692.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08141,0.0008649756,-0.009795058,0.01223611,0,0.4729657,0.03924823,95959,0.5008566,,
3,1789607692.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11425,0.0003844336,-0.01170516,0.0120608,0,0.4820757,0.0383172,94451,0.5017945,,
4,1789607693.390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14156,0.0001708594,-0.01256373,0.01425255,0,0.4813578,0.0391593,94429,0.5022429,,
5,1789607693.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14701,0.0002562891,-0.01216456,0.01623816,0,0.4872715,0.03912687,93374,0.5024401,,
6,1789607694.620,-0.01667946,0.02062499,-0.0121999,-0.002600335,-0.0004744751,-0.0005,0,-0.0002106306,0.0255579,0.0006809578,-0.003132701,6.103516e-05,0,0,0,0,13.15703,0.0002562891,-0.0121767,0.01668525,0.062497,0.6571834,0.03924417,70577,0.502674,166,0.8853076
7,1789607695.149,-0.1334357,0.1649999,-0.09759923,-0.02080268,-0.003795801,-0.004,0,-0.001685045,0.2044632,0.005447662,-0.02506161,0.0004882812,0,0,0,0,13.16012,0.0002562891,-0.01154499,0.01592748,0.499976,0.4848177,0.03960061,93726,0.5027546,166,0.8853076
8,1789607695.826,-0.1460915,0.1784582,-0.1037342,-0.02106719,-0.00385124,-0.004,0,-0.001638224,0.2239616,0.004646889,-0.02382141,0.0007324219,0,0,0,0,13.15782,0.0003844336,-0.01151518,0.01633306,0.4989097,0.6349854,0.03910732,72915,0.5025691,201.25,1.036981
9,1789607696.620,-0.186933,0.2253332,-0.1121588,-0.03096346,-0.00401229,-0.004,0,-0.001939688,0.2584152,0.005427872,-0.02826806,0.003845215,0,0,0,0,13.16317,0.0003844336,-0.01159483,0.01719281,0.5306077,0.7498534,0.03953838,62265,0.5030917,221.6154,1.196206
10,1789607697.182,-0.2085154,0.2508332,-0.1316102,-0.03304347,-0.004209724,-0.004,0,-0.001812506,0.2923609,0.008108055,-0.02767314,0.00994873,0,0,0,0,13.19348,0.0008649756,-0.009856564,0.01691253,0.4982393,0.5140748,0.04430294,88026,0.5039532,241.8438,1.456322
11,1789607697.897,-0.2290772,0.2749165,-0.1388739,-0.03853714,-0.004416684,-0.004,0,-0.002025686,0.3547994,0.009011116,-0.03010084,0.0211792,0,0,0,0,13.21713,0.0008649756,-0.009825937,0.01480173,0.5040165,0.6542222,0.05521178,69283,0.5048152,256,1.706029
