step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
24,1789466977.753,-0.0493444,0.2946666,-0.009966638,-0.003666667,0,-0.002663228,0.4483031,0.001900868,-0.02420645,0.140625,0,0,0,0.859375,13.24902,1.5e-05,-0.03942164,0.01747281,0.4700626,0.366502,0.0332737,3842,0.5053092,473.2923,8.896093
25,1789466978.160,-0.04627411,0.2759998,-0.009988105,-0.004,0,-0.002572174,0.4385409,0.001379653,-0.02489639,0.140625,0,0,0,0.859375,13.25898,1e-05,-0.03899436,0.0178635,0.4913447,0.368403,0.03522873,3805,0.5055878,473.2923,8.896093
26,1789466978.565,-0.04627411,0.2759998,-0.009988105,-0.004,0,-0.002572174,0.4385409,0.001379653,-0.02489639,0.140625,0,0,0,0.859375,13.26689,1e-05,-0.03650326,0.01981372,0.4913447,0.3667624,0.0345571,3827,0.5057498,473.2923,8.896093
27,1789466979.003,-0.04627411,0.2759998,-0.009988105,-0.004,0,-0.002572174,0.4385409,0.001379653,-0.02489639,0.140625,0,0,0,0.859375,13.27115,1e-05,-0.03840962,0.01952455,0.4913447,0.387187,0.04781914,3530,0.5058392,473.2923,8.896093
28,1789466979.441,-0.04627411,0.2759998,-0.009988105,-0.004,0,-0.002572174,0.4385409,0.001379653,-0.02489639,0.140625,0,0,0,0.859375,13.27696,1e-05,-0.03393306,0.02838605,0.4913447,0.3999164,0.03498626,3531,0.506079,473.2923,8.896093
29,1789466979.880,-0.0624909,0.3762924,-0.01059491,-0.002166667,0,-0.002990834,0.4560081,0.0070823,-0.02088327,0.1334635,0,0,0,0.8665365,13.28485,1e-05,-0.033356,0.03010282,0.389761,0.3911719,0.04368353,3532,0.5062652,469.9105,8.836136
30,1789466980.305,-0.06277417,0.3729175,-0.01063193,-0.004,0,-0.003422449,0.330817,0.003001596,-0.03573154,0.1510417,0,0,0,0.8489584,13.29037,1.5e-05,-0.03239252,0.03988007,0.5802244,0.3846049,0.03473783,3662,0.5064061,463.5714,8.661899
31,1789466980.724,-0.05751715,0.3464588,-0.01024694,-0.004,0,-0.003565043,0.4806684,0.01707094,-0.04012562,0.1744792,0,0,0,0.8255209,13.29495,1e-05,-0.03810276,0.02385184,0.6294173,0.3831394,0.03305101,3690,0.5065134,460.8611,8.64138
32,1789466981.138,-0.04753546,0.2899583,-0.009978527,-0.003666667,0,-0.003371469,0.3331401,0.006914731,-0.04089963,0.1985677,0,0,0,0.8014323,13.30026,1e-05,-0.03208601,0.02940306,0.5684745,0.37554,0.03530717,3738,0.5067108,456.6533,8.570125
33,1789466981.547,-0.06247726,0.3718756,-0.009620705,-0.0025,0,-0.003413864,0.7386982,0.0235091,-0.03356216,0.2128906,0,0,0,0.7871094,13.3054,1.5e-05,-0.03807521,0.03272755,0.3931424,0.3723948,0.0331223,3787,0.5068032,455.1299,8.681882
34,1789466982.205,-0.05980064,0.3521251,-0.009413429,-0.003333333,0,-0.003205463,0.4985099,0.01450855,-0.04119116,0.2311198,0,0,0,0.7688802,13.30978,1.5e-05,-0.04221079,0.02099055,0.4744719,0.6215415,0.03281045,2347,0.5069569,450.3125,8.575607
35,1789466982.618,-0.05694332,0.3467498,-0.01017481,-0.004,0,-0.003991346,0.6221187,0.03752359,-0.04983214,0.2753906,0,0,0,0.7246094,13.31824,1e-05,-0.04218306,0.02368267,0.5375777,0.3767343,0.03275442,3751,0.5072899,446.759,8.605737
36,1789466983.034,-0.0632515,0.3673747,-0.01017061,-0.004,0,-0.003507802,0.730121,0.05232164,-0.03655104,0.3027344,0,0,0,0.6972656,13.32912,1e-05,-0.03598866,0.02555994,0.5123447,0.378653,0.03388047,3723,0.5075642,444.6395,8.644891
37,1789466983.443,-0.06617682,0.3869997,-0.01012411,-0.004,0,-0.004222927,0.9665551,0.0746467,-0.04132424,0.34375,0,0,0,0.65625,13.33602,1.5e-05,-0.03691938,0.01646371,0.5046215,0.3706901,0.03440022,3791,0.5076777,444.6395,8.644891
38,1789466983.895,-0.0751636,0.4471674,-0.01108319,-0.002666667,0,-0.003944335,0.6813854,0.007080895,-0.03550475,0.3541667,0,0,0,0.6458334,13.33861,1e-05,-0.03938467,0.02388101,0.3968081,0.414968,0.0337801,3422,0.5077114,444.6629,8.697791
39,1789466984.303,-0.08352207,0.4866683,-0.009745041,-0.0008333334,0,-0.003691529,1.045073,0.09520368,-0.02235324,0.3626302,0,0,0,0.6373698,13.33927,1e-05,-0.04035558,0.02057149,0.2150642,0.3719592,0.03306508,3792,0.5077058,445.1868,8.770423
40,1789466984.717,-0.07359914,0.4254172,-0.01053786,-0.003166667,0,-0.003748327,0.7294509,0.03156987,-0.03941362,0.3619792,0,0,0,0.6380209,13.34047,1.5e-05,-0.04023689,0.01911176,0.5540123,0.3748486,0.03563905,3741,0.5078197,444.9462,8.79444
41,1789466985.123,-0.08291605,0.488335,-0.01125751,-0.002333333,0,-0.004218457,0.7883821,0.02205865,-0.03444212,0.3684896,0,0,0,0.6315104,13.34604,1e-05,-0.03355984,0.0373572,0.4026353,0.3693945,0.03332973,3814,0.5079735,463.93,9.884146
42,1789466985.537,-0.07991392,0.4650016,-0.01016471,-0.0006666667,0,-0.003829283,0.7234661,0.01521548,-0.01940835,0.359375,0,0,0,0.640625,13.34963,1e-05,-0.03685104,0.02456232,0.2355036,0.3779662,0.03297567,3737,0.5080377,461.84,9.866311
43,1789466985.944,-0.05141494,0.2899998,-0.009486019,-0.004,0,-0.003347582,0.5140082,0.01263475,-0.02506174,0.359375,0,0,0,0.640625,13.35196,1e-05,-0.03727857,0.02005674,0.5205821,0.3706524,0.0327785,3807,0.5081136,461.84,9.866311
44,1789466986.350,-0.05194859,0.2964998,-0.01008136,-0.004,0,-0.003561079,0.4582582,0.01216914,-0.02995706,0.359375,0,0,0,0.640625,13.35674,1.5e-05,-0.0386527,0.02115598,0.5138669,0.3689349,0.03305459,3820,0.5083262,459.88,9.847483
45,1789466986.753,-0.06269747,0.3513331,-0.01001952,-0.004,0,-0.004024116,0.3811208,0.006113788,-0.03364898,0.359375,0,0,0,0.640625,13.36722,1e-05,-0.04021204,0.02240139,0.487527,0.3661876,0.03343678,3843,0.5086629,458.5,9.8585
