timestamp,memory_used_mib,utilization_gpu_pct
2026/09/15 20:09:21.247, 616, 5
2026/09/15 20:09:23.248, 895, 0
2026/09/15 20:09:25.249, 1141, 0
2026/09/15 20:09:27.249, 3632, 64
2026/09/15 20:09:29.249, 3626, 57
2026/09/15 20:09:31.249, 3629, 67
2026/09/15 20:09:33.249, 3627, 56
2026/09/15 20:09:35.249, 3627, 65
2026/09/15 20:09:37.250, 3627, 65
2026/09/15 20:09:39.250, 3627, 56
2026/09/15 20:09:41.250, 3627, 65
2026/09/15 20:09:43.250, 3627, 51
2026/09/15 20:09:45.250, 3627, 64
2026/09/15 20:09:47.251, 3627, 66
2026/09/15 20:09:49.251, 3627, 62
2026/09/15 20:09:51.251, 3627, 63
2026/09/15 20:09:53.251, 3627, 60
2026/09/15 20:09:55.251, 3627, 52
2026/09/15 20:09:57.251, 3626, 54
2026/09/15 20:09:59.252, 3623, 62
2026/09/15 20:10:01.252, 3627, 65
2026/09/15 20:10:03.252, 3627, 64
2026/09/15 20:10:05.252, 3627, 62
2026/09/15 20:10:07.252, 3627, 54
2026/09/15 20:10:09.253, 3627, 58
