step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789610291.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0689,1e-05,0.01803215,0.01416859,0,0.5487373,0.07410979,78915,0.5001656,,
1,1789610291.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07221,1e-05,-0.005508353,0.00718497,0,0.4894662,0.03863978,93072,0.5002566,,
2,1789610292.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07718,0.0002562891,-0.007947993,0.008500519,0,0.5082915,0.03998852,89647,0.500545,,
3,1789610292.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09752,0.0001708594,-0.01206267,0.008844384,0,0.5115387,0.03870654,89327,0.5010494,,
4,1789610293.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10346,0.0001708594,-0.01245583,0.009105842,0,0.5165143,0.04029703,88274,0.5011048,,
5,1789610294.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10416,0.0001708594,-0.01303224,0.009844213,0,0.5089941,0.03968787,89581,0.5011722,,
6,1789610294.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10973,0.0001708594,-0.01191993,0.009712971,0,0.5155916,0.03861141,88689,0.5013559,,
7,1789610295.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11677,0.0002562891,-0.01149933,0.010872,0,0.5144396,0.0390377,88805,0.5015836,,
8,1789610295.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13484,0.0003844336,-0.01127239,0.01147867,0,0.5091436,0.03872323,89715,0.5023813,,
9,1789610296.670,-0.1690971,0.2022082,-0.09774558,-0.02606736,-0.003410967,-0.003666667,0,-0.001520734,0.1716779,0.001478667,-0.02532079,0.0009562175,0,0,0,0,13.16735,0.0008649756,-0.01156569,0.01124446,0.4565706,0.84954,0.03894401,55321,0.503372,225.3333,0.6831674
10,1789610297.462,-0.208225,0.2492498,-0.1250879,-0.03185203,-0.004877646,-0.004,0,-0.001744473,0.2658396,0.00453084,-0.0255737,0.002970378,0,0,0,0,13.18694,0.0008649756,-0.01045649,0.01154173,0.462989,0.7490561,0.03904033,62368,0.503482,248.9167,1.150572
11,1789610298.041,-0.2277874,0.2737915,-0.1413108,-0.03968664,-0.004461972,-0.004,0,-0.001959671,0.3407986,0.005406796,-0.03030922,0.008260092,0,0,0,0,13.19789,0.0008649756,-0.01048272,0.01260136,0.5253434,0.5364587,0.0389874,85415,0.5041831,265.9615,1.580363
12,1789610298.823,-0.2480234,0.2992498,-0.1458129,-0.03505128,-0.004887735,-0.004,0,-0.002035134,0.3528406,0.006707923,-0.02696472,0.02006022,0,0,0,0,13.21656,0.0003844336,-0.009333034,0.01364963,0.5013784,0.738925,0.03896737,63186,0.5044311,284.6964,1.734533
13,1789610299.429,-0.2710556,0.3234581,-0.1546118,-0.03928439,-0.00502143,-0.004,0,-0.002245584,0.3895093,0.008744276,-0.0299788,0.04388428,0,0,0,0,13.23015,0.0008649756,-0.009650258,0.01419168,0.4930794,0.562856,0.03878546,81696,0.5050638,318.52,2.151223
14,1789610300.040,-0.288388,0.3474581,-0.1603792,-0.04165043,-0.005274629,-0.004,0,-0.002437218,0.3976653,0.007746625,-0.03128729,0.08333334,0,0,0,0,13.24993,0.0005766504,-0.01030136,0.01590279,0.4893476,0.5668805,0.04029703,80951,0.5054213,347.03,2.147281
15,1789610300.651,-0.3086045,0.3714997,-0.1682098,-0.04448658,-0.005358339,-0.004,0,-0.00256747,0.4559325,0.01159938,-0.03299077,0.1323649,0,0,0,0,13.26404,0.0005766504,-0.01167143,0.01559289,0.4785861,0.5669951,0.03893471,81118,0.5060164,374.32,2.767045
