step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm
92,0.268777,1.21079,0.0667665,0.3366,0.00962696,8.54367
93,0.267942,1.32086,0.0671031,0.343068,0.00974313,8.70931
94,0.267119,1.42656,0.067473,0.349333,0.00988287,8.86186
95,0.266354,1.52084,0.067874,0.355018,0.0100393,8.99294
96,0.265684,1.59839,0.0683033,0.359828,0.010197,9.09628
97,0.265138,1.65493,0.0687574,0.363503,0.0103559,9.16672
98,0.264734,1.68748,0.0692327,0.365921,0.0104968,9.19862
99,0.264481,1.69512,0.0697249,0.367021,0.0106207,9.20662
100,0.264379,1.6783,0.0702297,0.366817,0.0107149,9.17643
101,0.264418,1.63841,0.0707417,0.365391,0.0107805,9.11809
102,0.264581,1.57818,0.0712557,0.362899,0.0108162,9.0357
103,0.264845,1.50168,0.0717665,0.35954,0.0108188,8.93532
104,0.265182,1.41361,0.0722688,0.355553,0.0107947,8.82381
105,0.265562,1.31893,0.0727573,0.351202,0.0107419,8.70822
106,0.265955,1.22285,0.0732269,0.346761,0.0106693,8.59548
107,0.266333,1.1309,0.0736733,0.342492,0.0105827,8.4915
108,0.266669,1.04755,0.0740919,0.338632,0.0104856,8.40322
109,0.266941,0.976186,0.0744787,0.335378,0.0103877,8.33323
110,0.267135,0.919623,0.074831,0.332881,0.0102952,8.28514
111,0.267239,0.880267,0.0751467,0.331235,0.0102093,8.26013
112,0.267253,0.85889,0.0754238,0.330475,0.0101388,8.25732
113,0.267177,0.854321,0.0756607,0.330577,0.0100869,8.2765
114,0.267022,0.865019,0.0758563,0.331452,0.010056,8.31302
115,0.2668,0.888894,0.0760104,0.332994,0.0100473,8.36388
116,0.266528,0.923021,0.0761235,0.335053,0.0100563,8.4253
117,0.266225,0.964895,0.0761966,0.337457,0.010083,8.49211
118,0.265912,1.01066,0.0762306,0.340041,0.0101249,8.55968
119,0.265608,1.05777,0.0762274,0.342626,0.0101778,8.62459
120,0.265332,1.10323,0.0761887,0.34507,0.0102356,8.68223
121,0.265099,1.14449,0.0761161,0.347205,0.0102999,8.73038
122,0.264921,1.17969,0.0760118,0.348966,0.0103617,8.76732
123,0.264806,1.20772,0.0758778,0.350261,0.010419,8.79097
124,0.264759,1.22701,0.0757157,0.351051,0.0104693,8.80118
125,0.26478,1.23859,0.0755286,0.351341,0.0105075,8.79909
126,0.264866,1.24254,0.0753183,0.35115,0.0105353,8.78489
127,0.265008,1.23923,0.0750855,0.350526,0.0105517,8.76109
128,0.265197,1.22956,0.0748313,0.349549,0.0105562,8.73028
129,0.265419,1.21483,0.0745577,0.348306,0.010551,8.69417
130,0.265663,1.19681,0.0742665,0.346895,0.0105306,8.65588
131,0.265916,1.17803,0.0739605,0.34543,0.0105015,8.61824
132,0.266166,1.16028,0.0736425,0.344012,0.0104653,8.58366
133,0.2664,1.14535,0.0733147,0.342733,0.0104266,8.55446
134,0.266611,1.13488,0.0729802,0.341677,0.010384,8.5322
135,0.266791,1.12987,0.0726417,0.340899,0.0103429,8.51806
136,0.266934,1.13056,0.0723018,0.34043,0.0103071,8.51139
137,0.267037,1.13729,0.0719635,0.340299,0.0102751,8.51556
138,0.267101,1.15012,0.0716299,0.340493,0.0102496,8.5264
139,0.267128,1.16852,0.0713036,0.340989,0.0102319,8.54466
140,0.267122,1.19173,0.0709878,0.341742,0.0102231,8.56854
141,0.267088,1.21869,0.0706856,0.342709,0.0102208,8.59661
142,0.267035,1.24819,0.0703994,0.343818,0.0102265,8.62697
143,0.266969,1.27825,0.0701309,0.344995,0.0102399,8.65765
144,0.266895,1.30716,0.0698817,0.34617,0.01026,8.68695
145,0.266823,1.33398,0.0696541,0.347277,0.0102812,8.71341
146,0.266757,1.35768,0.0694499,0.348264,0.0103042,8.73582
147,0.266704,1.37743,0.0692707,0.349086,0.0103272,8.75325
148,0.266666,1.39255,0.069118,0.349713,0.0103485,8.76541
149,0.266647,1.40319,0.0689931,0.350125,0.0103674,8.77163
150,0.266648,1.40945,0.068896,0.350323,0.0103843,8.77167
151,0.266667,1.41084,0.0688266,0.350299,0.0103958,8.76759
152,0.266703,1.40764,0.0687849,0.350074,0.0104037,8.7585
153,0.266752,1.4004,0.0687706,0.349677,0.0104061,8.74416
154,0.266809,1.39016,0.0687836,0.34916,0.010402,8.7285
155,0.266868,1.37771,0.0688221,0.348561,0.0103941,8.71355
156,0.266928,1.36372,0.0688851,0.347908,0.0103844,8.69555
157,0.266984,1.34915,0.0689712,0.347248,0.0103715,8.67888
158,0.267032,1.33486,0.0690793,0.346614,0.0103571,8.66351
159,0.267069,1.32131,0.069208,0.346041,0.0103416,8.65099
160,0.26709,1.30881,0.0693554,0.345559,0.0103267,8.64055
161,0.267094,1.2977,0.0695196,0.345186,0.0103131,8.63291
162,0.26708,1.28786,0.0696989,0.344916,0.0103037,8.6283
163,0.26705,1.27886,0.0698916,0.344742,0.0102969,8.62572
164,0.267005,1.27149,0.0700958,0.344674,0.0102927,8.62595
165,0.266945,1.26532,0.0703097,0.3447,0.0102883,8.62847
166,0.266873,1.26067,0.0705317,0.344813,0.0102873,8.63259
167,0.266793,1.25741,0.0707598,0.344984,0.0102888,8.63265
168,0.266707,1.25492,0.0709919,0.345206,0.0102941,8.64463
169,0.266618,1.25273,0.0712262,0.345448,0.0103026,8.65045
170,0.26653,1.25086,0.0714608,0.345687,0.0103108,8.65694
171,0.266445,1.24851,0.0716936,0.3459,0.0103204,8.66173
172,0.266365,1.24537,0.0719228,0.346067,0.0103301,8.65949
173,0.266294,1.24144,0.0721463,0.346183,0.0103408,8.66686
174,0.266231,1.23638,0.0723625,0.346232,0.0103518,8.66704
175,0.266179,1.23003,0.0725699,0.34621,0.0103595,8.66513
