step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overforce,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13010,1790280900.355,-0.1769401,-0.2220744,0.3960012,-0.0168175,-0.1455303,-0.0007934252,-0.0008333334,-0.06513747,-0.002390592,-0.03339785,-0.04162949,-0.0005164997,-0.0002266667,-0.0008355415,0.3485995,-0.01106176,-0.0001193988,0,-0.01063869,0.04268944,-0.02066965,-0.007375801,-0.003066953,0,-0.001363403,0.1443937,0,0,0.2102766,0.1166861,-0.001834956,-0.001564482,0.1504067,0.3586256,0.180811,0.4701756,0.0009966135,0.0001139063,29.53584,0.005170965,2.79452e-10,0.004011019,0.000163332,0.01063444,0,0.05,0,0.0001139063,-0.01491307,1.86863,0.2134037,0,nan,0.5,0,1,0,0,0,40,0,1.301623,1.528713,34732,1.27933,249.82,31.27402
13011,1790280903.168,-0.1938244,-0.2417602,0.432001,-0.0224431,-0.2469039,-0.001188795,-0.005,-0.07477259,-0.002773368,-0.04444448,-0.04751587,-0.0005588169,0,-0.0007646374,0.3796995,-0.01222453,0,0,-0.01164132,0.02714931,-0.01929415,-0.008817548,-0.006942478,0,-1.752661e-05,0.1666897,0,0,0.2273934,0.1278741,-0.001949043,-0.001736133,0.1660061,0.3598432,0.1994853,0.5046172,0.0009950618,0.0001708594,29.55647,0.005112754,2.846886e-10,0.003951425,0.0001662667,0.01547762,0,0.1,0,0.0001708594,-0.01368773,1.411839,0.29956,0,0,0,1,0,0,0.3333333,0,40,0,1.300716,1.501898,35075,1.280903,274.27,33.62037
13012,1790280906.014,-0.2091273,-0.2675292,0.4680006,-0.02092335,-0.275116,-0.001367755,-0.005,-0.0813271,-0.00287824,-0.002378635,-0.05321852,-0.0006026641,-0.002835,-0.000927918,0.4275371,-0.01294219,-0.001841755,-0.000165742,-0.01327719,0.06589694,-0.02567026,-0.008162776,-0.005681091,0,-0.0001694345,0.2337847,0,0,0.2448025,0.120577,-0.002242266,-0.00195808,0.1764013,0.421542,0.2049442,0.5522466,0.0009614447,7.59375e-05,29.57225,0.005038131,2.761169e-10,0.003916161,0.0001605247,0.01157621,0.1,0.05,0,7.59375e-05,-0.009028492,1.253307,0.4586239,0.4,0.5,0.5,1,0.5,1,0.5,0,40,0,1.313302,1.521285,34680,1.281384,298.97,36.80302
13013,1790280908.864,-0.2272523,-0.2919009,0.5040003,-0.02153857,-0.3533952,-0.00187206,-0.03700001,-0.08163984,-0.002988531,-0.03771102,-0.05286362,-0.0006413881,0,-0.000997023,0.4477497,-0.013845,0,0,-0.01437157,0.08868875,-0.02765186,-0.01032688,-0.007421867,0,-0.0003842861,0.3121722,0,0,0.2605705,0.1478128,-0.002382182,-0.002041942,0.1981098,0.4173965,0.2108883,0.5981854,0.0009518741,0.0001139063,29.57962,0.004946401,2.673262e-10,0.003843555,0.0001509718,0.01051664,0,0.1,0,0.0001139063,-0.01443824,1.127574,0.515995,0.5,0.5,0.6,1,1,0,1,0,40,0,1.314798,1.523563,34634,1.281941,325.63,39.56435
13014,1790280911.698,-0.2430842,-0.3158446,0.54,-0.02778664,-0.1746062,-0.001423343,-0.019,-0.09842815,-0.003367401,-0.02132746,-0.06714587,-0.0007055696,-0.010472,-0.001190218,0.5172002,-0.01438748,-0.006096838,-0.0111949,-0.01633584,0.02847923,-0.02879306,-0.01190313,-0.004202697,0,-9.94625e-05,0.1711868,0,0,0.2794344,0.09509303,-0.002942724,-0.002555231,0.2051084,0.492004,0.2162166,0.6133162,0.0009404599,0.0001708594,29.58876,0.004894442,2.648887e-10,0.003807468,0.0001465143,0.01347603,0,0.1,0,0.0001708594,-0.01635863,1.111825,0.4804434,0.5,1,0.5,0,1,0,0,0,40,0,1.294164,1.529432,34815,1.282688,347.83,42.18344
13015,1790280914.524,-0.2480352,-0.3480281,0.5759997,-0.02020693,-0.5264337,-0.001109937,0,-0.09040512,-0.003405656,-0.003471184,-0.05953197,-0.0007073266,0,-0.0006772645,0.49435,-0.01427723,0,0,-0.01767092,0.1704445,-0.02904511,-0.009084158,-0.01173532,0,-0.0001108202,0.5920428,0,0,0.3072636,0.1716727,-0.002709133,-0.002344958,0.2273303,0.547971,0.1863155,0.6751277,0.0009454337,0.0001139063,29.59896,0.004802698,2.748718e-10,0.003708983,0.0001482808,0.01422841,0.05,0.05,0,0.0001139063,-0.01380959,0.9265229,0.5533856,1,nan,1,0,1,0.6666667,0,1,40,0,1.290987,1.523026,34933,1.283215,372.29,46.5307
13016,1790280917.410,-0.2694939,-0.3547792,0.6119994,-0.02494226,-0.4818378,-0.001510302,-0.0025,-0.09983233,-0.003734025,-0.01811499,-0.063426,-0.0007771064,0,-0.001216367,0.5209004,-0.01648379,0,0,-0.01761299,0.1659738,-0.03020776,-0.01257452,-0.008516146,0,-0.001353346,0.6135293,0,0,0.3195366,0.1804479,-0.002841647,-0.002381997,0.2365743,0.5493315,0.2693536,0.7295532,0.0009359316,0.0001708594,29.60756,0.00481204,2.717441e-10,0.003727468,0.0001486395,0.01379245,0,0.1,0,0.0001708594,-0.01538111,0.8423718,0.4616983,1,1,1,1,1,0,1,0,40,0,1.327209,1.547625,34194,1.284029,395.95,49.01355
13017,1790280920.272,-0.2933457,-0.371493,0.647999,-0.02755642,-0.3823956,-0.001050347,-0.00375,-0.1130435,-0.004176917,-0.01291863,-0.07462214,-0.000830156,-0.0081225,-0.001410833,0.5993694,-0.01685822,-0.004627634,-0.00162771,-0.01673762,0.1299211,-0.02844791,-0.01284773,-0.004761248,0,-0.004327062,0.364571,0,0,0.3469252,0.1451967,-0.003125258,-0.002691368,0.2513657,0.6089727,0.2812869,0.7710192,0.0009323942,0.0001708594,29.61698,0.004694161,2.679452e-10,0.003612376,0.0001493909,0.01273474,0,0.05,0,0.0001708594,-0.0153401,0.7257292,0.5906805,0.5,1,0.8333334,0.5,1,1,1,0.5,40,0,1.307829,1.535767,34570,1.284453,418.61,52.43363
13018,1790280923.148,-0.3141107,-0.3861983,0.6839988,-0.03353645,0,-0.0005611007,0,-0.1416415,-0.004104909,-0.006173454,-0.09801374,-0.0009189969,-0.01636,-0.001568623,0.6676004,-0.01764959,-0.01017069,-0.002795349,-0.01976947,0,-0.02998471,-0.01607132,0,0,0,0,0,0,0.3620809,0.0924485,-0.00402048,-0.003429398,0.2706717,0.6451246,0.3183472,0.8080413,0.0009307964,0.0001139063,29.62172,0.004651345,2.561837e-10,0.003578421,0.0001421271,0.01129237,0.05,0.05,0,0.0001139063,-0.01244835,0.6028098,0.6569322,1,1,0.6666667,1,0.6666667,1,0,0,40,0,1.315903,1.548207,34322,1.284842,442.59,55.90018
13019,1790280926.007,-0.3329236,-0.4138778,0.7199984,-0.03127784,-0.3917136,-0.00134367,-0.004,-0.1395632,-0.004858668,-0.09152871,-0.09259291,-0.0009214898,-0.012632,-0.001828567,0.688301,-0.01989296,-0.009931053,-0.0003513611,-0.02173316,0.1061522,-0.04145236,-0.01620014,-0.008785751,0,-0.001529219,0.4235117,0,0,0.3787903,0.1276356,-0.003671979,-0.00324395,0.2713236,0.6632414,0.3280419,0.8361206,0.0009303803,0.0001708594,29.62551,0.004553118,2.591135e-10,0.003485733,0.0001370034,0.01315481,0,0.1,0,0.0001708594,-0.01693159,0.5766407,0.541856,0,1,0.6666667,0,1,1,1,0.5,40,0,1.291018,1.556483,34522,1.284961,469.1,56.63843
