step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/fixture_tool_speed,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/press_lost_fraction,Fixture/press_slip_radius_m,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14492,1790244866.925,-0.1490325,-0.2078468,0.3960012,-0.01503301,-0.23106,-0.000223309,0,-0.05061107,-0.002259001,-0.0006887197,-0.03261862,-0.0005292289,0,-0.0003860026,0.3511996,-0.009112045,0,0,-0.01083894,0.132882,-0.1,-0.03831792,-0.080771,-0.01304807,-0.007840566,0.2102352,0.1176988,-0.001910091,-0.001632756,0.170946,0.342752,0.1749023,0.464854,35,0,1,0,1,2.687648,,0.15,0.3572218,0.3555282,0.0006174262,0.0001139063,28.32621,0.001906235,2.820317e-14,0.001196456,9.235314e-05,0.0112159,0,0.1,0,0.0001139063,-0.01183812,0.2622382,1.226061,1.585776,34960,1.200855,239.09,29.97237
14493,1790244869.751,-0.1563215,-0.2166895,0.4127152,-0.0186475,-0.1459596,-0.0002409597,0,-0.05461051,-0.002388024,-0.004154962,-0.0356163,-0.0005454379,-0.002694286,-0.0004754058,0.3999496,-0.01007481,-0.00165475,-8.166574e-05,-0.01015843,0.07426294,-0.01428572,-0.02448503,-0.07002943,-0.01190319,-0.00652351,0.2266753,0.1062419,-0.001994478,-0.001622648,0.1781477,0.3954333,0.2112668,0.4920977,35,0.3333333,0.1666667,0.1666667,0,6.979236,,0.15,0.8107023,0.4197778,0.0006249333,0.0001708594,28.32065,0.00185803,2.929047e-14,0.001154867,7.822871e-05,0.01535451,0,0.1,0,0.0001708594,-0.01212277,0.1969886,1.235549,1.580232,34911,1.200433,264.6,32.36667
14494,1790244872.578,-0.1744454,-0.2477224,0.4680006,-0.02140323,-0.1883124,-0.0003776767,-0.006250001,-0.0648142,-0.002848371,-0.002578195,-0.04411802,-0.0006146496,-0.004775,-0.0007095695,0.4571123,-0.01156322,-0.003067954,-0.001560198,-0.011662,0.07254194,0,-0.01516956,-0.07752233,-0.01484626,-0.007592903,0.2529775,0.1056446,-0.002401529,-0.002056999,0.2035761,0.4498013,0.2254452,0.5589545,35,0.3333333,0,0,0,10.72534,,0.15,0.796075,0.4360279,0.0006370907,0.0001139063,28.31399,0.001964386,2.736546e-14,0.00125007,7.72257e-05,0.01383827,0.05,0.05,0,0.0001139063,-0.01275234,0.2719941,1.2267,1.589789,34903,1.200277,273.41,32.51017
14495,1790244875.437,-0.1597837,-0.2194353,0.4232503,-0.01610007,-0.1619056,-0.0002794177,-0.005,-0.05123549,-0.002501549,-0.006166549,-0.0333064,-0.0005533292,-0.00111,-0.0005402397,0.4003166,-0.009986613,-0.0006077903,0,-0.01046848,0.09993404,-0.03333334,-0.0453079,-0.08743446,-0.01123103,-0.007071823,0.2303994,0.120946,-0.001955105,-0.001617739,0.1830116,0.4306946,0.2015881,0.5134702,35,0.2,0.4,0.4,0,3.267061,,0.15,0.1338463,0.4545339,0.0006317978,7.59375e-05,28.31201,0.002073843,2.943884e-14,0.001377185,6.485961e-05,0.01291672,0.1,0.1,0,7.59375e-05,-0.01170234,0.2670787,1.27611,1.57133,34523,1.200123,290.07,35.0091
14496,1790244878.358,-0.1589921,-0.2134722,0.4119999,-0.01482117,-0.3180626,-0.0001986566,0,-0.05399717,-0.002306134,-0.006122421,-0.03462207,-0.0005146505,0,-0.0004510056,0.3848834,-0.01037606,0,0,-0.01235473,0.2070603,-0.03333334,-0.001799154,-0.0851151,-0.01356927,-0.007244193,0.2105188,0.1200787,-0.001782467,-0.001419222,0.1642734,0.4055179,0.1975564,0.4990372,35,0,0.3333333,0.3333333,0,1.540211,,0.15,0.1693762,0.4368136,0.0006463239,0.0001139063,28.30975,0.00250678,2.606914e-14,0.001765589,9.486739e-05,0.01146923,0,0.1,0,0.0001139063,-0.01186933,0.3232994,1.345957,1.562906,33794,1.200075,301.66,36.3978
14497,1790244881.279,-0.216228,-0.2992933,0.5759997,-0.02162527,-0.3288052,-0.0003019138,-0.001,-0.06826686,-0.003628952,-0.003905888,-0.04331855,-0.0007311585,0,-0.0004559408,0.5406305,-0.01361094,0,0,-0.01573781,0.1935533,0,-0.100975,-0.1986335,-0.01618075,-0.007794091,0.3046758,0.170813,-0.002545509,-0.002075983,0.2405721,0.5338351,0.2869186,0.6981287,35,0.4,0,0,0,3.24268,,0.15,0.2065603,0.4236328,0.0006613528,0.0001139063,28.31122,0.00249268,2.665391e-14,0.00172903,0.000102298,0.01565219,0.05,0.1,0,0.0001139063,-0.01243815,0.3766672,1.350879,1.553994,33841,1.200395,314.38,36.74273
14498,1790244884.221,-0.1691693,-0.2324652,0.459,-0.01938821,-0.07864257,-0.0001274883,0,-0.0590755,-0.002889321,-0.008681438,-0.03788978,-0.000601031,0,-0.0006571931,0.422525,-0.01097917,0,0,-0.00943926,0.05736314,-0.05,-0.1867658,-0.1782601,-0.01402024,-0.008156078,0.2588744,0.1407008,-0.002059326,-0.001596659,0.1977596,0.3984877,0.2337457,0.562237,35,0.5,0.5,0.5,0,3.77512,,0.15,0.9649953,0.3969822,0.0006630954,0.0001708594,28.31385,0.002322356,2.53861e-14,0.001554192,0.0001050682,0.01475132,0,0.1,0,0.0001708594,-0.01351915,0.2715676,1.366839,1.563864,33542,1.200314,353.54,41.3027
14499,1790244887.116,-0.2241878,-0.3142019,0.5831245,-0.02299541,-0.207126,-0.0002381544,-0.0025,-0.07808755,-0.003595551,-0.01848807,-0.05120474,-0.0007632634,-0.003200001,-0.0006312039,0.5477256,-0.01476259,-0.001988329,0,-0.01570302,0.1515974,-0.025,-0.1441383,-0.1836297,-0.01638778,-0.009710565,0.3161853,0.1551415,-0.002783065,-0.002321235,0.2496368,0.576828,0.2690917,0.6978077,35,0.3333333,0.3333333,0.3333333,0,0.01819075,,0.15,0.2688021,0.4850779,0.0006621246,0.0001139063,28.3068,0.002397127,2.505671e-14,0.001659479,7.552316e-05,0.01508025,0.05,0.05,0,0.0001139063,-0.01346083,0.2220988,1.339349,1.543921,34094,1.199633,371.91,42.29047
14500,1790244890.029,-0.222012,-0.2939166,0.5479993,-0.02305065,-0.2055083,-0.0004465996,-0.006666667,-0.08727992,-0.003303528,-0.07404988,-0.05912051,-0.000690936,-0.009773335,-0.00110582,0.5172508,-0.01304408,-0.007252914,0,-0.01708651,0.1237316,-0.03333334,-0.001236697,-0.06487639,-0.02713816,-0.01072248,0.2810779,0.09375235,-0.002724947,-0.002259354,0.2233984,0.5143224,0.2693734,0.6037543,35,0,0.5,0.5,0,1.847668,,0.15,0.1237349,0.4518915,0.0006515834,0.0001139063,28.29773,0.002562255,2.419535e-14,0.001844733,6.593876e-05,0.01260014,0.05,0.1,0,0.0001139063,-0.01184501,0.2886197,1.360188,1.541162,33882,1.199291,386.07,43.71239
14501,1790244892.940,-0.2351987,-0.3111775,0.6049993,-0.02636082,-0.2865793,-0.000401196,-0.01,-0.08605438,-0.003362526,-0.009629726,-0.0563167,-0.0007743239,-0.005526667,-0.0005633423,0.5796005,-0.0139913,-0.003621444,-0.0003276536,-0.01705416,0.2135273,-0.03333334,-0.01087848,-0.09231383,-0.02180208,-0.009617655,0.3149177,0.1409141,-0.002885788,-0.002475961,0.2514544,0.5432426,0.2698311,0.7042661,35,0,0.5,0.5,0,0.4658822,,0.15,0.1105348,0.4299626,0.000637883,0.0001139063,28.28931,0.002283504,2.37605e-14,0.001580887,6.473385e-05,0.01358852,0.05,0.1,0,0.0001139063,-0.01379701,0.1941933,1.349921,1.549275,33907,1.198657,417.07,46.55434
