attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n
0,8,0.16,spawn,0.02891,0.02869,-0.00351,0.02891,0.00216,-1.24,1.65,0.3367,0.0059,0.434,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,8,0.16,spawn,0.02892,0.02871,-0.00351,0.02892,0.00216,-1.24,1.65,0.3367,0.0059,0.434,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,8,0.16,spawn,0.02893,0.02871,-0.00351,0.02893,0.00216,-1.24,1.65,0.3367,0.0059,0.434,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,8,0.16,spawn,0.02893,0.02871,-0.00351,0.02893,0.00216,-1.24,1.65,0.3367,0.0059,0.434,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,9,0.18,spawn,0.02663,0.02613,-0.00511,0.02663,0.0024,-1.54,1.78,0.3354,0.0065,0.489,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,9,0.18,spawn,0.02665,0.02615,-0.00511,0.02665,0.0024,-1.54,1.78,0.3354,0.0065,0.489,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,9,0.18,spawn,0.02665,0.02616,-0.00511,0.02665,0.0024,-1.55,1.78,0.3354,0.0065,0.489,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,9,0.18,spawn,0.02665,0.02615,-0.00511,0.02665,0.0024,-1.54,1.78,0.3354,0.0065,0.489,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,10,0.2,spawn,0.02396,0.02254,-0.00812,0.02396,0.00264,-1.91,1.82,0.3343,0.0072,0.53,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,10,0.2,spawn,0.02398,0.02257,-0.00812,0.02398,0.00264,-1.91,1.82,0.3343,0.0072,0.53,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,10,0.2,spawn,0.02398,0.02257,-0.00812,0.02398,0.00264,-1.91,1.82,0.3343,0.0072,0.529,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,10,0.2,spawn,0.02398,0.02257,-0.00812,0.02398,0.00264,-1.91,1.82,0.3343,0.0072,0.53,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,11,0.22,spawn,0.02092,0.01719,-0.01192,0.02092,0.00288,-1.52,1.96,0.3333,0.0077,0.586,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,11,0.22,spawn,0.02093,0.01721,-0.01191,0.02093,0.00288,-1.52,1.96,0.3333,0.0077,0.586,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,11,0.22,spawn,0.02094,0.01722,-0.01191,0.02094,0.00288,-1.52,1.96,0.3333,0.0077,0.586,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,11,0.22,spawn,0.02093,0.01721,-0.01191,0.02093,0.00288,-1.52,1.96,0.3333,0.0077,0.586,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,12,0.24,spawn,0.01884,0.01264,-0.01397,0.01884,0.00312,-1.23,1.97,0.3325,0.0084,0.618,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,12,0.24,spawn,0.01884,0.01265,-0.01397,0.01884,0.00312,-1.23,1.97,0.3325,0.0084,0.618,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,12,0.24,spawn,0.01884,0.01265,-0.01396,0.01884,0.00312,-1.24,1.97,0.3325,0.0084,0.618,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,12,0.24,spawn,0.01885,0.01265,-0.01397,0.01885,0.00312,-1.24,1.97,0.3325,0.0084,0.618,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,13,0.26,spawn,0.01967,0.01367,-0.01414,0.01967,0.00336,-0.89,2.11,0.332,0.0091,0.689,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,13,0.26,spawn,0.01967,0.01368,-0.01414,0.01967,0.00336,-0.89,2.11,0.332,0.0091,0.689,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,13,0.26,spawn,0.01967,0.01367,-0.01414,0.01967,0.00336,-0.9,2.11,0.332,0.0091,0.689,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,13,0.26,spawn,0.01967,0.01368,-0.01414,0.01967,0.00336,-0.9,2.11,0.332,0.0091,0.689,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,14,0.28,spawn,0.02044,0.01446,-0.01444,0.02044,0.0036,-0.94,2.02,0.3317,0.0099,0.73,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,14,0.28,spawn,0.02044,0.01446,-0.01444,0.02044,0.0036,-0.94,2.02,0.3317,0.0099,0.73,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,14,0.28,spawn,0.02045,0.01448,-0.01444,0.02045,0.0036,-0.94,2.02,0.3317,0.0099,0.729,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,14,0.28,spawn,0.02043,0.01445,-0.01444,0.02043,0.0036,-0.94,2.02,0.3317,0.0099,0.729,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,15,0.3,spawn,0.02378,0.01846,-0.01499,0.02378,0.00384,-0.51,1.04,0.3315,0.0107,0.79,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,15,0.3,spawn,0.02377,0.01845,-0.01498,0.02377,0.00384,-0.51,1.04,0.3315,0.0107,0.79,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,15,0.3,spawn,0.02376,0.01844,-0.01498,0.02376,0.00384,-0.51,1.04,0.3315,0.0107,0.789,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
