attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
4,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
5,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
6,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
7,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.02268,0.0225,0.00288,0.02209,0.0012,-3.46,9.97,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
4,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
5,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
6,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
7,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
0,2,0.04,spawn,0.02093,0.02091,0.00103,0.01995,0.0018,-1.9,15.13,0.3484,0.0024,-0.107,0.0,0.0,0,0.0,0.0
1,2,0.04,spawn,0.02093,0.02091,0.00103,0.01995,0.0018,-1.9,15.13,0.3484,0.0024,-0.107,0.0,0.0,0,0.0,0.0
2,2,0.04,spawn,0.02093,0.02091,0.00103,0.01995,0.0018,-1.9,15.13,0.3484,0.0024,-0.107,0.0,0.0,0,0.0,0.0
3,2,0.04,spawn,0.02093,0.02091,0.00103,0.01996,0.0018,-1.9,15.13,0.3484,0.0024,-0.107,0.0,0.0,0,0.0,0.0
4,2,0.04,spawn,0.02093,0.02091,0.00103,0.01995,0.0018,-1.9,15.13,0.3484,0.0024,-0.107,0.0,0.0,0,0.0,0.0
5,2,0.04,spawn,0.02093,0.02091,0.00103,0.01995,0.0018,-1.9,15.13,0.3484,0.0024,-0.107,0.0,0.0,0,0.0,0.0
6,2,0.04,spawn,0.02093,0.02091,0.00103,0.01995,0.0018,-1.9,15.12,0.3484,0.0024,-0.107,0.0,0.0,0,0.0,0.0
7,2,0.04,spawn,0.02094,0.02091,0.00103,0.01996,0.0018,-1.9,15.12,0.3484,0.0024,-0.107,0.0,0.0,0,0.0,0.0
0,3,0.06,spawn,0.01933,0.01852,-0.00554,0.01801,0.0024,-0.28,20.52,0.3457,0.003,-0.122,0.0,0.0,0,0.0,0.0
1,3,0.06,spawn,0.01934,0.01853,-0.00553,0.01802,0.0024,-0.28,20.52,0.3457,0.003,-0.122,0.0,0.0,0,0.0,0.0
2,3,0.06,spawn,0.01933,0.01852,-0.00553,0.01801,0.0024,-0.28,20.52,0.3457,0.003,-0.122,0.0,0.0,0,0.0,0.0
3,3,0.06,spawn,0.01933,0.01852,-0.00553,0.01801,0.0024,-0.28,20.52,0.3457,0.003,-0.122,0.0,0.0,0,0.0,0.0
