step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n
88,0.271429,1.16299,0.065728,0.318052,0.0095966,8.00678,0
89,0.270919,1.22827,0.0660031,0.321973,0.00956648,8.13176,0
90,0.270256,1.31371,0.0663386,0.327081,0.00958652,8.28382,0
91,0.26949,1.41174,0.0667317,0.332953,0.00965139,8.44516,0
92,0.26867,1.51444,0.0671789,0.339163,0.00975217,8.60646,0
93,0.267845,1.61432,0.067676,0.345278,0.0098828,8.75451,0
94,0.26706,1.70442,0.0682197,0.350941,0.0100294,8.89044,0
95,0.266354,1.77909,0.0688048,0.355819,0.0101866,8.99777,0
96,0.265757,1.83364,0.0694273,0.359679,0.0103398,9.07466,0
97,0.265292,1.86517,0.0700814,0.362339,0.010484,9.11586,0
98,0.264969,1.87207,0.070762,0.363727,0.0106095,9.12616,0
99,0.264791,1.85411,0.071463,0.363829,0.0107128,9.10757,0
100,0.264752,1.81262,0.0721783,0.36271,0.0107857,9.05657,0
101,0.264837,1.75,0.0729018,0.360491,0.0108299,8.97723,0
102,0.265026,1.66989,0.0736264,0.357369,0.0108447,8.88517,0
103,0.265294,1.57692,0.0743462,0.353558,0.0108278,8.77715,0
104,0.265612,1.47606,0.075055,0.349315,0.0107871,8.66284,0
105,0.265952,1.37255,0.0757464,0.344904,0.0107227,8.54908,0
106,0.266284,1.2715,0.0764142,0.340575,0.0106428,8.44285,0
107,0.266584,1.17758,0.0770525,0.33658,0.0105534,8.34883,0
108,0.266829,1.09475,0.0776567,0.333117,0.0104583,8.27252,0
109,0.267001,1.02583,0.0782211,0.330346,0.0103669,8.21631,0
110,0.26709,0.973213,0.0787423,0.328377,0.0102839,8.18211,0
111,0.267091,0.937804,0.0792172,0.327263,0.0102117,8.17062,0
112,0.267006,0.919773,0.0796429,0.327006,0.0101567,8.17982,0
113,0.266842,0.917645,0.0800171,0.327531,0.0101213,8.20802,0
114,0.26661,0.929526,0.0803386,0.328748,0.0101058,8.25152,0
115,0.266327,0.953132,0.0806064,0.330521,0.0101108,8.30601,0
116,0.266011,0.985797,0.0808204,0.332696,0.0101323,8.36805,0
117,0.265682,1.02444,0.0809819,0.335099,0.010169,8.43279,0
118,0.26536,1.06593,0.0810907,0.337574,0.0102187,8.49561,0
119,0.265063,1.10752,0.0811482,0.339957,0.0102763,8.55339,0
120,0.264806,1.14658,0.0811562,0.342116,0.0103364,8.60305,0
121,0.264604,1.18103,0.0811161,0.343926,0.0103988,8.64177,0
122,0.264465,1.20942,0.0810293,0.345323,0.0104571,8.6689,0
123,0.264395,1.23089,0.0808982,0.346247,0.0105089,8.68332,0
124,0.264395,1.24481,0.0807252,0.346685,0.0105512,8.68495,0
125,0.264462,1.25153,0.0805114,0.346652,0.0105827,8.67542,0
126,0.264592,1.25196,0.0802599,0.346194,0.0106018,8.65577,0
127,0.264773,1.2468,0.0799722,0.345374,0.0106102,8.62834,0
128,0.264995,1.23711,0.0796496,0.344278,0.0106056,8.59587,0
129,0.265245,1.22458,0.0792952,0.342988,0.0105915,8.56011,0
130,0.265511,1.211,0.078912,0.341619,0.0105662,8.52259,0
131,0.265779,1.19824,0.0785033,0.340268,0.010533,8.49102,0
132,0.26604,1.18821,0.0780723,0.33903,0.0104949,8.46222,0
133,0.266281,1.18223,0.0776225,0.337981,0.0104548,8.43971,0
134,0.266495,1.18171,0.077158,0.337197,0.0104134,8.42524,0
135,0.266675,1.18723,0.0766827,0.336713,0.0103747,8.41567,0
136,0.266819,1.19907,0.0762001,0.336557,0.0103422,8.42082,0
137,0.266925,1.21694,0.0757143,0.336723,0.0103146,8.43153,0
138,0.266993,1.24053,0.0752294,0.337193,0.0102952,8.44887,0
139,0.267029,1.26894,0.0747496,0.33793,0.0102828,8.47241,0
140,0.267036,1.30101,0.0742783,0.338884,0.0102784,8.5004,0
141,0.26702,1.33575,0.0738198,0.339994,0.0102812,8.53114,0
142,0.26699,1.37197,0.073378,0.3412,0.0102905,8.56311,0
143,0.26695,1.40797,0.0729558,0.342428,0.0103053,8.59414,0
144,0.266909,1.44219,0.072556,0.343612,0.0103245,8.61976,0
145,0.266872,1.47364,0.0721815,0.344698,0.0103463,8.64829,0
146,0.266844,1.50143,0.0718355,0.345638,0.0103678,8.66899,0
147,0.26683,1.52475,0.0715196,0.346391,0.0103894,8.68418,0
148,0.266832,1.54312,0.0712364,0.346934,0.0104076,8.69073,0
149,0.26685,1.55671,0.0709877,0.347264,0.0104232,8.69823,0
150,0.266886,1.56529,0.0707746,0.347382,0.0104361,8.69687,0
