step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789522704.670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06989,1e-05,0.01885513,0.03624068,0,0.526222,0.07540607,81698,0.5001957,,
1,1789522705.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.082,0.0002562891,-0.004223943,0.03345332,0,0.4685135,0.04074717,96516,0.5009677,,
2,1789522705.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16341,0.0008649756,-0.008802564,0.02974987,0,0.4800971,0.04104114,94316,0.5040553,,
3,1789522706.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26157,0.0008649756,-0.01038008,0.02455716,0,0.4858806,0.0395658,93543,0.5067827,,
4,1789522706.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36223,0.0008649756,-0.01078279,0.0235186,0,0.4931111,0.04070473,92076,0.5093173,,
5,1789522707.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43585,0.0008649756,-0.01156646,0.02227047,0,0.4947519,0.0412817,91695,0.5112602,,
6,1789522707.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.52459,0.001297463,-0.00962599,0.02302041,0,0.4920766,0.04058576,92276,0.5139881,,
7,1789522708.553,-0.008783421,0.0539583,-0.001154039,-0.001166667,0,-0.0006143043,0.06690773,0.0008810916,-0.008737402,0.0001424154,0,0,0,0,13.59668,0.0005766504,-0.01053396,0.02055534,0.136096,0.6573734,0.04122543,70357,0.5158827,186,3.472846
8,1789522709.232,-0.0320779,0.1919999,-0.003873869,-0.004,0,-0.00180767,0.1480439,0.001202771,-0.02950618,0.0009765625,0,0,0,0,13.66984,0.0003844336,-0.01049869,0.02244156,0.5751765,0.6340623,0.04066968,72846,0.5178464,189.5,3.086328
9,1789522709.782,-0.03845994,0.2243749,-0.00393946,-0.004,0,-0.002230134,0.3174399,0.01131648,-0.03046147,0.002278646,0,0,0,0,13.73816,0.0008649756,-0.01066176,0.02202724,0.5379779,0.507324,0.04009867,89788,0.5201005,220.125,4.441987
10,1789522710.594,-0.04271523,0.2509165,-0.00419427,-0.004,0,-0.002333007,0.362888,0.01088414,-0.03018653,0.008585612,0,0,0,0,13.81036,0.0008649756,-0.0110724,0.02073281,0.4964572,0.7675741,0.04004025,60860,0.5221662,243.9643,5.154127
11,1789522711.155,-0.04672607,0.2743748,-0.004229817,-0.004,0,-0.002426291,0.4126894,0.01303198,-0.03057273,0.018514,0,0,0,0,13.88298,0.0005766504,-0.01137444,0.02000351,0.4876707,0.5161157,0.04125714,88185,0.524218,255.6889,5.434765
12,1789522711.737,-0.05102045,0.2993748,-0.004620226,-0.004,0,-0.002665439,0.4663488,0.01175803,-0.03140324,0.03208415,0,0,0,0,13.9541,0.0008649756,-0.01125962,0.02030636,0.4934978,0.537863,0.04004669,85051,0.5265252,275.9398,6.077816
13,1789522712.317,-0.05542987,0.3233331,-0.004684135,-0.004,0,-0.002907659,0.4895287,0.01637454,-0.03592114,0.05293783,0,0,0,0,14.03858,0.0005766504,-0.01146807,0.02098015,0.5001708,0.5347662,0.04118943,85339,0.528847,306.98,6.893835
14,1789522712.892,-0.0603356,0.3471664,-0.005022312,-0.004,0,-0.003018074,0.5294573,0.0141536,-0.03561189,0.07318115,0,0,0,0,14.09897,0.0005766504,-0.01251347,0.01975974,0.4841197,0.5286641,0.04258204,86043,0.5307381,335.21,7.626798
15,1789522713.476,-0.06367245,0.3714164,-0.0050787,-0.004,0,-0.003299986,0.5758758,0.01943431,-0.03811749,0.09806316,0,0,0,0,14.16261,0.0005766504,-0.0127068,0.02031046,0.4852136,0.5405052,0.03982306,84696,0.5323102,362.75,8.371858
16,1789522714.054,-0.06671438,0.3854997,-0.00523387,-0.004,0,-0.00354127,0.6061919,0.01468591,-0.03893144,0.1252848,0,0,0,0,14.20922,0.0005766504,-0.01226569,0.01940732,0.4808012,0.5341535,0.03979969,85637,0.5338036,382.62,8.766829
17,1789522714.635,-0.07262466,0.4194168,-0.005422049,-0.004,0,-0.003931986,0.6602372,0.02027739,-0.04455082,0.1506958,0,0,0,0,14.2579,0.0005766504,-0.01323452,0.01879827,0.4852584,0.5373843,0.03980708,85157,0.5351121,405.02,9.229278
