step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789603966.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06899,1e-05,0.01764284,0.02049494,0,0.5473027,0.08927441,77212,0.5001609,,
1,1789603967.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0787,0.0002562891,-0.004734808,0.0179446,0,0.4856906,0.04168487,93201,0.5007949,,
2,1789603967.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14801,0.0008649756,-0.009549959,0.01853875,0,0.4868307,0.03947711,93390,0.5035081,,
3,1789603968.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.23249,0.0003844336,-0.01152704,0.01648779,0,0.4932308,0.03879118,92387,0.5054965,,
4,1789603968.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.30361,0.0001708594,-0.01220668,0.01911028,0,0.4957871,0.0385561,91985,0.5071197,,
5,1789603969.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.34096,0.0002562891,-0.01184284,0.02170884,0,0.4902341,0.03995538,92706,0.5082865,,
6,1789603970.112,-0.006636226,0.04049997,-0.02357366,-0.00505993,-0.0009088921,-0.001,0,-0.0004307935,0.05075885,0.001366143,-0.006297718,0.0001220703,0,0,0,0,13.3882,0.0002562891,-0.01163938,0.02271002,0.1238856,0.6673956,0.04094028,69390,0.5095522,163,1.948712
7,1789603970.794,-0.02940293,0.1713749,-0.09607303,-0.02333399,-0.003380245,-0.004,0,-0.001618066,0.2360149,0.007216887,-0.02347592,0.000793457,0,0,0,0,13.43363,0.0002562891,-0.0111619,0.02169345,0.4950386,0.6375372,0.03999376,72545,0.5109934,170.5,2.256324
8,1789603971.339,-0.03218804,0.1844165,-0.1007337,-0.02468269,-0.003458514,-0.004,0,-0.001578277,0.2747301,0.009160344,-0.02356157,0.001180013,0,0,0,0,13.4948,0.0003844336,-0.01112486,0.02120395,0.4943346,0.5025465,0.03889227,90780,0.5128417,196.4,3.001451
9,1789603971.892,-0.03793281,0.2263332,-0.1248429,-0.0302781,-0.003922474,-0.004,0,-0.001903046,0.2958854,0.007710896,-0.02758726,0.005045573,0,0,0,0,13.55505,0.0003844336,-0.01062443,0.02167861,0.5156263,0.5086758,0.04000616,89581,0.5145494,217.6,2.673923
10,1789603972.700,-0.04267251,0.2506665,-0.1242788,-0.03566437,-0.003974864,-0.004,0,-0.001919894,0.3561637,0.009385146,-0.03092915,0.01204427,0,0,0,0,13.62541,0.0003844336,-0.01076041,0.02046517,0.4911765,0.7644234,0.03936768,61150,0.5166588,237.2647,3.165073
11,1789603973.283,-0.04677813,0.2751248,-0.1419027,-0.03701459,-0.004456467,-0.004,0,-0.002073713,0.3480056,0.006870775,-0.02981676,0.02482096,0,0,0,0,13.68829,0.0008649756,-0.009925503,0.01984093,0.494469,0.5373993,0.04114079,84958,0.5185631,256.7164,3.494651
12,1789603973.866,-0.05103765,0.2992914,-0.1467016,-0.04321576,-0.004316424,-0.004,0,-0.002295994,0.4322288,0.01308233,-0.03456344,0.04315186,0,0,0,0,13.77049,0.0008649756,-0.01041851,0.01782405,0.5373529,0.5392487,0.03999472,84855,0.5209773,276.95,3.903513
13,1789603974.446,-0.0553433,0.3234581,-0.1548515,-0.0469474,-0.004406525,-0.004,0,-0.002489808,0.4930914,0.01428833,-0.03580787,0.06422933,0,0,0,0,13.82764,0.0005766504,-0.01213936,0.02194364,0.5123355,0.5369856,0.03866816,85384,0.52223,310.65,4.67866
14,1789603975.023,-0.0595389,0.347333,-0.1680654,-0.04958736,-0.00465336,-0.004,0,-0.002539155,0.5125661,0.01666122,-0.03708241,0.09057617,0,0,0,0,13.8703,0.0002562891,-0.01240215,0.019626,0.5105523,0.5326898,0.03882194,86003,0.5233604,341.27,5.26433
15,1789603975.607,-0.06383915,0.3714164,-0.1697073,-0.05512541,-0.004748543,-0.004,0,-0.002833541,0.5553383,0.01688721,-0.04083268,0.1244507,0,0,0,0,13.91757,0.0003844336,-0.011458,0.01982872,0.502584,0.5400722,0.03921032,84849,0.5250856,367.09,5.85172
16,1789603976.189,-0.06823234,0.3954581,-0.1808625,-0.05976745,-0.004963103,-0.004,0,-0.003016176,0.6110215,0.0192163,-0.04395857,0.1622518,0,0,0,0,13.97211,0.0002562891,-0.01138812,0.01992597,0.5104909,0.5371718,0.0402,85130,0.5263611,393.43,6.382065
17,1789603976.763,-0.07255676,0.4194168,-0.1810646,-0.06814197,-0.004954265,-0.004,0,-0.00333419,0.6266829,0.01981462,-0.04876783,0.1939087,0,0,0,0,14.00301,0.0002562891,-0.0116234,0.01998892,0.5007718,0.5311148,0.03868103,86262,0.527201,413.35,6.786586
