step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1789986354.418,-0.1178957,-0.1381712,0.366001,-0.02053305,-0.001986143,-0.07499997,-0.04445522,-0.005342546,0,-0.03014943,-0.0005084524,-0.009826668,-0.0005842869,0.2570329,-0.009235466,-0.01061492,-0.000446108,-0.01569896,-0.02116179,-0.01832188,0.1911166,0.04133143,-0.001449592,-0.0009843952,0.09014563,0.3084822,0.299358,0.005332445,0.0001316872,25.5422,0.0150004,0.002029198,0.003903909,0.003734849,0.01494612,0.25,0.1,0,0.0001316872,-0.02548846,0.1916201,0.9818988,1.571764,38495,1.000379,248.11,19.90703
11,1789986356.960,-0.1190986,-0.1282631,0.3685007,-0.02078652,-0.002047975,-0.08833335,-0.03735297,-0.005478486,0,-0.02726844,-0.0005159426,-0.004126668,-0.0002026346,0.3192996,-0.009934455,-0.005514584,0,-0.01278901,-0.01860297,-0.01743706,0.1902871,0.07150112,-0.001383396,-0.001088629,0.09196298,0.2533602,0.2784525,0.005239198,0.0004444444,25.53889,0.0136528,0.001714027,0.003245553,0.003454019,0.009267156,0,0.2,0,0.0004444444,-0.01950148,0.2107342,0.9713714,1.564429,38766,0.9994811,264.92,21.89835
12,1789986359.534,-0.1498129,-0.17321,0.4680006,-0.02671762,-0.002100799,-0.07374998,-0.05301045,-0.007183022,0,-0.03784978,-0.0006553141,-0.01919,-0.0009147819,0.2897369,-0.01120489,-0.02088897,-0.008562637,-0.01789645,-0.02351103,-0.01861379,0.2461815,0.006931645,-0.00181253,-0.001258662,0.1173219,0.3408502,0.3243434,0.005244539,0.0002962963,25.52791,0.01295125,0.001547627,0.002943575,0.003215506,0.01543162,0.15,0.15,0,0.0002962963,-0.024286,0.2044794,1.004296,1.562495,38298,0.999616,280.42,22.47932
13,1789986362.080,-0.15552,-0.1731108,0.4843504,-0.03075361,-0.002392338,-0.06599998,-0.05410621,-0.007152027,-6.137051e-05,-0.03917347,-0.0006797087,-0.01269,-0.0008215738,0.3456945,-0.01243966,-0.01419251,-0.0002645452,-0.01841568,-0.02635793,-0.02128884,0.2533322,0.05305124,-0.001897451,-0.00134599,0.1155427,0.3538391,0.4056861,0.00531782,0.0006666667,25.5321,0.01223951,0.001402006,0.002561057,0.002958629,0.01163849,0,0.15,0,0.0006666667,-0.02259232,0.180693,0.9923341,1.547299,38707,0.9996508,308.18,24.80358
14,1789986364.654,-0.152537,-0.1638886,0.4736251,-0.02590909,-0.002965293,-0.1524999,-0.05279356,-0.006900575,0,-0.03682194,-0.0006590695,-0.018495,-0.0003846746,0.3113744,-0.01200849,-0.01923784,-0.0005479945,-0.01879645,-0.02953709,-0.01848221,0.2446115,0.01201148,-0.001806451,-0.001390634,0.1167098,0.3253291,0.3461418,0.005287735,0.0001975309,25.53126,0.01149639,0.001257723,0.002170917,0.002780014,0.01530561,0.2,0.1,0,0.0001975309,-0.0262353,0.1650332,0.9842019,1.584112,38275,0.9996487,320.25,26.3259
15,1789986367.213,-0.1437434,-0.1544594,0.4394999,-0.02739366,-0.002582137,-0.058125,-0.05093844,-0.006572164,0,-0.03639866,-0.000612097,-0.0145175,-0.0006874848,0.3155186,-0.01135365,-0.0142364,-0.0008106233,-0.01737862,-0.02795631,-0.02056163,0.2278822,0.03852624,-0.00174462,-0.00125635,0.1098472,0.3238239,0.3528007,0.00532768,0.0006666667,25.52987,0.0108772,0.001052043,0.001861409,0.002636068,0.01186169,0,0.2,0,0.0006666667,-0.02283435,0.171038,0.9630206,1.589655,38510,0.9996243,339.32,27.20495
16,1789986369.755,-0.1797902,-0.1951149,0.5496423,-0.03279891,-0.003177821,-0.1485714,-0.06072377,-0.008076556,0,-0.04268134,-0.0007677989,-0.01390858,-0.0006621884,0.4046068,-0.01428831,-0.01567667,0,-0.02028036,-0.03160594,-0.02090167,0.2839639,0.05871853,-0.00209569,-0.001603708,0.1451945,0.3756526,0.4991262,0.005156084,0.0001975309,25.53337,0.01042472,0.0009458239,0.001790476,0.002532341,0.0157415,0.2,0.1,0,0.0001975309,-0.02594494,0.1713124,0.9631824,1.572669,38765,0.9999818,366.74,29.77403
17,1789986372.314,-0.2023276,-0.224464,0.6244993,-0.03634734,-0.003871228,-0.1608333,-0.07018854,-0.008972937,0,-0.04933142,-0.0008724382,-0.02392667,-0.0008290661,0.4157996,-0.01577715,-0.02562796,-0.002807919,-0.0247866,-0.03969074,-0.02361395,0.3223211,0.01872761,-0.002467992,-0.00181875,0.1685452,0.389295,0.4646996,0.005229672,0.0004444444,25.53564,0.009881628,0.0007931736,0.001420784,0.002437998,0.009744624,0,0.15,0,0.0004444444,-0.02111854,0.1491533,0.9651389,1.588174,38500,0.999836,396.3,31.74649
18,1789986374.883,-0.1742212,-0.1906473,0.5329278,-0.03387903,-0.003471648,-0.1107143,-0.06553363,-0.007813992,-0.002162411,-0.04545091,-0.0007434778,-0.01628572,-0.0006788512,0.3742428,-0.0139234,-0.01810891,-0.003673673,-0.02198869,-0.03559531,-0.02303471,0.2745591,0.0424568,-0.002103369,-0.001533173,0.1398574,0.3899474,0.4499629,0.005197067,0.0006666667,25.52748,0.009453819,0.0006888711,0.001188467,0.002379415,0.01300306,0,0.1,0,0.0006666667,-0.02567969,0.13806,0.9730935,1.588835,38371,0.9995407,404.08,31.35271
19,1789986377.444,-0.2403582,-0.2448272,0.7199984,-0.04853567,-0.002780329,-0.005,-0.08881268,-0.01019407,0,-0.06096669,-0.001009331,-0.03826001,-0.001915723,0.4438995,-0.01956792,-0.03504495,0,-0.02581917,-0.02981236,-0.02096702,0.3827838,0,-0.002755858,-0.001922475,0.1938157,0.593147,0.5422468,0.0050037,0.0004444444,25.5057,0.009066721,0.0006659573,0.001102724,0.00229434,0.01554682,0.1,0.1,0,0.0004444444,-0.02624606,0.1413066,0.9643919,1.582893,38591,0.9976623,427.72,35.19267
