attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,62,1.24,stand,0.19478,0.19478,0.03,-22.38,5.65,0.3284,0,0.0,0.0
0,63,1.26,stand,0.19143,0.19143,0.03,-21.41,5.67,0.328,0,0.0,0.0
0,64,1.28,stand,0.18846,0.18846,0.03,-20.5,5.69,0.3275,0,0.0,0.0
0,65,1.3,stand,0.18589,0.18589,0.03,-19.66,5.69,0.3272,0,0.0,0.0
0,66,1.32,stand,0.18373,0.18373,0.03,-18.9,5.66,0.3269,0,0.0,0.0
0,67,1.34,stand,0.18198,0.18198,0.03,-18.22,5.6,0.3267,0,0.0,0.0
0,68,1.36,stand,0.18063,0.18063,0.03,-17.62,5.39,0.3265,0,0.0,0.0
0,69,1.38,stand,0.17971,0.17971,0.03,-17.1,5.13,0.3263,0,0.0,0.0
0,70,1.4,stand,0.17918,0.17918,0.03,-16.65,4.86,0.3261,0,0.0,0.0
0,71,1.42,stand,0.17971,0.17971,0.03,-16.76,4.6,0.3259,0,0.0,0.0
0,72,1.44,stand,0.18259,0.18259,0.03,-17.81,4.36,0.3258,0,0.0,0.0
0,73,1.46,stand,0.18657,0.18657,0.03,-18.98,4.2,0.3258,0,0.0,0.0
0,74,1.48,stand,0.19083,0.19083,0.03,-20.13,4.12,0.3258,0,0.0,0.0
0,75,1.5,stand,0.19497,0.19497,0.03,-21.16,4.09,0.3259,0,0.0,0.0
0,76,1.52,stand,0.19881,0.19881,0.03,-22.06,4.11,0.3261,0,0.0,0.0
0,77,1.54,stand,0.20204,0.20204,0.03,-22.71,4.15,0.3264,0,0.0,0.0
0,78,1.56,stand,0.20414,0.20414,0.03,-23.11,4.19,0.3268,0,0.0,0.0
0,79,1.58,stand,0.20587,0.20587,0.03,-23.49,4.23,0.3271,0,0.0,0.0
0,80,1.6,stand,0.208,0.208,0.03,-24.01,4.26,0.3275,0,0.0,0.0
0,81,1.62,stand,0.21039,0.21039,0.03,-24.56,4.28,0.3279,0,0.0,0.0
0,82,1.64,stand,0.21254,0.21254,0.03,-25.01,4.31,0.3283,0,0.0,0.0
0,83,1.66,stand,0.21436,0.21436,0.03,-25.38,4.34,0.3286,0,0.0,0.0
0,84,1.68,stand,0.21581,0.21581,0.03,-25.66,4.37,0.329,0,0.0,0.0
0,85,1.7,stand,0.21674,0.21674,0.03,-25.82,4.38,0.3292,0,0.0,0.0
0,86,1.72,stand,0.21716,0.21716,0.03,-25.85,4.39,0.3295,0,0.0,0.0
0,87,1.74,stand,0.21711,0.21711,0.03,-25.76,4.39,0.3297,0,0.0,0.0
