step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789611108.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06666,1e-05,0.0219597,0.01101813,0,0.5516863,0.07794213,78065,0.500082,,
1,1789611108.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06685,2.25e-05,-0.004275264,0.007692204,0,0.4880023,0.04179502,92775,0.5000621,,
2,1789611109.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06627,5.0625e-05,-0.007723062,0.009488423,0,0.4978049,0.04019284,91360,0.5000556,,
3,1789611109.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07524,0.0003844336,-0.01019001,0.01114512,0,0.5037167,0.03937173,90504,0.5006294,,
4,1789611110.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10568,0.0008649756,-0.01189911,0.01086929,0,0.5013688,0.03985715,90816,0.5014338,,
5,1789611111.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11087,0.0005766504,-0.01297634,0.0108649,0,0.5085647,0.03880787,89796,0.5012542,,
6,1789611111.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10359,0.0008649756,-0.01305192,0.01159924,0,0.5023789,0.03982854,90651,0.5010743,,
7,1789611112.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10536,0.0008649756,-0.01273455,0.0128195,0,0.4983025,0.04097462,91144,0.5012633,,
8,1789611112.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09338,0.0008649756,-0.01145633,0.01310329,0,0.5212057,0.04046011,87511,0.5004924,,
9,1789611113.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0699,0.001297463,-0.01023985,0.01215392,0,0.5128016,0.04018712,88884,0.5002875,,
10,1789611113.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06259,0.0008649756,-0.01159005,0.01259391,0,0.5090203,0.03886938,89711,0.4999669,,
11,1789611114.564,-0.1106963,0.1379999,-0.07168644,-0.0132764,-0.002242627,-0.002,0,-0.0009401449,0.1220161,0.00167922,-0.01402216,0.0002441406,0,0,0,0,13.05925,0.001297463,-0.01182908,0.01256467,0.237178,0.6842468,0.04048276,67821,0.4999554,277,0.936623
12,1789611115.266,-0.2379743,0.2902081,-0.1392544,-0.02819182,-0.005437834,-0.004,0,-0.002087225,0.2840592,0.004107032,-0.02708301,0.0008951823,0,0,0,0,13.05562,0.0008649756,-0.01255347,0.01236113,0.519219,0.6575451,0.0404551,70418,0.4999946,294.3333,1.327471
13,1789611115.827,-0.2664012,0.3217081,-0.1505141,-0.02703515,-0.006014391,-0.004,0,-0.002140454,0.3983038,0.004656326,-0.02547118,0.003255208,0,0,0,0,13.04161,0.0008649756,-0.0124056,0.01363735,0.513782,0.5168552,0.04037023,88208,0.4990392,315.4,1.987909
14,1789611116.372,-0.2792029,0.3359998,-0.1441029,-0.02756712,-0.005276581,-0.004,0,-0.002219122,0.533988,0.007991279,-0.02795003,0.004964193,0,0,0,0,13.00499,0.0005766504,-0.01245361,0.01372754,0.5611215,0.5001087,0.04037237,90941,0.4983546,319.1818,2.177497
15,1789611116.920,-0.3060305,0.3667497,-0.1763616,-0.03310109,-0.006669473,-0.004,0,-0.002431507,0.4630947,0.01067681,-0.02582385,0.006062826,0,0,0,0,12.98659,0.0005766504,-0.01246593,0.01329232,0.5541534,0.5056262,0.03920817,90214,0.4978657,337.625,2.549239
16,1789611117.747,-0.325308,0.394208,-0.1884953,-0.03973927,-0.0063172,-0.004,0,-0.002804485,0.4972993,0.008737782,-0.0363553,0.01092529,0,0,0,0,12.98067,0.0003844336,-0.01046631,0.01490261,0.5123746,0.7824202,0.04069948,59714,0.4980739,365.8333,2.935532
17,1789611118.318,-0.3453151,0.4191668,-0.1872519,-0.04563103,-0.00625077,-0.004,0,-0.002704594,0.5582826,0.02149127,-0.03439155,0.01953125,0,0,0,0,12.98148,0.0008649756,-0.01165346,0.01520887,0.454159,0.5279834,0.03933239,86639,0.4976817,390.4528,3.312878
18,1789611118.885,-0.3648271,0.4429173,-0.206119,-0.05038489,-0.006580748,-0.004,0,-0.003015349,0.5682987,0.01607968,-0.03932308,0.03198242,0,0,0,0,12.97086,0.0005766504,-0.01094336,0.01541327,0.4520987,0.5233035,0.0392468,87373,0.4977321,405.9733,3.366814
19,1789611119.437,-0.382351,0.4670846,-0.2145052,-0.06203032,-0.006479308,-0.004,0,-0.00304411,0.6015159,0.02184414,-0.04234756,0.04510498,0,0,0,0,12.95981,0.0008649756,-0.01075535,0.0156234,0.4537178,0.5094779,0.03901243,89613,0.4969766,435.64,3.636288
20,1789611119.986,-0.4014399,0.4908765,-0.207365,-0.07801625,-0.006583059,-0.003167539,0,-0.003019435,0.5382962,0.01878273,-0.04168492,0.0618693,0,0,0,0.1942953,12.92298,0.0008649756,-0.01149325,0.01363153,0.3684427,0.5043755,0.04013371,90268,0.4961981,500,7.243539
21,1789611120.488,-0.4095329,0.5000009,-0.205786,-0.04542249,-0.00490176,-4.188482e-06,0,-0.002610008,0.8715357,0.03921839,-0.02072669,0.06835938,0,0,0,0.9326172,12.91595,0.0003844336,-0.01082544,0.02702105,0.09781644,0.4591103,0.03972888,98532,0.4962937,500,7.243539
22,1789611120.992,-0.4095329,0.5000009,-0.205786,-0.04542249,-0.00490176,-4.188482e-06,0,-0.002610008,0.8715357,0.03921839,-0.02072669,0.06835938,0,0,0,0.9326172,12.91351,0.0008649756,-0.009989758,0.01039162,0.09781644,0.4611712,0.03889251,98291,0.4961221,500,7.243539
23,1789611121.503,-0.4095329,0.5000009,-0.205786,-0.04542249,-0.00490176,-4.188482e-06,0,-0.002610008,0.8715357,0.03921839,-0.02072669,0.06835938,0,0,0,0.9326172,12.8971,0.0005766504,-0.01079655,0.008233113,0.09781644,0.4667313,0.04066896,96870,0.49541,500,7.243539
24,1789611122.011,-0.4095329,0.5000009,-0.205786,-0.04542249,-0.00490176,-4.188482e-06,0,-0.002610008,0.8715357,0.03921839,-0.02072669,0.06835938,0,0,0,0.9326172,12.87402,0.0005766504,-0.01186952,0.007991382,0.09781644,0.4629467,0.04131818,97472,0.4950006,500,7.243539
25,1789611122.534,-0.4095329,0.5000009,-0.205786,-0.04542249,-0.00490176,-4.188482e-06,0,-0.002610008,0.8715357,0.03921839,-0.02072669,0.06835938,0,0,0,0.9326172,12.86695,0.0002562891,-0.01298603,0.008908114,0.09781644,0.4790661,0.0411973,94475,0.4949289,500,7.243539
26,1789611123.058,-0.4095329,0.5000009,-0.205786,-0.04542249,-0.00490176,-4.188482e-06,0,-0.002610008,0.8715357,0.03921839,-0.02072669,0.06835938,0,0,0,0.9326172,12.86118,0.0001139063,-0.01169749,0.009039258,0.09781644,0.4785278,0.0405643,94688,0.4947472,500,7.243539
27,1789611123.565,-0.4095329,0.5000009,-0.205786,-0.04542249,-0.00490176,-4.188482e-06,0,-0.002610008,0.8715357,0.03921839,-0.02072669,0.06835938,0,0,0,0.9326172,12.84935,0.0001139063,-0.009881579,0.00965567,0.09781644,0.4654849,0.03874898,97478,0.4943542,500,7.243539
28,1789611124.074,-0.4095329,0.5000009,-0.205786,-0.04542249,-0.00490176,-4.188482e-06,0,-0.002610008,0.8715357,0.03921839,-0.02072669,0.06835938,0,0,0,0.9326172,12.83004,0.0001139063,-0.01070859,0.01018081,0.09781644,0.4637256,0.04140997,97304,0.4937742,500,7.243539
