step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
28,0.56,0.214382,0.0461562,0.0120321,0.156194,0.297574,0,8.56179,0.145165,0.428757,-0.874764,0.330958,-0.041062,0.5,0.501774,0,0.253945,-0.0839773,0.574297,7.29872,28.3166
29,0.58,0.190727,0.055001,0.0120198,0.123707,0.325749,0,9.95105,0.135478,0.437661,0.762581,0.373419,-0.0473325,0.5,0.497255,0,0.285502,-0.0656808,0.604801,9.64145,13.7851
30,0.6,0.174869,0.0604792,0.0346879,0.0797017,0.346237,0,10.4602,0.0361547,0.0140679,-1.06114,0.286669,-0.0619567,0.5,0.492736,0,0.289321,-0.0326976,0.646817,13.0622,12.6351
31,0.62,0.249784,0.0770445,0.0719852,0.100754,0.323647,0,10.9634,0.0105308,-0.1089,-0.706546,0.172106,-0.029633,0.5,0.488216,0,0.296098,-0.0165995,0.623772,16.669,10.1363
32,0.64,0.288169,0.0535017,0.0686194,0.166048,0.302916,0,12.1012,0.194742,-0.0347959,0.387174,0.290233,0.0132503,0.5,0.483697,0,0.285364,-0.0221409,0.556479,19.9629,15.2155
33,0.66,0.316202,0.0653237,0.0808337,0.170045,0.309766,0,12.8625,0.303117,-0.330319,0.140308,0.109087,0.066916,0.5,0.479177,0,0.308432,-0.0310826,0.55048,23.8695,20.4733
34,0.68,0.191617,0.0465531,0.0239222,0.121142,0.331176,0,12.632,0.273827,0.0616431,0.0345155,0.260214,0.0443208,0.5,0.474658,0,0.306117,-0.108609,0.597375,27.0562,14.0742
35,0.7,0.144837,0.0690135,0.0184201,0.0574033,0.342368,0,11.7855,0.00233353,-0.159875,-1.17626,0.20833,0.0532421,0.5,0.470138,0,0.318832,-0.18665,0.659101,30.1174,14.547
36,0.72,0.150645,0.0321222,0.0745636,0.0439589,0.33637,0,9.15365,-0.0146118,0.0312714,-0.0737111,0.195997,0.0418573,0.5,0.465619,0,0.275026,-0.26018,0.670529,31.6767,12.4115
37,0.74,0.102612,0.0136441,0.0851514,0.00381613,0.332722,0,7.07198,-0.0513696,0.0146695,-0.159611,0.0820759,-0.0148626,0.5,0.461099,0,0.22424,-0.276896,0.716283,32.2406,14.574
38,0.76,0.227669,0.0499227,0.100713,0.0770329,0.340582,0,7.4432,-0.220893,0.27786,0.586217,0.0870747,-0.0675403,0.5,0.45658,0,0.191731,-0.270848,0.787473,31.508,14.5147
39,0.78,0.202214,0.0199686,0.0529387,0.129307,0.333577,0,9.88412,-0.418866,0.0382876,-0.776981,0.00633204,-0.0479692,0.5,0.452061,0,0.202504,-0.206141,0.837717,29.7374,11.7843
40,0.8,0.150454,0.0288381,0.0412605,0.0803553,0.320979,0,11.1766,-0.469513,0.189116,0.66867,0.0390276,-0.0328112,0.5,0.447541,0,0.178257,-0.160552,0.78673,27.5047,8.194
41,0.82,0.108713,0.00994559,0.0182386,0.0805286,0.320344,0,9.53496,-0.303043,-0.0639976,-0.379334,-0.054972,-0.0391099,0.5,0.443022,0,0.175675,-0.080232,0.784864,24.9793,10.0718
42,0.84,0.168692,0.0403895,0.0243469,0.103956,0.325236,0,7.55092,-0.0419358,0.211842,-0.505275,0.0370087,-0.0614319,0.5,0.438502,0,0.135355,-0.0679881,0.806248,22.0406,16.506
43,0.86,0.202439,0.043621,0.0155373,0.14328,0.319148,0,7.3681,0.0992759,-0.112516,1.15804,0.00792293,0.00289556,0.5,0.433983,0,0.142055,-0.0711329,0.843524,19.1001,13.7232
44,0.88,0.195558,0.0347408,0.0314702,0.129347,0.304256,0,9.21555,0.193477,0.0707378,0.199128,0.0686891,0.0464845,0.5,0.429463,0,0.175046,-0.10921,0.827539,15.956,12.4835
45,0.9,0.127389,0.0158401,0.0328263,0.0787228,0.309504,0,11.4869,0.0148523,-0.0783292,0.0310177,0.0593146,0.067351,0.5,0.424944,0,0.203032,-0.113539,0.774858,12.7498,15.7391
46,0.92,0.0726462,0.0349894,0.00657369,0.0310831,0.330605,0,12.6929,-0.223054,0.0178806,0.379843,0.056357,0.10256,0.5,0.420425,0,0.252322,-0.0806108,0.725157,9.77935,14.477
47,0.94,0.121746,0.065663,0.0155297,0.0405533,0.32894,0,12.4629,-0.325714,-0.0707365,-0.221187,0.0441485,0.103698,0.5,0.415905,0,0.266996,-0.080879,0.732562,7.30493,12.7947
48,0.96,0.0452311,0.0163842,0.0171046,0.0117422,0.321026,0,12.3451,-0.329461,0.0222086,0.636796,-0.0215796,0.0392872,0.5,0.411386,0,0.202377,-0.0622102,0.701682,8.53381,12.9831
49,0.98,0.00801425,0.000426993,0.004044,0.00354326,0.315549,0,11.4697,-0.393093,0.189435,-0.32676,-0.0438249,0.0156312,0.5,0.406866,0,0.16927,-0.0232733,0.684323,9.06572,5.50294
50,1,0.0557671,0.000604004,0.0246454,0.0305178,0.297968,0,10.6352,-0.217378,0.246238,0.207057,-0.0813927,-0.0201325,0.5,0.402347,0,0.15907,0.0315284,0.655272,8.73063,8.78589
51,1.02,0.121864,0.0142154,0.0565204,0.0511284,0.287757,0,9.88579,-0.0317702,0.188049,-0.00257028,-0.105358,-0.0238395,0.5,0.397827,0,0.177967,0.0857686,0.63258,8.07877,14.2927
52,1.04,0.183261,0.044999,0.0900805,0.0481813,0.288813,0,9.19642,0.220626,0.0660153,0.322912,-0.110081,-0.038695,0.5,0.393308,0,0.225931,0.129074,0.633442,7.306,20.8593
53,1.06,0.145666,0.0445008,0.075821,0.0253446,0.293731,0,7.64334,0.255587,-0.0270943,0.10902,-0.0766276,-0.0308468,0.5,0.388788,0,0.248428,0.11465,0.654189,6.90791,20.2857
54,1.08,0.0772396,0.0400347,0.0318386,0.00536633,0.295849,0,6.98634,0.192798,-0.171504,0.00259483,-0.0581823,-0.00266501,0.5,0.384269,0,0.257584,0.0566628,0.682807,6.87907,20.6163
55,1.1,0.0799002,0.0388818,0.00766168,0.0333567,0.291789,0,7.48798,-0.012628,-0.238058,0.0326554,-0.0553611,-0.00331457,0.5,0.37975,0,0.256369,0.0163372,0.708701,7.27258,20.4646
56,1.12,0.0557006,0.00682515,0.0116112,0.0372642,0.299247,0,8.7862,-0.171036,-0.0875732,0.380424,-0.0497335,-0.0315399,0.5,0.37523,0,0.217614,5.69336e-05,0.710508,8.0256,15.2085
57,1.14,0.0859901,0.0392348,0.0156606,0.0310947,0.314155,0,8.14886,-0.226096,0.0651858,0.0619838,-0.0846414,-0.0671466,0.5,0.370711,0,0.159702,0.0082258,0.702234,8.27698,10.6294
58,1.16,0.0685248,0.0411408,0.00702557,0.0203585,0.303381,0,7.46399,-0.292827,0.241038,-0.429039,-0.0516186,-0.0762314,0.5,0.366191,0,0.143466,0.0451985,0.648672,7.70092,6.12372
59,1.18,0.12072,0.0225334,0.0487168,0.0494695,0.279983,0,5.57869,-0.220183,0.0446073,0.620713,-0.0929316,-0.0498423,0.5,0.361672,0,0.196011,0.106172,0.61745,6.24467,12.96
60,1.2,0.179275,0.052128,0.0773787,0.0497682,0.267975,0,1.57529,0.128175,0.0654548,-0.34909,-0.0912445,-0.078233,0.5,0.357152,0,0.23026,0.144635,0.615036,5.84077,23.6585
61,1.22,0.124453,0.0369098,0.0798595,0.00768352,0.272298,0,0.639311,0.333794,-0.0887445,-0.126389,-0.0914025,-0.102416,0.5,0.352633,0,0.228982,0.130753,0.655002,6.12632,27.063
62,1.24,0.0905707,0.0191399,0.0301247,0.041306,0.291208,0,1.77961,0.384588,-0.119677,0.252406,-0.0530934,-0.0770751,0.5,0.348114,0,0.235167,0.0668096,0.701869,6.5045,20.7742
63,1.26,0.0876402,0.00823471,0.00913882,0.0702667,0.303871,0,4.67072,0.246455,-0.257493,-0.325597,-0.0155779,-0.0881347,0.5,0.343594,0,0.235152,-0.00102003,0.728703,6.51837,14.4897
64,1.28,0.0892194,0.0325542,0.0498099,0.00685531,0.294378,0,4.3944,0.0242727,-0.162723,-0.642004,0.0560076,-0.0486917,0.5,0.339075,0,0.186954,-0.0753858,0.663163,5.16923,7.30722
65,1.3,0.130697,0.028613,0.0265711,0.0755132,0.27994,0,4.24824,0.0465208,-0.227096,0.0241089,0.00105366,-0.0313767,0.5,0.334555,0,0.179454,-0.0811258,0.578661,4.46335,10.183
66,1.32,0.112647,0.00271802,0.0178493,0.0920801,0.288723,0,4.33373,0.0766674,0.0924494,-0.314135,0.0615177,-0.0408254,0.5,0.330036,0,0.204705,-0.0832488,0.559958,4.84979,11.6707
67,1.34,0.047012,0.0207243,0.0129868,0.0133008,0.308477,0,5.15594,0.132848,0.0943675,0.207026,0.00752316,-0.077189,0.5,0.325516,0,0.237094,-0.0795353,0.636598,5.40581,6.12926
68,1.36,0.0465756,0.0158876,0.00649233,0.0241957,0.309876,0,6.14642,-0.0125968,0.13795,-0.0327623,0.00987629,-0.0514523,0.5,0.320997,0,0.244291,-0.049618,0.671952,5.73359,4.91656
69,1.38,0.0421052,0.000518486,0.00792027,0.0336664,0.295912,0,6.20151,-0.117083,0.0539636,0.338744,-0.0277491,-0.016388,0.5,0.316478,0,0.232775,-0.049145,0.679277,7.01677,11.3922
70,1.4,0.0682693,0.0146469,0.0221839,0.0314384,0.291533,0,4.98317,-0.204987,0.0183584,-0.135234,-0.00754979,0.00956687,0.5,0.311958,0,0.209564,-0.0516797,0.6749,7.78173,14.0879
71,1.42,0.0567686,0.0160358,0.00757728,0.0331556,0.298337,0,2.4863,-0.143581,-0.160435,0.172848,0.00603626,0.00913181,0.5,0.307439,0,0.193242,-0.0207696,0.674465,8.13028,13.5825
72,1.44,0.0843974,0.0319686,0.0156109,0.0368178,0.30435,0,0.621436,-0.0363835,-0.19562,-0.0526326,0.0441918,0.000522862,0.5,0.302919,0,0.166129,-0.0195964,0.675972,8.06762,8.84948
73,1.46,0.121072,0.0556788,0.0126343,0.052759,0.293697,0,0.668891,0.0950718,-0.154171,-0.0845499,0.0737852,0.0325734,0.5,0.2984,0,0.137001,-0.0638739,0.689755,7.4092,8.55845
74,1.48,0.144861,0.049064,0.0353544,0.0604426,0.282237,0,3.03427,0.155304,0.0463006,0.0525803,0.0734493,0.084857,0.5,0.29388,0,0.150864,-0.0942909,0.695277,5.62306,14.6381
75,1.5,0.095649,0.0237557,0.0380293,0.0338639,0.290439,0,5.20814,0.166244,0.237216,-0.57286,0.108007,0.104312,0.5,0.289361,0,0.189671,-0.101561,0.666534,5.38777,13.3729
76,1.52,0.0329238,0.0109197,0.00792329,0.0140808,0.309183,0,6.15254,0.0707865,0.126244,0.658103,0.0379051,0.0935224,0.5,0.284841,0,0.220936,-0.0632949,0.616422,5.46813,8.49756
77,1.54,0.0778613,0.0331805,0.0069723,0.0377085,0.311105,0,6.05416,-0.0736158,0.0482377,-0.0658294,0.00304782,0.0949391,0.5,0.280322,0,0.274145,-0.0331673,0.590624,5.53464,11.4936
78,1.56,0.12415,0.0324467,0.000792455,0.0909108,0.297373,0,5.64634,-0.113048,-0.037757,-0.194975,0.00748688,0.0867872,0.5,0.275803,0,0.267733,-0.0370267,0.535249,5.61656,9.75578
79,1.58,0.129425,0.00392257,0.00115789,0.124345,0.29244,0,3.60615,-0.126124,-0.11776,0.317069,-0.020786,0.0423998,0.5,0.271283,0,0.230202,-0.0356207,0.499639,5.61955,9.40699
80,1.6,0.109697,0.006065,0.00379879,0.0998329,0.299682,0,0.125989,-0.104656,-0.0295795,-0.352707,-0.0174641,-0.0133112,0.5,0.266764,0,0.221616,-0.032551,0.521973,5.47572,9.00767
81,1.62,0.0608231,0.0145949,0.00726918,0.038959,0.299796,0,1.12662,-0.0596959,0.0322921,0.0755339,-0.00907211,-0.0419086,0.5,0.262244,0,0.223558,-0.0439785,0.580665,5.6339,9.12012
82,1.64,0.00610945,0.000259608,0.00116575,0.00468409,0.289655,0,2.04728,0.0323853,0.0213622,-0.0298784,0.00105757,-0.0463763,0.5,0.257725,0,0.211049,-0.0330826,0.622125,5.59681,9.58926
83,1.66,0.0578146,0.00978911,0.00857765,0.0394478,0.287849,0,2.71773,0.0752286,-0.000681784,0.322946,0.00526673,-0.0367737,0.5,0.253205,0,0.229201,-0.0215006,0.654702,7.60072,10.4411
84,1.68,0.0902044,0.0379154,0.0143897,0.0378993,0.297969,0,2.24895,0.119894,-0.0444592,-0.0409591,0.0121375,-0.0256122,0.5,0.248686,0,0.190725,-0.0444403,0.650965,8.52638,8.20992
85,1.7,0.0827711,0.0168644,0.00354934,0.0623574,0.301293,0,1.30394,0.035849,-0.12343,-0.281662,0.0252181,0.00253584,0.5,0.244167,0,0.210224,-0.0486428,0.673231,9.38707,6.01245
86,1.72,0.11189,0.0228532,0.0107496,0.0782868,0.290921,0,0.519525,-0.0309535,-0.0178752,0.207629,0.0481796,0.0307725,0.5,0.239647,0,0.203492,-0.0584474,0.686967,9.4253,8.55067
87,1.74,0.0850678,0.0450341,0.0141115,0.0259222,0.283293,0,0.519857,-0.153078,0.0300488,0.115173,0.00839942,0.0463466,0.5,0.235128,0,0.177934,-0.0527602,0.632406,8.57042,10.3837
88,1.76,0.0603571,0.022647,0.00892067,0.0287894,0.286337,0,0.778495,-0.167278,0.107496,-0.449819,0.00926922,0.0588398,0.5,0.230608,0,0.187847,-0.0257304,0.575495,7.83729,8.6408
89,1.78,0.0583432,0.00789364,0.0190528,0.0313967,0.28956,0,1.6005,-0.0342062,0.040727,0.345366,0.0200616,0.0289112,0.5,0.226089,0,0.214795,-0.00763272,0.570687,7.97886,9.84342
90,1.8,0.081452,0.00340088,0.0425299,0.0355213,0.28855,0,1.6619,0.111005,-0.102966,0.157779,0.0272996,0.0152907,0.5,0.221569,0,0.210434,0.0179354,0.564359,8.51367,12.3321
91,1.82,0.0159758,0.0121916,0.00297257,0.000811636,0.284636,0,2.32256,0.188536,-0.127923,0.00538425,0.0517832,0.0178166,0.5,0.21705,0,0.211611,-0.0366708,0.596863,9.38437,9.88806
92,1.84,0.111514,0.0210797,0.037959,0.0524752,0.283465,0,0.892906,0.177489,-0.0842612,-0.270223,0.0329698,0.0331188,0.5,0.212531,0,0.209627,-0.0916031,0.647942,9.84892,9.17053
93,1.86,0.0676194,0.028005,0.0239505,0.0156639,0.287891,0,0.493219,0.00794267,0.0838156,-0.00891661,0.0502003,0.0483279,0.5,0.208011,0,0.207581,-0.0852661,0.608921,9.15525,10.9693
94,1.88,0.0190467,0.0144098,0.00122168,0.00341523,0.288843,0,0.735981,-0.159028,0.154955,0.124715,0.0344539,0.0629247,0.5,0.203492,0,0.249773,-0.0489518,0.59446,8.4157,8.94969
95,1.9,0.0625184,0.0211217,0.0246613,0.0167354,0.282066,0,0.690157,-0.236287,0.141731,-0.039532,0.014653,0.0497232,0.5,0.198972,0,0.249815,-0.00232917,0.572096,7.69131,7.56476
96,1.92,0.068489,0.0100578,0.0260792,0.0323521,0.276302,0,0.991167,-0.234136,0.0199612,0.157603,-0.00947978,0.0333914,0.5,0.194453,0,0.226621,0.0163261,0.554263,7.2775,10.7144
97,1.94,0.069833,0.00199689,0.0185915,0.0492446,0.278635,0,0.933202,-0.0753664,-0.11665,-0.152038,0.000480303,0.00348434,0.5,0.189933,0,0.202578,0.010967,0.535152,7.49096,13.7539
98,1.96,0.0638841,0.0213539,0.00196782,0.0405625,0.285756,0,1.05473,0.134857,-0.130787,0.0128954,0.0112731,-0.00771545,0.5,0.185414,0,0.181128,-0.0176456,0.541614,8.35433,13.0427
99,1.98,0.0359226,0.0142183,0.0154932,0.00621116,0.286275,0,1.09214,0.306854,-0.0525608,-0.321441,0.0221791,-0.00611269,0.5,0.180895,0,0.198764,-0.0561185,0.586166,9.52326,12.6991
100,2,0.106783,0.0234889,0.0456954,0.0375985,0.283422,0,1.05525,0.263788,0.113761,0.0886616,0.0334164,0.034482,0.5,0.176375,0,0.211064,-0.0947577,0.61533,10.1208,8.20336
101,2.02,0.0988407,0.0166717,0.0357601,0.0464089,0.287114,0,2.98831,0.130761,0.132538,0.266475,-0.0268434,0.0428493,0.5,0.171856,0,0.272515,-0.0781951,0.621914,9.60076,13.662
102,2.04,0.0797566,0.0395212,0.000709867,0.0395255,0.296744,0,5.897,-0.0930415,0.215173,0.259848,-0.0458202,0.0443852,0.5,0.167336,0,0.306793,-0.0214123,0.612804,8.17852,15.533
103,2.06,0.118438,0.058489,0.0331511,0.0267978,0.298639,0,5.52733,-0.312352,0.0855712,-0.491335,-0.0626051,0.0591283,0.5,0.162817,0,0.311752,0.0238594,0.597847,6.57094,11.142
104,2.08,0.0873853,0.0568914,0.0292865,0.00120741,0.28472,0,4.72822,-0.432981,-0.0479724,-0.175424,0.000587767,0.0653578,0.5,0.158297,0,0.277813,0.0256034,0.567611,5.09877,12.1564
105,2.1,0.0726083,0.018845,0.0257645,0.0279988,0.271075,0,3.05735,-0.309291,-0.262509,-0.103757,0.00590378,0.059872,0.5,0.153778,0,0.201578,0.0159896,0.538587,5.47029,14.9202
106,2.12,0.0560888,0.019122,0.00271265,0.0342542,0.276945,0,0.753415,0.0210769,-0.146457,-0.541258,0.0750955,0.0209039,0.5,0.149258,0,0.140554,-0.0309938,0.530098,5.54365,13.2941
107,2.14,0.0431576,0.0211771,0.0049978,0.0169827,0.294515,0,0.349007,0.315166,-0.168592,0.120857,0.0593432,-9.50489e-05,0.5,0.144739,0,0.13756,-0.0643658,0.5791,5.56782,11.2043
108,2.16,0.0746339,0.00208597,0.0248988,0.0476491,0.299844,0,0.675923,0.239371,-0.0542775,0.0781762,0.0974555,-0.00981822,0.5,0.14022,0,0.17526,-0.102474,0.607529,5.33618,7.56392
109,2.18,0.0817453,0.0140633,0.0404377,0.0272443,0.289622,0,2.16574,0.0170184,-0.0607839,0.137897,0.0747763,0.0173457,0.5,0.1357,0,0.19534,-0.123712,0.584886,5.26379,9.95418
110,2.2,0.113853,0.00793231,0.0523786,0.0535423,0.283561,0,4.86962,-0.184173,0.0375646,0.148517,0.0575497,0.0353379,0.5,0.131181,0,0.18767,-0.125114,0.50186,4.95813,17.8037
111,2.22,0.149848,0.00846477,0.0505982,0.0907851,0.285703,0,5.64108,-0.358905,0.103572,-0.0661131,0.0378327,0.0346082,0.5,0.126661,0,0.171946,-0.108696,0.462376,4.91583,19.9992
112,2.24,0.119537,0.0220314,0.00793316,0.0895727,0.291401,0,6.52606,-0.349869,0.13749,0.104544,0.0463223,-0.02005,0.5,0.122142,0,0.165548,-0.044598,0.461347,5.03999,13.4617
113,2.26,0.110787,0.016889,0.0423866,0.051511,0.294512,0,5.77057,-0.228097,0.0205015,0.339609,0.0165823,-0.0662069,0.5,0.117622,0,0.148791,0.0284771,0.497165,5.43579,11.0048
114,2.28,0.0560237,0.0267615,0.0246681,0.00459415,0.293247,0,4.77289,-0.123396,-0.0687383,0.0576531,0.0411847,-0.0758308,0.5,0.113103,0,0.149225,0.0225375,0.541837,6.23185,12.6099
115,2.3,0.0338294,0.00191054,0.00262091,0.0292979,0.294247,0,4.86189,0.00589392,-0.199711,-0.246041,0.0609549,-0.0770353,0.5,0.108584,0,0.111492,-0.0186367,0.573483,7.51134,12.8817
116,2.32,0.0614551,0.0120083,0.00950643,0.0399404,0.297608,0,4.8906,0.14043,-0.166358,-0.42323,0.101883,-0.0456865,0.5,0.104064,0,0.0879394,-0.0529647,0.581879,8.40364,11.9831
117,2.34,0.130134,0.0142771,0.0387865,0.0770702,0.297883,0,3.85534,0.243171,-0.0156383,0.107297,0.112397,-0.011838,0.5,0.0995447,0,0.0927134,-0.100514,0.61676,9.08793,12.7252
118,2.36,0.141262,0.0112599,0.0367113,0.093291,0.299153,0,3.81954,0.20447,0.108364,-0.260545,0.100432,0.0225545,0.5,0.0950252,0,0.110151,-0.108934,0.630732,8.83302,9.57315
119,2.38,0.174333,0.00681658,0.0578977,0.109618,0.304452,0,3.88002,0.0478241,0.197589,0.175258,0.0866397,0.0562214,0.5,0.0905058,0,0.12881,-0.125011,0.64481,7.67803,11.1269
120,2.4,0.139156,0.0233451,0.00254217,0.113269,0.307074,0,5.38667,-0.128508,0.0367639,-0.476556,0.0678316,0.0755416,0.5,0.0859864,0,0.156141,-0.0669023,0.646209,5.31234,10.1357
121,2.42,0.12464,0.0351866,0.0178412,0.0716125,0.299412,0,5.17181,-0.252291,-0.116995,0.0865444,0.052578,0.0984057,0.5,0.0814669,0,0.151232,-0.0397471,0.602301,5.17607,9.80939
122,2.44,0.0201407,0.00612922,0.0022688,0.0117427,0.290346,0,4.20246,-0.250843,-0.163287,0.593269,0.0710236,0.0969995,0.5,0.0769475,0,0.0954335,-0.0407911,0.516693,5.05988,11.1128
123,2.46,0.0672405,0.0131503,0.0354723,0.0186179,0.290363,0,3.5191,-0.0519232,-0.163997,-0.446361,0.090805,0.0626214,0.5,0.072428,0,0.0705453,-0.0846702,0.507564,4.80211,19.7906
124,2.48,0.106547,0.0490962,0.0367904,0.02066,0.290753,0,3.69483,0.176864,-0.0933295,0.280394,0.113864,0.00312651,0.5,0.0679086,0,0.0338064,-0.101428,0.503268,4.70583,27.8174
125,2.5,0.0660216,0.0161194,0.0259016,0.0240006,0.287768,0,3.85054,0.215036,-0.0130842,0.0673789,0.0832317,-0.0112981,0.5,0.0633892,0,0.0787513,-0.102181,0.497673,4.53489,29.5918
