step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1789943264.081,-0.1280407,-0.1374099,0.3960012,-0.02513682,-0.002181119,-0.1999999,-0.0389096,-0.005885088,0,-0.02938705,-0.0005511176,-0.0155,-0.0001598808,0.2341997,-0.01060351,-0.01727271,0,-0.01405362,-0.01952502,-0.01657658,0.2040257,0,-0.001480717,-0.001164086,0.08616488,0.2852923,0.1598075,0.004857389,25.55969,0.008763007,0.0003849517,0.0004159688,0.003104697,0.01345377,0.2,0.3,7.59375e-05,-0.02648086,0.2573533,2.80945,0.4761341,7479,1.001214,222.33,19.14462
11,1789943266.022,-0.1395234,-0.146228,0.430501,-0.02979036,-0.002058513,-0.05000001,-0.05244093,-0.006349846,-3.461599e-05,-0.03771896,-0.0006000422,-0.02058,-0.0007526013,0.2665496,-0.01083239,-0.02022163,0,-0.0152479,-0.0169862,-0.02949303,0.2258143,0,-0.00165145,-0.001264461,0.1061772,0.3224036,0.3312678,0.004836802,25.55972,0.00837657,0.0003399183,0.0003601554,0.002839694,0.01502962,0.3,0.2,3.375e-05,-0.02940272,0.2466501,1.400928,0.5298555,12728,1.000903,240.16,19.92219
12,1789943269.420,-0.09344731,-0.1001321,0.2895004,-0.01378668,-0.001221294,-0.04500001,-0.03586185,-0.004040787,-0.01567653,-0.02414083,-0.0004028884,-0.00994,-0.0006631715,0.1851498,-0.007446731,-0.01331511,-6.641239e-05,-0.009751529,-0.01022946,-0.01194247,0.1528104,0,-0.001082278,-0.0008489442,0.07387721,0.2564058,0.2435341,0.004828285,25.5526,0.008097191,0.0002998307,0.0003138468,0.002655228,0.01351845,0.35,0.3,2.25e-05,-0.02717279,0.2397813,2.870838,0.5112219,7266,1.000512,264.33,21.43594
13,1789943272.633,-0.1329304,-0.1400419,0.4095005,-0.02362224,-0.001865186,-0.09,-0.04588909,-0.00611397,0,-0.03250958,-0.0005754405,-0.0104,-0.0005719095,0.2970495,-0.01073973,-0.01184269,0,-0.01410407,-0.01660677,-0.01516915,0.2140895,0.04636788,-0.001521233,-0.001139589,0.1030997,0.3581339,0.3363617,0.004827035,25.5464,0.007934095,0.0002646025,0.0002626966,0.002579762,0.01211511,0.05,0.3,0.0001708594,-0.02455952,0.2237423,2.740766,0.45649,7686,1.000159,290.94,23.72816
14,1789943274.601,-0.1321913,-0.1451989,0.3989999,-0.02553732,-0.001506604,-0.008333335,-0.0479565,-0.005760126,-0.0002615831,-0.03395603,-0.0005568855,-0.01550667,-0.0006699767,0.2639829,-0.01033899,-0.01758425,0,-0.01275877,-0.01490304,-0.01722826,0.2123544,0.01157766,-0.001486728,-0.001035147,0.09418794,0.2671484,0.2567589,0.004957324,25.53957,0.007807004,0.0002492041,0.0002447558,0.00235572,0.01672104,0.5,0.15,1e-05,-0.03065813,0.1979202,1.410527,0.5400467,12599,0.9998793,319.1,26.78393
15,1789943277.950,-0.1856473,-0.2162794,0.5759997,-0.03110512,-0.002148145,0,-0.06259297,-0.008370648,-0.0002307189,-0.04528285,-0.0007966943,-0.03238001,-0.001910318,0.3552493,-0.01454596,-0.0285237,0,-0.02018635,-0.02511458,-0.02247704,0.3083786,0,-0.002246859,-0.001522638,0.127157,0.5339481,0.4229374,0.004830281,25.53527,0.007438133,0.000209944,0.0002053162,0.002192592,0.009047797,0,0.35,0.0001708594,-0.01897312,0.238716,2.819005,0.5153124,7370,0.9994761,330.7,27.86743
16,1789943281.207,-0.1925468,-0.2111409,0.6104993,-0.03819632,-0.002623371,-0.045,-0.07032613,-0.008945911,-0.00508871,-0.05192059,-0.0008567743,-0.0172,-0.001620816,0.4428496,-0.01655222,-0.01850503,0,-0.02217451,-0.02745453,-0.0340722,0.3216662,0.06947332,-0.002347758,-0.001548849,0.1620068,0.5378656,0.3746028,0.004587841,25.52125,0.007047924,0.0002094951,0.0001932715,0.002057316,0.01642483,0.45,0.1,1e-05,-0.02996781,0.1868214,2.769303,0.4657371,7596,0.9986517,337.64,28.58111
17,1789943283.143,-0.2035677,-0.2270193,0.647999,-0.03812483,-0.003726422,-0.2049999,-0.06778894,-0.01002889,0,-0.04675474,-0.0009079585,-0.02816001,-0.0003376426,0.4291494,-0.01552955,-0.0285718,0,-0.02231277,-0.02786217,-0.02682988,0.3341485,0,-0.002419458,-0.001892607,0.1745256,0.5074376,0.3730124,0.004610324,25.51204,0.006919817,0.0001906715,0.0001740762,0.001944746,0.01069298,0.1,0.4,0.0001139063,-0.02285008,0.2188823,1.367284,0.54707,12837,0.9980885,350.37,29.42277
18,1789943286.421,-0.08262458,-0.0956369,0.2655003,-0.01446497,-0.001191544,-0.05,-0.0283131,-0.003903145,0,-0.02032784,-0.0003702279,0,-0.0006240611,0.2343998,-0.006605835,0,0,-0.009299885,-0.01111457,-0.01505365,0.1372394,0.07789475,-0.001002523,-0.0007758526,0.06277275,0.2395438,0.2507815,0.004531372,25.50302,0.006716979,0.0001892818,0.0001669948,0.001829331,0.01516202,0.15,0.15,0.0001139063,-0.03115037,0.2046159,2.747528,0.5149324,7532,0.9979485,363.95,30.29424
19,1789943289.736,-0.2335064,-0.2535151,0.7199984,-0.04422702,-0.003575591,-0.07999998,-0.08168288,-0.01046633,-0.003026162,-0.05922041,-0.001001872,-0.02266,-0.001235513,0.533384,-0.01897261,-0.0228873,0,-0.02499368,-0.03709857,-0.03241552,0.3757321,0.06789222,-0.002726079,-0.002001289,0.1696764,0.4381728,0.5000172,0.004456121,25.50061,0.006551503,0.000176707,0.0001626093,0.001756066,0.01535299,0.2,0.15,7.59375e-05,-0.02895504,0.1907642,2.810259,0.4881761,7450,0.9977023,405.86,33.25129
