step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
109,1789943538.318,-0.4717434,-0.4327424,1.498514,-0.0654096,-0.004888809,-0.005,-0.1406825,-0.0168165,-0.0005007262,-0.09396329,-0.002061768,-0.03332,-0.002237651,1.307061,-0.03483368,-0.03648778,0,-0.04856677,-0.04709762,-0.03782006,0.8014773,0.2242493,-0.005798919,-0.003873311,0.4640315,0.986554,1.396565,0.001531573,24.62042,0.002139114,5.466937e-05,4.909335e-05,0.0005037777,0.01425661,0.05,0.05,7.59375e-05,-0.01958534,0.0944484,1.343025,0.537581,13068,0.9505359,995.5,97.5117
110,1789943541.763,-0.4733387,-0.4331199,1.498514,-0.06499162,-0.005998201,-0.01,-0.1360462,-0.01737283,-0.0006587658,-0.09099372,-0.002063836,-0.04638,-0.002021131,1.272935,-0.03466623,-0.05432269,0,-0.04875464,-0.06091953,-0.03019456,0.7937186,0.1126066,-0.005850987,-0.003996428,0.4683169,1.055467,1.491743,0.001565048,24.61085,0.002201038,5.426931e-05,4.913963e-05,0.0005325812,0.01480147,0.05,0.05,7.59375e-05,-0.02025821,0.08429895,2.914021,0.5171437,7162,0.9499989,992.6,96.54025
111,1789943545.012,-0.4634713,-0.437932,1.498514,-0.06647211,-0.00558744,-0.005,-0.1433471,-0.01698155,0,-0.09666637,-0.002064012,-0.04691998,-0.002101503,1.261885,-0.03438922,-0.05457507,0,-0.05234888,-0.05272384,-0.02920705,0.7942092,0.1121369,-0.005756103,-0.003950713,0.4408683,1.050401,1.275139,0.00155027,24.59579,0.002156266,5.395109e-05,4.88703e-05,0.0005031745,0.01641781,0.2,0.1,3.375e-05,-0.02273275,0.07053396,2.455251,0.7820816,7591,0.9491534,996.1,96.94164
112,1789943546.780,-0.464844,-0.4348031,1.498514,-0.07168188,-0.006179316,-0.006666667,-0.1504512,-0.01708714,-0.0005240482,-0.1003333,-0.002078044,-0.05137999,-0.00244398,1.256792,-0.03374697,-0.05467325,0,-0.05292939,-0.06095571,-0.03453258,0.7929344,0.1121534,-0.005866901,-0.003989804,0.4385093,0.9792814,1.202599,0.001500341,24.58629,0.002091129,5.221824e-05,4.929633e-05,0.0004892736,0.01127542,0,0.1,7.59375e-05,-0.01723213,0.1042913,1.2823,0.4645877,14068,0.9488993,990.63,97.02364
113,1789943549.885,-0.4723479,-0.4331605,1.498514,-0.07493831,-0.005885979,-0.005,-0.148089,-0.01768335,0,-0.09721901,-0.002051317,-0.03206001,-0.002372111,1.29796,-0.0335692,-0.03594836,0,-0.05133539,-0.05317938,-0.031911,0.7967736,0.2246566,-0.005768807,-0.003926554,0.4755888,0.9983562,1.259963,0.001500557,24.57751,0.002099308,5.226752e-05,4.888368e-05,0.0004975999,0.0158448,0.1,0.1,7.59375e-05,-0.02185763,0.06600695,2.623462,0.4704883,7943,0.9483552,990.63,97.36367
114,1789943551.734,-0.4604536,-0.4360717,1.498514,-0.06276329,-0.004018799,0,-0.1502414,-0.01723046,-0.0005135429,-0.09860458,-0.002085097,-0.03002,-0.002182786,1.30511,-0.03353136,-0.03592792,0,-0.04681291,-0.04238459,-0.02698436,0.8077253,0.2256999,-0.005763254,-0.0038346,0.4608569,1.055798,1.400778,0.001495473,24.56944,0.002098266,5.285169e-05,4.942601e-05,0.000500515,0.01472377,0.05,0.05,7.59375e-05,-0.02107839,0.09250869,1.328909,0.5099623,13364,0.9480311,993.53,98.15592
115,1789943554.979,-0.4584318,-0.4302121,1.498514,-0.06404191,-0.005464477,-0.015,-0.1446204,-0.01718898,-0.00041282,-0.09612291,-0.002077448,-0.05581999,-0.001964172,1.220284,-0.03542871,-0.06255408,0,-0.05026491,-0.05452272,-0.02786302,0.7965271,0.05628192,-0.005777198,-0.003995265,0.4583194,1.046266,1.255483,0.001528934,24.56223,0.00217124,5.278162e-05,5.013591e-05,0.0005393892,0.01536464,0.15,0.05,3.375e-05,-0.0201012,0.1237362,2.761044,0.4682941,7610,0.9476139,987.94,98.45927
116,1789943558.195,-0.4900889,-0.4168441,1.498514,-0.06837556,-0.005716642,-0.005,-0.154404,-0.01694853,-7.140517e-05,-0.1009072,-0.002054899,-0.03092,-0.001894671,1.340211,-0.0346185,-0.03640821,0,-0.04905256,-0.05116655,-0.03290014,0.7941021,0.2243898,-0.005881818,-0.003888224,0.4262736,0.9152433,1.213926,0.001497839,24.55528,0.002133477,5.295627e-05,4.950736e-05,0.0005331747,0.01407417,0.05,0.15,7.59375e-05,-0.0215906,0.09342726,2.736126,0.4641058,7679,0.9473354,993.41,97.68173
117,1789943560.031,-0.4609328,-0.4284882,1.498514,-0.06500323,-0.006440901,-0.03000001,-0.1519254,-0.01670432,0,-0.0998441,-0.002048227,-0.05530997,-0.002199198,1.231333,-0.0333449,-0.06369534,0,-0.05461143,-0.06114354,-0.03130826,0.7897555,0.05589911,-0.005950516,-0.004050347,0.4574789,0.9520296,1.06518,0.001515276,24.55111,0.00216305,5.315104e-05,4.969415e-05,0.0005449281,0.01496932,0.1,0.05,5.0625e-05,-0.01894218,0.1355509,1.341602,0.4742582,13534,0.9472045,987.07,96.87942
118,1789943563.270,-0.4633766,-0.4233033,1.498514,-0.06791097,-0.006134173,-0.0125,-0.1443137,-0.01685178,-0.02288968,-0.09610271,-0.002066819,-0.05829998,-0.002324815,1.224508,-0.03234626,-0.06394629,0,-0.05421184,-0.05581067,-0.03456862,0.7945502,0.05646627,-0.00603321,-0.004010343,0.4582912,1.089028,0.9134301,0.001523424,24.54571,0.00219397,5.304671e-05,4.946606e-05,0.0005680332,0.01309524,0,0.05,7.59375e-05,-0.01990322,0.06320278,2.74874,0.4801142,7611,0.9466206,987.07,97.03409
119,1789943566.608,-0.4719981,-0.4288533,1.498514,-0.07276233,-0.008094206,-0.105,-0.1493658,-0.0171768,0,-0.09931257,-0.002066564,-0.05485998,-0.001012446,1.203059,-0.03515438,-0.06489539,0,-0.05186222,-0.06591572,-0.02742304,0.7759081,0,-0.005861194,-0.004475098,0.4368468,1.057308,1.187327,0.001491562,24.53307,0.002289574,5.496918e-05,5.229966e-05,0.0006907425,0.01584704,0.15,0.1,5.0625e-05,-0.01585633,0.1305381,2.665091,0.6589582,7393,0.9461586,991.8,97.3482
120,1789943568.519,-0.4698111,-0.4238066,1.498514,-0.06373124,-0.005425232,-0.005,-0.1578658,-0.01711538,-0.0006210536,-0.1036732,-0.002103309,-0.06647998,-0.002502766,1.233609,-0.03586131,-0.07239871,0,-0.05479394,-0.05488196,-0.02687605,0.7946445,0,-0.005737079,-0.004028226,0.4234326,1.20035,0.9712108,0.001494602,24.52723,0.002137966,5.637029e-05,5.334386e-05,0.0005336491,0.01503948,0.05,0.1,7.59375e-05,-0.0193095,0.09169943,1.355145,0.5388677,12975,0.945919,991.56,98.58657
121,1789943571.817,-0.4729101,-0.4170676,1.498514,-0.06347276,-0.005931114,-0.0175,-0.149695,-0.01675666,-0.006733789,-0.09720172,-0.002051114,-0.0478,-0.002127165,1.279436,-0.03442674,-0.05408442,0,-0.05260457,-0.05262978,-0.03160146,0.7936428,0.1123988,-0.005817963,-0.0040371,0.4413151,0.9440371,1.265703,0.001500079,24.52331,0.002156719,5.544975e-05,5.130188e-05,0.0005498886,0.01628261,0.1,0.05,5.0625e-05,-0.01990538,0.1302563,2.810414,0.468061,7496,0.9457478,991.02,98.30878
122,1789943574.123,-0.4718345,-0.4277403,1.498514,-0.06600675,-0.005360769,-0.024,-0.1440014,-0.01713138,-0.01410587,-0.09590142,-0.002062766,-0.03728,-0.002169154,1.30433,-0.03403833,-0.04298028,-5.56153e-05,-0.04965352,-0.05053,-0.0308361,0.7994303,0.1800143,-0.005920419,-0.003947176,0.4457444,0.9667839,1.329543,0.001469261,24.51784,0.002170094,5.538196e-05,5.046903e-05,0.0005949824,0.01522483,0.05,0.1,7.59375e-05,-0.02113859,0.08117588,1.313062,0.9414229,10900,0.9453186,991.02,98.82589
123,1789943576.988,-0.4633155,-0.4265705,1.498514,-0.06757825,-0.003737536,0,-0.1336427,-0.01740601,-0.0002596641,-0.08758238,-0.002028063,-0.01066,-0.002374821,1.422762,-0.03433722,-0.01834379,0,-0.046807,-0.03724857,-0.0248579,0.8096802,0.3382103,-0.005816763,-0.003679096,0.4880079,0.9126665,1.698276,0.001425912,24.50722,0.002274973,5.363122e-05,5.103149e-05,0.0007443976,0.01625248,0.2,0.1,3.375e-05,-0.02052149,0.1106911,2.364458,0.4707267,8668,0.944829,991.02,99.64104
124,1789943580.244,-0.4687087,-0.4221566,1.498514,-0.06872255,-0.005364259,-0.01,-0.147256,-0.01717131,-9.271821e-05,-0.09749398,-0.002055665,-0.04587333,-0.002116451,1.299043,-0.0344446,-0.04839453,0,-0.05001925,-0.05781993,-0.02987949,0.8018827,0.1508334,-0.005761189,-0.00391178,0.4599912,1.026154,1.288082,0.001422925,24.49912,0.002230611,5.190454e-05,4.915073e-05,0.0007066311,0.01554786,0.1,0.15,5.0625e-05,-0.0191831,0.08230619,2.763417,0.4830017,7570,0.9443528,991.88,99.58057
125,1789943582.116,-0.4637206,-0.4253274,1.498514,-0.06528124,-0.005025809,-0.01,-0.1433835,-0.01730267,-0.02120106,-0.0955001,-0.002068853,-0.04213333,-0.002323106,1.263727,-0.03330564,-0.04837416,-0.00102798,-0.05035719,-0.04706962,-0.02993802,0.803484,0.1507618,-0.005900044,-0.003930952,0.4766637,1.087423,1.256037,0.001408356,24.49042,0.002132961,5.137386e-05,4.922898e-05,0.0006240021,0.01417999,0.1,0.1,5.0625e-05,-0.01943305,0.07864633,1.349584,0.5125663,13197,0.9439734,994.65,99.23166
126,1789943585.319,-0.4622135,-0.4247099,1.498514,-0.06501321,-0.005153314,-0.005,-0.1398706,-0.01682478,-0.0005884841,-0.09257518,-0.002067117,-0.03852,-0.002202,1.320385,-0.03270402,-0.04612792,-6.183599e-05,-0.04995755,-0.04980609,-0.03172373,0.802669,0.1690598,-0.005829827,-0.003888416,0.4706446,0.9408692,1.393317,0.001480431,24.48326,0.00218969,5.109534e-05,4.869532e-05,0.0006094682,0.01325918,0,0.05,7.59375e-05,-0.01858715,0.1114954,2.726394,0.4593496,7714,0.9435837,992.92,99.90883
127,1789943588.600,-0.4499545,-0.4145792,1.498514,-0.06886016,-0.003407485,-0.025,-0.1356228,-0.01658361,0,-0.09134086,-0.002056623,-0.02908,-0.002205704,1.32006,-0.03232517,-0.03472314,0,-0.04481571,-0.04642406,-0.02726198,0.8093085,0.2264284,-0.005963532,-0.003742168,0.445318,1.041683,1.463503,0.001518004,24.475,0.002165191,4.951967e-05,4.773082e-05,0.000549937,0.01635591,0.35,0.05,1e-05,-0.01900561,0.1114795,2.056482,1.171422,7613,0.9432454,984.09,98.69425
128,1789943590.623,-0.4649639,-0.4272638,1.498514,-0.06634489,-0.005272941,-0.0225,-0.1474582,-0.01701105,-0.0003525064,-0.0965431,-0.002075037,-0.06150997,-0.001992996,1.244984,-0.03330457,-0.06324589,0,-0.05114654,-0.05119383,-0.02808097,0.7990732,0.05651503,-0.005811622,-0.004031719,0.4486075,1.098934,1.20032,0.001478593,24.47193,0.002113455,4.889672e-05,4.640675e-05,0.0005395586,0.009003703,0,0.05,1.5e-05,-0.007874919,0.1667461,1.459925,0.5327117,12333,0.9431744,962.39,96.1566
129,1789943593.922,-0.4611979,-0.4175733,1.498514,-0.06561245,-0.006823353,-0.03333334,-0.1489073,-0.01694622,-0.0008583331,-0.09752576,-0.002050723,-0.05953332,-0.002110221,1.241842,-0.0329697,-0.05941372,0,-0.05319814,-0.05833071,-0.02858587,0.7912376,0.07523216,-0.005904775,-0.004131256,0.4798078,0.9138837,1.057988,0.00146279,24.46968,0.002124179,4.974923e-05,4.631774e-05,0.0005653225,0.01325002,0.15,0.2,2.25e-05,-0.0150926,0.1562536,2.808806,0.4719269,7491,0.9430608,959.49,95.39049
130,1789943596.240,-0.3208637,-0.2984192,1.054507,-0.04671198,-0.004755051,-0.0025,-0.1021042,-0.01110862,-0.006390459,-0.06825422,-0.00143892,-0.04347,-0.001993133,0.8463539,-0.02407304,-0.0494887,-0.006727467,-0.03752159,-0.0438607,-0.02672646,0.5533767,0,-0.004241407,-0.002940749,0.3151171,0.7232827,0.7212157,0.001530022,24.46797,0.00220471,4.85794e-05,4.56682e-05,0.0005804404,0.01269562,0.1,0.05,1.5e-05,-0.01193826,0.1402536,1.404335,0.8683853,10813,0.9429812,963.76,95.01992
131,1789943599.157,-0.4643871,-0.4220921,1.498514,-0.06035741,-0.004427561,0,-0.1548983,-0.01714261,-0.0009232379,-0.1018667,-0.002085514,-0.05192,-0.002426731,1.288209,-0.03261229,-0.05436751,0,-0.05115929,-0.04259589,-0.0288672,0.8036825,0.1131107,-0.005740157,-0.004030091,0.4682456,1.281536,1.210954,0.001479435,24.46701,0.00213162,4.691162e-05,4.444005e-05,0.0005608332,0.0104942,0,0.1,3.375e-05,-0.01095026,0.188977,2.381527,0.5033903,8518,0.9429699,957.35,94.1534
132,1789943602.445,-0.4604177,-0.4236982,1.498514,-0.0626988,-0.005741379,-0.0275,-0.1453542,-0.01691927,-0.006129174,-0.09654435,-0.002065625,-0.05415999,-0.002063965,1.240434,-0.03402671,-0.0627574,0,-0.05162547,-0.05373645,-0.02639268,0.796169,0.05652864,-0.005867738,-0.004084848,0.4357723,0.9831414,1.150471,0.001490092,24.4662,0.00214616,4.715394e-05,4.408789e-05,0.0005648255,0.01358391,0,0,3.375e-05,-0.008286107,0.1681317,2.802584,0.470422,7508,0.9428898,948.8,93.73074
133,1789943604.375,-0.4642229,-0.4163261,1.498514,-0.06626345,-0.006757549,-0.06500001,-0.1465666,-0.01690989,0,-0.0941306,-0.002025658,-0.0451,-0.001844158,1.255709,-0.03378854,-0.05211891,0,-0.05021795,-0.05764769,-0.02912903,0.7867445,0.1120752,-0.005934889,-0.004102859,0.4267695,1.063634,1.08718,0.001405848,24.46505,0.002038294,4.597789e-05,4.290088e-05,0.0005435669,0.01203351,0,0,3.375e-05,-0.01188594,0.2310401,1.392719,0.5258157,12809,0.9428867,945.03,95.05922
134,1789943607.622,-0.4782578,-0.4139835,1.498514,-0.06965341,-0.005025903,0,-0.1494542,-0.01589883,-0.0002504933,-0.09572591,-0.002010636,-0.03394,-0.002573027,1.338261,-0.03465987,-0.03642686,0,-0.05235779,-0.04950613,-0.02842909,0.7995617,0.2253753,-0.005983102,-0.003898814,0.4848963,1.04069,1.527085,0.001353447,24.46446,0.001998104,4.682759e-05,4.337339e-05,0.0005544561,0.01230108,0,0.05,5.0625e-05,-0.01534534,0.1317766,2.721346,0.5155237,7592,0.9427754,951.83,96.07581
135,1789943610.969,-0.4647513,-0.4297759,1.498514,-0.06899358,-0.006214377,-0.04,-0.1492014,-0.01632126,-0.001788238,-0.09667056,-0.002010153,-0.0423,-0.001666405,1.292759,-0.03246246,-0.05236764,0,-0.05202464,-0.06147134,-0.02945955,0.7940892,0.1122516,-0.005978988,-0.004157647,0.4474169,1.087716,1.302345,0.001352105,24.46148,0.002003811,4.623385e-05,4.275874e-05,0.0005627139,0.0146803,0.05,0.05,5.0625e-05,-0.01576907,0.2136373,2.821668,0.5074074,7382,0.9426738,928.1,93.90984
136,1789943612.901,-0.4513562,-0.4028794,1.498514,-0.06893994,-0.00709499,-0.01,-0.1415122,-0.01531001,-0.01086268,-0.09265458,-0.002007067,-0.06453999,-0.002077648,1.269359,-0.03282483,-0.0730146,0,-0.05443852,-0.06334794,-0.03374548,0.7875182,0,-0.006006807,-0.004114527,0.4357568,0.941307,1.268996,0.001376879,24.45985,0.002067785,4.672174e-05,4.253528e-05,0.0006016488,0.01292887,0,0,5.0625e-05,-0.01520163,0.1787304,1.397377,0.5169299,12838,0.9425684,941.67,94.26601
137,1789943616.237,-0.3321633,-0.2994817,1.098005,-0.04279156,-0.003551886,0,-0.0964803,-0.01227845,-0.0005089891,-0.06315495,-0.00147364,-0.01632,-0.001739408,1.002505,-0.02268149,-0.01831352,0,-0.03862032,-0.03289009,-0.02302397,0.5835356,0.2164019,-0.004458015,-0.002765036,0.3933349,0.8224944,1.137446,0.001382326,24.45828,0.002228557,4.687952e-05,4.368697e-05,0.0007556642,0.01609189,0.15,0.05,2.25e-05,-0.01733627,0.1852889,2.804215,0.5111458,7412,0.9425671,942.67,94.33151
138,1789943619.596,-0.4587499,-0.4125293,1.498514,-0.06295706,-0.006002695,-0.01,-0.1537697,-0.0156143,-8.711577e-05,-0.0986318,-0.00206478,-0.05675999,-0.002536627,1.264485,-0.03335343,-0.06283975,0,-0.05255068,-0.05016179,-0.02691389,0.7950521,0.05665949,-0.005916502,-0.004063024,0.4827374,1.090342,1.179396,0.001348816,24.45776,0.002320548,4.809125e-05,4.542103e-05,0.0008782193,0.01192058,0,0,2.25e-05,-0.0101555,0.1812218,2.13166,1.172911,7436,0.9424781,959.71,94.50607
139,1789943621.521,-0.4635125,-0.4173346,1.498514,-0.06591736,-0.004213264,-0.005,-0.1524454,-0.01529061,-0.0006656825,-0.09947621,-0.002082595,-0.04756,-0.002690055,1.30316,-0.03177186,-0.05494398,0,-0.05059635,-0.05735676,-0.03016147,0.8105844,0.1134683,-0.005971554,-0.003966236,0.4484037,1.177229,1.495373,0.001328553,24.45566,0.002546481,4.740864e-05,4.393279e-05,0.001126586,0.01189751,0,0.05,3.375e-05,-0.008872242,0.1959455,1.379503,0.5114839,12996,0.9424055,970.3,96.04941
140,1789943624.765,-0.4594753,-0.4105213,1.498514,-0.06116351,-0.004161482,-0.01,-0.1400945,-0.01554798,0,-0.09178527,-0.002062278,-0.0295,-0.001622131,1.346061,-0.031475,-0.03657628,0,-0.04792443,-0.04741217,-0.02597558,0.8071741,0.2259521,-0.005880951,-0.003740128,0.4596553,1.002853,1.652782,0.001342699,24.45568,0.002289706,4.594832e-05,4.291422e-05,0.0008581448,0.01375594,0,0.05,5.0625e-05,-0.01315261,0.1859656,2.772157,0.4574616,7609,0.9424859,968.3,96.36781
141,1789943626.678,-0.4539252,-0.4161033,1.498514,-0.06561244,-0.005090989,-0.006666667,-0.14063,-0.01604788,-0.1560421,-0.09257323,-0.002028791,-0.0402,-0.002038793,1.335444,-0.03186249,-0.04828715,0,-0.05078533,-0.04876189,-0.02717723,0.7949173,0.1489823,-0.006003603,-0.003907629,0.4694328,1.036037,1.3461,0.001324155,24.45674,0.002310561,4.525458e-05,4.123786e-05,0.0008999142,0.01304804,0,0,5.0625e-05,-0.0126193,0.1781505,1.370379,0.5277746,12947,0.9424885,961.59,95.99469
142,1789943629.979,-0.4546289,-0.4215209,1.498514,-0.06449421,-0.007271077,-0.04,-0.1478028,-0.01602291,-0.1576986,-0.09580182,-0.001985453,-0.06057998,-0.001724524,1.263509,-0.03252111,-0.06981166,0,-0.05377827,-0.05214681,-0.02665154,0.7804273,0,-0.006383819,-0.004203387,0.4696364,1.1028,0.9910411,0.001307326,24.45737,0.002275238,4.503314e-05,4.106995e-05,0.0008818084,0.01414103,0,0.05,7.59375e-05,-0.01529895,0.2448445,2.771235,0.503376,7505,0.9426147,956.81,95.53069
143,1789943633.292,-0.4532563,-0.4068271,1.498514,-0.06641134,-0.005602482,-0.005,-0.1483658,-0.01595064,-0.0009358872,-0.09506337,-0.002009856,-0.05037998,-0.0031886,1.29081,-0.03109575,-0.05448084,0,-0.05380654,-0.05649085,-0.03375171,0.7969707,0.1123623,-0.005890248,-0.003978378,0.4546816,1.012191,1.280346,0.001337261,24.45937,0.002657925,4.357628e-05,3.957498e-05,0.001237513,0.01547024,0.05,0,5.0625e-05,-0.009966143,0.2678232,2.821051,0.472923,7460,0.9426663,937.64,93.05251
144,1789943635.241,-0.2047866,-0.1687129,0.6809987,-0.02857593,-0.003695352,-0.03,-0.07351835,-0.006598165,-0.01427445,-0.04697952,-0.0008920046,-0.02618,-0.00192921,0.5420507,-0.01386684,-0.03059425,-0.007116226,-0.02663355,-0.0226791,-0.01878131,0.3510768,0,-0.00312161,-0.002058393,0.1862738,0.4673571,0.6942637,0.001328051,24.45997,0.002208394,4.227471e-05,3.857526e-05,0.0007994932,0.01489046,0.2,0,1e-05,-0.01197424,0.2151896,1.4005,0.5383451,12675,0.9427124,930.82,92.62425
145,1789943638.532,-0.465756,-0.4112222,1.498514,-0.06697161,-0.004599167,0,-0.1437878,-0.01572191,-0.00143439,-0.09352797,-0.002073406,-0.03566,-0.002664616,1.344762,-0.03264674,-0.03609744,0,-0.051428,-0.0485867,-0.02985004,0.8066699,0.2266039,-0.005714746,-0.00391834,0.4898849,0.9735538,1.68847,0.00133519,24.46083,0.002416966,4.159599e-05,3.761698e-05,0.001002563,0.01051604,0,0.1,2.25e-05,-0.007932846,0.2076033,2.753494,0.5272639,7490,0.9427636,927.38,91.7979
146,1789943641.829,-0.4491933,-0.4150635,1.498514,-0.06579842,-0.006993884,-0.04500001,-0.1519878,-0.01575701,-0.001476722,-0.09909429,-0.002037402,-0.06459998,-0.002370447,1.27391,-0.03046668,-0.07245633,0,-0.05701686,-0.05616808,-0.03116798,0.7848658,0,-0.005989946,-0.004111436,0.4393687,1.011119,1.216157,0.00130101,24.46142,0.002039761,4.123668e-05,3.723311e-05,0.000660281,0.01316653,0,0.1,5.0625e-05,-0.01461035,0.2120739,2.155256,1.13055,7479,0.9427627,901.86,89.70487
147,1789943643.686,-0.2041741,-0.1880753,0.6854987,-0.03139859,-0.001967162,-0.0025,-0.06368507,-0.007178877,-0.06225557,-0.04220421,-0.0009001368,-0.01946,-0.001425081,0.5903007,-0.01447853,-0.02235952,-0.007656844,-0.02343395,-0.02260064,-0.01667801,0.3651232,0.0557767,-0.002960698,-0.001863719,0.2236015,0.5616232,0.5812833,0.001331784,24.45987,0.002037028,4.192922e-05,3.621764e-05,0.0006270973,0.01410893,0,0.05,7.59375e-05,-0.01787554,0.1989186,1.330603,0.5119455,13338,0.9426314,897,89.58057
148,1789943646.921,-0.4622422,-0.4084824,1.498514,-0.0682603,-0.005598892,-0.025,-0.1445759,-0.0153161,-0.07149365,-0.09392841,-0.002015346,-0.03908,-0.002066955,1.334361,-0.03143541,-0.04450742,0,-0.0501962,-0.05102484,-0.02928785,0.7971942,0.1689351,-0.006673601,-0.004013571,0.4780412,1.267397,1.403392,0.001334469,24.45836,0.00206926,4.123083e-05,3.601225e-05,0.0006575484,0.01609861,0.15,0.05,3.375e-05,-0.01591029,0.1830926,2.755867,0.462888,7635,0.9426394,895.59,89.8092
149,1789943648.696,-0.4597909,-0.4179029,1.498514,-0.07422484,-0.005755545,-0.0225,-0.1439596,-0.01486417,-0.212458,-0.09373386,-0.002001567,-0.04902001,-0.00211772,1.29666,-0.03112917,-0.05317429,0,-0.05123864,-0.05578579,-0.03051486,0.795424,0.1124254,-0.00663217,-0.004039173,0.468521,0.9399782,1.352002,0.001358431,24.45782,0.001944756,4.074748e-05,3.654543e-05,0.0005090322,0.01232276,0,0.05,5.0625e-05,-0.01642768,0.1521574,1.241649,0.5187516,13960,0.9425633,891.68,89.03075
150,1789943651.971,-0.3162098,-0.2913541,1.059006,-0.04550292,-0.004020957,-0.03833334,-0.105444,-0.01079089,-0.1002282,-0.06796177,-0.001412927,-0.03397999,-0.001581234,0.8868046,-0.02116125,-0.03968894,-0.002228782,-0.03961259,-0.04144765,-0.02182421,0.5623645,0.05713418,-0.00458032,-0.002933572,0.3320579,0.7713248,0.8241407,0.001310058,24.45703,0.001934149,4.116044e-05,3.589127e-05,0.0005470391,0.01425418,0,0,5.0625e-05,-0.01524641,0.1798162,2.753005,0.5044465,7544,0.9425905,911.02,91.72414
151,1789943655.318,-0.4509722,-0.4112586,1.498514,-0.06755535,-0.004971655,-0.01,-0.1461378,-0.01459692,-0.04326168,-0.09535947,-0.001979625,-0.05004,-0.002244144,1.33501,-0.03174288,-0.05435109,0,-0.05152803,-0.04735623,-0.03011118,0.7960654,0.1116852,-0.006073043,-0.004010394,0.4638816,0.8972203,1.20363,0.00131199,24.45608,0.001971771,4.091133e-05,3.581635e-05,0.0005830533,0.01350404,0,0.05,7.59375e-05,-0.01835196,0.2213114,2.54425,0.7905748,7369,0.9424745,925.72,93.4284
152,1789943657.248,-0.4529521,-0.4124331,1.498514,-0.06389283,-0.003781087,0,-0.1497935,-0.01571923,0,-0.09697329,-0.002047859,-0.03777999,-0.00187972,1.374011,-0.03195299,-0.03602239,0,-0.04917423,-0.0430417,-0.03224518,0.8106546,0.2260014,-0.005870381,-0.003917078,0.5107926,1.107852,1.389136,0.001335447,24.45375,0.001992373,3.99878e-05,3.493232e-05,0.0005820054,0.01667641,0.3,0.05,1e-05,-0.01551438,0.1919274,1.39655,0.5216961,12811,0.942371,914.07,92.77426
153,1789943660.347,-0.455461,-0.4114247,1.498514,-0.06308555,-0.005408742,-0.04666666,-0.1479966,-0.01527514,-0.0004522409,-0.09574463,-0.002057257,-0.04967333,-0.002259912,1.305761,-0.0336551,-0.05201102,0,-0.05237665,-0.05619949,-0.02668765,0.7988696,0.1133838,-0.005993472,-0.004072259,0.4840141,1.143831,1.141933,0.00128489,24.45104,0.001857984,3.96586e-05,3.417853e-05,0.0004992574,0.01145893,0,0.2,5.0625e-05,-0.01626346,0.1423744,2.617247,0.4654746,7972,0.9421471,931.72,95.38142
154,1789943662.169,-0.3357898,-0.3007225,1.100009,-0.04328128,-0.00269258,-0.008333335,-0.1010455,-0.01179015,-0.01405239,-0.06562202,-0.001489303,-0.02212,-0.001798607,0.9869738,-0.02295933,-0.02428378,-0.0001253221,-0.03603356,-0.0308993,-0.02114405,0.5952946,0.1808386,-0.00437126,-0.002856017,0.3430689,0.8878466,1.208282,0.001287914,24.44616,0.001869752,3.866158e-05,3.355088e-05,0.000509626,0.01351257,0,0,5.0625e-05,-0.01601072,0.1517649,1.28756,0.5226746,13576,0.9418755,926,95.03334
155,1789943665.297,-0.3855569,-0.3685683,1.305009,-0.05512204,-0.003523016,-0.12,-0.1260679,-0.01346155,-0.05702259,-0.08319592,-0.001754859,-0.02148,-0.002883028,1.123156,-0.02488955,-0.0241522,-0.0110856,-0.04774278,-0.04328246,-0.02654979,0.6957766,0.2242107,-0.005438199,-0.00339222,0.4417153,0.8389296,1.358622,0.001260601,24.43998,0.001769014,3.913742e-05,3.390807e-05,0.000435368,0.01292318,0,0.05,7.59375e-05,-0.01883676,0.1563598,2.656102,0.4580593,7891,0.9415663,924.49,95.26597
