step,wall_time,Episode/rew_action_rate,Episode/rew_action_rate_arm,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_collision,Episode/rew_dof_acc,Episode/rew_dof_acc_arm,Episode/rew_dof_pos_limits,Episode/rew_dof_vel,Episode/rew_dof_vel_arm,Episode/rew_feet_air_time,Episode/rew_feet_contact_forces,Episode/rew_feet_contact_number,Episode/rew_feet_drag,Episode/rew_feet_height,Episode/rew_feet_height_high,Episode/rew_feet_pos_xy,Episode/rew_hip_pos,Episode/rew_lin_vel_z,Episode/rew_ref_dof_leg,Episode/rew_stand_still,Episode/rew_torque_limits,Episode/rew_torques,Episode/rew_tracking_ang_vel,Episode/rew_tracking_ee_force_world,Episode/rew_tracking_lin_vel_force_world,Loss/learning_rate,Loss/mean_adaptation_module_loss,Loss/mean_surrogate_loss,Loss/surrogate,Loss/value_function,Perf/collection time,Perf/learning_time,Perf/total_fps,Policy/mean_noise_std,Train/mean_episode_length,Train/mean_reward
0,1789692308.311,-0.0009459927,-0.0008563187,0.002999999,-0.0001524266,-8.436298e-06,0,-0.0005058722,-0.0003908547,0,-0.0004593961,-2.787796e-05,-0.000215,-0.001017906,0.001779167,-0.0009795114,-0.0001055781,0,-0.0001187895,-3.279945e-05,-0.0007684144,0.00171275,0.0001144012,-0.0001222159,-0.001432982,0.0008015942,0.002914491,0.0003488548,1e-05,0.0007127266,-0.01483526,-0.01483526,0.1763814,0.3687558,0.1394081,3022,0.999252,23,0.5783188
1,1789692308.821,-0.01600591,-0.01495997,0.05124998,-0.00362814,-0.0001449142,-0.004583333,-0.008286442,-0.004917685,0,-0.009289926,-0.0003944238,-0.0032225,-0.01291454,0.02665208,-0.01089752,-0.001244344,-0.001513749,-0.002647127,-0.001060893,-0.01025651,0.02909557,0.002917341,-0.002121809,-0.02507781,0.01392669,0.03610631,0.01542763,1.5e-05,0.0006511527,-0.03903637,-0.03903637,0.1086838,0.4079206,0.07956505,3150,0.9990051,38.75,0.6831839
2,1789692309.343,-0.02660993,-0.02530706,0.08687495,-0.007504701,-0.0002799035,-0.002083333,-0.01274776,-0.007873436,0,-0.01882913,-0.0006425978,-0.004816667,-0.0243608,0.04530834,-0.01754682,-0.002189016,-0.004013232,-0.005193423,-0.001934512,-0.01404375,0.04880057,0.001702829,-0.005463774,-0.04926769,0.02371587,0.05422076,0.04640111,1e-05,0.0006332314,-0.04727294,-0.04727294,0.1168005,0.4384012,0.07811522,2973,0.9986879,43.90909,0.9049783
