attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
6,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1948,0.2315,-0.0816,83.7854
7,1,0.02,spawn,0.02351,0.02307,0.00451,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0093,0.2327,-0.0001,89.8765
8,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1059,0.2102,0.002,80.5416
9,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1225,0.2118,-0.0159,46.3664
10,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1543,0.2092,-0.0456,81.5478
11,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.134,0.2194,-0.0251,82.3254
12,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1023,0.2381,0.0008,86.909
13,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0167,0.237,-0.0016,88.144
14,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1539,0.208,-0.0474,71.5738
15,1,0.02,spawn,0.02351,0.02307,0.00451,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0099,0.2409,-0.0002,89.6808
0,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0425,0.2187,0.0006,89.1154
1,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1045,0.2082,0.0027,63.2684
2,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0258,0.2202,0.0025,73.5531
3,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0337,0.2054,0.0015,86.4321
4,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2112,0.2197,-0.1002,78.3384
5,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1823,0.2274,-0.0747,74.4631
6,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1896,0.228,-0.0761,81.4036
7,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.005,0.2287,0.0012,87.4862
8,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1018,0.2049,0.004,74.0867
9,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1185,0.2072,-0.0107,54.3414
10,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1501,0.2051,-0.0404,76.4668
11,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1296,0.2149,-0.0198,78.238
12,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0979,0.2337,0.002,82.7969
13,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0121,0.2337,-0.0003,89.6732
14,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1499,0.2039,-0.0422,67.5878
15,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0053,0.2369,0.0011,87.7962
0,3,0.06,spawn,0.03841,0.03661,0.01164,0.03841,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0389,0.2148,0.0016,87.5712
1,3,0.06,spawn,0.03841,0.03661,0.01164,0.03841,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1008,0.2033,0.0034,62.8907
2,3,0.06,spawn,0.03841,0.03661,0.01164,0.03841,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.022,0.2155,0.0032,71.4049
3,3,0.06,spawn,0.03841,0.03661,0.01164,0.03841,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0302,0.2011,0.0024,84.4353
4,3,0.06,spawn,0.03841,0.03661,0.01165,0.03841,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2069,0.2159,-0.0956,75.5408
5,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1785,0.2234,-0.0701,72.2272
6,3,0.06,spawn,0.03841,0.03661,0.01165,0.03841,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1849,0.2239,-0.0714,80.0071
7,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0011,0.2245,0.0021,85.648
8,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.098,0.1995,0.0046,69.0126
9,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1148,0.2023,-0.0063,56.4398
10,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1461,0.2006,-0.036,72.7099
11,3,0.06,spawn,0.03841,0.03661,0.01165,0.03841,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1255,0.2102,-0.0153,75.3906
12,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.094,0.2292,0.0028,80.4346
