step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13833,1790242866.672,-0.01995757,-0.02713805,0.03599999,-0.001715966,0,-5.005567e-05,0,-0.007439416,-0.0001721135,-0.001544912,-0.005072649,-5.098247e-05,0,-0.0001250024,0.02828334,-0.001162861,0,0,-0.0007056193,0,0,0,-0.0008618737,-0.001203952,0.01974583,0.01088182,-0.0001972118,-0.0001736421,0.01410108,0.03946596,0.02144364,0.04188592,30,0,0,0,0,,,,0.0005687574,1e-05,31.56075,0.000641375,8.971275e-13,2.966575e-05,4.295177e-05,0.06010731,0.85,0.05,0,1e-05,0.01730714,0.06675313,1.280629,1.487929,35507,1.431457,14.57,1.749709
13834,1790242869.306,-0.04023341,-0.05334166,0.07199996,-0.00400556,0,-0.0002370491,-0.001,-0.01656846,-0.0003458228,-0.01350097,-0.01106549,-9.976757e-05,-0.0006080001,-0.0002914213,0.05622001,-0.002204939,-0.0005806116,-0.002013459,-0.001953332,0,0,0,-0.004935504,-0.003346651,0.03823801,0.01749536,-0.0005181792,-0.0003719226,0.02612578,0.0696178,0.03480988,0.0763822,30,0,0,0,0,,,,0.0009469619,2.25e-05,31.54988,0.001064113,8.837252e-13,4.852275e-05,6.862841e-05,0.008240662,0,0.15,0,2.25e-05,-0.00566367,0.03180157,1.096037,1.529045,37447,1.430263,36.33,4.291873
13835,1790242871.979,-0.05969299,-0.07495188,0.1079999,-0.005766114,0,-0.0001673141,0,-0.024097,-0.0006616609,-0.001353453,-0.01509469,-0.0001480238,0,-0.000563658,0.081925,-0.003229232,0,0,-0.002312563,0,0,0,-0.004021137,-0.002040331,0.06016361,0.03290154,-0.0005571851,-0.0004516346,0.04156629,0.1142359,0.06007334,0.1271567,30,0,0,0,0,,,,0.001022859,3.375e-05,31.52863,0.001154718,1.038826e-12,6.082761e-05,7.103196e-05,0.007832608,0,0.1,0,3.375e-05,-0.0117317,0.03131723,1.107366,1.555885,36911,1.428235,60.88,7.177111
13836,1790242874.711,-0.07483415,-0.1015396,0.1439999,-0.007554769,0,-0.0001269743,0,-0.02967981,-0.0008673274,-0.002241156,-0.02003976,-0.0001955817,-0.0019775,-0.0005815087,0.1277312,-0.004319238,-0.001009112,-8.522506e-05,-0.003756945,0,0,0,-0.00616979,-0.004167322,0.07834308,0.03266241,-0.0008636137,-0.0007508781,0.05363909,0.1527844,0.07185316,0.1712656,30,0,0,0,0,,,,0.001065851,5.0625e-05,31.5022,0.001234,1.201031e-12,9.20026e-05,7.614696e-05,0.008382346,0,0.1,0,5.0625e-05,-0.01004786,0.1735249,1.150727,1.572568,36097,1.426579,88.27,10.12155
13837,1790242877.485,-0.09591561,-0.1255111,0.1799999,-0.008786475,-0.006163443,-0.0002198395,0,-0.03576832,-0.00100582,-0.005052673,-0.02369935,-0.0002462577,-0.001073334,-0.0004925065,0.1529721,-0.005105995,-0.0006668483,0,-0.004901748,0.00851662,-0.04444445,-0.001256094,-0.007585171,-0.004405783,0.09754952,0.04818537,-0.0009471168,-0.0008611357,0.06710935,0.1790833,0.08593058,0.2150895,30,0.375,0.5,0,0.125,,,,0.001106472,7.59375e-05,31.48955,0.001350595,1.379975e-12,0.0001571808,8.69419e-05,0.008788071,0,0.1,0,7.59375e-05,-0.01295446,0.6705366,1.187705,1.577996,35543,1.426427,113.86,12.4906
13838,1790242880.251,-0.1171904,-0.1546957,0.2159999,-0.01364749,-0.01367077,-0.0002114215,0,-0.04414934,-0.001303524,-0.01031572,-0.02913318,-0.0002919864,-0.00072625,-0.0006893223,0.1786373,-0.006096004,-0.0003021957,-1.00675e-05,-0.00572912,0.01652034,-0.075,-0.003283123,-0.01063267,-0.005873375,0.116747,0.06084052,-0.001188074,-0.00106618,0.07945563,0.21415,0.1054245,0.2561637,30,0.1333334,0.8000001,0.1333334,0.5333334,,,,0.001113896,0.0001139063,31.49724,0.001722583,1.571157e-12,0.000515317,9.336969e-05,0.01098298,0,0.1,0,0.0001139063,-0.01567809,2.278829,1.181129,1.576319,35650,1.427673,141.52,14.5068
13839,1790242883.033,-0.1343098,-0.1789415,0.2513127,-0.01580234,-0.01737013,-0.0002413536,-0.000625,-0.05071893,-0.00151791,-0.01031942,-0.03330708,-0.0003381479,0,-0.0007586495,0.204704,-0.007325438,0,0,-0.006629891,0.018301,-0.07916667,-0.003809491,-0.01176617,-0.006398353,0.1360802,0.07547416,-0.001456281,-0.001271365,0.09363262,0.2488327,0.122684,0.2935732,30,0.1304348,0.826087,0.3043478,0.3913043,,,,0.001110384,7.59375e-05,31.52014,0.002052563,1.72204e-12,0.0008473457,9.483325e-05,0.01469031,0.1,0.1,0,7.59375e-05,-0.01669786,2.190255,1.207728,1.564264,35463,1.42953,164.78,17.0699
13840,1790242885.835,-0.1535779,-0.200131,0.2831846,-0.01649958,-0.01693358,-0.000289219,-0.0007894737,-0.05876188,-0.001706626,-0.009389417,-0.03842627,-0.0003820525,-0.0008042107,-0.0009239229,0.235776,-0.008177258,-0.0004228159,-2.998669e-05,-0.007630901,0.0163555,-0.08947369,-0.002810527,-0.01371764,-0.007661106,0.1534835,0.08059166,-0.001545994,-0.001399785,0.1048174,0.2768466,0.1313309,0.3313525,30,0.1111111,0.9444445,0.5555556,0.2777778,1.685386,0.3193364,0.7574443,0.001087837,0.0001139063,31.54206,0.002197541,1.883168e-12,0.001015258,9.444603e-05,0.01080685,0,0.1,0,0.0001139063,-0.01635101,2.046917,1.205479,1.588034,35190,1.431435,186.42,19.59353
13841,1790242888.652,-0.1686254,-0.2210395,0.3140007,-0.01859048,-0.03745825,-0.0003503915,-0.0003333334,-0.06374308,-0.001853667,-0.01833682,-0.04146794,-0.0004211087,-0.001201334,-0.000951804,0.265223,-0.009091221,-0.0007176513,0,-0.008243687,0.02611592,-0.08666667,-0.004346652,-0.01396895,-0.00804515,0.1701382,0.08789637,-0.00175438,-0.001566238,0.1186583,0.3092908,0.1489194,0.3681045,30,0,0.9285715,0.7142857,0.2142857,7.00889,0.6246213,0.6455644,0.001068279,7.59375e-05,31.56943,0.002345519,2.032338e-12,0.00118073,9.650915e-05,0.01467191,0.1,0.1,0,7.59375e-05,-0.01394921,2.038648,1.215132,1.591489,35025,1.433284,203.52,21.29321
13842,1790242891.471,-0.160337,-0.2083097,0.3000005,-0.01919654,-0.07638991,-0.0004225983,-0.002,-0.06046512,-0.001762303,-0.01598644,-0.0397062,-0.0003973712,0,-0.0007557734,0.2532947,-0.008792033,0,0,-0.008452537,0.04904753,-0.07000001,-0.005023986,-0.01590506,-0.008079699,0.1607704,0.08962779,-0.001528832,-0.00143862,0.1118197,0.2910569,0.1336344,0.3510107,30,0,0.7,0.4,0.3,2.439145,0.5203911,0.5461565,0.001078444,7.59375e-05,31.58355,0.002285075,2.067775e-12,0.001110708,9.592244e-05,0.01071178,0.05,0.1,0,7.59375e-05,-0.01160147,0.4644546,1.213807,1.593939,35011,1.433668,206.14,21.56693
13843,1790242894.293,-0.1499973,-0.1993039,0.2782504,-0.01636563,-0.05894479,-0.0003026489,-0.0035,-0.05566669,-0.001631271,-0.01050601,-0.03571164,-0.0003699284,0,-0.0006639792,0.2331997,-0.008235402,0,0,-0.007598913,0.03867647,-0.09,-0.005805598,-0.01369873,-0.007118534,0.1503275,0.08346371,-0.00154781,-0.001404455,0.1032163,0.2774143,0.1313417,0.3274873,30,0.1,0.9,0.2,0.6,1.41561,0.3839892,0.4443616,0.001113659,0.0001139063,31.5866,0.002292561,2.193934e-12,0.001070106,0.0001087963,0.01182514,0,0.1,0,0.0001139063,-0.0140345,0.7643834,1.231437,1.57994,34966,1.434119,193.32,19.76018
