step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n,base_x_m,base_y_m,base_yaw_deg
0,0.418448,0.637819,0.00121301,0.0846868,0.0035907,3.07049,0,-0.00121297,-2.08616e-07,-0.000528198
1,0.412196,0.666218,0.00140411,0.0858946,0.00214498,2.12406,0,-0.00140411,4.32134e-07,-0.000640418
2,0.401688,0.398679,0.000915885,0.054673,0.00164639,0.738319,0,-0.00091584,3.8743e-07,-0.000376631
3,0.387059,0.0963046,0.000269279,0.0182196,0.00138052,0.42154,0,-0.000269234,3.12924e-07,-5.93213e-05
4,0.368508,0.103011,0.000182555,0.011221,0.0011167,0.773098,0,0.000182509,2.5332e-07,0.000115043
5,0.346176,0.159157,0.000344202,0.0207932,0.00105008,0.688776,0,0.000344157,2.08616e-07,0.000130384
6,0.320104,0.119251,0.000293841,0.0267311,0.000993755,0.383765,0,0.000293836,1.04308e-07,4.75777e-05
7,0.292343,0.0901178,0.000197093,0.188254,0.000964729,7.98725,0,-0.000135869,1.49012e-08,0.000236724
8,0.266997,1.01402,0.00173687,0.353135,0.00152646,11.8769,0,-0.00173686,-4.32134e-07,-0.000101798
9,0.245764,2.83363,0.00467661,0.500971,0.00275001,15.1744,0,-0.00467661,-9.38773e-07,-0.000996198
10,0.229396,5.36875,0.00885261,0.628563,0.00443308,18.1155,0,-0.0088526,-1.74344e-06,-0.0020957
11,0.21768,8.40248,0.0140329,0.735817,0.0059288,20.3097,0,-0.0140329,-2.05636e-06,-0.00286964
12,0.209741,11.6493,0.0198567,0.823706,0.00741316,22.2537,0,-0.0198567,-4.44055e-06,-0.00361095
13,0.204536,14.741,0.0258595,0.892281,0.0088279,23.4,0,-0.0258595,-6.63102e-06,-0.00368756
14,0.200999,17.2029,0.0315988,0.940514,0.0156517,23.4,0,-0.0315988,-6.72042e-06,-0.00349983
15,0.198616,18.5768,0.0364799,0.96675,0.0383403,23,0,-0.0364799,-7.43568e-06,-0.00322719
16,0.197796,18.4862,0.0397735,0.967617,0.0603547,20.2,0,-0.0397735,-8.91089e-06,-0.00292323
17,0.197816,17.8412,0.0425928,0.957839,0.0814538,20.2,0,-0.0425928,-1.10269e-05,-0.00302263
18,0.198547,16.9456,0.0452766,0.94172,0.102065,20.2,0,-0.0452766,-1.30087e-05,-0.00381235
19,0.200107,15.9103,0.0478743,0.919941,0.12105,20.2,0,-0.0478743,-1.24276e-05,-0.00598531
20,0.202597,14.8524,0.0504321,0.8934,0.135469,20.2,0,-0.0504321,-1.20252e-05,-0.00849089
21,0.206027,13.8277,0.0529604,0.862626,0.143664,20.2,0,-0.0529604,-1.27703e-05,-0.0107641
22,0.210337,12.8367,0.055441,0.827731,0.156502,19.7831,0,-0.055441,-1.48565e-05,-0.0126993
23,0.215421,11.8467,0.0578321,0.788596,0.176816,18.9783,0,-0.0578321,-1.86861e-05,-0.014215
24,0.221155,10.8123,0.0600876,0.744997,0.196792,17.8066,0,-0.0600876,-2.43783e-05,-0.0152458
25,0.227413,9.68942,0.0621709,0.6966,0.215849,16.5023,0,-0.0621708,-3.20822e-05,-0.0158123
26,0.234088,8.43352,0.064075,0.642992,0.231563,15.0649,0,-0.064075,-4.14252e-05,-0.0160042
27,0.241108,7.00675,0.0658351,0.583525,0.239749,13.4682,0,-0.0658351,-5.23925e-05,-0.0159671
28,0.248446,5.41825,0.0674876,0.51799,0.241708,11.7142,0,-0.0674876,-6.44177e-05,-0.0157727
29,0.25606,3.7148,0.0690797,0.446879,0.240153,9.82921,0,-0.0690797,-7.66814e-05,-0.0153767
30,0.263737,2.004,0.0706635,0.372822,0.235709,7.92221,0,-0.0706634,-8.85427e-05,-0.0148007
31,0.271117,0.776398,0.0722754,0.300212,0.227889,6.39053,0,-0.0722754,-9.89139e-05,-0.014163
32,0.277747,0.95702,0.0739225,0.247818,0.215325,5.57108,0,-0.0739224,-0.000107169,-0.0136097
33,0.283195,1.89167,0.0755731,0.217835,0.198318,5.10019,0,-0.075573,-0.000112742,-0.0131915
34,0.287102,2.5011,0.0771685,0.202706,0.178577,4.90553,0,-0.0771684,-0.000115454,-0.0130277
35,0.289256,2.7442,0.0786602,0.196611,0.157909,4.80528,0,-0.0786601,-0.000115186,-0.0129305
36,0.289595,2.66116,0.0800151,0.194454,0.137135,4.82604,0,-0.080015,-0.000113323,-0.012849
37,0.288192,2.31796,0.0811896,0.197052,0.116578,4.98134,0,-0.0811895,-0.000109807,-0.0127213
38,0.285266,1.79599,0.0821491,0.20468,0.0969395,5.26523,0,-0.082149,-0.000104129,-0.012202
39,0.281155,1.1756,0.0828882,0.216887,0.0800256,5.7518,0,-0.0828882,-9.7394e-05,-0.011371
40,0.276251,0.515313,0.0834347,0.243616,0.066521,6.8748,0,-0.0834346,-8.99881e-05,-0.0102926
41,0.27096,0.409563,0.0838359,0.286602,0.055839,7.97724,0,-0.0838359,-8.26567e-05,-0.00902936
42,0.265669,0.79831,0.0841443,0.328379,0.047419,8.9974,0,-0.0841443,-7.57277e-05,-0.00765914
43,0.260722,1.40209,0.0844072,0.366726,0.0408016,9.89088,0,-0.0844071,-6.95884e-05,-0.00623045
44,0.256394,1.94729,0.0846601,0.399968,0.0356113,10.6256,0,-0.0846601,-6.42985e-05,-0.00483663
45,0.25289,2.41549,0.0849234,0.426907,0.0315494,11.1796,0,-0.0849233,-6.00666e-05,-0.00352671
46,0.250339,2.78785,0.0852002,0.446774,0.028364,11.5494,0,-0.0852001,-5.65201e-05,-0.00233979
47,0.248798,3.0466,0.0854819,0.459136,0.0258526,11.7163,0,-0.0854819,-5.39273e-05,-0.00131088
48,0.248263,3.17747,0.0857494,0.463932,0.0238463,11.6965,0,-0.0857494,-5.20051e-05,-0.000468969
49,0.248679,3.17262,0.0859819,0.461398,0.0222015,11.4932,0,-0.0859819,-5.07087e-05,0.000177845
50,0.249946,3.03215,0.0861575,0.452062,0.0208023,11.1331,0,-0.0861575,-4.97848e-05,0.000599252
51,0.251933,2.76605,0.0862594,0.436717,0.0195559,10.635,0,-0.0862594,-4.94272e-05,0.000766236
52,0.254483,2.39394,0.086273,0.416446,0.0183926,10.038,0,-0.086273,-4.90695e-05,0.000685116
53,0.257422,1.94424,0.0861923,0.39256,0.0172658,9.36986,0,-0.0861923,-4.93377e-05,0.000389881
54,0.260566,1.45161,0.0860135,0.366583,0.016148,8.6823,0,-0.0860135,-4.98146e-05,-0.000132361
55,0.263728,0.953707,0.0857362,0.340188,0.0150308,8.01614,0,-0.0857361,-5.05894e-05,-0.000829125
56,0.266728,0.487719,0.0853634,0.315048,0.0139282,7.41008,0,-0.0853634,-5.12898e-05,-0.00166235
57,0.269403,0.286437,0.0848944,0.29277,0.012863,6.90806,0,-0.0848943,-5.20647e-05,-0.00258336
58,0.271614,0.29477,0.0843319,0.274755,0.0118652,6.58136,0,-0.0843319,-5.26905e-05,-0.00353326
59,0.273258,0.433428,0.0836776,0.262433,0.0109685,6.37435,0,-0.0836776,-5.28693e-05,-0.00442837
60,0.274275,0.525777,0.082933,0.255211,0.010206,6.25998,0,-0.0829329,-5.30183e-05,-0.00520343
61,0.274651,0.507871,0.0821041,0.254134,0.00959978,6.34525,0,-0.082104,-5.31077e-05,-0.00585946
62,0.274417,0.389817,0.0811981,0.258723,0.0091633,6.56543,0,-0.0811981,-5.29587e-05,-0.00634697
63,0.273643,0.221865,0.0802253,0.268111,0.00889855,6.89032,0,-0.0802253,-5.27799e-05,-0.00664414
64,0.272431,0.19397,0.0791995,0.281264,0.0087958,7.28805,0,-0.0791995,-5.24223e-05,-0.00675837
65,0.270904,0.394843,0.0781373,0.297003,0.00883654,7.73063,0,-0.0781373,-5.19454e-05,-0.00670216
66,0.269195,0.730922,0.0770557,0.314102,0.00899819,8.18124,0,-0.0770557,-5.20349e-05,-0.00644639
67,0.267438,1.07201,0.0759722,0.331418,0.00925045,8.61902,0,-0.0759722,-5.21094e-05,-0.00609495
68,0.265757,1.40061,0.0749031,0.347912,0.00956656,9.01586,0,-0.074903,-5.22137e-05,-0.00568616
69,0.264258,1.70156,0.0738627,0.362726,0.00991505,9.35399,0,-0.0738627,-5.26905e-05,-0.00525459
70,0.263028,1.96245,0.0728626,0.375172,0.0102753,9.62268,0,-0.0728626,-5.37485e-05,-0.00484219
71,0.262127,2.17341,0.071911,0.384772,0.010623,9.80929,0,-0.0719109,-5.50896e-05,-0.00443713
72,0.261593,2.32739,0.0710147,0.391236,0.0109373,9.91172,0,-0.0710146,-5.66095e-05,-0.00409787
73,0.261436,2.4205,0.0701773,0.394458,0.0112033,9.93178,0,-0.0701772,-5.82039e-05,-0.00385379
74,0.261643,2.45218,0.0694019,0.394503,0.0114079,9.87332,0,-0.0694019,-5.9709e-05,-0.00372524
75,0.262183,2.42544,0.0686895,0.391611,0.0115434,9.74546,0,-0.0686895,-6.12885e-05,-0.00374086
76,0.263004,2.34602,0.0680408,0.386139,0.0116044,9.55783,0,-0.0680407,-6.26594e-05,-0.0038689
77,0.264045,2.22242,0.0674565,0.378573,0.0115916,9.32965,0,-0.0674565,-6.36876e-05,-0.00410815
78,0.265235,2.06581,0.0669389,0.369493,0.0115088,9.0732,0,-0.0669388,-6.46114e-05,-0.00444198
79,0.266499,1.88911,0.0664885,0.359537,0.0113632,8.80727,0,-0.0664884,-6.49542e-05,-0.00486387
80,0.26776,1.7055,0.066107,0.349359,0.0111672,8.54888,0,-0.066107,-6.50436e-05,-0.00533663
81,0.268947,1.52802,0.0657965,0.339612,0.0109343,8.31365,0,-0.0657965,-6.47604e-05,-0.00584962
82,0.269997,1.36826,0.0655581,0.330876,0.0106814,8.11486,0,-0.065558,-6.42538e-05,-0.00634167
83,0.270857,1.23571,0.0653914,0.323636,0.0104266,7.96445,0,-0.0653913,-6.35087e-05,-0.00676167
84,0.271489,1.13704,0.0652969,0.318249,0.0101855,7.8644,0,-0.0652969,-6.24806e-05,-0.00710605
85,0.271871,1.07603,0.0652727,0.314941,0.00997184,7.82212,0,-0.0652727,-6.12736e-05,-0.00733313
86,0.271995,1.05319,0.065318,0.313763,0.00979776,7.83287,0,-0.065318,-5.97388e-05,-0.00741411
87,0.271873,1.06649,0.06543,0.314629,0.00967172,7.89323,0,-0.06543,-5.78761e-05,-0.00737229
88,0.271526,1.11155,0.0656066,0.317319,0.00959797,7.99475,0,-0.0656065,-5.60582e-05,-0.0071733
89,0.270991,1.18262,0.0658452,0.321518,0.00957646,8.12705,0,-0.0658452,-5.38826e-05,-0.0068022
90,0.27031,1.2727,0.0661437,0.326837,0.00960431,8.28101,0,-0.0661436,-5.16772e-05,-0.00630547
91,0.269535,1.37395,0.0664994,0.332851,0.00967559,8.44427,0,-0.0664994,-4.94719e-05,-0.00575206
92,0.268714,1.47858,0.0669086,0.339121,0.00978333,8.60661,0,-0.0669086,-4.73708e-05,-0.00516878
93,0.267896,1.57907,0.067369,0.34523,0.00991752,8.75512,0,-0.0673689,-4.56274e-05,-0.00454525
94,0.267126,1.66871,0.067876,0.35082,0.0100675,8.88501,0,-0.067876,-4.42863e-05,-0.00390964
95,0.266442,1.74187,0.0684255,0.355574,0.010224,8.98828,0,-0.0684255,-4.32581e-05,-0.00327215
96,0.265872,1.79417,0.0690138,0.359263,0.0103778,9.0613,0,-0.0690138,-4.22001e-05,-0.00268679
97,0.265436,1.82286,0.0696348,0.361727,0.010519,9.09842,0,-0.0696348,-4.09782e-05,-0.0022422
98,0.265144,1.82662,0.0702847,0.362905,0.0106415,9.10319,0,-0.0702846,-3.97861e-05,-0.00194041
