step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n,base_x_m,base_y_m,base_yaw_deg
0,0.41863,0.768874,0.00145958,0.102259,0.00440278,3.73983,0,-0.00145954,-6.10482e-07,-0.00063429
1,0.412408,0.807508,0.0017069,0.10446,0.00254937,2.59698,0,-0.0017068,2.88244e-07,-0.000782736
2,0.401864,0.484372,0.00112412,0.0670115,0.00196372,0.920195,0,-0.00112385,6.47735e-07,-0.000469151
3,0.387154,0.118951,0.000339863,0.0222551,0.00164624,0.512441,0,-0.000339541,8.57282e-07,-8.21921e-05
4,0.368519,0.124141,0.000212421,0.0132436,0.00130359,0.932225,0,0.000212117,4.39584e-07,0.000130817
5,0.346129,0.194303,0.000413862,0.0251106,0.00123865,0.839076,0,0.000413611,3.60887e-07,0.000150018
6,0.320039,0.146939,0.000354923,0.0288421,0.00118057,0.464132,0,0.00035465,2.5332e-07,4.96886e-05
7,0.292278,0.0845191,0.000184447,0.186411,0.000974571,7.95058,0,-9.60734e-05,2.49594e-07,0.000304962
8,0.266928,1.01237,0.00172017,0.351584,0.00142878,11.8447,0,-0.00172015,-1.13621e-07,3.23777e-05
9,0.245695,2.85447,0.00468064,0.499764,0.00260114,15.2131,0,-0.00468063,-5.75557e-07,-0.00078262
10,0.229327,5.41406,0.00886968,0.627663,0.00429397,18.1087,0,-0.00886966,-4.38653e-07,-0.00176216
11,0.217609,8.46977,0.0140508,0.735259,0.00581046,20.3697,0,-0.0140508,5.41098e-07,-0.00235284
12,0.209665,11.7349,0.0198694,0.823405,0.00730689,22.2498,0,-0.0198694,1.50595e-06,-0.0025063
13,0.204447,14.8386,0.0258633,0.89214,0.00870765,23.4,0,-0.0258633,2.64356e-06,-0.00211639
14,0.200895,17.306,0.0315965,0.940522,0.0160766,23.4,0,-0.0315964,3.78815e-06,-0.00188775
15,0.198562,18.6237,0.0364079,0.965868,0.0391102,22.9875,0,-0.0364079,4.30318e-06,-0.00165341
16,0.197852,18.4719,0.0396341,0.965619,0.0609766,20.2,0,-0.0396341,3.86219e-06,-0.00134908
17,0.197962,17.8171,0.0424705,0.955415,0.0820451,20.2,0,-0.0424705,2.65054e-06,-0.00144594
18,0.198795,16.9184,0.0451948,0.938871,0.102675,20.2,0,-0.0451948,2.41492e-06,-0.0021617
19,0.200468,15.8858,0.0478494,0.916668,0.121639,20.2,0,-0.0478494,2.68454e-06,-0.00346763
20,0.203068,14.8298,0.0504739,0.889686,0.136091,20.2,0,-0.0504738,2.28593e-06,-0.00493151
21,0.206597,13.8009,0.0530727,0.858414,0.144473,20.1995,0,-0.0530726,1.66101e-06,-0.00636988
22,0.210989,12.798,0.0556245,0.822954,0.156584,19.7091,0,-0.0556245,4.24217e-07,-0.0076977
23,0.21614,11.789,0.0580865,0.783199,0.176641,18.8327,0,-0.0580864,-2.30037e-06,-0.00884559
24,0.221926,10.7305,0.0604133,0.738919,0.196317,17.6413,0,-0.0604132,-6.45407e-06,-0.00975708
25,0.228225,9.58211,0.0625697,0.689832,0.215067,16.3211,0,-0.0625696,-1.22855e-05,-0.0104001
26,0.234935,8.30334,0.0645488,0.635552,0.230639,14.8673,0,-0.0645486,-1.91531e-05,-0.01079
27,0.241984,6.86092,0.0663827,0.575502,0.239157,13.2579,0,-0.0663825,-2.77413e-05,-0.0110068
28,0.249346,5.2597,0.0681093,0.509409,0.241365,11.4896,0,-0.0681091,-3.71137e-05,-0.0110582
29,0.256968,3.54734,0.0697773,0.437831,0.239791,9.59427,0,-0.0697771,-4.75808e-05,-0.0109198
30,0.264614,1.83946,0.0714363,0.363695,0.235045,7.6928,0,-0.0714361,-5.77518e-05,-0.0107074
31,0.271907,0.676665,0.0731217,0.291593,0.226648,6.22367,0,-0.0731214,-6.72969e-05,-0.0104734
32,0.278398,1.05516,0.0748368,0.241971,0.213317,5.52,0,-0.0748366,-7.54977e-05,-0.0103053
33,0.28366,1.97251,0.0765474,0.216503,0.19574,5.11256,0,-0.0765472,-8.18991e-05,-0.0102561
34,0.28735,2.54291,0.0781924,0.203431,0.175759,4.93335,0,-0.0781921,-8.59005e-05,-0.010296
35,0.289275,2.74833,0.0797269,0.197948,0.15503,4.85025,0,-0.0797267,-8.73818e-05,-0.0102573
36,0.289394,2.6325,0.0811201,0.196435,0.134266,4.8876,0,-0.0811199,-8.68444e-05,-0.0101265
37,0.287795,2.26347,0.0823272,0.199681,0.113755,5.05902,0,-0.082327,-8.4877e-05,-0.00975671
38,0.284709,1.72569,0.0833129,0.207923,0.0944512,5.3583,0,-0.0833128,-8.14381e-05,-0.00906898
39,0.280484,1.09755,0.0840751,0.220629,0.0780227,5.86325,0,-0.084075,-7.68467e-05,-0.00817004
40,0.275512,0.43735,0.0846424,0.247889,0.0649303,6.98642,0,-0.0846424,-7.19023e-05,-0.0071196
41,0.270198,0.429084,0.0850631,0.290791,0.0545806,8.08013,0,-0.085063,-6.73034e-05,-0.00597959
42,0.264927,0.870166,0.0853905,0.332199,0.0464266,9.08575,0,-0.0853904,-6.2976e-05,-0.00481314
43,0.260032,1.46519,0.0856705,0.369964,0.0400205,9.96067,0,-0.0856704,-5.97197e-05,-0.00367075
44,0.255785,1.99941,0.0859381,0.402475,0.0349983,10.6745,0,-0.085938,-5.69317e-05,-0.00260918
45,0.25238,2.45463,0.0862115,0.428593,0.0310669,11.2079,0,-0.0862115,-5.53858e-05,-0.00166334
46,0.249938,2.81243,0.0864936,0.447592,0.0279833,11.5531,0,-0.0864935,-5.44288e-05,-0.000868308
47,0.248511,3.05553,0.0867739,0.459087,0.0255496,11.6994,0,-0.0867738,-5.38342e-05,-0.00023167
48,0.248088,3.17045,0.0870345,0.463045,0.0236009,11.6583,0,-0.0870345,-5.43175e-05,0.000216687
49,0.248608,3.15022,0.0872539,0.45974,0.0219979,11.4383,0,-0.0872539,-5.49885e-05,0.000452526
50,0.249968,2.99583,0.0874107,0.449719,0.0206274,11.0605,0,-0.0874107,-5.57797e-05,0.000482637
51,0.252033,2.71817,0.0874868,0.433813,0.0194,10.5527,0,-0.0874868,-5.70482e-05,0.000312863
52,0.254643,2.33775,0.0874707,0.413123,0.0182482,9.9464,0,-0.0874706,-5.85183e-05,-4.55072e-05
53,0.257622,1.88365,0.0873546,0.388978,0.017128,9.27479,0,-0.0873545,-6.05318e-05,-0.000565981
54,0.260786,1.39087,0.0871363,0.362929,0.0160145,8.5901,0,-0.0871362,-6.25621e-05,-0.00123242
55,0.263947,0.897083,0.086816,0.336647,0.0149017,7.92945,0,-0.0868159,-6.47558e-05,-0.00201072
56,0.266928,0.439582,0.0863949,0.311798,0.013805,7.33399,0,-0.0863948,-6.64424e-05,-0.00286726
57,0.269566,0.241918,0.0858752,0.289986,0.0127479,6.84958,0,-0.0858751,-6.7757e-05,-0.00375655
58,0.271726,0.299322,0.0852586,0.2726,0.0117611,6.53961,0,-0.0852585,-6.88443e-05,-0.00463256
59,0.273311,0.443409,0.0845475,0.261013,0.0108798,6.34448,0,-0.0845474,-6.93379e-05,-0.00541992
60,0.274266,0.520725,0.0837451,0.254468,0.0101344,6.25413,0,-0.083745,-6.95814e-05,-0.00608003
61,0.274581,0.488637,0.0828569,0.253997,0.00954739,6.355,0,-0.0828568,-6.90785e-05,-0.0065868
62,0.274292,0.35812,0.0818916,0.259194,0.00913052,6.58857,0,-0.0818915,-6.82008e-05,-0.00690791
63,0.273473,0.200794,0.0808602,0.26908,0.00888513,6.92363,0,-0.0808601,-6.69765e-05,-0.0070564
64,0.272229,0.223736,0.0797768,0.282597,0.00879973,7.32846,0,-0.0797767,-6.5309e-05,-0.00703125
65,0.270685,0.453094,0.0786586,0.298553,0.0088556,7.77341,0,-0.0786585,-6.32969e-05,-0.00684861
66,0.268974,0.792631,0.0775234,0.315739,0.00902835,8.22472,0,-0.0775233,-6.13262e-05,-0.00651643
67,0.26723,1.13539,0.0763889,0.333013,0.00928948,8.65901,0,-0.0763889,-5.94296e-05,-0.00607342
68,0.265573,1.4638,0.0752708,0.349361,0.00960997,9.04985,0,-0.0752707,-5.76992e-05,-0.00556773
69,0.264109,1.76308,0.0741841,0.363948,0.00996126,9.38157,0,-0.0741841,-5.62649e-05,-0.00501726
70,0.262922,2.02104,0.0731394,0.376108,0.0103204,9.64071,0,-0.0731393,-5.50593e-05,-0.00448186
71,0.262069,2.22816,0.0721467,0.38539,0.010664,9.81856,0,-0.0721466,-5.41965e-05,-0.0039693
72,0.261584,2.37765,0.0712115,0.391523,0.0109735,9.91299,0,-0.0712114,-5.35124e-05,-0.00351888
73,0.261474,2.46592,0.0703369,0.394415,0.0112329,9.92459,0,-0.0703368,-5.30691e-05,-0.00317317
74,0.261726,2.49277,0.0695268,0.394152,0.0114304,9.85865,0,-0.0695267,-5.25108e-05,-0.00295591
75,0.262303,2.46149,0.0687818,0.390984,0.0115576,9.72476,0,-0.0687816,-5.23305e-05,-0.00285043
76,0.263156,2.37809,0.0681036,0.385287,0.0116106,9.531,0,-0.0681035,-5.21373e-05,-0.00286454
77,0.264221,2.25151,0.067493,0.377556,0.0115899,9.30028,0,-0.0674929,-5.13555e-05,-0.0029926
78,0.265425,2.09314,0.0669526,0.368375,0.0114997,9.04312,0,-0.0669525,-5.065e-05,-0.00321059
79,0.266694,1.91586,0.0664832,0.358384,0.0113482,8.77839,0,-0.066483,-4.96972e-05,-0.00350313
80,0.267952,1.73298,0.0660873,0.348244,0.0111472,8.52227,0,-0.0660871,-4.87082e-05,-0.00384654
81,0.269128,1.55736,0.0657667,0.338592,0.0109119,8.29033,0,-0.0657665,-4.76888e-05,-0.00421822
82,0.270161,1.40043,0.0655219,0.330007,0.0106581,8.09778,0,-0.0655217,-4.66458e-05,-0.00458538
83,0.270999,1.27137,0.065354,0.322953,0.0104042,7.95164,0,-0.0653538,-4.549e-05,-0.00491132
84,0.271605,1.17659,0.0652617,0.317783,0.010165,7.85635,0,-0.0652615,-4.42127e-05,-0.00517815
85,0.271959,1.11953,0.0652456,0.314698,0.00995531,7.82035,0,-0.0652454,-4.27999e-05,-0.00536269
86,0.272056,1.10045,0.0653019,0.313738,0.00978596,7.83613,0,-0.0653017,-4.15924e-05,-0.00544855
87,0.271907,1.11698,0.0654294,0.314796,0.00966532,7.90102,0,-0.0654292,-4.00255e-05,-0.00544267
88,0.271538,1.16468,0.0656256,0.317648,0.0095972,8.00601,0,-0.0656254,-3.83211e-05,-0.00532813
89,0.270984,1.2376,0.0658876,0.321966,0.00958088,8.13978,0,-0.0658875,-3.67002e-05,-0.0050971
90,0.270289,1.32853,0.0662124,0.327359,0.00961374,8.29562,0,-0.0662123,-3.52948e-05,-0.00476144
91,0.269504,1.42973,0.0665972,0.333396,0.00968952,8.45831,0,-0.0665971,-3.38629e-05,-0.00436818
92,0.268679,1.53333,0.0670386,0.339643,0.00980054,8.61881,0,-0.0670385,-3.30196e-05,-0.00393516
93,0.267861,1.63193,0.0675328,0.345692,0.00993662,8.76445,0,-0.0675327,-3.26056e-05,-0.00345508
94,0.267095,1.71892,0.0680756,0.351184,0.0100876,8.89246,0,-0.0680755,-3.24012e-05,-0.00296454
95,0.266418,1.78884,0.0686623,0.355813,0.0102443,8.99205,0,-0.0686623,-3.21241e-05,-0.00249375
96,0.265856,1.8375,0.0692881,0.359356,0.0103974,9.06073,0,-0.0692881,-3.22484e-05,-0.00206778
97,0.26543,1.86222,0.0699488,0.361669,0.0105364,9.09298,0,-0.0699487,-3.25167e-05,-0.00173129
98,0.265148,1.86203,0.0706375,0.362697,0.0106566,9.09649,0,-0.0706374,-3.28314e-05,-0.00149369
99,0.26501,1.83692,0.0713486,0.362441,0.0107517,9.0655,0,-0.0713485,-3.35458e-05,-0.0013821
100,0.265007,1.78856,0.0720762,0.360991,0.010818,9.00732,0,-0.0720762,-3.44221e-05,-0.00138242
101,0.265122,1.71974,0.072813,0.358486,0.0108534,8.92261,0,-0.072813,-3.53116e-05,-0.0014818
102,0.265334,1.63442,0.0735534,0.355127,0.0108591,8.82473,0,-0.0735533,-3.64175e-05,-0.00166696
103,0.265616,1.53735,0.0742902,0.351149,0.0108353,8.71345,0,-0.0742902,-3.78797e-05,-0.00193735
104,0.26594,1.43373,0.075017,0.34681,0.0107867,8.59844,0,-0.075017,-3.91449e-05,-0.00228182
105,0.266276,1.32888,0.0757281,0.342376,0.0107176,8.48479,0,-0.0757281,-4.03067e-05,-0.00269176
106,0.266597,1.22779,0.0764171,0.3381,0.0106338,8.38158,0,-0.0764171,-4.19319e-05,-0.00311416
107,0.266876,1.13506,0.0770788,0.334218,0.0105416,8.29212,0,-0.0770787,-4.35011e-05,-0.00353078
108,0.267095,1.05441,0.0777071,0.33092,0.0104472,8.22067,0,-0.077707,-4.54206e-05,-0.00391119
109,0.267237,0.988528,0.0782973,0.328353,0.0103572,8.17017,0,-0.0782972,-4.74155e-05,-0.00424678
110,0.267293,0.939208,0.078845,0.326608,0.0102768,8.14163,0,-0.078845,-4.97648e-05,-0.00454857
111,0.26726,0.907197,0.0793474,0.325724,0.0102098,8.13617,0,-0.0793473,-5.20074e-05,-0.00479237
112,0.267141,0.892039,0.079801,0.325679,0.0101613,8.15036,0,-0.079801,-5.39846e-05,-0.00496994
113,0.266946,0.892039,0.0802031,0.326394,0.0101315,8.18277,0,-0.0802031,-5.59292e-05,-0.00508419
114,0.266687,0.905453,0.0805525,0.327761,0.0101221,8.22929,0,-0.0805524,-5.78011e-05,-0.0051443
115,0.266382,0.929845,0.0808491,0.329639,0.0101318,8.28594,0,-0.080849,-5.95963e-05,-0.00517199
116,0.26605,0.962398,0.0810926,0.331872,0.0101583,8.3482,0,-0.0810925,-6.16824e-05,-0.00512988
117,0.265711,1.00014,0.0812832,0.334286,0.0101994,8.41189,0,-0.0812831,-6.36098e-05,-0.00504297
118,0.265385,1.04001,0.081421,0.33672,0.0102517,8.47234,0,-0.0814209,-6.53579e-05,-0.00494428
119,0.265088,1.07925,0.0815073,0.339021,0.0103109,8.52826,0,-0.0815073,-6.68839e-05,-0.00483447
120,0.264838,1.1155,0.0815433,0.341058,0.010373,8.57397,0,-0.0815432,-6.81258e-05,-0.00473663
121,0.264645,1.1468,0.0815304,0.342729,0.010434,8.60904,0,-0.0815304,-6.9405e-05,-0.00467389
122,0.264519,1.17179,0.0814696,0.343963,0.0104911,8.63178,0,-0.0814695,-7.04229e-05,-0.00465396
123,0.264462,1.18958,0.0813629,0.34472,0.0105409,8.6419,0,-0.0813628,-7.1289e-05,-0.00469154
124,0.264476,1.19995,0.0812116,0.344994,0.0105805,8.63969,0,-0.0812115,-7.15959e-05,-0.00475106
125,0.264556,1.2034,0.0810182,0.344809,0.0106087,8.62643,0,-0.0810181,-7.19656e-05,-0.00483097
126,0.264696,1.20082,0.0807844,0.344219,0.0106245,8.60394,0,-0.0807843,-7.21458e-05,-0.00492873
127,0.264886,1.19308,0.0805117,0.343291,0.010629,8.57439,0,-0.0805116,-7.19856e-05,-0.00503444
128,0.265113,1.18152,0.0802019,0.342117,0.0106213,8.53978,0,-0.0802018,-7.16601e-05,-0.00514829
129,0.265366,1.16783,0.0798574,0.340785,0.0106033,8.50373,0,-0.0798573,-7.11181e-05,-0.00526345
130,0.265632,1.15395,0.0794818,0.339407,0.010576,8.46827,0,-0.0794817,-7.04639e-05,-0.00536483
