attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01235,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
4,0,0.0,spawn,0.01235,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
5,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
6,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
7,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
8,0,0.0,spawn,0.01235,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
9,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
10,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
11,0,0.0,spawn,0.01235,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
12,0,0.0,spawn,0.01235,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
13,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
14,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
15,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,1.728,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.02268,0.0225,0.00288,0.02209,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
4,1,0.02,spawn,0.02269,0.0225,0.00288,0.02209,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
5,1,0.02,spawn,0.02268,0.0225,0.00288,0.02209,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
6,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
7,1,0.02,spawn,0.02269,0.0225,0.00288,0.02209,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
8,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
9,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
10,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
11,1,0.02,spawn,0.02269,0.0225,0.00288,0.02209,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
12,1,0.02,spawn,0.02268,0.0225,0.00288,0.02208,0.0012,-3.46,9.97,0.35,0.0017,-0.088,1.73,0.0,0.0,0,0.0,0.0
