step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n,base_x_m,base_y_m,base_yaw_deg
0,0.280291,0.789461,0.00120521,0.146925,0.00378742,3.22791,0,-0.00120521,-2.83122e-06,-0.000292791
1,0.27907,1.60559,0.00272437,0.282282,0.00296847,6.87949,0,-0.00272436,-5.20051e-06,-0.000666398
2,0.278033,2.50786,0.00450955,0.331116,0.00242007,8.72436,0,-0.00450954,-7.6443e-06,-0.00109942
3,0.277202,3.31352,0.00646397,0.351619,0.00392364,9.18123,0,-0.00646396,-9.71556e-06,-0.00139488
4,0.276423,3.91478,0.00847259,0.367762,0.00599746,9.49952,0,-0.00847258,-1.24872e-05,-0.00147396
5,0.275646,4.25833,0.0104589,0.378935,0.00794464,9.69333,0,-0.0104589,-1.55121e-05,-0.0013175
6,0.274891,4.33554,0.0124084,0.384886,0.00967089,9.74104,0,-0.0124084,-1.94162e-05,-0.000999296
7,0.274242,4.17283,0.0143574,0.385717,0.0110048,9.66306,0,-0.0143574,-2.40058e-05,-0.000618845
8,0.273807,3.84142,0.0163629,0.382167,0.0124294,9.4926,0,-0.0163629,-2.88635e-05,-0.000248343
9,0.273672,3.41949,0.0184881,0.375181,0.0136601,9.25772,0,-0.018488,-3.44217e-05,1.52667e-05
10,0.273884,2.96987,0.0207875,0.365618,0.013671,8.97064,0,-0.0207874,-4.01437e-05,5.59624e-05
11,0.274443,2.53828,0.0232901,0.354279,0.013244,8.65333,0,-0.02329,-4.5374e-05,-0.000147697
12,0.27529,2.15071,0.0259987,0.341923,0.0127991,8.32389,0,-0.0259987,-5.01722e-05,-0.000616282
13,0.276322,1.81647,0.0288921,0.329288,0.0123744,7.99905,0,-0.0288921,-5.43147e-05,-0.00131356
14,0.277409,1.53124,0.0319321,0.317011,0.0119893,7.70173,0,-0.031932,-5.75334e-05,-0.00217318
15,0.278416,1.28368,0.0350711,0.30564,0.0116555,7.43316,0,-0.0350711,-6.0156e-05,-0.00310823
16,0.279222,1.061,0.0382591,0.295665,0.0113651,7.21214,0,-0.038259,-6.17653e-05,-0.00408509
17,0.279732,0.853971,0.0414522,0.287471,0.0111133,7.04157,0,-0.0414521,-6.2868e-05,-0.00505177
18,0.279888,0.658755,0.0446175,0.281356,0.0108976,6.92844,0,-0.0446174,-6.33895e-05,-0.0059264
19,0.27967,0.476716,0.0477315,0.277501,0.0107128,6.87227,0,-0.0477314,-6.35982e-05,-0.0066615
20,0.279089,0.313559,0.0507818,0.276065,0.0105599,6.94929,0,-0.0507818,-6.33001e-05,-0.00725553
21,0.278187,0.211118,0.0537625,0.279913,0.0104483,7.11698,0,-0.0537625,-6.28084e-05,-0.0076895
22,0.277024,0.189543,0.0566713,0.28719,0.0103832,7.3363,0,-0.0566713,-6.21676e-05,-0.00792257
23,0.275669,0.197852,0.0595061,0.295917,0.0103679,7.56565,0,-0.059506,-6.15269e-05,-0.00795583
24,0.274196,0.218624,0.0622638,0.304802,0.01041,7.81278,0,-0.0622637,-6.07967e-05,-0.00782838
25,0.272676,0.226634,0.0649361,0.314715,0.0105058,8.05995,0,-0.0649361,-5.97537e-05,-0.00754915
26,0.271172,0.228615,0.0675139,0.324403,0.0106466,8.29245,0,-0.0675139,-5.86212e-05,-0.00717455
27,0.269742,0.228782,0.0699854,0.333446,0.0108269,8.5059,0,-0.0699853,-5.70863e-05,-0.00672083
28,0.26843,0.230174,0.0723372,0.341736,0.01103,8.69802,0,-0.0723372,-5.56409e-05,-0.00618776
29,0.267272,0.234088,0.0745585,0.349283,0.0112386,8.87442,0,-0.0745585,-5.41061e-05,-0.0055647
30,0.266294,0.240328,0.0766371,0.356113,0.0114413,9.03226,0,-0.0766371,-5.25117e-05,-0.00493981
