step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
74,0.66639,0.23996,0.09847,0.32795,0.23827,0.0000,0.0000,3.4163
75,0.66293,0.23916,0.09669,0.32709,0.23822,0.0000,0.0000,3.3807
76,0.66025,0.23851,0.09534,0.32640,0.23838,0.0000,0.0000,3.3169
77,0.65806,0.23722,0.09484,0.32601,0.23879,0.0000,0.0000,3.3131
78,0.65811,0.23677,0.09544,0.32589,0.23892,0.0000,0.0000,3.2945
79,0.65734,0.23552,0.09613,0.32569,0.23926,0.0000,0.0000,3.2872
80,0.65656,0.23500,0.09607,0.32548,0.23946,0.0000,0.0000,3.3093
81,0.65646,0.23549,0.09546,0.32551,0.23960,0.0000,0.0000,3.3516
82,0.65711,0.23639,0.09510,0.32561,0.23962,0.0000,0.0000,3.4537
83,0.65824,0.23741,0.09513,0.32570,0.23949,0.0000,0.0000,3.5734
84,0.65957,0.23835,0.09551,0.32571,0.23923,0.0000,0.0000,3.6992
85,0.66065,0.23914,0.09596,0.32556,0.23886,0.0000,0.0000,3.8371
86,0.66071,0.23912,0.09646,0.32513,0.23846,0.0000,0.0000,3.9438
87,0.66000,0.23833,0.09723,0.32444,0.23802,0.0000,0.0000,3.9645
88,0.65878,0.23785,0.09718,0.32375,0.23762,0.0000,0.0000,4.0194
89,0.65763,0.23782,0.09658,0.32323,0.23732,0.0000,0.0000,4.0663
90,0.65698,0.23800,0.09608,0.32291,0.23715,0.0000,0.0000,4.0866
91,0.65655,0.23804,0.09578,0.32274,0.23711,0.0000,0.0000,4.1025
92,0.65615,0.23810,0.09538,0.32268,0.23718,0.0000,0.0000,4.1000
93,0.65600,0.23814,0.09512,0.32274,0.23735,0.0000,0.0000,4.0898
94,0.65597,0.23830,0.09475,0.32292,0.23759,0.0000,0.0000,4.0774
95,0.65605,0.23847,0.09440,0.32317,0.23788,0.0000,0.0000,4.0707
96,0.65630,0.23866,0.09417,0.32347,0.23818,0.0000,0.0000,4.0702
97,0.65662,0.23889,0.09394,0.32378,0.23848,0.0000,0.0000,4.0648
98,0.65694,0.23903,0.09385,0.32406,0.23874,0.0000,0.0000,4.0993
99,0.65734,0.23921,0.09381,0.32432,0.23895,0.0000,0.0000,4.1306
100,0.65761,0.23930,0.09383,0.32448,0.23908,0.0000,0.0000,4.1534
101,0.65782,0.23911,0.09417,0.32454,0.23914,0.0000,0.0000,4.1892
102,0.65744,0.23864,0.09444,0.32436,0.23906,0.0000,0.0000,4.2410
103,0.65686,0.23830,0.09448,0.32408,0.23893,0.0000,0.0000,4.2831
104,0.65628,0.23806,0.09444,0.32378,0.23875,0.0000,0.0000,4.3192
105,0.65573,0.23805,0.09419,0.32349,0.23856,0.0000,0.0000,4.3723
106,0.65535,0.23806,0.09405,0.32324,0.23837,0.0000,0.0000,4.4077
107,0.65509,0.23809,0.09397,0.32302,0.23819,0.0000,0.0000,4.4523
108,0.65500,0.23813,0.09400,0.32286,0.23804,0.0000,0.0000,4.4785
109,0.65500,0.23817,0.09408,0.32275,0.23792,0.0000,0.0000,4.4901
110,0.65502,0.23821,0.09414,0.32267,0.23784,0.0000,0.0000,4.4905
111,0.65507,0.23827,0.09416,0.32264,0.23780,0.0000,0.0000,4.4899
112,0.65509,0.23836,0.09409,0.32265,0.23780,0.0000,0.0000,4.4832
113,0.65513,0.23845,0.09399,0.32269,0.23783,0.0000,0.0000,4.4912
114,0.65519,0.23854,0.09387,0.32277,0.23790,0.0000,0.0000,4.4905
115,0.65530,0.23865,0.09376,0.32289,0.23800,0.0000,0.0000,4.4986
116,0.65547,0.23877,0.09367,0.32303,0.23812,0.0000,0.0000,4.5005
117,0.65572,0.23888,0.09364,0.32320,0.23824,0.0000,0.0000,4.4979
118,0.65600,0.23900,0.09362,0.32338,0.23836,0.0000,0.0000,4.4991
119,0.65628,0.23910,0.09364,0.32354,0.23847,0.0000,0.0000,4.5139
120,0.65653,0.23920,0.09364,0.32368,0.23856,0.0000,0.0000,4.5232
121,0.65673,0.23931,0.09363,0.32379,0.23863,0.0000,0.0000,4.5436
122,0.65674,0.23938,0.09352,0.32384,0.23865,0.0000,0.0000,4.5644
123,0.65657,0.23935,0.09341,0.32381,0.23863,0.0000,0.0000,4.5851
124,0.65626,0.23922,0.09334,0.32370,0.23857,0.0000,0.0000,4.6113
125,0.65587,0.23904,0.09329,0.32354,0.23849,0.0000,0.0000,4.6347
126,0.65546,0.23885,0.09325,0.32336,0.23838,0.0000,0.0000,4.6550
127,0.65512,0.23870,0.09323,0.32319,0.23828,0.0000,0.0000,4.6763
128,0.65482,0.23860,0.09318,0.32304,0.23819,0.0000,0.0000,4.6891
129,0.65456,0.23852,0.09314,0.32290,0.23810,0.0000,0.0000,4.7036
130,0.65437,0.23849,0.09307,0.32280,0.23803,0.0000,0.0000,4.7173
131,0.65418,0.23845,0.09302,0.32271,0.23797,0.0000,0.0000,4.7244
132,0.65404,0.23846,0.09294,0.32264,0.23794,0.0000,0.0000,4.7310
133,0.65396,0.23848,0.09287,0.32261,0.23793,0.0000,0.0000,4.7312
134,0.65390,0.23853,0.09276,0.32261,0.23794,0.0000,0.0000,4.7353
135,0.65399,0.23862,0.09270,0.32266,0.23797,0.0000,0.0000,4.7396
136,0.65430,0.23875,0.09277,0.32278,0.23804,0.0000,0.0000,4.7413
137,0.65475,0.23884,0.09297,0.32294,0.23812,0.0000,0.0000,4.7463
138,0.65526,0.23895,0.09319,0.32312,0.23822,0.0000,0.0000,4.7517
139,0.65570,0.23909,0.09331,0.32330,0.23831,0.0000,0.0000,4.7545
140,0.65609,0.23917,0.09347,0.32345,0.23838,0.0000,0.0000,4.7625
141,0.65645,0.23929,0.09356,0.32360,0.23845,0.0000,0.0000,4.7682
142,0.65675,0.23941,0.09361,0.32373,0.23850,0.0000,0.0000,4.7784
143,0.65689,0.23951,0.09358,0.32380,0.23853,0.0000,0.0000,4.7906
144,0.65677,0.23955,0.09342,0.32380,0.23852,0.0000,0.0000,4.8054
145,0.65653,0.23952,0.09326,0.32374,0.23848,0.0000,0.0000,4.8233
146,0.65619,0.23941,0.09315,0.32363,0.23842,0.0000,0.0000,4.8413
147,0.65577,0.23924,0.09304,0.32349,0.23835,0.0000,0.0000,4.8598
148,0.65539,0.23910,0.09295,0.32334,0.23827,0.0000,0.0000,4.8770
149,0.65509,0.23895,0.09292,0.32321,0.23820,0.0000,0.0000,4.8914
150,0.65483,0.23890,0.09283,0.32310,0.23814,0.0000,0.0000,4.9011
151,0.65460,0.23879,0.09280,0.32300,0.23808,0.0000,0.0000,4.9139
152,0.65430,0.23867,0.09275,0.32288,0.23802,0.0000,0.0000,4.9210
153,0.65409,0.23861,0.09268,0.32280,0.23799,0.0000,0.0000,4.9287
154,0.65391,0.23860,0.09257,0.32274,0.23797,0.0000,0.0000,4.9337
155,0.65384,0.23866,0.09246,0.32272,0.23796,0.0000,0.0000,4.9378
156,0.65393,0.23876,0.09241,0.32276,0.23799,0.0000,0.0000,4.9433
157,0.65507,0.23979,0.08768,0.32759,0.23804,0.0000,0.0000,4.9470
158,0.65625,0.24069,0.08313,0.33243,0.23812,0.0000,0.0000,4.9383
159,0.65739,0.24156,0.07853,0.33729,0.23820,0.0000,0.0000,4.9291
160,0.65833,0.24233,0.07389,0.34212,0.23828,0.0000,0.0000,4.9238
161,0.65908,0.24299,0.06920,0.34689,0.23835,0.0000,0.0000,4.9194
162,0.65965,0.24357,0.06445,0.35163,0.23841,0.0000,0.0000,4.9148
163,0.66004,0.24403,0.05968,0.35632,0.23846,0.0000,0.0000,4.9146
164,0.66025,0.24442,0.05484,0.36098,0.23850,0.0000,0.0000,4.9151
165,0.66009,0.24469,0.04985,0.36554,0.23851,0.0000,0.0000,4.9216
166,0.65951,0.24477,0.04476,0.36998,0.23849,0.0000,0.0000,4.9307
167,0.65870,0.24472,0.03964,0.37434,0.23844,0.0000,0.0000,4.9389
168,0.65777,0.24453,0.03458,0.37866,0.23839,0.0000,0.0000,4.9489
169,0.65672,0.24424,0.02954,0.38294,0.23832,0.0000,0.0000,4.9597
170,0.65559,0.24387,0.02453,0.38719,0.23826,0.0000,0.0000,4.9666
171,0.65438,0.24338,0.01959,0.39141,0.23820,0.0000,0.0000,4.9750
172,0.65307,0.24281,0.01465,0.39561,0.23815,0.0000,0.0000,4.9803
173,0.65169,0.24220,0.00971,0.39978,0.23809,0.0000,0.0000,4.9856
174,0.65021,0.24147,0.00480,0.40394,0.23805,0.0000,0.0000,4.9903
175,0.64894,0.24073,0.00012,0.40809,0.23802,0.0000,0.0000,4.9929
176,0.65719,0.23994,0.00499,0.41226,0.23801,0.0000,0.0000,5.0004
177,0.66544,0.23916,0.00984,0.41645,0.23803,0.0000,0.0000,5.0032
178,0.67329,0.23822,0.01440,0.42066,0.23807,0.0000,0.0000,5.0129
179,0.68107,0.23726,0.01892,0.42489,0.23812,0.0000,0.0000,5.0177
180,0.68861,0.23617,0.02334,0.42910,0.23819,0.0000,0.0000,5.0288
181,0.69627,0.23508,0.02788,0.43330,0.23827,0.0000,0.0000,5.0374
182,0.70382,0.23392,0.03245,0.43745,0.23833,0.0000,0.0000,5.0473
183,0.71110,0.23261,0.03692,0.44156,0.23839,0.0000,0.0000,5.0606
184,0.71834,0.23127,0.04143,0.44563,0.23845,0.0000,0.0000,5.0721
185,0.72542,0.22983,0.04594,0.44966,0.23849,0.0000,0.0000,5.0880
186,0.73244,0.22832,0.05049,0.45363,0.23852,0.0000,0.0000,5.1010
187,0.73936,0.22668,0.05519,0.45749,0.23853,0.0000,0.0000,5.1138
188,0.74604,0.22488,0.05993,0.46122,0.23849,0.0000,0.0000,5.1260
189,0.75247,0.22295,0.06464,0.46488,0.23845,0.0000,0.0000,5.1318
190,0.75866,0.22090,0.06927,0.46849,0.23839,0.0000,0.0000,5.1389
191,0.76468,0.21877,0.07385,0.47206,0.23832,0.0000,0.0000,5.1434
192,0.77048,0.21656,0.07834,0.47558,0.23826,0.0000,0.0000,5.1476
193,0.77605,0.21424,0.08274,0.47907,0.23820,0.0000,0.0000,5.1510
194,0.78150,0.21188,0.08710,0.48252,0.23813,0.0000,0.0000,5.1484
195,0.78678,0.20943,0.09141,0.48594,0.23808,0.0000,0.0000,5.1482
196,0.79192,0.20692,0.09566,0.48933,0.23803,0.0000,0.0000,5.1451
197,0.79697,0.20438,0.09988,0.49271,0.23800,0.0000,0.0000,5.1390
198,0.80202,0.20185,0.10408,0.49610,0.23799,0.0000,0.0000,5.1343
199,0.80710,0.19937,0.10820,0.49952,0.23800,0.0000,0.0000,5.1245
200,0.81179,0.19682,0.11198,0.50299,0.23805,0.0000,0.0000,5.1216
201,0.81630,0.19422,0.11559,0.50648,0.23813,0.0000,0.0000,5.1127
202,0.82072,0.19158,0.11918,0.50996,0.23821,0.0000,0.0000,5.1069
203,0.82501,0.18887,0.12275,0.51339,0.23829,0.0000,0.0000,5.1005
204,0.82916,0.18609,0.12630,0.51677,0.23836,0.0000,0.0000,5.0934
205,0.83315,0.18323,0.12982,0.52010,0.23842,0.0000,0.0000,5.0906
206,0.83703,0.18031,0.13335,0.52337,0.23847,0.0000,0.0000,5.0859
207,0.84081,0.17733,0.13689,0.52658,0.23852,0.0000,0.0000,5.0853
208,0.84455,0.17433,0.14049,0.52973,0.23855,0.0000,0.0000,5.0811
