step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overforce,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14509,1790274634.101,-0.02495523,-0.03821106,0.1164286,-0.004833391,-0.0268322,-0.0004522648,0,-0.01213424,-0.0006947654,-0.0227297,-0.009732745,-0.0001504236,-9.904763e-05,-0.0006079436,0.08825713,-0.002591766,-5.639471e-05,-0.0004304814,-0.004637659,0.009781598,-0.01164678,-0.00483025,-0.0008812842,-0.000553738,-0.002172214,0.03394627,0,0,0.05554601,0.03195582,-0.0005761873,-0.00030936,0.0382696,0.0760826,0.02865867,0.1095887,0.001111127,2.25e-05,21.40897,0.002202062,4.253533e-13,0.001030578,6.035763e-05,0.009525157,0.05,0.1,0,2.25e-05,-0.007110606,2.345318,0.09784442,0,1,0.5,1,0,0,1,0,70,0,2.250797,1.863136,23895,0.8156833,85.21,9.069922
14510,1790274638.338,-0.02616402,-0.04141927,0.1254,-0.004686211,-0.01532112,-0.0003739547,0,-0.01270044,-0.0007736739,-0.01833456,-0.009988843,-0.0001633146,0,-0.0007989446,0.09150752,-0.002613808,0,0,-0.005010876,0.008974716,-0.0137361,-0.004938945,-0.0001225899,-2.876549e-06,-0.0005884751,0.02247567,0,0,0.05898724,0.03507215,-0.0005797073,-0.0003064514,0.04011471,0.07612061,0.0334102,0.1217531,0.001048044,2.25e-05,21.41735,0.002061482,3.299332e-13,0.0009553434,5.809475e-05,0.009949026,0.05,0.1,0,2.25e-05,-0.006634033,1.980115,0.07345366,0,1,1,0,1,0,0,0,70,0,2.353144,1.846053,23410,0.8160691,96.46,10.17676
14511,1790274642.604,-0.02971484,-0.04442208,0.1354285,-0.005412371,-0.01537253,-0.0004124887,0,-0.01463646,-0.0008717108,-0.01547154,-0.01178395,-0.000174597,0,-0.0009464195,0.09857854,-0.003112519,0,0,-0.005498703,0.005560072,-0.01485257,-0.006447616,-0.0009290399,-0.003233558,-0.002971741,0.022666,0,0,0.06425472,0.03804144,-0.0006937852,-0.0003798725,0.04505537,0.08081569,0.03659628,0.1191531,0.001015205,1.5e-05,21.42563,0.002022515,2.643716e-13,0.0009500213,5.72885e-05,0.01027787,0.1,0.1,0,1.5e-05,-0.006085145,1.288295,0.03770686,0,1,0,0,0,1,0,0,70,0,2.362383,1.836983,23409,0.8163524,109.38,11.48379
14512,1790274646.723,-0.03352948,-0.05194155,0.158125,-0.005705239,-0.03943496,-0.0006994422,0,-0.01667688,-0.001071903,-0.03765801,-0.01295041,-0.0002018347,0,-0.001164451,0.1173958,-0.003472692,0,0,-0.006316104,0.02425742,-0.01875553,-0.006232807,-0.0007616106,-0.002242482,-0.0001195901,0.06043988,0,0,0.07373817,0.04402247,-0.0007219955,-0.0003897802,0.05136288,0.09891906,0.04346746,0.1520895,0.0009432287,2.25e-05,21.43177,0.001985664,2.227454e-13,0.0009884523,5.398312e-05,0.009781494,0,0.1,0,2.25e-05,-0.00918275,1.025691,0.1024959,0,nan,0.5,0,0,1,0,0,70,0,2.439165,1.631747,24147,0.8166227,120.94,12.84617
14513,1790274650.984,-0.05667652,-0.08170931,0.2591249,-0.01073397,0,-0.0004768835,0,-0.03226529,-0.001734678,-0.02724067,-0.02658385,-0.0003383607,-0.004195001,-0.001610342,0.2120876,-0.00579147,-0.003015907,-0.0002222701,-0.01063166,0,-0.02042527,-0.01147911,0,0,0,0,0,0,0.1239021,0.04214026,-0.001396544,-0.000896753,0.0875098,0.1332906,0.06875955,0.209081,0.0009134941,2.25e-05,21.43805,0.002027805,1.965988e-13,0.001061536,5.277589e-05,0.01039355,0.05,0.1,0,2.25e-05,-0.009123132,0.826346,0.1511934,0,0,0,0,0,1,1,0,70,0,2.398145,1.821802,23295,0.8168907,178.44,20.27394
14514,1790274655.253,-0.03324812,-0.05080372,0.15475,-0.005650362,0,-0.0003656445,0,-0.01540822,-0.0009750373,-0.02190413,-0.01171786,-0.0001965371,0,-0.001031723,0.1065583,-0.003289384,0,0,-0.006241901,0,-0.01498553,-0.00648234,0,0,0,0,0,0,0.07290717,0.0433147,-0.000803387,-0.000413054,0.04988508,0.08375659,0.05071769,0.1525064,0.0008451538,2.25e-05,21.44445,0.002065792,1.754253e-13,0.00116654,5.40986e-05,0.01048853,0.05,0.1,0,2.25e-05,-0.00892351,0.5513068,0.2007298,0,nan,0,0,1,0,0.5,0,70,0,2.371339,1.84999,23287,0.817159,197.32,22.59808
14515,1790274659.578,-0.1042528,-0.1577524,0.5250001,-0.01809451,-0.1190116,-0.001467803,0,-0.05518356,-0.003771365,-0.07122321,-0.04112635,-0.0006563078,-0.009853335,-0.00205701,0.5104172,-0.00970125,-0.008412859,-0.0001762221,-0.01859628,0.01090435,-0.04216542,-0.01611166,-0.001313554,-4.716964e-05,0,0.05203306,0,0,0.2572989,0.0712824,-0.002735221,-0.001871655,0.2171078,0.3170349,0.1606092,0.4431692,0.0007819241,2.25e-05,21.44881,0.00209072,1.520959e-13,0.001256088,5.270779e-05,0.01059501,0.15,0.2,0,2.25e-05,-0.007503266,0.4307178,0.2369159,0,0,0,0,0,0.5,0,0,70,0,2.410378,1.853294,23056,0.8172715,249.2,28.75887
14516,1790274663.835,-0.1188466,-0.1830447,0.5969995,-0.0221908,0,-0.0007074126,0,-0.06722554,-0.003969745,-0.1210667,-0.04994057,-0.0007688014,-0.02188667,-0.001779676,0.661884,-0.00988993,-0.01748796,-0.0002210597,-0.01755462,0,-0.03747333,-0.0170696,0,0,0,0,0,0,0.3030286,0.01147931,-0.003181472,-0.00255981,0.2655834,0.3776372,0.2004782,0.4441121,0.000730969,2.25e-05,21.45113,0.002155994,1.402393e-13,0.001371759,5.326591e-05,0.01052682,0.15,0.2,0,2.25e-05,-0.006972268,0.3887793,0.3150089,0,1,0,0,0,0,0,0,70,0,2.473377,1.721986,23431,0.8173981,336.37,39.02524
14517,1790274668.156,-0.1343402,-0.214907,0.6839988,-0.02278834,-0.5217129,-0.00538872,0,-0.05537924,-0.00522742,-0.2028519,-0.03933616,-0.0007898296,0,-0.003165659,0.6448509,-0.0160129,0,0,-0.02096864,0.268176,-0.04715358,-0.009029416,-0.005247756,-0.0005121728,-9.727244e-05,0.55487,0,0,0.3147909,0.189248,-0.002741468,-0.001524385,0.3018551,0.6234295,0.1260166,0.8198534,0.0007033345,3.375e-05,21.45661,0.002242139,1.272364e-13,0.001488782,5.002194e-05,0.009427758,0,0.1,0,3.375e-05,-0.0109754,0.3291482,0.2568582,0,1,0.5,0.5,0,1,1,0,70,0,2.384776,1.870733,23100,0.8177404,341.78,40.91273
14518,1790274672.218,-0.1424782,-0.2347768,0.7199984,-0.02480508,-0.5715682,-0.007470284,0,-0.06720491,-0.005364838,-0.406548,-0.04595357,-0.0008404615,0,-0.003831093,0.6525509,-0.01836642,0,0,-0.02380484,0.3204073,-0.05171124,-0.008265587,-0.006755495,-0.0002967946,-0.01847634,0.859301,0,0,0.3203534,0.1959321,-0.00289145,-0.001553543,0.310064,0.7110504,0.1259068,0.8452985,0.0006633884,2.25e-05,21.4641,0.002271322,1.180751e-13,0.001560069,4.786463e-05,0.00977429,0.1,0.1,0,2.25e-05,-0.008055137,0.3123183,0.1627428,0.3333333,1,1,0,0.5,0,1,0,70,0,2.374989,1.645113,24453,0.8179574,363.64,44.82226
