step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
23,1789554868.983,-0.0421572,0.2288748,-0.05103197,-0.003817333,-0.004,0,-0.002843552,0.2330943,0.004251823,-0.03883933,0.5561523,0,0,0,0.4458008,14.5338,0.001297463,-0.01112658,0.01830854,0.522253,0.4676511,0.0394733,96922,0.5435317,352.88,5.047798
24,1789554869.486,-0.04530243,0.2437082,-0.05183551,-0.003968642,-0.004,0,-0.002730111,0.3420925,0.01514886,-0.03926448,0.5561523,0,0,0,0.4458008,14.57118,0.001297463,-0.01032601,0.02218193,0.5060126,0.4613321,0.03806233,98423,0.5450045,322.44,4.828167
25,1789554869.986,-0.04884849,0.2653818,-0.05887283,-0.004218324,-0.004,0,-0.003324525,0.288368,0.005602913,-0.0461988,0.5561523,0,0,0,0.4458008,14.61005,0.001946195,-0.009717724,0.07309803,0.580943,0.4578621,0.0381124,99101,0.5458999,291.53,4.481305
26,1789554870.479,-0.05013391,0.2652498,-0.05698553,-0.003936497,-0.004,0,-0.003301177,0.3214138,0.006815435,-0.04358269,0.5561523,0,0,0,0.4458008,14.66438,0.001297463,-0.009361846,0.1128837,0.5360131,0.4506617,0.03803396,100577,0.5481552,282.72,4.375373
27,1789554870.972,-0.05588936,0.3005831,-0.07059449,-0.003943232,-0.004,0,-0.004311898,0.3551139,0.009588221,-0.04896067,0.5561523,0,0,0,0.4458008,14.69719,0.0005766504,-0.01386621,0.01399003,0.557323,0.4517159,0.03805542,100357,0.5485875,279.2,4.42691
28,1789554871.461,-0.06459905,0.3457497,-0.08498381,-0.00467116,-0.004,0,-0.004205014,0.4263223,0.01171396,-0.05505925,0.5561523,0,0,0,0.4458008,14.7136,0.0008649756,-0.01156069,0.009994405,0.5156736,0.4467881,0.03808284,101371,0.5493426,275.82,4.442755
29,1789554871.944,-0.06186693,0.3273331,-0.07297152,-0.00433704,-0.004,0,-0.003245442,0.405936,0.004275057,-0.04934278,0.5561523,0,0,0,0.4458008,14.73495,0.001297463,-0.01095015,0.009212033,0.5356109,0.4404631,0.03842473,102637,0.5498721,274.06,4.475743
30,1789554872.432,-0.07853398,0.418876,-0.05641817,-0.004285949,-0.001833333,0,-0.0034418,0.7896088,0.03498121,-0.0361547,0.5558065,0,0,0,0.4461467,14.74904,0.001297463,-0.008809478,0.01023698,0.3267152,0.4471035,0.03794384,101334,0.5507785,274.06,4.67205
31,1789554872.921,-0.08097057,0.4372093,-0.06393909,-0.004474523,-0.001833333,0,-0.003823114,0.8130257,0.02415008,-0.0416877,0.5539551,0,0,0,0.447998,14.77732,0.0008649756,-0.00996275,0.01011605,0.2866391,0.4472773,0.03819776,101245,0.5516288,272.7,4.929538
32,1789554873.416,-0.0933798,0.500002,-0.04616965,-0.004823146,0,0,-0.003969337,1.118579,0.06511756,-0.02427415,0.5509644,0,0,0,0.4509888,14.8002,0.0008649756,-0.009787698,0.007365204,0.09741259,0.4519894,0.03854537,100200,0.5521586,275.99,5.616029
33,1789554873.933,-0.09355297,0.4994326,-0.04187065,-0.004609943,-5.555556e-05,0,-0.003803689,1.223778,0.06767337,-0.02348929,0.5397543,0,0,0,0.4621989,14.81512,0.0008649756,-0.01013127,0.007266599,0.09079524,0.4755006,0.03811073,95698,0.5529035,385.33,10.26933
34,1789554874.458,-0.09385451,0.500002,-0.04309588,-0.004607185,0,0,-0.003851444,1.250778,0.07507958,-0.02365899,0.5169474,0,0,0,0.4850057,14.84638,0.0005766504,-0.009585789,0.006797938,0.07765942,0.4826646,0.0385282,94306,0.554031,499.6,16.36626
35,1789554874.987,-0.09381827,0.500002,-0.0445542,-0.004449968,0,0,-0.00378667,1.248359,0.07575746,-0.02359062,0.4678141,0,0,0,0.534139,14.87907,0.0008649756,-0.009341868,0.007247495,0.07312724,0.4862375,0.03823519,93716,0.5547495,500,16.69734
36,1789554875.515,-0.09412216,0.500002,-0.04529897,-0.004529464,0,0,-0.003807962,1.296488,0.07995712,-0.02381439,0.3973389,0,0,0,0.6046143,14.91928,0.001297463,-0.008061967,0.007093643,0.08089396,0.4847507,0.03886175,93870,0.5567161,500,17.24673
37,1789554876.042,-0.09473863,0.500002,-0.04455371,-0.004480318,0,0,-0.003775998,1.318639,0.08667418,-0.02345211,0.3205363,0,0,0,0.6814169,14.95931,0.0008649756,-0.01009502,0.00674306,0.07513377,0.4853313,0.03833079,93862,0.55762,500,17.62047
38,1789554876.569,-0.09479787,0.500002,-0.04493442,-0.00442298,0,0,-0.003782477,1.337972,0.09131718,-0.0234414,0.2422485,0,0,0,0.7597046,14.99016,0.001297463,-0.008847856,0.006493315,0.0742069,0.4841986,0.0382812,94074,0.5587155,500,17.50191
39,1789554877.094,-0.09506451,0.500002,-0.04499141,-0.004384298,0,0,-0.00380013,1.376027,0.09899072,-0.02364267,0.1700846,0,0,0,0.8318685,15.00283,0.0008649756,-0.01043272,0.007736319,0.07270351,0.4832978,0.03808451,94272,0.5590156,500,18.06817
40,1789554877.620,-0.09541467,0.500002,-0.0444118,-0.004314539,0,0,-0.0037518,1.384195,0.1041653,-0.0233522,0.1022339,0,0,0,0.8997192,15.03343,0.0008649756,-0.009709103,0.005848763,0.07316949,0.4833922,0.03856921,94167,0.5602441,500,18.22721
41,1789554878.137,-0.09569936,0.500002,-0.04533483,-0.004216394,0,0,-0.00377384,1.443305,0.1242025,-0.02378639,0.05074056,0,0,0,0.9504802,15.05567,0.0008649756,-0.009861623,0.005276245,0.07578231,0.4747357,0.03794694,95872,0.5609555,500,18.56464
