step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
15010,1790262588.718,-0.05003418,-0.07261744,0.3960012,-0.01084469,-0.1882726,-0.002502223,-0.04500001,-0.01466301,-0.002662042,-0.01359878,-0.01155748,-0.0004744272,0,-0.0001619295,0.4406831,-0.006060518,0,0,-0.01240813,-0.02801147,-0.004678065,-0.02636117,-0.002692031,0.15693,0.00792739,-0.03333334,0.196672,0.1137556,-0.001709672,-0.0009076116,0.1888121,0.4254741,0.142363,0.4881434,0.0004658599,2.25e-05,16.87742,0.002964138,2.057676e-12,0.002454417,4.386092e-05,0.009444911,0,0.1,0,2.25e-05,-0.003326283,1.544626,0.06089404,0,0,0,0,0,0,0,0,50,0.5,1.255316,1.504092,35625,0.6275734,254.03,39.562
15011,1790262591.484,-0.05430097,-0.08508088,0.432001,-0.01319468,-0.2065047,-0.002602791,-0.07374998,-0.01655425,-0.003169517,-0.01961478,-0.01392149,-0.0005174192,0,-0.0003371374,0.4810999,-0.006955649,0,0,-0.01371506,-0.02443936,-0.007124565,-0.02858135,-0.01531473,0.2025157,0.02298923,-0.075,0.2174938,0.1249721,-0.001856711,-0.0009893407,0.200152,0.470156,0.1465248,0.5146482,0.0004164058,2.25e-05,16.89085,0.002603688,1.358469e-12,0.002143777,4.350488e-05,0.01283182,0.05,0.1,0,2.25e-05,-0.004021413,1.410099,0.1350657,0,nan,0,0,0,0,0,0,50,1,1.25316,1.501034,35692,0.6280799,277.18,43.18928
15012,1790262594.258,-0.05901488,-0.08863515,0.4680006,-0.01527254,-0.281137,-0.002622803,-0.02833334,-0.01593384,-0.003425755,-0.008743241,-0.01292755,-0.0005511753,0,-0.0001101372,0.5522834,-0.007471988,0,0,-0.01575504,-0.02829116,-0.005201482,-0.02860589,-0.01288158,0.3366335,0.03864167,-0.03333334,0.2378364,0.1360776,-0.001976408,-0.001081388,0.2253608,0.517884,0.1342638,0.5701112,0.0003677945,2.25e-05,16.90483,0.002279378,9.347295e-13,0.001869066,4.251793e-05,0.01223671,0.05,0.1,0,2.25e-05,-0.003417425,0.7566175,0.2637279,0.3333333,1,0.3333333,1,0.5,0,0,0.5,50,0.3333333,1.251151,1.50532,35662,0.6285338,291.67,45.2084
15013,1790262597.009,-0.06592293,-0.09592432,0.5040003,-0.01751677,-0.2383161,-0.003255736,-0.03125001,-0.02149653,-0.003587039,-0.006615702,-0.01754966,-0.0006106332,-0.001385,-0.0001690142,0.5720625,-0.008792273,-0.001134342,0,-0.01647232,-0.03519773,-0.007484713,-0.01533579,-0.001833251,0.1899975,0.01844753,-0.025,0.2527902,0.1360275,-0.002230698,-0.00134164,0.2466721,0.5354999,0.1385991,0.6138622,0.0003361844,3.375e-05,16.91898,0.002100505,7.673602e-13,0.001725031,3.928955e-05,0.01018387,0,0.1,0,3.375e-05,-0.005117546,0.7072388,0.2847577,0.3333333,0,0.3333333,0,1,0,0,0,50,0.3333333,1.239792,1.500046,35879,0.6291021,319.77,50.0647
15014,1790262599.800,-0.05498702,-0.0854445,0.4279999,-0.01673631,-0.2756612,-0.004586894,-0.09999996,-0.0164839,-0.002899792,-0.02251343,-0.01466954,-0.0004974757,0,-0.0001456341,0.4898498,-0.007164081,0,0,-0.01495605,-0.04211819,-0.006039551,-0.0309369,-0.01977398,0.2959533,0.01167858,-0.03333334,0.2021057,0.1198152,-0.001953719,-0.001107577,0.1999173,0.4761504,0.1641222,0.5252701,0.0003261661,3.375e-05,16.93539,0.002013096,6.210311e-13,0.001650084,3.684505e-05,0.01080171,0,0.05,0,3.375e-05,-0.003247723,0.6839792,0.2968231,0.6666667,1,0.6666667,0,0.5,0,0,1,50,0.3333333,1.245094,1.526891,35463,0.6296107,337.93,52.70023
15015,1790262602.588,-0.07205695,-0.1029155,0.5759997,-0.01662839,-0.3285526,-0.005016339,-0.235,-0.02401151,-0.003965073,-0.01764768,-0.01862051,-0.0006710265,0,-0.0006221686,0.6321501,-0.009323172,0,0,-0.01783885,-0.04110042,-0.008143103,-0.03310996,0,0.1994181,0.004064591,0,0.2794733,0.163423,-0.002408473,-0.001418368,0.2724784,0.6159499,0.1544333,0.7009961,0.0003051713,3.375e-05,16.95037,0.001908618,5.176677e-13,0.001568477,3.497007e-05,0.01031557,0,0.05,0,3.375e-05,-0.005151014,0.6024259,0.2223522,0,nan,0,0.5,1,0,1,0,50,0,1.265297,1.511855,35397,0.6301478,359.94,56.07626
15016,1790262605.351,-0.07857649,-0.1100662,0.6119994,-0.01702544,0,-0.001342517,0,-0.03462816,-0.004186133,-0.03029636,-0.02715216,-0.000760585,-0.0093,-0.000304908,0.7120004,-0.009026352,-0.01565588,0,-0.01805503,-0.0316299,-0.008624637,0,0,0,0,0,0.3245487,0.07090354,-0.002287986,-0.001632743,0.3159761,0.5149419,0.1251949,0.7018647,0.0003042903,3.375e-05,16.96887,0.00185971,4.434122e-13,0.001520977,3.444244e-05,0.01325393,0.05,0.1,0,3.375e-05,-0.003989211,0.5414306,0.2778184,0.3333333,1,0.3333333,0.5,1,0,1,0.5,50,0.3333333,1.231373,1.519409,35736,0.6308034,382.82,59.61002
15017,1790262608.118,-0.07296228,-0.1011597,0.5672139,-0.01394976,-0.2424601,-0.002925969,-0.02785715,-0.024711,-0.004279292,-0.007722088,-0.01838306,-0.0006746383,-0.003834286,-0.00019386,0.6632432,-0.008488061,-0.004826236,-4.271029e-05,-0.01888936,-0.03236303,-0.006652563,-0.01471436,-0.001747161,0.1763174,0.02008675,-0.02857143,0.2906217,0.1263038,-0.002155724,-0.001272145,0.2764885,0.563794,0.1425028,0.6918153,0.0002923323,3.375e-05,16.98339,0.001819536,3.929159e-13,0.001494659,3.254418e-05,0.0111167,0,0.05,0,3.375e-05,-0.004483171,0.3281961,0.2693595,0,0.5,0,0,0,0,0,0,50,0.4,1.228592,1.52666,35678,0.6311827,410.47,63.67228
15018,1790262610.878,-0.07580067,-0.1110621,0.6053991,-0.01949657,-0.454553,-0.004904807,-0.107,-0.02029541,-0.00425448,-0.007267668,-0.01591197,-0.0006889377,0,-0.000161544,0.7175004,-0.009537207,0,0,-0.02114983,-0.05936049,-0.005574658,-0.02825285,-0.01399919,0.4197232,0.0330757,-0.02,0.2926684,0.1715562,-0.002476166,-0.001300956,0.2918538,0.6691376,0.1617499,0.7538743,0.0002854211,3.375e-05,16.99625,0.00177777,3.381311e-13,0.001461132,3.121711e-05,0.01446292,0.05,0.1,0,3.375e-05,-0.002835993,0.3206721,0.4322509,0.6,1,0.6,0.5,0.75,0.6666667,0,0,50,0.2,1.23299,1.51647,35753,0.6316866,424.86,67.43417
15019,1790262613.665,-0.08357723,-0.1194283,0.6770988,-0.01555078,-0.5292429,-0.004185894,-0.024,-0.02192522,-0.005268333,-0.004389788,-0.0159187,-0.0007695234,0,-0.0001769897,0.7760509,-0.01012477,0,0,-0.02309777,-0.03746907,-0.006865982,-0.01607911,-0.00178222,0.4297077,0.02987067,-0.02,0.3427545,0.1965041,-0.002554876,-0.001321852,0.3234324,0.7572307,0.2254885,0.8468413,0.0002736775,3.375e-05,17.00828,0.001760846,2.928741e-13,0.00145641,3.075783e-05,0.009741012,0,0.05,0,3.375e-05,-0.005621518,0.2338101,0.4103518,0,0.5,0.4,0,1,0,0,0,50,0.2,1.237174,1.537545,35428,0.6320151,451.82,72.6318
