step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
12065,1790237200.496,-0.1539582,-0.1902422,0.3516009,-0.0197587,-0.09799843,-0.0004755285,0,-0.05742811,-0.002218233,-0.01336378,-0.03772921,-0.0004587448,0,-0.0008447613,0.3068196,-0.01013315,0,0,-0.00894242,0.06909381,-0.1,-0.020063,-0.01433049,-0.007025742,0.1881882,0.1049731,-0.001554039,-0.001234977,0.1368195,0.3709138,0.1240203,0.4115351,15,0,1,0.8000001,0.2,3.888117,0.6699655,0.5455681,0.0008594613,5.0625e-05,29.14973,0.002140563,6.003418e-09,0.001229539,5.155688e-05,0.01183971,0.1,0.1,0,5.0625e-05,-0.008291407,0.7572823,1.257417,1.562014,34866,1.239915,221.56,25.41145
12066,1790237203.339,-0.1656023,-0.2001355,0.367834,-0.02103723,-0.1438875,-0.0005479777,-0.00388889,-0.06697171,-0.002462458,-0.008326631,-0.04310948,-0.0004738833,-0.002108889,-0.0006795817,0.3367552,-0.01077465,-0.00143541,-0.0002246049,-0.01082042,0.1014961,-0.05555556,-0.01119116,-0.01662151,-0.008099451,0.1901724,0.09365873,-0.001721006,-0.001462881,0.1383057,0.3779377,0.145384,0.4290985,15,0,0.625,0.625,0,1.803581,0.531023,0.5508009,0.0008690551,7.59375e-05,29.15798,0.002131177,5.957644e-09,0.001211166,5.094951e-05,0.00957196,0,0.1,0,7.59375e-05,-0.01233144,0.6803651,1.267503,1.564892,34707,1.240478,230.41,26.16759
12067,1790237206.161,-0.1631939,-0.1892084,0.3609004,-0.02000855,-0.1091382,-0.0004129612,0,-0.06519783,-0.002501134,-0.00656744,-0.04272998,-0.000460836,-0.004084002,-0.0008941579,0.3487298,-0.01076135,-0.002613699,-0.0003988624,-0.009940913,0.08921637,-0.04,-0.002811297,-0.01709103,-0.007350793,0.1897279,0.07882877,-0.001687251,-0.001451024,0.140935,0.3832113,0.1534549,0.4255014,15,0,0.5,0.5,0,3.672253,0.3726606,0.533675,0.000878195,7.59375e-05,29.16775,0.002160827,6.101077e-09,0.001229221,5.340449e-05,0.009835511,0,0.05,0,7.59375e-05,-0.01184781,0.7746837,1.257496,1.555071,34951,1.241253,237.94,26.92997
12068,1790237209.021,-0.1791844,-0.2201909,0.4080004,-0.02325734,-0.1615603,-0.0004396738,-0.000625,-0.06767025,-0.00274166,-0.008989781,-0.04348264,-0.0005269602,-0.0008825,-0.0009704139,0.3619184,-0.01152188,-0.0005164988,0,-0.01047681,0.1117334,-0.0625,-0.01288882,-0.01747018,-0.008662613,0.2174014,0.1167325,-0.001809213,-0.00143783,0.163637,0.4354168,0.1650347,0.4908205,15,0,0.7142857,0.5714287,0.1428572,0.6036117,0.3373507,0.5133938,0.0008761116,0.0001139063,29.1799,0.002159085,6.50666e-09,0.001226932,5.603541e-05,0.01359123,0,0.1,0,0.0001139063,-0.01257973,0.5881066,1.262031,1.588036,34491,1.242173,257.68,29.47392
12069,1790237211.875,-0.1350144,-0.1522403,0.2870626,-0.01562085,-0.106299,-0.0003720905,-0.008750001,-0.05549982,-0.001925493,-0.01041276,-0.03606688,-0.0003676725,-0.001415,-0.0008665427,0.252831,-0.008643757,-0.001004197,-0.001485143,-0.008546065,0.08534619,-0.075,-0.007836806,-0.01502386,-0.007170535,0.1493029,0.07424907,-0.001396207,-0.001175794,0.1106107,0.2892649,0.116393,0.3339752,15,0,0.8571429,0.8571429,0,2.373011,0.6055417,0.5189583,0.0008702179,5.0625e-05,29.19316,0.002178566,6.811433e-09,0.001252274,5.606687e-05,0.01387103,0.1,0.05,0,5.0625e-05,-0.01340378,0.7228224,1.254281,1.588927,34575,1.243008,241.57,27.10001
12070,1790237214.742,-0.2353027,-0.277914,0.5192498,-0.02987262,-0.33347,-0.001303127,-0.02083334,-0.0917251,-0.003634364,-0.07160552,-0.05890281,-0.0006448831,0,-0.001438066,0.4596334,-0.01538033,0,0,-0.01567767,0.1986011,-0.03333334,-0.02957965,-0.02603438,-0.01068263,0.2653547,0.1514232,-0.002380098,-0.001959086,0.1955445,0.5356135,0.2068931,0.6122402,15,0,0.3333333,0.1666667,0.1666667,5.045938,0.7421526,0.5379548,0.0008434926,5.0625e-05,29.20075,0.002143126,6.379859e-09,0.001242221,5.740556e-05,0.008702877,0,0.05,0,5.0625e-05,-0.01075279,0.475731,1.269736,1.587101,34410,1.243237,276.89,31.31807
12071,1790237217.614,-0.186446,-0.2102288,0.3960012,-0.02390216,-0.2486565,-0.0004271546,-0.0125,-0.07252213,-0.002439994,-0.006070615,-0.04544573,-0.000477221,0,-0.000640568,0.3524996,-0.01244462,0,0,-0.01130927,0.1706505,-0.1,-0.032112,-0.02126405,-0.008109797,0.2073121,0.1169303,-0.0018301,-0.001435664,0.1524701,0.431417,0.1183005,0.4749185,15,0,1,1,0,3.239717,0.5129494,0.5229988,0.0008478534,7.59375e-05,29.20444,0.002167308,6.295285e-09,0.001266179,5.326865e-05,0.01037732,0,0.1,0,7.59375e-05,-0.01221203,0.5018657,1.283776,1.577879,34352,1.243611,289.73,32.88861
12072,1790237220.464,-0.1793032,-0.2225227,0.4030003,-0.02118529,-0.1344222,-0.0005875345,0,-0.06958165,-0.00266264,-0.00925051,-0.04608855,-0.000509791,-0.002086667,-0.0009741377,0.3635666,-0.01131195,-0.001567997,-0.0003038586,-0.01088995,0.09647863,-0.08333334,-0.01074568,-0.0172413,-0.008274956,0.2122235,0.1057803,-0.001846933,-0.001540487,0.1516109,0.428914,0.1748703,0.4734883,15,0,1,1,0,3.845056,0.6171159,0.5161238,0.0008128065,7.59375e-05,29.21069,0.002149144,6.115722e-09,0.001284293,5.203813e-05,0.01046842,0,0.05,0,7.59375e-05,-0.01182109,0.5202817,1.255501,1.583586,34625,1.244072,292.7,33.40344
12073,1790237223.301,-0.1937934,-0.2344716,0.4315,-0.02538839,-0.1324268,-0.0007268636,0,-0.07744873,-0.002959515,-0.007854424,-0.05010582,-0.0005416123,-0.001703333,-0.0009367384,0.3996168,-0.01280551,-0.001861627,-0.0003281749,-0.01264166,0.1141916,-0.06666668,-0.01631984,-0.02126051,-0.008864502,0.2239245,0.1115281,-0.001943644,-0.001676882,0.1635698,0.425688,0.1592453,0.5095193,15,0,0.8000001,0.8000001,0,0.069052,1.079138,0.5689727,0.0007868163,7.59375e-05,29.21518,0.002113079,6.236883e-09,0.001271649,5.460826e-05,0.01056105,0,0.05,0,7.59375e-05,-0.01031835,0.4506553,1.269908,1.558452,34756,1.244245,289.55,33.33463
12074,1790237226.147,-0.1575384,-0.1884888,0.3454286,-0.02019927,-0.07881446,-0.000461469,-0.002857144,-0.06166887,-0.002270401,-0.007049977,-0.03954213,-0.0004323629,-0.002088571,-0.0007266484,0.3131142,-0.01016226,-0.001869553,-0.0001582561,-0.009718722,0.07600558,-0.0857143,-0.01152599,-0.01493065,-0.00733928,0.1846992,0.08710365,-0.001593104,-0.001338874,0.1331613,0.3246801,0.127462,0.4096326,15,0,1,0.8333334,0.1666667,0.5799203,0.4307868,0.531705,0.0007902505,0.0001139063,29.2186,0.002162984,6.175576e-09,0.001271477,0.0001012505,0.01296825,0,0.1,0,0.0001139063,-0.01327909,0.4409721,1.265137,1.571085,34660,1.244664,332.42,37.87422
