step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
29,0.58,1.03359,0.341159,0.284012,0.408422,0.146059,0,5.07139,0.00926162,-0.0475587,-0.312295,-2.18994,-0.000800282,0.5,0.497255,0,-0.57213,-0.157777,0.320085,9.74143,13.6481
30,0.6,1.00991,0.32596,0.27314,0.410813,0.145636,0,3.53461,-0.0583314,-0.0232186,-0.128504,-2.22958,-0.00466801,0.5,0.492736,0,-0.56956,-0.155924,0.315706,9.11132,13.7332
31,0.62,0.983848,0.312197,0.242051,0.4296,0.145298,0,2.42863,-0.0176146,-0.0248802,-0.0317308,-2.22718,-0.00251138,0.5,0.488216,0,-0.55762,-0.125058,0.294926,9.06165,12.563
32,0.64,0.955378,0.29482,0.235491,0.425067,0.145171,0,1.58302,0.00175851,-0.0266504,-0.124048,-2.22586,-0.00170359,0.5,0.483697,0,-0.546937,-0.12124,0.297461,8.71796,13.1378
33,0.66,0.932307,0.278817,0.248532,0.404958,0.146101,0,3.58533,0.0298166,-0.0524043,-0.412239,-2.23201,-0.00675326,0.5,0.479177,0,-0.540649,-0.138311,0.315567,8.41629,13.1918
34,0.68,0.898122,0.254486,0.243499,0.400137,0.145873,0,2.16147,-0.0228118,0.000507869,-0.0248072,-2.2308,-0.00539189,0.5,0.474658,0,-0.521198,-0.134243,0.31838,9.00178,12.4113
35,0.7,0.875691,0.246368,0.260257,0.369066,0.145005,0,1.65879,-0.0501629,0.0315949,0.161668,-2.22546,-0.000409901,0.5,0.470138,0,-0.507753,-0.147444,0.347439,9.99969,14.7936
36,0.72,0.842538,0.232793,0.25145,0.358295,0.145002,0,1.08972,-0.089464,0.0193614,0.118216,-2.22647,-0.000374824,0.5,0.465619,0,-0.483087,-0.133062,0.356193,11.0974,17.7289
37,0.74,0.787266,0.196346,0.269885,0.321035,0.14487,0,1.63501,-0.0288821,0.0308795,-0.0877255,-2.22797,0.00332815,0.5,0.461099,0,-0.449511,-0.154037,0.391432,12.417,17.6965
38,0.76,0.762018,0.185436,0.276339,0.300243,0.14574,0,5.91796,-0.0930581,0.0145877,0.289223,-2.23602,0.00567627,0.5,0.45658,0,-0.430102,-0.15697,0.410198,13.3124,21.5162
