step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/press_lost_fraction,Fixture/press_slip_radius_m,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14050,1790243530.054,-0.02050629,-0.0277553,0.03599999,-0.001639218,0,-5.770649e-05,0,-0.007564051,-0.0001408853,0,-0.005012208,-5.023669e-05,0,-0.0001672856,0.0272,-0.001476537,0,0,-0.0007438309,0,0,0,-0.001027713,-0.001446,0.01935246,0.01077231,-0.0002171568,-0.0001968443,0.01382471,0.03911462,0.02065622,0.0432222,30,0,0,0,0,,0,0.14,,,0.000596061,1.156102e-05,31.77883,0.0006755511,1.39378e-09,3.307129e-05,4.641738e-05,0.03769065,0.55,0.05,0,1.156102e-05,0.009687329,0.1037974,1.281474,1.500352,35337,1.450033,14.57,1.723272
14051,1790243532.676,-0.03890149,-0.05184884,0.07199996,-0.003250086,0,-8.741995e-05,0,-0.01281544,-0.0003389418,-0.0003353344,-0.008701417,-0.0001000593,0,-0.0002579334,0.05911251,-0.002305263,0,0,-0.001553875,0,0,0,-0.002153307,-0.002362169,0.0399506,0.02188719,-0.0003716912,-0.0003179808,0.02675967,0.07413717,0.0358879,0.08776368,30,0,0,0,0,,0,0.14,,,0.0009365947,1e-05,31.77103,0.001035472,3.34656e-10,3.597926e-05,6.289763e-05,0.01063378,0.2,0.15,0,1e-05,-0.004248871,0.03999446,1.102489,1.509876,37630,1.449461,35.86,4.257326
14052,1790243535.363,-0.0620106,-0.07738196,0.1079999,-0.005510648,0,-0.0001112269,0,-0.02477236,-0.0005529859,-0.0008132273,-0.01628321,-0.0001492248,0,-0.00054561,0.083225,-0.003079082,0,0,-0.002275568,0,0,0,-0.004662625,-0.00292008,0.05962534,0.03275274,-0.0006262871,-0.0005120258,0.04092463,0.1095992,0.06098916,0.1250548,30,0,0,0,0,,0,0.14,,,0.001047259,1.5e-05,31.76294,0.001156529,4.247258e-11,4.363346e-05,6.56361e-05,0.00880935,0.05,0.15,0,1.5e-05,-0.007272913,0.06193583,1.122148,1.555986,36706,1.44875,60.84,7.016498
14053,1790243538.108,-0.07670801,-0.1035822,0.1439999,-0.006486518,0,-9.989132e-05,0,-0.02979779,-0.0008041169,-0.002441174,-0.02042159,-0.0001965536,-0.001395556,-0.000538289,0.124111,-0.004269368,-0.0008914949,-0.0001293006,-0.003673945,0,0,0,-0.00539608,-0.003684317,0.07809179,0.03379022,-0.0008967369,-0.0007657168,0.05645385,0.1336802,0.07236925,0.168111,30,0,0,0,0,,0,0.14,,,0.001122741,3.375e-05,31.75181,0.001257474,5.938459e-12,6.746858e-05,6.726435e-05,0.008226668,0,0.15,0,3.375e-05,-0.009876896,0.1316387,1.171351,1.562937,35952,1.447729,87.92,9.915626
14054,1790243540.875,-0.09929042,-0.1328343,0.1799999,-0.007935463,-0.003036877,-0.000170643,0,-0.03652572,-0.00107675,-0.00367781,-0.02496126,-0.000241822,-0.001331429,-0.0005513898,0.1498356,-0.004892468,-0.0009032578,-1.876748e-05,-0.004484223,0.002112628,-0.02857143,-0.0005759146,-0.007076295,-0.004676602,0.09798142,0.04663118,-0.0009853353,-0.0008991684,0.06982021,0.1602952,0.07728247,0.2113787,30,0,0.3333333,0.3333333,0,,0,0.14,,,0.001156186,7.59375e-05,31.74,0.001353468,1.148772e-12,0.0001262879,7.099482e-05,0.009643849,0,0.15,0,7.59375e-05,-0.012135,0.6064343,1.203686,1.553299,35656,1.447118,113.7,12.10005
14055,1790243543.666,-0.1197674,-0.1583334,0.2145,-0.01078971,-0.009271804,-0.0001398,0,-0.04305118,-0.00120965,-0.002844855,-0.02876223,-0.0002910632,-0.00060625,-0.0006649345,0.1794405,-0.006265187,-0.0003612963,-1.390278e-05,-0.005300973,0.01244147,-0.08750001,-0.001940434,-0.009054272,-0.005442877,0.1163669,0.06050362,-0.001202271,-0.001101604,0.08004244,0.1891067,0.0989242,0.2511467,30,0.6,0.9333334,0.3333333,0,,0,0.14,,,0.001155036,0.0001139063,31.74429,0.001658694,7.433963e-13,0.0004291521,7.450602e-05,0.009582381,0,0.1,0,0.0001139063,-0.01559779,1.876612,1.220116,1.560703,35350,1.448395,141.14,13.82875
14056,1790243546.463,-0.1384533,-0.1812429,0.2520002,-0.01198508,-0.0320397,-0.000194254,0,-0.05044334,-0.001495796,-0.002997963,-0.03378531,-0.0003382526,0,-0.0009177862,0.2025873,-0.007292511,0,0,-0.006071441,0.02405703,-0.075,-0.004837652,-0.00986884,-0.00667752,0.1376052,0.07600117,-0.001458263,-0.001264194,0.09342034,0.215525,0.1203347,0.298386,30,0.1333334,0.8000001,0.5333334,0.1333334,3.544291,0.5735661,0.14,0.6610798,0.6318747,0.001142454,5.0625e-05,31.7712,0.001946678,6.787269e-13,0.0007210835,8.314055e-05,0.01408224,0.15,0.1,0,5.0625e-05,-0.01415,1.857838,1.219187,1.559945,35372,1.45052,165.36,16.35278
14057,1790243549.275,-0.156727,-0.2102184,0.2880004,-0.01427106,-0.02442925,-0.000238404,0,-0.05740451,-0.001719956,-0.003285367,-0.03844998,-0.0003867051,-0.0009850002,-0.000927245,0.2379528,-0.008153381,-0.0005182773,-4.439615e-05,-0.007072297,0.02418851,-0.075,-0.004933761,-0.01197752,-0.007288999,0.1570979,0.0814976,-0.001604032,-0.001432984,0.1064419,0.2495804,0.1232086,0.3363032,30,0.2666667,0.8000001,0.4,0.1333334,1.468605,0.5735661,0.14,0.192281,0.5772775,0.001079803,7.59375e-05,31.78855,0.002068446,5.930554e-13,0.000907295,8.1349e-05,0.007997808,0,0.1,0,7.59375e-05,-0.01364925,1.59455,1.221284,1.578929,35105,1.451374,187.4,18.77728
14058,1790243552.084,-0.1777207,-0.2355352,0.3231757,-0.01657134,-0.03052234,-0.0002443234,-0.00025,-0.06786304,-0.001899191,-0.00503111,-0.04543395,-0.0004346425,-0.0006130001,-0.0009955794,0.2647922,-0.009168985,-0.0005376079,0,-0.008291892,0.02579228,-0.09500001,-0.006771963,-0.01339111,-0.008972763,0.175042,0.09228303,-0.001876269,-0.001679118,0.1222972,0.264027,0.1519315,0.3752666,30,0.4210526,1,0.4210526,0.1578947,2.083179,0.9507389,0.14,0.2357642,0.5243827,0.001058811,0.0001139063,31.80194,0.002171971,5.595589e-13,0.001024096,8.906388e-05,0.0103363,0,0.1,0,0.0001139063,-0.01586897,1.374839,1.231176,1.565236,35153,1.452641,208.1,20.69421
14059,1790243554.898,-0.192913,-0.2546159,0.3459383,-0.01580734,-0.1017835,-0.0002695697,-0.00125,-0.07257289,-0.001952944,-0.007822657,-0.04844518,-0.0004631723,0,-0.00106866,0.2779496,-0.01003901,0,0,-0.008809846,0.06011447,-0.08750001,-0.02243224,-0.01387145,-0.008303422,0.1880096,0.1040777,-0.001958424,-0.001713947,0.131315,0.3273985,0.1520641,0.3954248,30,0,0.875,0.375,0.5,3.695154,0.9507389,0.14,0.4644265,0.5011762,0.001046758,0.0001139063,31.81437,0.002073703,5.679222e-13,0.0009396668,8.727844e-05,0.01286662,0.05,0.1,0,0.0001139063,-0.01306391,0.4209485,1.248813,1.553482,35079,1.452989,208.36,20.86513
