step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1789953987.124,-0.1142697,-0.1235085,0.3465008,-0.0218694,-0.001409763,0,-0.05417651,-0.005087952,0,-0.0358394,-0.0004854217,-0.01804,-0.00127319,0.2110997,-0.00802811,-0.01699538,-0.005659734,-0.01432435,-0.01272034,-0.01739942,0.1841493,0,-0.001415244,-0.0008672161,0.07851486,0.3347968,0.21922,0.005254145,0.0002562891,25.55607,0.01194161,0.001170285,0.0017114,0.003805778,0.01521614,0.1,0.1,0.0002562891,-0.02861907,0.2172421,0.4998434,0.361748,28523,1.000898,222.79,18.09858
11,1789953987.997,-0.1417827,-0.1651061,0.432001,-0.02879303,-0.002603685,0,-0.05296707,-0.006248302,0,-0.03769562,-0.000597064,-0.0202,-0.0006271763,0.2652996,-0.01271453,-0.02161163,-0.0030907,-0.01897048,-0.02761357,-0.01773347,0.2257266,0,-0.001761478,-0.001155706,0.1025449,0.2977473,0.2271234,0.005115489,2.25e-05,25.54801,0.01090623,0.0009488527,0.001435404,0.003406487,0.0164783,0.4,0.1,2.25e-05,-0.03495914,0.2112492,0.5050085,0.3614335,28364,1.000104,242.29,19.60274
12,1789953988.877,-0.1593626,-0.162002,0.4665006,-0.03217854,-0.002251382,-0.015,-0.05779772,-0.006844693,0,-0.04128526,-0.0006515052,-0.01885,-0.0009928846,0.2956995,-0.01327422,-0.02169379,0,-0.01706179,-0.02527412,-0.02423598,0.245521,0.00514832,-0.001816103,-0.001276476,0.09367009,0.3813755,0.1800278,0.00503637,0.0002562891,25.5391,0.01004335,0.0007591771,0.001210906,0.003036899,0.01156003,0,0.3,0.0002562891,-0.02561804,0.1983382,0.5089054,0.3659105,28092,0.9998078,262.42,21.11087
13,1789953989.742,-0.1458758,-0.159175,0.4405004,-0.02708522,-0.002213127,-0.01666667,-0.05770294,-0.006439006,0,-0.03943367,-0.0006092509,-0.01638667,-0.001207797,0.2902828,-0.01146963,-0.01540353,-0.001685095,-0.01844444,-0.02296977,-0.01965308,0.2317906,0.03685582,-0.001798898,-0.001131138,0.0997524,0.3468103,0.2974811,0.005020382,1e-05,25.52798,0.009520309,0.0006911063,0.001077479,0.002731342,0.0176768,0.6,0.1,1e-05,-0.02493394,0.1836095,0.5144598,0.3449922,28594,0.9991013,286.87,22.74551
14,1789953990.655,-0.1475051,-0.1539611,0.4440004,-0.02624881,-0.002429408,-0.03000001,-0.05115537,-0.006450913,-0.0009454144,-0.03619213,-0.0006180843,-0.00942,-0.0007511822,0.3154244,-0.01088592,-0.01276274,0,-0.01742919,-0.02611319,-0.01967511,0.2311851,0.05167481,-0.001714917,-0.001244929,0.1153351,0.3526725,0.3660637,0.005217071,0.0002562891,25.52523,0.009096335,0.0005451101,0.0008450492,0.002489104,0.01015636,0,0.4,0.0002562891,-0.02196874,0.2447202,0.5425284,0.3644452,27096,0.9993579,311.84,24.44505
15,1789953991.555,-0.1171389,-0.1277898,0.3575,-0.01849932,-0.002394397,-0.07166664,-0.04372851,-0.005132777,-9.921115e-05,-0.03011481,-0.0004993883,-0.01632667,-0.0005759519,0.214933,-0.009083306,-0.01651802,-0.00697663,-0.01603824,-0.02451573,-0.02131197,0.1845843,0,-0.001537213,-0.0009878173,0.09044494,0.2801965,0.2013407,0.005147606,0.0001708594,25.53158,0.008856717,0.0005319877,0.0008267072,0.002350416,0.0156575,0.15,0.1,0.0001708594,-0.02872515,0.1945451,0.530947,0.3552346,27732,0.9996124,330.92,26.01982
16,1789953992.423,-0.2029654,-0.2200208,0.6119994,-0.03663313,-0.003828718,-0.1762499,-0.07046264,-0.008758919,-0.0001202987,-0.04918604,-0.0008514406,-0.01651,-0.0007278018,0.4646749,-0.01650651,-0.01723389,-0.00210682,-0.02412581,-0.04186819,-0.02356466,0.3150932,0.0717674,-0.002337865,-0.001787699,0.1414478,0.4247986,0.5592592,0.005182353,0.0001708594,25.53216,0.008728227,0.0004732341,0.0007449778,0.002327662,0.01436603,0.15,0.15,0.0001708594,-0.02810285,0.1756353,0.5143356,0.34758,28513,0.999565,345.87,27.3239
17,1789953993.326,-0.2134969,-0.235316,0.647999,-0.03542731,-0.004728203,-0.1999999,-0.07158788,-0.009199149,0,-0.0490903,-0.0009074469,-0.01202,-0.0007841859,0.5117003,-0.01583955,-0.01176323,0,-0.02902617,-0.0498614,-0.0233875,0.330918,0.1092759,-0.002734449,-0.001920742,0.1741149,0.4847902,0.5877959,0.005234491,0.0001139063,25.53425,0.008470122,0.000448418,0.0006444462,0.002142767,0.01503501,0.2,0.15,0.0001139063,-0.02381239,0.1805801,0.5360553,0.3615007,27381,0.9998337,374.77,29.19419
18,1789953994.224,-0.2128386,-0.2413316,0.6839988,-0.04387901,-0.004345802,-0.2149999,-0.06751384,-0.010118,0,-0.05057269,-0.0009584552,-0.01372,-0.0004158821,0.5597004,-0.01820622,-0.0131298,0,-0.02381701,-0.0389235,-0.02362893,0.3506332,0.1089158,-0.002575418,-0.002033744,0.1739605,0.4229375,0.6047492,0.005324678,1e-05,25.53783,0.008289528,0.0003827728,0.0005476546,0.002034422,0.01630222,0.5,0.15,1e-05,-0.03069154,0.1723927,0.5447752,0.3460789,27587,0.9998658,395.02,31.1334
19,1789953995.116,-0.1252563,-0.133904,0.3764994,-0.02528514,-0.002299937,-0.02833334,-0.04294422,-0.005459411,-0.005374959,-0.03150969,-0.0005267141,-0.01482,-0.0008519375,0.2504499,-0.009849096,-0.01429036,-0.001090029,-0.0148211,-0.02614752,-0.01634391,0.1952545,0.02127034,-0.001519426,-0.001073393,0.08613148,0.2570316,0.2599933,0.005221688,0.0001708594,25.53735,0.007948854,0.0003160225,0.0004532993,0.001957844,0.01062798,0,0.35,0.0001708594,-0.01940579,0.1988457,0.5206323,0.3659749,27719,0.9999123,394.8,31.34687
