index,steps,fell,goal_quiet_median_m,unified_median_m,unified_pushed_median_m,force_cmd_mean_n,force_realised_mean_n,estimator_err_median_n,base_vel_err_median_m_s
0,1001,0,0.02752,0.03950,0.04251,1.22416,1.39932,1.11085,0.09980
1,1001,0,0.02325,0.02585,0.02604,0.00000,,1.33954,0.04704
2,1001,0,0.03222,0.04531,0.05530,2.44448,0.91262,1.53973,0.06070
3,1001,0,0.02353,0.02764,0.02815,1.28324,-0.69537,1.16760,0.02734
4,1001,0,0.03222,0.03435,0.03540,3.84142,2.20568,0.94298,0.04517
5,1001,0,0.03725,0.03432,0.03219,2.30807,6.00344,2.04684,0.06345
6,1001,0,0.03201,0.02679,0.02538,4.02047,5.03543,1.97915,0.06197
7,1001,0,0.01691,0.03672,0.04045,3.84606,2.38597,1.86176,0.06073
8,1001,0,0.02676,0.03495,0.04324,5.88210,3.21449,1.31189,0.05050
9,1001,0,0.08404,0.03434,0.03412,3.88735,2.21063,1.02283,0.04038
10,1001,0,0.03145,0.03616,0.03733,2.66947,0.44174,1.43931,0.06448
11,1001,0,0.05826,0.05877,0.05899,2.60339,2.74914,1.62107,0.08033
12,1001,0,0.03258,0.03091,0.03040,1.83798,4.91762,1.44191,0.08513
13,1001,0,0.02306,0.03000,0.03298,2.27452,5.03763,1.04105,0.05725
14,1001,0,0.02975,0.04678,0.05291,2.57131,0.54754,0.92879,0.07105
15,1001,0,0.02610,0.03930,0.04083,5.83394,6.30690,2.35744,0.05409
16,1001,0,0.03408,0.03148,0.03148,4.89948,2.96682,1.12481,0.07933
17,1001,0,0.03003,0.03120,0.03192,3.31076,5.62260,0.97484,0.04676
18,1001,0,0.02612,0.03308,0.04189,3.06887,10.19952,1.50652,0.03964
19,1001,0,0.09710,0.06968,0.06590,4.12803,0.34094,1.12649,0.07694
20,1001,0,0.02811,0.02956,0.02992,3.59631,4.67634,1.12622,0.05604
21,1001,0,0.02294,0.02719,0.02746,3.32969,5.40575,1.16347,0.06692
22,1001,0,0.21858,0.03953,0.03940,2.99525,5.55277,1.11422,0.06484
23,1001,0,0.04615,0.03099,0.02920,3.98470,5.09455,2.07807,0.03742
24,1001,0,0.02522,0.03359,0.03514,3.37549,6.42954,1.67803,0.05768
25,1001,0,0.13627,0.03267,0.03267,2.15389,4.73895,1.07573,0.06346
26,1001,0,0.01556,0.02391,0.02491,2.13293,2.00035,2.04926,0.02844
27,1001,0,0.02351,0.02198,0.02149,1.78638,1.45909,1.12874,0.04603
28,1001,0,0.02501,0.04691,0.04836,2.79656,4.48048,1.10004,0.05301
29,1001,0,0.16752,0.07554,0.07262,2.25904,9.67134,2.36121,0.05852
30,1001,0,0.02251,0.02704,0.02776,4.27958,3.80074,1.66482,0.06190
31,1001,0,0.03116,0.03334,0.03437,3.16744,1.58912,1.24373,0.05509
32,1001,0,0.02636,0.03871,0.06273,1.72784,-3.13490,1.90895,0.03719
33,1001,0,0.03004,0.03381,0.03596,2.97927,1.88354,0.97474,0.07312
34,1001,0,0.04018,0.03016,0.02848,3.22867,1.58486,1.67555,0.02296
35,1001,0,0.02729,0.02860,0.02924,3.99519,8.31732,1.07687,0.05394
36,1001,0,0.03771,0.04117,0.04215,1.92209,-1.78857,1.06238,0.09174
37,1001,0,0.02923,0.03270,0.03436,3.71317,0.61263,1.37192,0.05562
38,1001,0,0.04032,0.03255,0.03210,3.20167,7.64110,1.39398,0.07141
39,1001,0,0.05100,0.03981,0.03809,2.36670,3.59376,1.44968,0.03932
40,1001,0,0.03036,0.03206,0.03506,3.75219,0.56987,1.19900,0.02610
41,1001,0,0.02500,0.02784,0.02993,4.00829,3.48390,2.59874,0.03432
42,1001,0,0.02080,0.02821,0.03639,4.11403,2.57123,1.01041,0.03484
43,1001,0,0.02293,0.03607,0.03972,3.85827,3.97584,1.30779,0.01089
44,1001,0,0.02813,0.03576,0.03578,4.71934,3.09120,1.74977,0.03531
45,1001,0,0.03645,0.02987,0.02904,3.91638,2.13917,1.46285,0.03996
46,1001,0,0.14927,0.08796,0.08273,3.94101,4.03330,1.42731,0.05240
47,1001,0,0.02444,0.03378,0.03382,3.64276,1.41095,1.66464,0.06115
48,1001,0,0.04787,0.05139,0.05187,2.09613,10.96289,1.24004,0.03203
49,1001,0,0.02871,0.02991,0.03073,4.56847,5.18462,0.74139,0.03589
