attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.02268,0.0225,0.00288,0.02268,0.0012,-3.45,10.03,0.35,0.0017,-0.09,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.02268,0.0225,0.00288,0.02268,0.0012,-3.45,10.03,0.35,0.0017,-0.09,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.02268,0.0225,0.00288,0.02268,0.0012,-3.45,10.03,0.35,0.0017,-0.09,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.02268,0.0225,0.00288,0.02268,0.0012,-3.45,10.03,0.35,0.0017,-0.09,0.0,0.0,0,0.0,0.0
0,2,0.04,spawn,0.02102,0.02098,0.0013,0.02102,0.0018,-1.92,15.22,0.3484,0.0024,-0.113,0.0,0.0,0,0.0,0.0
1,2,0.04,spawn,0.02102,0.02098,0.0013,0.02102,0.0018,-1.92,15.22,0.3484,0.0024,-0.113,0.0,0.0,0,0.0,0.0
2,2,0.04,spawn,0.02102,0.02098,0.0013,0.02102,0.0018,-1.92,15.22,0.3484,0.0024,-0.113,0.0,0.0,0,0.0,0.0
3,2,0.04,spawn,0.02102,0.02098,0.0013,0.02102,0.0018,-1.92,15.22,0.3484,0.0024,-0.113,0.0,0.0,0,0.0,0.0
0,3,0.06,spawn,0.01836,0.01783,-0.00439,0.01836,0.0024,-0.11,20.65,0.3457,0.003,-0.132,0.0,0.0,0,0.0,0.0
1,3,0.06,spawn,0.01836,0.01783,-0.00438,0.01836,0.0024,-0.11,20.65,0.3457,0.003,-0.132,0.0,0.0,0,0.0,0.0
2,3,0.06,spawn,0.01836,0.01783,-0.00438,0.01836,0.0024,-0.11,20.65,0.3457,0.003,-0.132,0.0,0.0,0,0.0,0.0
3,3,0.06,spawn,0.01836,0.01783,-0.00438,0.01836,0.0024,-0.11,20.65,0.3457,0.003,-0.132,0.0,0.0,0,0.0,0.0
0,4,0.08,spawn,0.01719,0.01397,-0.01002,0.01719,0.003,1.46,26.11,0.3425,0.0037,-0.129,0.0,0.0,0,0.0,0.0
1,4,0.08,spawn,0.01718,0.01397,-0.01001,0.01718,0.003,1.46,26.11,0.3425,0.0037,-0.129,0.0,0.0,0,0.0,0.0
2,4,0.08,spawn,0.01719,0.01397,-0.01001,0.01719,0.003,1.46,26.11,0.3425,0.0037,-0.129,0.0,0.0,0,0.0,0.0
3,4,0.08,spawn,0.01719,0.01397,-0.01001,0.01719,0.003,1.46,26.11,0.3425,0.0037,-0.129,0.0,0.0,0,0.0,0.0
0,5,0.1,spawn,0.01454,0.00519,-0.01358,0.01454,0.0036,3.33,31.44,0.3391,0.0045,-0.1,0.0,0.0,0,0.0,0.0
1,5,0.1,spawn,0.01454,0.00519,-0.01358,0.01454,0.0036,3.33,31.44,0.3391,0.0045,-0.101,0.0,0.0,0,0.0,0.0
2,5,0.1,spawn,0.01454,0.00519,-0.01358,0.01454,0.0036,3.33,31.44,0.3391,0.0045,-0.101,0.0,0.0,0,0.0,0.0
3,5,0.1,spawn,0.01453,0.00519,-0.01358,0.01453,0.0036,3.33,31.44,0.3391,0.0045,-0.1,0.0,0.0,0,0.0,0.0
0,6,0.12,spawn,0.01394,0.00331,-0.01354,0.01394,0.0042,4.46,36.72,0.3357,0.0054,-0.077,0.0,0.0,0,0.0,0.0
1,6,0.12,spawn,0.01394,0.00331,-0.01354,0.01394,0.0042,4.46,36.72,0.3357,0.0054,-0.077,0.0,0.0,0,0.0,0.0
2,6,0.12,spawn,0.01394,0.00331,-0.01354,0.01394,0.0042,4.46,36.72,0.3357,0.0054,-0.077,0.0,0.0,0,0.0,0.0
3,6,0.12,spawn,0.01394,0.00331,-0.01355,0.01394,0.0042,4.46,36.72,0.3357,0.0054,-0.077,0.0,0.0,0,0.0,0.0
