step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
11410,1790235089.893,-0.00831,-0.01270566,0.03599999,-0.0007538667,0,-4.143714e-05,0,-0.002360444,-0.0001537355,-0.001334794,-0.001813854,-5.036257e-05,0,-7.396015e-05,0.0363,-0.0007726261,0,0,-0.0008439652,0,0,-0.0005273306,-0.0006406175,0.02023739,0.01101688,-0.0001428258,-7.430661e-05,0.01678367,0.04005296,0.0190044,0.04513173,15,0,,,,0.0002914236,1e-05,22.3253,0.0004258622,5.95176e-09,8.736016e-05,4.707254e-05,2.503158,0.95,0.05,0,1e-05,0.1363785,0.3464317,1.217633,1.487145,36344,0.8493376,14.57,2.303636
11411,1790235092.540,-0.01618898,-0.02266697,0.07199996,-0.001732637,0,-6.475979e-05,0,-0.003575438,-0.000416808,0,-0.002688097,-9.625337e-05,0,-6.58776e-05,0.07325,-0.001466754,0,0,-0.001546532,0,0,-0.001205204,-0.0009150853,0.04092848,0.02215911,-0.0002814622,-0.0001291889,0.03484083,0.08084832,0.03064213,0.08849959,15,0,,,,0.0003584584,1e-05,22.33266,0.0004475361,5.043959e-09,6.877542e-05,2.029721e-05,0.03386303,0.75,0.05,0,1e-05,0.01403175,0.03850067,1.063025,1.577015,37235,0.849387,36.02,5.677508
11412,1790235095.205,-0.02337374,-0.03558587,0.1079999,-0.002769017,-0.00336,-0.0001025893,0,-0.006250593,-0.0006464497,-0.0002883426,-0.004429956,-0.0001426895,0,-0.0001067305,0.1112833,-0.002105633,0,0,-0.002820087,0.004731186,-0.03333334,-0.002165103,-0.001357146,0.06020639,0.03291166,-0.0004260193,-0.0002122083,0.04999226,0.1161098,0.04886782,0.1305542,15,0.3333333,,,,0.00035227,1e-05,22.33248,0.0005131612,5.493276e-09,0.0001409603,1.992547e-05,0.01924741,0.35,0.1,0,1e-05,0.003593689,0.07230374,1.085154,1.571117,37008,0.8493508,61.09,9.552809
11413,1790235097.916,-0.03141458,-0.04387357,0.1439999,-0.003585044,-0.004520001,-0.0001774568,-0.001111111,-0.009460444,-0.001043055,-0.0003098426,-0.006709361,-0.0001855743,-0.001297778,-0.0001705725,0.1563943,-0.002763223,-0.001088925,0,-0.003931994,0.003673241,0,-0.004079792,-0.002206179,0.0791277,0.03404634,-0.0005568027,-0.0003339683,0.06555744,0.1548932,0.0656033,0.1747464,15,0,,,,0.000342052,1e-05,22.3323,0.001095556,6.07301e-09,0.0007326845,2.081352e-05,0.01429431,0.25,0.1,0,1e-05,5.11053e-05,0.2519288,1.118354,1.583509,36383,0.8493958,87.96,13.75653
11414,1790235100.668,-0.04048825,-0.0544449,0.1799999,-0.004580767,-0.04277606,-0.0001144256,0,-0.01078178,-0.001317716,-0.0002954313,-0.007701193,-0.0002295248,-0.0006977778,-0.0001590469,0.1944998,-0.003651846,-0.0007297242,0,-0.004413686,0.03281618,-0.04444445,-0.003768396,-0.002002004,0.1001572,0.04887119,-0.0006928963,-0.0003713701,0.08101045,0.194196,0.08467716,0.2189833,15,0.5,9.418704,19.67139,1.779139,0.0003503153,2.25e-05,22.33581,0.001515325,7.199417e-09,0.001142532,2.247088e-05,0.009786622,0,0.15,0,2.25e-05,-0.0057819,0.8227899,1.161297,1.582956,35821,0.8497086,114.21,17.21575
11415,1790235103.445,-0.04809253,-0.06652765,0.2159999,-0.006158016,-0.05817116,-0.0003122665,0,-0.0136322,-0.001563031,-0.0004030681,-0.009535411,-0.0002713252,-0.0009500001,-0.0001204598,0.2320998,-0.004154206,-0.0008943958,0,-0.00578232,0.0462907,-0.05,-0.005621458,-0.002588155,0.1177687,0.05704217,-0.0008316509,-0.0004828636,0.09983399,0.2296478,0.09164896,0.2610354,15,0.5714287,7.573978,0.7348278,1.686919,0.0003519741,3.375e-05,22.3457,0.001796749,8.408437e-09,0.001418625,2.61422e-05,0.01037578,0,0.1,0,3.375e-05,-0.00684958,1.36207,1.153229,1.607822,35603,0.8502505,138.19,20.55657
11416,1790235106.230,-0.05555412,-0.07654361,0.2483183,-0.006754562,-0.08615579,-0.0002619891,0,-0.01350993,-0.001926085,-0.002208196,-0.009087972,-0.0003099803,0,-0.0001595577,0.2651452,-0.004824068,0,0,-0.0062163,0.05733837,-0.04545455,-0.006807666,-0.002320661,0.1371163,0.07529423,-0.0009563248,-0.0005062238,0.1117039,0.2629012,0.1050184,0.3044207,15,0.5,8.190242,0.932914,1.642518,0.0003359259,2.25e-05,22.35677,0.001979428,8.913524e-09,0.001617616,2.587774e-05,0.01067005,0.1,0.1,0,2.25e-05,-0.00629345,2.119404,1.176986,1.598341,35420,0.8506944,161.95,23.73315
11417,1790235108.991,-0.06381302,-0.08670144,0.2880004,-0.007396311,-0.09668287,-0.0003229633,0,-0.01764556,-0.002177123,-0.000857342,-0.0122598,-0.0003597289,-0.00111,-0.0001934208,0.3133122,-0.005571899,-0.001142972,0,-0.007800935,0.07755026,-0.0375,-0.007589401,-0.003149322,0.157308,0.0761189,-0.001131496,-0.000666617,0.1267194,0.30679,0.1268979,0.3540829,15,0.4285715,7.95584,1.83612,1.498621,0.0003289285,2.25e-05,22.36548,0.001869491,9.19358e-09,0.001516727,2.382608e-05,0.01047405,0.1,0.15,0,2.25e-05,-0.005856148,1.952839,1.162505,1.590147,35712,0.8510926,185.81,27.60434
11418,1790235111.762,-0.07264044,-0.09648784,0.3240007,-0.008730258,-0.1552783,-0.0002891507,0,-0.02134844,-0.002520991,-0.001035794,-0.01474784,-0.0003947093,-0.001482858,-0.0002847382,0.3456425,-0.006381617,-0.001501634,0,-0.008603061,0.1091408,-0.05714286,-0.008310372,-0.003641134,0.176531,0.08387627,-0.001254675,-0.0007255006,0.1444061,0.3460704,0.1507356,0.4006023,15,0.6666667,7.837884,0.9855434,1.186209,0.0003310305,3.375e-05,22.37565,0.001714068,9.627183e-09,0.001358683,2.434485e-05,0.01097003,0,0.1,0,3.375e-05,-0.007723423,1.505262,1.163471,1.598855,35587,0.8516514,206.97,30.48725
11419,1790235114.543,-0.07789808,-0.106221,0.3473342,-0.01006011,-0.2003954,-0.0006446289,0,-0.0214332,-0.002686423,-0.0007354961,-0.01420241,-0.0004192668,0,-0.0001823072,0.3674885,-0.006866987,0,0,-0.009180022,0.1238299,-0.06666668,-0.008257995,-0.003659727,0.1866592,0.103892,-0.001349876,-0.0007401085,0.1556661,0.3672656,0.1452524,0.42698,15,0.6666667,9.781439,1.859223,1.232735,0.0003306755,1.5e-05,22.38573,0.001616599,1.003888e-08,0.001257844,2.807007e-05,0.01166261,0.15,0.1,0,1.5e-05,-0.005157734,1.347538,1.159736,1.610916,35480,0.8519539,226.96,33.38003
