attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg
2,9,0.18,spawn,0.01498,0.0131,-0.00726,0.015,0.0024,8.74,50.89,0.3267,0.0085,-0.043,0.0,0.0,0,0.0,-0.0
3,9,0.18,spawn,0.01499,0.0131,-0.00727,0.01501,0.0024,8.74,50.89,0.3267,0.0085,-0.043,0.0,0.0,0,0.0,-0.0
0,10,0.2,spawn,0.01419,0.0127,-0.00632,0.01427,0.00264,9.43,55.49,0.3244,0.0095,-0.062,0.0,0.0,0,0.0,-0.0
1,10,0.2,spawn,0.01419,0.01271,-0.00631,0.01427,0.00264,9.43,55.49,0.3244,0.0095,-0.062,0.0,0.0,0,0.0,-0.0
2,10,0.2,spawn,0.01419,0.01271,-0.00631,0.01427,0.00264,9.43,55.49,0.3244,0.0095,-0.062,0.0,0.0,0,0.0,-0.0
3,10,0.2,spawn,0.01419,0.0127,-0.00633,0.01427,0.00264,9.43,55.49,0.3244,0.0095,-0.062,0.0,0.0,0,0.0,-0.0
0,11,0.22,spawn,0.01366,0.01338,-0.00275,0.01382,0.00288,9.65,59.95,0.3224,0.0106,-0.071,0.0,0.0,0,0.0,-0.0
1,11,0.22,spawn,0.01367,0.01339,-0.00274,0.01383,0.00288,9.65,59.95,0.3224,0.0106,-0.071,0.0,0.0,0,0.0,-0.0
2,11,0.22,spawn,0.01367,0.01339,-0.00274,0.01383,0.00288,9.66,59.95,0.3224,0.0106,-0.071,0.0,0.0,0,0.0,-0.0
3,11,0.22,spawn,0.01366,0.01338,-0.00275,0.01382,0.00288,9.65,59.95,0.3224,0.0106,-0.071,0.0,0.0,0,0.0,-0.0
0,12,0.24,spawn,0.01296,0.01294,0.00079,0.01356,0.00312,10.19,64.42,0.3207,0.0117,-0.124,0.0,0.0,0,0.0,-0.0
1,12,0.24,spawn,0.01298,0.01295,0.0008,0.01358,0.00312,10.19,64.42,0.3207,0.0117,-0.125,0.0,0.0,0,0.0,-0.0
2,12,0.24,spawn,0.01298,0.01295,0.0008,0.01358,0.00312,10.19,64.42,0.3207,0.0117,-0.124,0.0,0.0,0,0.0,-0.0
3,12,0.24,spawn,0.01296,0.01294,0.00079,0.01356,0.00312,10.19,64.42,0.3207,0.0117,-0.124,0.0,0.0,0,0.0,-0.0
0,13,0.26,spawn,0.01281,0.0125,0.00279,0.01416,0.00336,10.45,68.71,0.3193,0.0128,-0.169,0.0,0.0,0,0.0,-0.0
1,13,0.26,spawn,0.01283,0.01252,0.00279,0.01418,0.00336,10.46,68.71,0.3193,0.0128,-0.169,0.0,0.0,0,0.0,-0.0
2,13,0.26,spawn,0.01284,0.01253,0.00279,0.01418,0.00336,10.46,68.71,0.3193,0.0128,-0.169,0.0,0.0,0,0.0,-0.0
3,13,0.26,spawn,0.01281,0.0125,0.00279,0.01416,0.00336,10.45,68.71,0.3193,0.0128,-0.169,0.0,0.0,0,0.0,-0.0
0,14,0.28,spawn,0.00977,0.00913,0.00348,0.01176,0.0036,9.83,73.06,0.3182,0.0137,-0.208,0.0,0.0,0,0.0,-0.0
1,14,0.28,spawn,0.00977,0.00913,0.00349,0.01176,0.0036,9.83,73.06,0.3182,0.0137,-0.208,0.0,0.0,0,0.0,-0.0
2,14,0.28,spawn,0.00977,0.00913,0.00349,0.01176,0.0036,9.83,73.06,0.3182,0.0137,-0.208,0.0,0.0,0,0.0,-0.0
3,14,0.28,spawn,0.00977,0.00913,0.00348,0.01176,0.0036,9.83,73.06,0.3182,0.0137,-0.208,0.0,0.0,0,0.0,-0.0
0,15,0.3,spawn,0.00803,0.00624,0.00506,0.01103,0.00384,9.35,77.09,0.3173,0.0146,-0.245,0.0,0.0,0,0.0,-0.0
1,15,0.3,spawn,0.00802,0.00622,0.00506,0.01102,0.00384,9.35,77.09,0.3173,0.0146,-0.245,0.0,0.0,0,0.0,-0.0
2,15,0.3,spawn,0.00802,0.00622,0.00506,0.01102,0.00384,9.35,77.09,0.3173,0.0146,-0.245,0.0,0.0,0,0.0,-0.0
3,15,0.3,spawn,0.00803,0.00623,0.00506,0.01103,0.00384,9.35,77.09,0.3173,0.0146,-0.245,0.0,0.0,0,0.0,-0.0
0,16,0.32,spawn,0.00862,0.00447,0.00738,0.01195,0.00408,8.98,80.19,0.3166,0.0154,-0.275,0.0,0.0,0,0.0,-0.0
1,16,0.32,spawn,0.00862,0.00446,0.00738,0.01194,0.00408,8.98,80.19,0.3166,0.0154,-0.275,0.0,0.0,0,0.0,-0.0
2,16,0.32,spawn,0.00862,0.00445,0.00738,0.01194,0.00408,8.98,80.19,0.3166,0.0154,-0.275,0.0,0.0,0,0.0,-0.0
3,16,0.32,spawn,0.00862,0.00446,0.00737,0.01195,0.00408,8.98,80.19,0.3166,0.0154,-0.275,0.0,0.0,0,0.0,-0.0
0,17,0.34,spawn,0.01033,0.00247,0.01002,0.01257,0.00432,8.22,81.74,0.3162,0.0163,-0.279,0.0,0.0,0,0.0,-0.0
1,17,0.34,spawn,0.01033,0.00248,0.01003,0.01257,0.00432,8.22,81.74,0.3162,0.0163,-0.28,0.0,0.0,0,0.0,-0.0
2,17,0.34,spawn,0.01033,0.00247,0.01003,0.01257,0.00432,8.22,81.74,0.3162,0.0163,-0.28,0.0,0.0,0,0.0,-0.0
3,17,0.34,spawn,0.01032,0.00248,0.01002,0.01257,0.00432,8.22,81.74,0.3162,0.0163,-0.28,0.0,0.0,0,0.0,-0.0
0,18,0.36,spawn,0.01359,0.00525,0.01254,0.01479,0.00456,7.49,80.6,0.316,0.017,-0.311,0.0,0.0,0,0.0,-0.0
1,18,0.36,spawn,0.0136,0.00526,0.01254,0.0148,0.00456,7.5,80.6,0.316,0.017,-0.311,0.0,0.0,0,0.0,-0.0
2,18,0.36,spawn,0.0136,0.00526,0.01254,0.0148,0.00456,7.49,80.6,0.316,0.017,-0.311,0.0,0.0,0,0.0,-0.0
3,18,0.36,spawn,0.01358,0.00522,0.01253,0.01478,0.00456,7.49,80.6,0.316,0.017,-0.311,0.0,0.0,0,0.0,-0.0
0,19,0.38,spawn,0.01622,0.00608,0.01503,0.01642,0.0048,6.58,77.75,0.3158,0.0178,-0.306,0.0,0.0,0,0.0,-0.0
1,19,0.38,spawn,0.01621,0.00607,0.01504,0.01642,0.0048,6.59,77.75,0.3158,0.0178,-0.306,0.0,0.0,0,0.0,-0.0
2,19,0.38,spawn,0.01623,0.0061,0.01504,0.01643,0.0048,6.58,77.75,0.3158,0.0178,-0.307,0.0,0.0,0,0.0,-0.0
3,19,0.38,spawn,0.01619,0.00603,0.01503,0.0164,0.0048,6.58,77.75,0.3158,0.0178,-0.306,0.0,0.0,0,0.0,-0.0
0,20,0.4,spawn,0.01838,0.00556,0.01752,0.01757,0.00504,5.46,74.15,0.3157,0.0185,-0.276,0.0,0.0,0,0.0,-0.0
1,20,0.4,spawn,0.01837,0.00553,0.01752,0.01757,0.00504,5.46,74.15,0.3157,0.0185,-0.276,0.0,0.0,0,0.0,-0.0
2,20,0.4,spawn,0.01839,0.00557,0.01752,0.01758,0.00504,5.46,74.15,0.3157,0.0185,-0.277,0.0,0.0,0,0.0,-0.0
3,20,0.4,spawn,0.01836,0.0055,0.01752,0.01756,0.00504,5.46,74.15,0.3157,0.0185,-0.276,0.0,0.0,0,0.0,-0.0
0,21,0.42,spawn,0.02051,0.00586,0.01965,0.0189,0.00528,4.25,70.13,0.3156,0.0192,-0.224,0.0,0.0,0,0.0,-0.0
1,21,0.42,spawn,0.0205,0.00585,0.01965,0.0189,0.00528,4.25,70.13,0.3156,0.0192,-0.224,0.0,0.0,0,0.0,-0.0
2,21,0.42,spawn,0.02052,0.00588,0.01966,0.01891,0.00528,4.25,70.13,0.3156,0.0192,-0.225,0.0,0.0,0,0.0,-0.0
3,21,0.42,spawn,0.0205,0.00584,0.01965,0.0189,0.00528,4.25,70.13,0.3156,0.0192,-0.224,0.0,0.0,0,0.0,-0.0
0,22,0.44,spawn,0.02087,0.00465,0.02034,0.02003,0.00552,3.98,71.53,0.3154,0.0198,-0.154,0.0,0.0,0,0.0,-0.0
1,22,0.44,spawn,0.02086,0.00467,0.02033,0.02003,0.00552,3.98,71.52,0.3154,0.0198,-0.154,0.0,0.0,0,0.0,-0.0
2,22,0.44,spawn,0.02088,0.00466,0.02035,0.02004,0.00552,3.98,71.53,0.3154,0.0198,-0.154,0.0,0.0,0,0.0,-0.0
3,22,0.44,spawn,0.02086,0.00467,0.02033,0.02002,0.00552,3.98,71.52,0.3154,0.0198,-0.154,0.0,0.0,0,0.0,-0.0
0,23,0.46,spawn,0.0216,0.01076,0.01873,0.02087,0.00576,3.85,76.56,0.3152,0.0204,-0.139,0.0,0.0,0,0.0,-0.0
1,23,0.46,spawn,0.02163,0.01082,0.01873,0.0209,0.00576,3.86,76.56,0.3152,0.0204,-0.139,0.0,0.0,0,0.0,-0.0
2,23,0.46,spawn,0.02161,0.01075,0.01874,0.02088,0.00576,3.85,76.56,0.3152,0.0204,-0.139,0.0,0.0,0,0.0,-0.0
3,23,0.46,spawn,0.02162,0.0108,0.01872,0.02088,0.00576,3.85,76.55,0.3152,0.0204,-0.139,0.0,0.0,0,0.0,-0.0
0,24,0.48,spawn,0.02149,0.00964,0.01921,0.02141,0.006,3.9,81.67,0.315,0.0211,-0.072,0.0,0.0,0,0.0,-0.0
1,24,0.48,spawn,0.02153,0.00971,0.01922,0.02145,0.006,3.9,81.66,0.315,0.0211,-0.072,0.0,0.0,0,0.0,-0.0
2,24,0.48,spawn,0.02149,0.00962,0.01921,0.02141,0.006,3.9,81.67,0.315,0.0211,-0.072,0.0,0.0,0,0.0,-0.0
3,24,0.48,spawn,0.02151,0.00969,0.01921,0.02142,0.006,3.89,81.66,0.315,0.0211,-0.072,0.0,0.0,0,0.0,-0.0
0,25,0.5,spawn,0.02081,0.00687,0.01964,0.02062,0.00624,3.7,85.94,0.3149,0.0218,0.0,0.0,0.0,0,0.0,-0.0
1,25,0.5,spawn,0.0208,0.00689,0.01963,0.02061,0.00624,3.7,85.93,0.3149,0.0218,-0.0,0.0,0.0,0,0.0,-0.0
2,25,0.5,spawn,0.02081,0.00689,0.01963,0.02061,0.00624,3.69,85.94,0.3149,0.0218,0.0,0.0,0.0,0,0.0,-0.0
3,25,0.5,spawn,0.0208,0.00686,0.01963,0.0206,0.00624,3.7,85.93,0.3149,0.0218,0.0,0.0,0.0,0,0.0,-0.0
0,26,0.52,spawn,0.02021,0.00425,0.01975,0.02038,0.00648,3.4,86.6,0.3148,0.0225,0.062,0.0,0.0,0,0.0,-0.0
1,26,0.52,spawn,0.0202,0.00421,0.01975,0.02038,0.00648,3.43,86.56,0.3148,0.0225,0.062,0.0,0.0,0,0.0,-0.0
2,26,0.52,spawn,0.02019,0.00425,0.01974,0.02035,0.00648,3.36,86.62,0.3148,0.0225,0.062,0.0,0.0,0,0.0,-0.0
3,26,0.52,spawn,0.02019,0.00422,0.01975,0.02037,0.00648,3.43,86.56,0.3148,0.0225,0.062,0.0,0.0,0,0.0,-0.0
0,27,0.54,spawn,0.01886,0.00687,0.01757,0.01914,0.00672,2.81,85.81,0.3146,0.023,0.084,0.0,0.0,0,0.0,-0.0
1,27,0.54,spawn,0.01891,0.00704,0.01755,0.01915,0.00672,2.81,85.72,0.3147,0.023,0.083,0.0,0.0,0,0.0,-0.0
2,27,0.54,spawn,0.01879,0.00661,0.01759,0.0191,0.00672,2.82,85.94,0.3147,0.0231,0.084,0.0,0.0,0,0.0,-0.0
3,27,0.54,spawn,0.01891,0.00707,0.01754,0.01914,0.00672,2.8,85.68,0.3147,0.0231,0.084,0.0,0.0,0,0.0,-0.0
0,28,0.56,spawn,0.01614,0.0048,0.01541,0.01661,0.00696,2.41,85.49,0.3145,0.0235,0.15,0.0,0.0,0,0.0,-0.0
1,28,0.56,spawn,0.0161,0.00478,0.01537,0.01651,0.00696,2.41,85.44,0.3145,0.0235,0.152,0.0,0.0,0,0.0,-0.0
2,28,0.56,spawn,0.0163,0.00506,0.01549,0.01685,0.00696,2.43,85.59,0.3145,0.0236,0.146,0.0,0.0,0,0.0,-0.0
3,28,0.56,spawn,0.01609,0.00481,0.01536,0.01648,0.00696,2.39,85.4,0.3145,0.0236,0.153,0.0,0.0,0,0.0,-0.0
0,29,0.58,spawn,0.01659,0.00816,0.01445,0.01617,0.0072,1.06,86.13,0.3144,0.024,0.175,0.0,0.0,0,0.0,-0.0
1,29,0.58,spawn,0.01659,0.00816,0.01444,0.01613,0.0072,1.07,86.24,0.3144,0.024,0.177,0.0,0.0,0,0.0,-0.0
2,29,0.58,spawn,0.01668,0.00818,0.01453,0.01635,0.0072,1.12,86.16,0.3144,0.0241,0.169,0.0,0.0,0,0.0,-0.0
3,29,0.58,spawn,0.01662,0.00819,0.01446,0.01615,0.0072,1.06,86.23,0.3144,0.024,0.179,0.0,0.0,0,0.0,-0.0
0,30,0.6,spawn,0.0166,0.00761,0.01476,0.01562,0.00744,0.2,88.66,0.3145,0.0245,0.253,0.0,0.0,0,0.0,-0.0
1,30,0.6,spawn,0.01659,0.00761,0.01474,0.0156,0.00744,0.22,88.77,0.3145,0.0245,0.255,0.0,0.0,0,0.0,-0.0
2,30,0.6,spawn,0.01659,0.00728,0.01491,0.01568,0.00744,0.28,88.18,0.3144,0.0245,0.246,0.0,0.0,0,0.0,-0.0
3,30,0.6,spawn,0.01661,0.00764,0.01475,0.01561,0.00744,0.22,88.68,0.3145,0.0245,0.257,0.0,0.0,0,0.0,-0.0
0,31,0.62,spawn,0.01664,0.01009,0.01324,0.0155,0.00768,-0.76,88.34,0.3144,0.0249,0.323,0.0,0.0,0,0.0,-0.0
