step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
28,0.56,0.13049,0.0317375,0.015922,0.0828303,0.271219,0,3.37125,-0.0692868,-0.000533265,0.00148532,0.00257845,0.00717194,0.5,0.501774,0,0.337901,-0.0170106,0.647661,0,7.92329
29,0.58,0.129748,0.0376566,0.015953,0.0761386,0.271498,0,3.88115,-0.0677361,-0.000405859,0.00105384,0.00269111,-0.00326904,0.5,0.497255,0,0.327138,-0.0171076,0.652369,0,8.19801
30,0.6,0.128878,0.0430539,0.0160167,0.0698071,0.271534,0,3.96108,-0.0607332,-0.000326158,0.00142807,0.0028378,-0.0126629,0.5,0.492736,0,0.317249,-0.0172229,0.656712,0,8.48361
31,0.62,0.130324,0.0461421,0.0160187,0.0681629,0.270221,0,3.86532,-0.0492518,-0.000296562,0.00219437,0.00288564,-0.017305,0.5,0.488216,0,0.310457,-0.017248,0.656363,0,8.82
32,0.64,0.13408,0.047448,0.0160155,0.0706161,0.267961,0,3.76007,-0.0346371,-0.000142545,0.00245812,0.00292146,-0.018044,0.5,0.483697,0,0.306547,-0.0172304,0.651911,0,9.168
33,0.66,0.13785,0.0485922,0.0160213,0.0732364,0.266154,0,3.79813,-0.0188267,-6.15501e-05,0.002208,0.00295054,-0.0179066,0.5,0.479177,0,0.304016,-0.0172183,0.647288,0,9.41509
34,0.68,0.13936,0.0503922,0.0160266,0.0729412,0.265811,0,3.78132,-0.00252401,-2.51567e-05,0.00150383,0.00295255,-0.0190953,0.5,0.474658,0,0.302068,-0.01722,0.645576,0,9.4979
35,0.7,0.138848,0.0527418,0.0160242,0.0700819,0.266742,0,3.65067,0.0146601,5.37038e-05,0.00137382,0.0029542,-0.0211529,0.5,0.470138,0,0.300882,-0.0172325,0.646423,0,9.42062
36,0.72,0.137737,0.0544358,0.0160122,0.0672892,0.267986,0,3.51115,0.0309388,7.9079e-05,0.00195494,0.00293351,-0.0216772,0.5,0.465619,0,0.301688,-0.0172303,0.647199,0,9.25938
37,0.74,0.137587,0.054648,0.0159897,0.0669489,0.268793,0,3.37494,0.0448927,0.000164483,0.00198172,0.00288475,-0.0188653,0.5,0.461099,0,0.305199,-0.0171895,0.645518,0,9.06298
38,0.76,0.138331,0.0536008,0.0159536,0.0687765,0.269202,0,3.22003,0.0549866,0.000265231,0.00209015,0.00280458,-0.0133612,0.5,0.45658,0,0.31094,-0.0171208,0.641664,0,8.85298
39,0.78,0.139168,0.0524826,0.015898,0.0707876,0.269778,0,3.01431,0.0610718,0.000238121,0.00148541,0.00268558,-0.0073237,0.5,0.452061,0,0.317388,-0.0170437,0.637622,0,8.58703
40,0.8,0.139089,0.0519999,0.0158684,0.0712204,0.270917,0,2.78341,0.0627307,0.00046176,0.0018091,0.00264701,-0.00258882,0.5,0.447541,0,0.323479,-0.0169904,0.635155,0,8.26478
41,0.82,0.138216,0.0521913,0.0158502,0.0701747,0.272433,0,2.55737,0.0605692,0.000270827,0.0021097,0.00254578,0.00066549,0.5,0.443022,0,0.328855,-0.0169385,0.634161,0,7.91836
42,0.84,0.13731,0.0525214,0.0157945,0.0689937,0.273774,0,2.38965,0.0544168,0.000335718,0.00244487,0.00240041,0.00352788,0.5,0.438502,0,0.333735,-0.0168483,0.633298,0,7.59723
43,0.86,0.137225,0.052616,0.0157716,0.0688369,0.274527,0,2.2851,0.0444105,0.000392989,0.00228708,0.00234236,0.00668799,0.5,0.433983,0,0.338187,-0.0167733,0.631407,0,7.49644
44,0.88,0.137543,0.052497,0.0157197,0.0693259,0.274731,0,2.18338,0.0321073,0.000273206,0.00217281,0.00222534,0.010109,0.5,0.429463,0,0.341929,-0.0166833,0.628866,0,7.59617
45,0.9,0.138465,0.0529438,0.0156912,0.0698296,0.274706,0,2.09779,0.0182719,0.000234688,0.00213626,0.00215775,0.0123942,0.5,0.424944,0,0.344045,-0.0166247,0.626305,0,7.68526
46,0.92,0.139211,0.0541471,0.015692,0.0693719,0.274755,0,2.06454,0.00327699,6.38914e-05,0.00177324,0.00214353,0.0127672,0.5,0.420425,0,0.34422,-0.0166153,0.624702,0,7.69275
47,0.94,0.139528,0.0559196,0.015673,0.0679355,0.274868,0,2.07697,-0.0106474,-0.000125036,0.00227039,0.00211512,0.0115707,0.5,0.415905,0,0.342645,-0.0165944,0.624074,0,7.6325
48,0.96,0.139978,0.058083,0.0156836,0.066211,0.274769,0,2.11623,-0.0226872,-0.000243574,0.00225956,0.00215575,0.00929247,0.5,0.411386,0,0.339625,-0.0166045,0.623729,0,7.5598
49,0.98,0.140641,0.0601494,0.0156935,0.0647979,0.274273,0,2.13914,-0.0317834,-0.000435639,0.00254725,0.002188,0.00692022,0.5,0.406866,0,0.335839,-0.0166267,0.623069,0,7.52946
50,1,0.142193,0.0624153,0.0157294,0.0640481,0.273422,0,2.16035,-0.0380291,-0.000366219,0.00126177,0.00231363,0.00431673,0.5,0.402347,0,0.331247,-0.0166918,0.621741,0,7.62915
51,1.02,0.143416,0.0645837,0.015773,0.0630597,0.272475,0,2.22043,-0.0404914,-0.000513916,0.000612472,0.00241216,0.00162413,0.5,0.397827,0,0.326389,-0.0168081,0.620648,0,7.87372
52,1.04,0.144682,0.0670105,0.0157347,0.061937,0.271612,0,2.3175,-0.0391301,-0.000286633,0.00133112,0.00251171,-0.00181699,0.5,0.393308,0,0.321239,-0.0168417,0.619686,0,8.12688
53,1.06,0.146582,0.0699206,0.0158344,0.0608276,0.270904,0,2.43979,-0.035467,-0.000301873,0.00263325,0.00267203,-0.00562299,0.5,0.388788,0,0.315812,-0.016948,0.618706,0,8.35958
54,1.08,0.147923,0.072476,0.0158304,0.0596163,0.270298,0,2.56661,-0.0290416,-0.000340864,0.00181584,0.00265745,-0.00890323,0.5,0.384269,0,0.311141,-0.0169663,0.617824,0,8.55247
55,1.1,0.149173,0.0746628,0.0158492,0.058661,0.269711,0,2.68189,-0.0202868,-0.000168222,0.00171745,0.00272517,-0.0113667,0.5,0.37975,0,0.307449,-0.0170111,0.616683,0,8.71551
56,1.12,0.150664,0.0765509,0.0158652,0.058248,0.269189,0,2.78378,-0.0102933,-0.00018215,0.0018686,0.00277296,-0.012838,0.5,0.37523,0,0.304817,-0.0170448,0.614995,0,8.83348
57,1.14,0.15221,0.0780949,0.015854,0.0582607,0.268882,0,2.86516,-5.03417e-05,-6.37678e-05,0.00256762,0.00278722,-0.0133953,0.5,0.370711,0,0.303331,-0.0170296,0.612878,0,8.89597
58,1.16,0.1534,0.0794076,0.0158662,0.0581258,0.268886,0,2.91388,0.0103429,-2.94604e-06,0.0016832,0.00280616,-0.0131915,0.5,0.366191,0,0.302898,-0.0170372,0.610905,0,8.88836
59,1.18,0.154354,0.0806,0.0158403,0.0579138,0.269186,0,2.92498,0.0197565,8.0795e-05,0.0014839,0.00276565,-0.0125643,0.5,0.361672,0,0.303369,-0.0170223,0.609005,0,8.82536
60,1.2,0.154593,0.081303,0.0158142,0.0574759,0.269692,0,2.89515,0.0284374,0.000135758,0.00230264,0.00269797,-0.0109263,0.5,0.357152,0,0.305037,-0.0169891,0.607328,0,8.70262
61,1.22,0.15531,0.0819755,0.0158052,0.0575296,0.270268,0,2.82733,0.0348478,0.000218759,0.00232085,0.00268134,-0.0088938,0.5,0.352633,0,0.307341,-0.0169509,0.605155,0,8.55514
62,1.24,0.15573,0.0823191,0.0157721,0.0576385,0.270883,0,2.74504,0.0385714,0.000301179,0.00177757,0.00264083,-0.00619697,0.5,0.348114,0,0.310355,-0.0169103,0.602924,0,8.37944
