step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789555628.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06747,1e-05,0.02471375,0.029137,0,0.5138023,0.07632542,83290,0.5001165,,
1,1789555628.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07342,0.0001139063,-0.00133084,0.0295931,0,0.46275,0.03903222,97954,0.5005047,,
2,1789555629.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11527,0.0005766504,-0.007511525,0.02004685,0,0.4751451,0.03929996,95543,0.5022792,,
3,1789555629.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.20955,0.001297463,-0.01038317,0.01689596,0,0.4830701,0.03858471,94223,0.5051942,,
4,1789555630.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29509,0.0008649756,-0.0103861,0.0141294,0,0.4835653,0.03926873,94010,0.5075089,,
5,1789555630.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.38663,0.0008649756,-0.01193751,0.01372486,0,0.4814203,0.03933263,94386,0.5098735,,
6,1789555631.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45533,0.0008649756,-0.01117839,0.01336422,0,0.4882109,0.03824854,93363,0.5119202,,
7,1789555631.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.52433,0.0008649756,-0.01136032,0.01245664,0,0.4810932,0.03822136,94647,0.5138052,,
8,1789555632.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.58718,0.001297463,-0.01049341,0.01292996,0,0.4799361,0.03953624,94619,0.5152485,,
9,1789555633.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.62463,0.0008649756,-0.01109155,0.01293136,0,0.4779499,0.03878808,95119,0.516643,,
