step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13010,1790270040.880,-0.1719847,-0.2243501,0.3960012,-0.01853676,-0.227789,-0.0005303168,-0.01125,-0.06329875,-0.002535439,-0.007285503,-0.04089893,-0.0005119641,0,-0.0007788235,0.346812,-0.01079192,0,0,-0.01116544,0.06368694,-0.01702241,-0.008274304,-0.005137544,-0.002803295,0.2014944,0,0,0.2108284,0.1179001,-0.001820475,-0.001544825,0.1530992,0.3649089,0.1635258,0.468689,0.0009888989,0.0001139063,29.52009,0.005039222,2.777392e-10,0.00391016,0.000140163,0.01011483,0,0.05,0,0.0001139063,-0.01597233,1.658423,0.3145028,0.5,0.5,0.5,1,1,0,0,0,40,0,2.312553,1.928439,23179,1.278097,251.47,31.26075
13011,1790270045.164,-0.1914612,-0.2466507,0.432001,-0.01892006,-0.2716924,-0.001770948,-0.01166667,-0.07000913,-0.002539705,-0.007166694,-0.04381575,-0.0005516328,0,-0.0006618075,0.4067829,-0.01315908,0,0,-0.01176007,0.1270823,-0.0264223,-0.007475405,-0.00426349,-0.0004195491,0.2374366,0,0,0.2191605,0.1255404,-0.001944983,-0.001611079,0.1633853,0.4160264,0.172213,0.5121109,0.000962914,0.0001139063,29.53219,0.004902225,2.803968e-10,0.003793685,0.0001456255,0.009866037,0,0.05,0,0.0001139063,-0.01517003,1.386045,0.4315531,0.5,1,0.6666667,1,1,1,1,0,40,0,2.307956,1.933078,23179,1.278802,273.71,34.01202
13012,1790270049.445,-0.1991742,-0.2713557,0.4680006,-0.0184194,-0.3525595,-0.0003512191,0,-0.07216009,-0.002688829,-0.03212059,-0.04684822,-0.0005907002,0,-0.0007711006,0.4144829,-0.01257193,0,0,-0.01268845,0.05268237,-0.01739133,-0.008410459,-0.007275121,-0.0003372696,0.3008316,0,0,0.2535331,0.1405757,-0.002094906,-0.001732043,0.1780863,0.3977197,0.1965279,0.552437,0.0009521754,0.0001139063,29.54083,0.004771107,2.755648e-10,0.003669647,0.0001492848,0.01097283,0,0.05,0,0.0001139063,-0.01380712,1.147683,0.4595684,0.5,nan,0.3333333,0,1,1,0,0,40,0,2.331824,1.906205,23195,1.279309,295.07,36.59232
13013,1790270053.759,-0.2246808,-0.2850381,0.5040003,-0.02536645,-0.2455831,-0.001694026,-0.003333334,-0.08612051,-0.003115512,-0.08551612,-0.05918546,-0.0006470754,-0.008393334,-0.0008972902,0.5010501,-0.01308773,-0.004333549,-0.001312166,-0.01637871,0.04154376,-0.03164109,-0.009913373,-0.008109342,-0.0002530336,0.2349229,0,0,0.257703,0.09735088,-0.002589508,-0.002326397,0.1943309,0.463797,0.2238243,0.5923228,0.0009411818,0.0001139063,29.54902,0.004734553,2.77515e-10,0.003641727,0.0001516437,0.01481476,0.05,0.1,0,0.0001139063,-0.01106174,1.125839,0.4421199,0.5,1,0.5,1,1,0.5,1,0,40,0,2.345784,1.924192,23022,1.279927,324.45,40.22008
13014,1790270058.028,-0.2363435,-0.3069543,0.54,-0.02469738,-0.4220899,-0.001155577,-0.0225,-0.08410799,-0.003638706,-0.02030765,-0.05428134,-0.0006905933,0,-0.00110676,0.4677998,-0.01415945,0,0,-0.01693761,0.06399241,-0.02840077,-0.007739281,-0.009880837,0,0.3738779,0,0,0.2818018,0.1591482,-0.00250839,-0.002113502,0.2062991,0.4207844,0.2137904,0.6333598,0.0009287815,0.0001139063,29.55967,0.004712455,2.791566e-10,0.0036388,0.000144873,0.0133027,0.05,0.1,0,0.0001139063,-0.01653791,0.935553,0.5082187,0.5,0,0.5,0,1,0,1,0,40,0,2.319476,1.887486,23366,1.280759,348.59,42.80606
13015,1790270062.358,-0.2557047,-0.325167,0.5759997,-0.02403019,-0.4229574,-0.001986508,0,-0.09326711,-0.003687355,-0.019006,-0.06072445,-0.0007375285,0,-0.00120884,0.5171001,-0.01718835,0,0,-0.01594841,0.2054141,-0.04034561,-0.009791626,-0.006893983,-0.003505182,0.4947976,0,0,0.29807,0.1690398,-0.002583925,-0.002145227,0.2273512,0.5886414,0.2131716,0.6933553,0.0009223782,0.0001708594,29.5703,0.004671126,2.771533e-10,0.003613318,0.0001354289,0.01359575,0,0.1,0,0.0001708594,-0.01566262,0.9428494,0.4680264,1,1,1,0,1,1,0,1,40,0,2.33899,1.943377,22955,1.281498,369.34,45.79373
13016,1790270066.682,-0.2694,-0.3564929,0.6119994,-0.02588909,0,-0.0004575118,0,-0.1137596,-0.003867929,-0.002677563,-0.0765303,-0.0008218093,-0.01812,-0.001120808,0.6067004,-0.01414519,-0.01074334,-0.0002556038,-0.01587131,0,-0.02049365,-0.01358824,0,0,0,0,0,0.3307476,0.07137861,-0.003806245,-0.003073422,0.2427891,0.6028155,0.2972036,0.7241635,0.0009180933,0.0001139063,29.58196,0.004582803,2.731276e-10,0.003532058,0.0001326508,0.01408395,0.05,0.05,0,0.0001139063,-0.01063582,0.7480158,0.5952996,0.5,1,0.5,1,1,0,0.5,0,40,0,2.28013,1.980428,23073,1.282277,392.74,49.08038
13017,1790270071.045,-0.2923633,-0.3827572,0.647999,-0.02896297,-0.3046624,-0.001412378,-0.001,-0.1183709,-0.00422886,-0.03877466,-0.08004773,-0.0008402538,-0.012132,-0.001436779,0.6311707,-0.01658735,-0.00766414,-0.003142143,-0.01979608,0.07507725,-0.03358527,-0.01254219,-0.008743292,-0.0001879171,0.2827698,0,0,0.3357204,0.1132076,-0.003459384,-0.003026318,0.2496018,0.616986,0.2860485,0.7686509,0.0009044898,0.0001139063,29.58916,0.004594214,2.663576e-10,0.003556562,0.0001331623,0.009485042,0,0.05,0,0.0001139063,-0.01495278,0.6251624,0.6097755,0.3333333,1,0.3333333,1,0,1,1,0.5,40,0,2.341013,1.977306,22764,1.282333,420.48,52.8783
13018,1790270075.338,-0.3110639,-0.3976571,0.6839988,-0.03485942,-0.5861366,-0.002685191,-0.0025,-0.1132824,-0.004567106,-0.009646399,-0.07311039,-0.0008497767,0,-0.00118828,0.6422509,-0.02133397,0,0,-0.02106798,0.2019219,-0.04747796,-0.01264651,-0.01040375,-0.002978604,0.5624002,0,0,0.3436624,0.1978346,-0.003149232,-0.002755153,0.2548429,0.6304468,0.2907535,0.8090581,0.0009032292,0.0001139063,29.58821,0.004450224,2.532027e-10,0.00341908,0.0001279147,0.01015946,0,0.05,0,0.0001139063,-0.01219191,0.5490652,0.5816187,0,1,0.5,0.5,1,1,0,0,40,0,2.299964,1.956542,23094,1.282263,442.66,55.15791
13019,1790270079.553,-0.314593,-0.4161886,0.7199984,-0.03020867,-0.6696614,-0.001278033,-0.005,-0.1203149,-0.004412674,-0.03644652,-0.0764229,-0.0009061984,0,-0.001577525,0.618426,-0.0196424,0,0,-0.02105866,0.05323617,-0.04321353,-0.01451622,-0.01745255,-0.004556072,0.413927,0,0,0.380196,0.2134682,-0.003330888,-0.002734764,0.2616958,0.4945481,0.2534511,0.8631656,0.0008880013,0.0001139063,29.58857,0.004352835,2.55922e-10,0.003337563,0.0001272705,0.01071955,0,0.05,0,0.0001139063,-0.012265,0.5335378,0.5289017,0.3333333,0.5,0.25,0.3333333,0,0.5,0,0,40,0,2.282905,1.880172,23613,1.282412,466.08,57.87085
