step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789552581.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07076,1e-05,0.01899738,0.03261327,0,0.5044496,0.07547283,84756,0.5002213,,
1,1789552581.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08293,0.0002562891,-0.004241611,0.03021832,0,0.4449522,0.04156995,101027,0.5009848,,
2,1789552582.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16073,0.0008649756,-0.00901811,0.02686755,0,0.4533978,0.03986549,99646,0.5038803,,
3,1789552582.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25441,0.0008649756,-0.01043742,0.02228217,0,0.456398,0.03849411,99318,0.5065868,,
4,1789552583.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35344,0.0008649756,-0.01093127,0.02124034,0,0.462353,0.03807878,98219,0.5089484,,
5,1789552583.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41635,0.0008649756,-0.01159467,0.02077828,0,0.4612982,0.03832078,98378,0.5106028,,
6,1789552584.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48886,0.0008649756,-0.009969765,0.02025004,0,0.4727657,0.03911018,96023,0.5127333,,
7,1789552585.143,-0.02805347,0.1713332,-0.02323342,-0.003855649,-0.004,0,-0.001832965,0.1873873,0.001379489,-0.02687364,0.0005696615,0,0,0,0,13.56117,0.001297463,-0.0102626,0.02215526,0.4731268,0.7751973,0.04085159,60231,0.5150324,179,2.554924
8,1789552585.653,-0.03348738,0.1957915,-0.0343472,-0.003770227,-0.004,0,-0.001989513,0.1810455,0.0005638804,-0.03046372,0.001322428,0,0,0,0,13.64437,0.0008649756,-0.009936969,0.0189922,0.5815001,0.4677463,0.03900957,96993,0.5175081,186,2.654606
9,1789552586.168,-0.03840461,0.2235415,-0.03103733,-0.004090637,-0.004,0,-0.002061707,0.3284025,0.00938501,-0.0300023,0.002563477,0,0,0,0,13.70901,0.0005766504,-0.01058645,0.0186727,0.5634888,0.4721053,0.03961682,96052,0.5187259,213.625,3.95202
10,1789552586.941,-0.04230201,0.2499998,-0.03255943,-0.004115321,-0.004,0,-0.00228253,0.3388823,0.009866673,-0.03083246,0.007873535,0,0,0,0,13.74646,0.0003844336,-0.01120718,0.01964537,0.5065193,0.7305279,0.03847241,63916,0.5199331,234.7,4.543674
11,1789552587.491,-0.04674079,0.2749998,-0.04258198,-0.004112334,-0.004,0,-0.002465294,0.387672,0.0159311,-0.03622854,0.0152181,0,0,0,0,13.80086,0.0008649756,-0.01074591,0.01874171,0.5056326,0.5020216,0.04408956,90003,0.5219033,254.2821,4.893089
12,1789552588.034,-0.05089821,0.2988331,-0.04780965,-0.004339357,-0.004,0,-0.002749403,0.3724811,0.009467202,-0.04094022,0.02520752,0,0,0,0,13.85725,0.0005766504,-0.01143477,0.01836539,0.5135707,0.500874,0.03909326,91027,0.5232825,274.2985,5.227514
13,1789552588.595,-0.055324,0.3233747,-0.04549187,-0.004723886,-0.004,0,-0.002862506,0.4714925,0.01348765,-0.03885465,0.04125977,0,0,0,0,13.92495,0.001297463,-0.01116079,0.01899348,0.4951151,0.5181406,0.0381875,88350,0.5260729,293.95,5.794762
14,1789552589.153,-0.05964149,0.3474581,-0.04771933,-0.004879435,-0.004,0,-0.003044982,0.5004505,0.01242626,-0.03926876,0.06384277,0,0,0,0,14.01837,0.0005766504,-0.01144196,0.01839353,0.4928792,0.5120201,0.04247785,88642,0.5284085,334.63,6.839178
15,1789552589.702,-0.06391947,0.3713747,-0.0507772,-0.005057242,-0.004,0,-0.003296912,0.5446637,0.0156971,-0.04218475,0.0859375,0,0,0,0,14.09028,0.001297463,-0.01190687,0.01745753,0.4705349,0.5069647,0.03816581,90165,0.5305716,359.85,7.368034
16,1789552590.243,-0.06789824,0.3952914,-0.05444242,-0.005132188,-0.004,0,-0.00343201,0.6186437,0.01866957,-0.04285229,0.1085002,0,0,0,0,14.13382,0.0005766504,-0.01207536,0.01747584,0.493439,0.4982893,0.03828311,91603,0.5313649,379.4,7.963411
17,1789552590.791,-0.07269293,0.4193752,-0.05959321,-0.00526346,-0.004,0,-0.003747006,0.6911916,0.026924,-0.04783277,0.12677,0,0,0,0,14.17767,0.0003844336,-0.01222787,0.0153147,0.4936005,0.5055552,0.03853393,90338,0.532894,402.97,8.681747
18,1789552591.318,-0.07667608,0.442959,-0.06398884,-0.005388936,-0.004,0,-0.003928509,0.6581411,0.01984013,-0.04995089,0.1464844,0,0,0,0,14.22252,0.0002562891,-0.0121991,0.01456586,0.5074886,0.4852726,0.03811717,93910,0.5341351,422.34,8.923006
19,1789552591.844,-0.07934945,0.4550845,-0.07385656,-0.005510628,-0.004,0,-0.004398954,0.6681223,0.01900869,-0.05663691,0.1595663,0,0,0,0,14.25804,0.0008649756,-0.01136336,0.01477675,0.4975703,0.4825904,0.03955317,94135,0.5352885,434.45,8.974314
20,1789552592.366,-0.08503106,0.4906268,-0.0748006,-0.005391988,-0.003166667,0,-0.004280157,0.6668023,0.01957539,-0.05448044,0.1675008,0,0,0,0.1730347,14.30806,0.0008649756,-0.01176398,0.01286493,0.4060934,0.4792354,0.03940749,94770,0.5369779,500,13.80782
21,1789552592.848,-0.08703123,0.500002,-0.04154781,-0.004813374,0,0,-0.003501644,1.004075,0.03982158,-0.02073351,0.1694336,0,0,0,0.8305664,14.3423,0.0005766504,-0.01035663,0.03267147,0.1098486,0.4383841,0.03926563,102903,0.5377015,500,13.80782
22,1789552593.327,-0.08703123,0.500002,-0.04154781,-0.004813374,0,0,-0.003501644,1.004075,0.03982158,-0.02073351,0.1694336,0,0,0,0.8305664,14.36859,0.0005766504,-0.01120296,0.01113268,0.1098486,0.4376347,0.03827024,103281,0.5386289,500,13.80782
23,1789552593.809,-0.08703123,0.500002,-0.04154781,-0.004813374,0,0,-0.003501644,1.004075,0.03982158,-0.02073351,0.1694336,0,0,0,0.8305664,14.39618,0.0005766504,-0.01257896,0.01096172,0.1098486,0.4408178,0.03777361,102701,0.5393314,500,13.80782
24,1789552594.287,-0.08703123,0.500002,-0.04154781,-0.004813374,0,0,-0.003501644,1.004075,0.03982158,-0.02073351,0.1694336,0,0,0,0.8305664,14.4219,0.0008649756,-0.01246917,0.0105153,0.1098486,0.4366493,0.03811526,103529,0.5405874,500,13.80782
25,1789552594.767,-0.08703123,0.500002,-0.04154781,-0.004813374,0,0,-0.003501644,1.004075,0.03982158,-0.02073351,0.1694336,0,0,0,0.8305664,14.46692,0.0005766504,-0.01114614,0.01081257,0.1098486,0.4381964,0.0390079,102999,0.5420272,500,13.80782
26,1789552595.246,-0.08703123,0.500002,-0.04154781,-0.004813374,0,0,-0.003501644,1.004075,0.03982158,-0.02073351,0.1694336,0,0,0,0.8305664,14.52865,0.001297463,-0.01054826,0.01013737,0.1098486,0.4370644,0.03823853,103411,0.5441488,500,13.80782
27,1789552595.725,-0.08792784,0.500002,-0.04111714,-0.004714092,0,0,-0.003477576,1.047472,0.04372981,-0.02015633,0.1693522,0,0,0,0.8306478,14.55828,0.0008649756,-0.01124291,0.008893713,0.106812,0.4377804,0.03817725,103269,0.5447338,500,13.8194
28,1789552596.205,-0.09169006,0.500002,-0.03802352,-0.004118807,0,0,-0.003470608,1.227164,0.05965168,-0.01772827,0.1687826,0,0,0,0.8312175,14.58709,0.001297463,-0.009374441,0.01023164,0.08483396,0.4379494,0.03821754,103224,0.5455508,500,13.84478
29,1789552596.688,-0.09024446,0.500002,-0.03529117,-0.004691684,0,0,-0.003656918,1.278618,0.08058174,-0.01811184,0.1680094,0,0,0,0.8319906,14.61343,0.0008649756,-0.01014652,0.00881198,0.07166287,0.4406056,0.03820801,102653,0.5467333,500,13.93601
30,1789552597.176,-0.09143724,0.500002,-0.04128536,-0.004536243,0,0,-0.003670037,1.393597,0.1055436,-0.02107754,0.1663615,0,0,0,0.8336385,14.64437,0.0008649756,-0.01108491,0.008740208,0.07981244,0.4466171,0.03810906,101401,0.5476989,500,14.24362
31,1789552597.675,-0.09087996,0.500002,-0.03812434,-0.004293595,0,0,-0.003556882,1.338397,0.09457049,-0.01921937,0.1605021,0,0,0,0.8394979,14.67846,0.001297463,-0.008701847,0.01010623,0.05291571,0.4563558,0.03860831,99304,0.548939,500,14.83
32,1789552598.176,-0.09042545,0.500002,-0.03980362,-0.004348333,0,0,-0.003599957,1.403164,0.1085221,-0.0188565,0.1530558,0,0,0,0.8469442,14.71969,0.001297463,-0.008575437,0.009680258,0.05283968,0.4592257,0.03802276,98847,0.5506459,500,15.82431
33,1789552598.685,-0.09272903,0.500002,-0.03652651,-0.004407787,0,0,-0.00360367,1.436653,0.1250523,-0.02012524,0.1421509,0,0,0,0.8578491,14.74701,0.0008649756,-0.00974662,0.0104388,0.06118356,0.4659858,0.04015756,97110,0.5510981,500,17.43539
34,1789552599.204,-0.092632,0.500002,-0.03730384,-0.004251085,0,0,-0.003683074,1.449948,0.1255495,-0.02056851,0.1257935,0,0,0,0.8742065,14.77859,0.0008649756,-0.009209059,0.008423365,0.06534761,0.4761252,0.0384233,95524,0.5526593,500,18.99542
35,1789552599.729,-0.0931235,0.500002,-0.03725563,-0.00438738,0,0,-0.003718619,1.473041,0.1395981,-0.02003258,0.1018677,0,0,0,0.8981323,14.81725,0.0008649756,-0.009070161,0.007225468,0.0481729,0.4838634,0.0380075,94184,0.553753,500,19.37407
36,1789552600.247,-0.09430517,0.500002,-0.03673993,-0.004316829,0,0,-0.003582654,1.499889,0.1515954,-0.01991804,0.08015951,0,0,0,0.9198405,14.84525,0.0008649756,-0.01030408,0.006997748,0.05701514,0.474993,0.03828311,95761,0.5548012,500,19.64578
37,1789552600.764,-0.09387952,0.500002,-0.03685055,-0.004104752,0,0,-0.003573419,1.522551,0.1605211,-0.01963618,0.05824789,0,0,0,0.9417521,14.87015,0.001297463,-0.007274595,0.006902655,0.05175552,0.4750445,0.03850484,95710,0.5556632,500,19.96563
