step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1789955805.172,-0.1009693,-0.1105264,0.3086259,-0.01725829,-0.001577983,-0.05749998,-0.03930663,-0.004464987,-0.001300861,-0.02702736,-0.0004296965,-0.008570002,-0.0007145309,0.2018747,-0.007837895,-0.01019054,-0.006195375,-0.01320084,-0.01412726,-0.0176217,0.161737,0.02733794,-0.001243896,-0.0008709616,0.0731715,0.2398715,0.2444766,0.005423275,0.0001316872,25.51195,0.03315991,0.01019362,0.01302538,0.004517642,0.0155761,0.25,0.1,0.001316872,-0.02412734,0.2007881,0.9719818,1.534474,39220,0.9984784,245.48,19.4349
11,1789955807.665,-0.1375819,-0.1501064,0.432001,-0.02638333,-0.001855517,-0.04125001,-0.04881497,-0.006112209,-1.766384e-05,-0.03431223,-0.0006026846,-0.00942,-0.0007052675,0.3257496,-0.0107262,-0.01163056,-0.0008046315,-0.01591164,-0.02178419,-0.01804991,0.2286815,0.05842131,-0.001669873,-0.001129054,0.09795537,0.3314632,0.3127635,0.005385041,0.0004444444,25.51449,0.03346705,0.01022788,0.01366235,0.004191777,0.0098119,0,0.15,0.004444445,-0.01944304,0.2242544,0.9639874,1.522431,39536,0.9986181,268.19,22.00544
12,1789955810.179,-0.113399,-0.1289728,0.3575004,-0.02047114,-0.00186638,-0.09333333,-0.04112116,-0.005409257,0,-0.02928748,-0.0004987579,-0.01174667,-0.0005591747,0.235733,-0.0096351,-0.01294166,0,-0.01324317,-0.0194008,-0.01690452,0.1858049,0.02270523,-0.001378747,-0.001010495,0.08869939,0.2707628,0.2528626,0.005338027,0.0002962963,25.51528,0.03325438,0.01059117,0.01350636,0.003818819,0.01621586,0.15,0.1,0.002962963,-0.02504553,0.1831114,0.9648411,1.543976,39183,0.9988403,286.07,23.20022
13,1789955812.704,-0.1391956,-0.153547,0.4296823,-0.02599639,-0.002180573,-0.06090908,-0.05123799,-0.00619464,-0.001476837,-0.03614771,-0.000600357,-0.009423638,-0.0008794211,0.326736,-0.01079675,-0.009288518,-0.0002268598,-0.01714956,-0.02365899,-0.01758489,0.2243916,0.06942223,-0.001678784,-0.001175165,0.1122235,0.3310354,0.3598603,0.005441196,0.0006666667,25.51425,0.03310433,0.01106464,0.01304246,0.003556033,0.01312721,0,0.1,0.006666667,-0.02380063,0.199738,0.9670429,1.543572,39155,0.9984799,301.01,25.08045
14,1789955815.223,-0.1650361,-0.1772591,0.5082003,-0.03224466,-0.003057678,-0.11,-0.06237273,-0.007500827,-9.619869e-05,-0.04365937,-0.0007045427,-0.005932,-0.0007459924,0.4321599,-0.0132006,-0.006619974,-0.00361596,-0.02042166,-0.03280384,-0.02100127,0.2615287,0.1069492,-0.001974607,-0.001458703,0.1240036,0.3577442,0.4880815,0.00535289,5.852766e-05,25.51629,0.03296689,0.01077779,0.01342681,0.003409395,0.01628109,0.35,0.1,0.0005852766,-0.02611266,0.1860378,0.9647918,1.549321,39100,0.9990931,332.46,27.82516
15,1789955817.759,-0.1682397,-0.1793575,0.5157858,-0.02974122,-0.002582151,-0.06785713,-0.06133974,-0.007387825,-7.739579e-05,-0.04346847,-0.0007162007,-0.01018286,-0.0009985422,0.3993928,-0.01289781,-0.01053573,-0.001427305,-0.02074461,-0.02628134,-0.02014982,0.269483,0.08741554,-0.002027814,-0.001408727,0.128782,0.3797792,0.438018,0.00520024,0.0004444444,25.51451,0.03172905,0.01038208,0.01297805,0.003168678,0.01064162,0,0.25,0.004444445,-0.01986364,0.1921027,0.9661133,1.557109,38959,0.9979954,344.54,27.78458
16,1789955820.253,-0.1998127,-0.2179366,0.6119994,-0.03579707,-0.003393374,-0.1475,-0.07097834,-0.009028703,-0.008252609,-0.04995562,-0.0008525329,-0.01797001,-0.0009383931,0.4393246,-0.01589012,-0.018876,-0.002609456,-0.02389993,-0.03569722,-0.02160524,0.3177981,0.05812025,-0.002359974,-0.00178094,0.1491268,0.4260165,0.492431,0.005286859,0.0002962963,25.49881,0.03127632,0.009864288,0.01309221,0.00303296,0.01648108,0.15,0.1,0.002962963,-0.02402522,0.160139,0.9571068,1.53051,39517,0.9981529,367.65,29.72196
17,1789955822.761,-0.1857779,-0.2043712,0.5767494,-0.03691816,-0.002955613,-0.0625,-0.06652169,-0.008242583,-0.0001172972,-0.04757231,-0.0008044869,-0.02668,-0.001081366,0.368112,-0.01487923,-0.02737859,-0.001948379,-0.02153864,-0.03013392,-0.02209792,0.3026881,0,-0.002208992,-0.001600129,0.152113,0.4086516,0.4175283,0.005317543,0.0006666667,25.49841,0.03094829,0.00984424,0.01286937,0.002917141,0.01378185,0,0.1,0.006666667,-0.02482174,0.1657788,0.9570246,1.545332,39284,0.9972459,392.03,31.09401
18,1789955825.269,-0.1891901,-0.2023548,0.5772495,-0.03491122,-0.003691069,-0.1558333,-0.06632321,-0.008296493,-0.00165436,-0.04625038,-0.0008064487,-0.02138,-0.0007550474,0.40545,-0.01501447,-0.02166428,-0.00481575,-0.02323952,-0.03933566,-0.02195052,0.297083,0.02996205,-0.002241894,-0.001707094,0.15236,0.3891789,0.4382786,0.005221507,0.0001975309,25.48849,0.0301863,0.00945003,0.01261034,0.002904417,0.01683391,0.2,0.05,0.001975309,-0.02646925,0.1434752,0.9575949,1.544807,39283,0.9974883,396.38,32.06418
19,1789955827.774,-0.1958089,-0.2071307,0.6149993,-0.03976596,-0.002596141,-0.0125,-0.07010359,-0.008769151,-4.031688e-05,-0.05144271,-0.0008547882,-0.02068,-0.001599134,0.4218749,-0.01564546,-0.02124004,-0.002659325,-0.02351867,-0.03194148,-0.02454148,0.3248986,0.0553662,-0.002346672,-0.001616573,0.1487048,0.4171886,0.4372374,0.005152138,0.0004444444,25.48303,0.0296117,0.009495724,0.01216295,0.002800897,0.01226966,0.05,0.15,0.004444445,-0.0229633,0.1400531,0.9534261,1.54488,39348,0.9963442,423.05,34.22762
20,1789955830.285,-0.2442361,-0.2690688,0.7559981,-0.04682692,-0.004419915,-0.132,-0.08556528,-0.0109672,-0.0004029663,-0.06023715,-0.001049971,-0.02212,-0.0009898663,0.5526103,-0.02036422,-0.02439655,-0.003812223,-0.02919497,-0.04905182,-0.02879388,0.3913237,0.06715485,-0.002933197,-0.002160741,0.1929442,0.5357118,0.6522736,0.00524366,0.0004444444,25.45221,0.02869514,0.009333867,0.01139258,0.002725031,0.01631046,0.1,0.1,0.004444445,-0.02509827,0.1642006,0.9510901,1.554274,39237,0.9947675,454.71,36.79077
21,1789955832.806,-0.2347842,-0.2536591,0.7205606,-0.04013181,-0.004380607,-0.1837499,-0.07981311,-0.01044542,-1.153797e-05,-0.05529545,-0.001003216,-0.0236275,-0.0007179257,0.5210255,-0.01889833,-0.02452296,-0.000538279,-0.0272527,-0.04523854,-0.02500765,0.3721732,0.05479918,-0.002789608,-0.002098711,0.1854352,0.4621662,0.4905592,0.005170111,0.0001975309,25.42323,0.0282644,0.009093704,0.01134592,0.002654666,0.01699388,0.2,0.1,0.001975309,-0.02723864,0.1222,0.9472027,1.567964,39084,0.9933491,478.75,38.51693
22,1789955835.338,-0.2726288,-0.3051851,0.8279983,-0.04802503,-0.004472462,-0.1225,-0.09339184,-0.01232662,-0.0001363006,-0.06464301,-0.001154902,-0.03147001,-0.001424904,0.5482506,-0.02145501,-0.03469199,0,-0.03048695,-0.04318014,-0.03119281,0.4294803,0.02305286,-0.003131024,-0.002388077,0.2206775,0.4871523,0.7273757,0.005067339,0.0004444444,25.40096,0.02732764,0.008441087,0.01117362,0.002645594,0.01096872,0,0.1,0.004444445,-0.02343826,0.1221422,0.9522798,1.573951,38913,0.9916319,493.13,38.52252
23,1789955837.871,-0.273971,-0.2934434,0.8489989,-0.05070147,-0.004785891,-0.1033333,-0.09993174,-0.01207575,-0.008969064,-0.07051,-0.00118174,-0.02945334,-0.001559011,0.5606507,-0.02248227,-0.03478329,-0.0007301231,-0.03283785,-0.04836501,-0.02981351,0.4417817,0.03507119,-0.003291241,-0.002401176,0.2094005,0.5611152,0.4928545,0.005057473,0.0004444444,25.35434,0.02720019,0.008269059,0.01130916,0.002564498,0.01657513,0.1,0.1,0.004444445,-0.02646992,0.1424254,0.9578152,1.569093,38902,0.9893427,510.62,41.28847
24,1789955840.403,-0.2710983,-0.2967901,0.8268747,-0.05163046,-0.004496017,-0.0525,-0.09703194,-0.01183242,-0.001245623,-0.06809084,-0.001150843,-0.03517,-0.001549782,0.5578004,-0.02162764,-0.03511414,-0.001081046,-0.03114625,-0.04857867,-0.02980711,0.4333929,0.02770997,-0.003210646,-0.00227079,0.2037044,0.5595355,0.6111044,0.005020612,0.0001975309,25.32459,0.02747683,0.008420494,0.01153306,0.002502669,0.01662206,0.2,0.1,0.001975309,-0.02566071,0.118536,0.9508688,1.575893,38905,0.9880097,554.45,45.12235
25,1789955842.923,-0.1865695,-0.201633,0.5805004,-0.03325973,-0.003686236,-0.1849999,-0.06535074,-0.008074371,-0.007631231,-0.0445365,-0.0008095959,-0.01017,-0.0008142146,0.4610258,-0.01497841,-0.0123544,0,-0.02226429,-0.03265617,-0.02490877,0.2973904,0.08764122,-0.002210779,-0.001758564,0.167483,0.3971613,0.6044329,0.00495815,0.0004444444,25.29887,0.02761032,0.008360361,0.01180985,0.002481961,0.01145614,0,0.1,0.004444445,-0.02385989,0.1094587,0.9493558,1.557492,39214,0.985674,564.36,46.29992
26,1789955845.434,-0.2942329,-0.3112821,0.893573,-0.05309471,-0.00585737,-0.1799999,-0.1062882,-0.01295144,-0.0002106919,-0.07404815,-0.001242758,-0.03696,-0.001152942,0.5695651,-0.02299016,-0.03903206,-0.0004863748,-0.03666924,-0.05783374,-0.03267501,0.4606193,0.01822661,-0.003538157,-0.002571028,0.2286063,0.5823506,0.5694938,0.004888643,0.0001316872,25.24852,0.02786572,0.008556785,0.01194165,0.002478636,0.01677082,0.25,0.1,0.001316872,-0.02883329,0.09048919,0.9476874,1.558146,39230,0.9838821,590.41,46.81957
