attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg
0,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
1,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
2,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
3,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
4,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
5,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
6,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
7,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
8,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
9,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
10,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
11,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
12,0,0.0,spawn,0.01231,0.01228,0.00088,0.01202,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
13,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
14,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
15,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,1.728,0.0,0.0,0,0.0,-0.0
0,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
1,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
2,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
3,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
4,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
5,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
6,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
7,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
8,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
9,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
10,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,1.73,0.0,0.0,0,0.0,-0.0
