step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13800,1790258687.982,-0.005624507,-0.009172119,0.03599999,-0.0005152948,0,-4.574524e-05,0,-0.002862272,-0.0001361856,0,-0.00228864,-4.976449e-05,-0.00221,-0.0001250298,0.04182501,-0.0005887103,-0.001418407,0,-0.0007044666,-0.0007698705,-0.0005232791,0,0,0,0,0,0.0203996,0,-0.0001439256,-9.546788e-05,0.01937629,0.04053672,0.02166496,0.04041229,0.0005511137,1e-05,19.71924,0.0006307263,2.673977e-08,3.918867e-05,4.039716e-05,17.46325,0.95,0.05,0,1e-05,0.1208829,0.1439244,,,,,,,,,,15,,1.203875,1.520813,36078,0.7421165,12.26966,2.148732
13801,1790258690.642,-0.0113357,-0.01922029,0.07199996,-0.001471667,0,-9.864185e-05,0,-0.004732168,-0.0003010174,0,-0.003809028,-0.0001020299,-0.00144,-6.23954e-05,0.07896998,-0.00104632,-0.001663476,0,-0.001660352,-0.0027933,-0.002287422,0,0,0,0,0,0.03934005,0.008771993,-0.0003121021,-0.0002049617,0.03126453,0.07285775,0.03166405,0.08656947,0.0005356873,1e-05,19.72703,0.0006471954,4.57039e-09,5.920329e-05,5.230023e-05,0.03086396,0.85,0.1,0,1e-05,0.01717835,0.2256906,,,,,,,,,,15,,1.074242,1.548458,37481,0.7423088,36.46,6.030637
13802,1790258693.415,-0.01707859,-0.02883684,0.1079999,-0.002511764,0,-0.0002616119,-0.007000001,-0.006143644,-0.0005156551,-4.940701e-05,-0.00459155,-0.0001481431,-0.001544,-9.234663e-05,0.1190399,-0.001566681,-0.001598525,0,-0.002453591,-0.005480764,-0.002348637,0,0,0,0,0,0.05804088,0.0193422,-0.0004466775,-0.0002930249,0.05132627,0.09534319,0.0399369,0.1318399,0.0005323807,1e-05,19.72971,0.0006941595,7.118696e-10,0.0001065618,5.521642e-05,0.07393336,0.9,0.1,0,1e-05,0.04257555,0.06687267,,,,,,,,,,15,,1.185678,1.579824,35546,0.7423663,58.24,9.13667
13803,1790258696.308,-0.02406146,-0.03656709,0.1439999,-0.00424789,0,-0.0007307739,0,-0.008075984,-0.0007854159,-0.001314324,-0.00593524,-0.0001911938,-0.00117,-9.016989e-05,0.1637249,-0.002446072,-0.001305421,0,-0.003960108,-0.01128903,-0.003252984,0,0,0,0,0,0.07498364,0.03173927,-0.0005663817,-0.0004150849,0.06547463,0.1227409,0.04957623,0.1776201,0.0004025806,1e-05,19.73088,0.0006781062,1.026521e-10,0.0002319048,4.362067e-05,0.02140228,0.8,0.1,0,1e-05,0.002576872,0.06510292,,,,,,,,,,15,,1.298215,1.587081,34070,0.7424111,83.7,12.7938
13804,1790258699.246,-0.02821327,-0.04336989,0.1799999,-0.004197512,0,-0.0009989481,0,-0.006745277,-0.001126952,-0.0005124694,-0.004811445,-0.000234811,0,-4.109242e-05,0.1998299,-0.002769578,0,0,-0.004654598,-0.01224581,-0.003215221,0,0,0,0,0,0.09250091,0.05262589,-0.0007060571,-0.0004280527,0.08670848,0.1527213,0.05604398,0.22463,0.0003905456,1.5e-05,19.73259,0.0008612217,1.51461e-11,0.0004262586,4.441748e-05,0.01153003,0,0.1,0,1.5e-05,-0.004726986,0.1244441,,,,,,,,,,15,,1.366243,1.563265,33556,0.7425339,107.76,16.24331
13805,1790258702.222,-0.03490865,-0.05071141,0.2159999,-0.00595348,0,-0.001580522,0,-0.01181215,-0.001250579,-0.003627555,-0.008221887,-0.000283774,-0.001625,-9.455424e-05,0.2494873,-0.003570747,-0.002039397,0,-0.005782856,-0.0168696,-0.004183433,0,0,0,0,0,0.1078438,0.04636643,-0.000851464,-0.0005866521,0.101919,0.194051,0.06722696,0.2648711,0.0003971111,2.25e-05,19.7378,0.001596142,4.105368e-12,0.001150397,4.863412e-05,0.008566936,0,0.1,0,2.25e-05,-0.006327128,0.2163394,,,,,,,,,,15,,1.38159,1.586635,33118,0.7427897,132.9,20.2819
13806,1790258705.193,-0.03990596,-0.06093668,0.2520002,-0.006009297,-0.07028641,-0.002075577,-0.0025,-0.009957353,-0.001488423,-0.001074744,-0.006776609,-0.0003142728,0,-3.865738e-05,0.2900122,-0.004127682,0,0,-0.007553948,-0.02000343,-0.004229262,-0.001461412,-1.556873e-05,0.09539536,0.001148691,0,0.1248996,0.07232955,-0.0009928201,-0.0006267204,0.1224242,0.2516195,0.07402927,0.3163324,0.0004033163,2.25e-05,19.74415,0.002279476,2.440801e-12,0.001824667,5.149332e-05,0.01192194,0.05,0.1,0,2.25e-05,-0.002641152,0.2289772,0,0,1,0,,,0,,,15,0,1.367184,1.596211,33172,0.7430121,156.65,23.60283
13807,1790258708.182,-0.0453124,-0.06959225,0.2880004,-0.006581859,-0.008999,-0.001504043,-0.03499999,-0.01250044,-0.001924736,-0.002465689,-0.008474706,-0.0003735306,0,-4.327966e-05,0.3144497,-0.004286203,0,0,-0.00873471,-0.02242802,-0.004029719,-0.0001241924,0,0.01264214,5.448362e-05,0,0.1449714,0.08333904,-0.001150299,-0.0007468701,0.1351807,0.239135,0.07111164,0.3571812,0.0003910202,3.375e-05,19.75061,0.002569336,1.673106e-12,0.002125991,5.232451e-05,0.0106259,0,0.1,0,3.375e-05,-0.005863761,0.2385991,0,0,1,1,1,0,1,,,15,0,1.362457,1.616221,33002,0.7433151,180.01,27.38871
13808,1790258711.159,-0.0520684,-0.07587864,0.3240007,-0.008957188,-0.05097629,-0.002182036,-0.025,-0.02042761,-0.002038692,-0.009715118,-0.01540996,-0.0003995946,-0.005432,-0.0002935703,0.3744096,-0.005135555,-0.004833945,-9.238869e-07,-0.01002719,-0.02273389,-0.004915888,-0.0004360072,-0.0003457906,0.08033948,0.0009039565,0,0.1612815,0.05550494,-0.001431755,-0.001149177,0.153955,0.2886333,0.09918772,0.3972365,0.0003771625,5.0625e-05,19.75952,0.002665478,1.251334e-12,0.002235912,5.240276e-05,0.01202408,0,0.1,0,5.0625e-05,-0.006370521,0.2044773,0.1683124,1,1,1,1,1,1,0,0,15,0,1.366492,1.600133,33136,0.7437055,203.33,30.69129
13809,1790258714.115,-0.05665666,-0.0855891,0.3600009,-0.008963166,-0.1419221,-0.003359119,-0.07499999,-0.01453325,-0.002295949,-0.00651109,-0.009724002,-0.0004453929,0,-4.927146e-05,0.4026496,-0.005261531,0,0,-0.01273766,-0.0251757,-0.004718374,-0.002774041,-1.184497e-05,0.1647866,0.004820939,0,0.1753917,0.1024428,-0.001436109,-0.001032978,0.1762083,0.3601101,0.135841,0.445161,0.0003628866,5.0625e-05,19.7675,0.002472305,9.420762e-13,0.002056452,5.296648e-05,0.01039197,0,0.05,0,5.0625e-05,-0.006994488,0.1416315,0.3305771,0,1,0.5,1,1,1,0,0,15,0,1.353568,1.591685,33377,0.743932,228.13,33.90335
