step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
74,0.06451,0.01846,0.00810,0.03795,0.28339,0.0000,0.0000,2.2350
75,0.05390,0.01740,0.00621,0.03028,0.28178,0.0000,0.0000,2.3247
76,0.04559,0.01663,0.00589,0.02308,0.28052,0.0000,0.0000,2.3033
77,0.03911,0.01685,0.00657,0.01569,0.28004,0.0000,0.0000,2.3387
78,0.03136,0.01493,0.00896,0.00747,0.28102,0.0000,0.0000,2.2235
79,0.02348,0.01336,0.00927,0.00085,0.28319,0.0000,0.0000,1.9774
80,0.02318,0.01113,0.01072,0.00133,0.28643,0.0000,0.0000,1.7081
81,0.01885,0.00877,0.00984,0.00024,0.28939,0.0000,0.0000,1.5752
82,0.01295,0.00647,0.00520,0.00128,0.29130,0.0000,0.0000,1.5518
83,0.00875,0.00652,0.00006,0.00217,0.29217,0.0000,0.0000,1.6459
84,0.00929,0.00631,0.00001,0.00297,0.29229,0.0000,0.0000,1.6539
85,0.01140,0.00750,0.00231,0.00159,0.29204,0.0000,0.0000,1.6874
86,0.01617,0.00906,0.00696,0.00015,0.29165,0.0000,0.0000,1.5819
87,0.01960,0.01022,0.00907,0.00031,0.29121,0.0000,0.0000,1.4782
88,0.02163,0.01040,0.00949,0.00174,0.29070,0.0000,0.0000,1.3743
89,0.02140,0.01153,0.00769,0.00218,0.29001,0.0000,0.0000,1.2091
90,0.01980,0.01387,0.00509,0.00084,0.28892,0.0000,0.0000,1.0617
91,0.02391,0.01776,0.00352,0.00263,0.28746,0.0000,0.0000,0.9822
92,0.03189,0.02302,0.00179,0.00707,0.28623,0.0000,0.0000,0.9319
93,0.03728,0.02559,0.00031,0.01138,0.28624,0.0000,0.0000,0.8602
94,0.03783,0.02429,0.00239,0.01115,0.28801,0.0000,0.0000,0.8939
95,0.03280,0.02172,0.00329,0.00780,0.29129,0.0000,0.0000,0.8481
96,0.02859,0.02015,0.00592,0.00252,0.29585,0.0000,0.0000,0.9126
97,0.03585,0.02067,0.01237,0.00280,0.30002,0.0000,0.0000,1.1243
98,0.04038,0.02050,0.01337,0.00652,0.30318,0.0000,0.0000,1.1338
99,0.03695,0.02302,0.00715,0.00678,0.30535,0.0000,0.0000,1.1919
100,0.03305,0.02716,0.00028,0.00562,0.30676,0.0000,0.0000,1.0786
101,0.03852,0.02923,0.00387,0.00542,0.30766,0.0000,0.0000,0.8275
102,0.04119,0.02896,0.00455,0.00768,0.30824,0.0000,0.0000,0.7094
103,0.04294,0.02750,0.00505,0.01039,0.30860,0.0000,0.0000,0.6992
104,0.04256,0.02643,0.00384,0.01228,0.30872,0.0000,0.0000,0.6923
105,0.04011,0.02564,0.00184,0.01263,0.30849,0.0000,0.0000,0.7178
106,0.03699,0.02479,0.00037,0.01182,0.30780,0.0000,0.0000,0.7250
107,0.03413,0.02424,0.00017,0.00972,0.30666,0.0000,0.0000,0.7239
108,0.03530,0.02381,0.00379,0.00770,0.30574,0.0000,0.0000,0.6693
109,0.03519,0.02421,0.00659,0.00439,0.30588,0.0000,0.0000,0.6689
