attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.02257,0.02239,0.00289,0.02257,0.0012,-3.46,10.02,0.35,0.0017,-0.088,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.02257,0.02239,0.00289,0.02257,0.0012,-3.46,10.02,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.02257,0.02239,0.00289,0.02257,0.0012,-3.46,10.02,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.02257,0.02239,0.00289,0.02257,0.0012,-3.46,10.02,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
0,2,0.04,spawn,0.02044,0.02042,0.00105,0.02044,0.0018,-1.91,15.15,0.3484,0.0024,-0.106,0.0,0.0,0,0.0,0.0
1,2,0.04,spawn,0.02044,0.02041,0.00104,0.02044,0.0018,-1.91,15.15,0.3484,0.0024,-0.106,0.0,0.0,0,0.0,0.0
2,2,0.04,spawn,0.02044,0.02041,0.00104,0.02044,0.0018,-1.91,15.15,0.3484,0.0024,-0.106,0.0,0.0,0,0.0,0.0
3,2,0.04,spawn,0.02043,0.02041,0.00103,0.02043,0.0018,-1.91,15.15,0.3484,0.0024,-0.106,0.0,0.0,0,0.0,0.0
0,3,0.06,spawn,0.01814,0.01729,-0.00547,0.01814,0.0024,-0.28,20.52,0.3457,0.003,-0.12,0.0,0.0,0,0.0,0.0
1,3,0.06,spawn,0.01814,0.01729,-0.00549,0.01814,0.0024,-0.28,20.52,0.3457,0.003,-0.12,0.0,0.0,0,0.0,0.0
2,3,0.06,spawn,0.01814,0.01729,-0.00549,0.01814,0.0024,-0.28,20.52,0.3457,0.003,-0.12,0.0,0.0,0,0.0,0.0
3,3,0.06,spawn,0.01815,0.0173,-0.0055,0.01815,0.0024,-0.28,20.52,0.3457,0.003,-0.12,0.0,0.0,0,0.0,0.0
0,4,0.08,spawn,0.01565,0.01169,-0.01042,0.01565,0.003,1.45,25.88,0.3425,0.0037,-0.101,0.0,0.0,0,0.0,0.0
1,4,0.08,spawn,0.01567,0.01169,-0.01044,0.01567,0.003,1.45,25.88,0.3425,0.0037,-0.101,0.0,0.0,0,0.0,0.0
2,4,0.08,spawn,0.01568,0.01171,-0.01044,0.01568,0.003,1.45,25.89,0.3425,0.0037,-0.101,0.0,0.0,0,0.0,0.0
3,4,0.08,spawn,0.01568,0.01169,-0.01045,0.01568,0.003,1.45,25.88,0.3425,0.0037,-0.101,0.0,0.0,0,0.0,0.0
0,5,0.1,spawn,0.01442,0.0054,-0.01336,0.01442,0.0036,2.93,31.18,0.3391,0.0044,-0.068,0.0,0.0,0,0.0,0.0
1,5,0.1,spawn,0.01442,0.0054,-0.01337,0.01442,0.0036,2.93,31.18,0.3391,0.0044,-0.068,0.0,0.0,0,0.0,0.0
2,5,0.1,spawn,0.01441,0.0054,-0.01336,0.01441,0.0036,2.93,31.18,0.3391,0.0044,-0.068,0.0,0.0,0,0.0,0.0
3,5,0.1,spawn,0.01443,0.00542,-0.01338,0.01443,0.0036,2.92,31.18,0.3391,0.0044,-0.068,0.0,0.0,0,0.0,0.0
0,6,0.12,spawn,0.01325,0.0071,-0.01118,0.01325,0.0042,4.19,36.34,0.3356,0.0054,-0.021,0.0,0.0,0,0.0,0.0
1,6,0.12,spawn,0.01324,0.0071,-0.01118,0.01324,0.0042,4.18,36.34,0.3356,0.0054,-0.021,0.0,0.0,0,0.0,0.0
2,6,0.12,spawn,0.01324,0.00711,-0.01117,0.01324,0.0042,4.18,36.34,0.3356,0.0054,-0.021,0.0,0.0,0,0.0,0.0
3,6,0.12,spawn,0.01324,0.0071,-0.01118,0.01324,0.0042,4.18,36.34,0.3356,0.0054,-0.021,0.0,0.0,0,0.0,0.0
