step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1789982739.126,-0.1100129,-0.1232118,0.3420008,-0.02190715,-0.002015132,-0.06166665,-0.04345381,-0.005070734,-0.0002174972,-0.02948652,-0.0004747391,-0.01547333,-0.0007752755,0.2174497,-0.009006674,-0.01576528,-0.004083716,-0.01456202,-0.02147882,-0.0151257,0.1781013,0.002097027,-0.001372808,-0.0009431925,0.07842787,0.2468805,0.2708306,0.005497152,0,25.54089,0.02482425,0.004053667,0.009922834,0.005350595,1.482766e-05,0,1,0,3.358576e-05,0.4539516,0.9886489,1.486409,39717,1,247.03,18.76808
11,1789982741.653,-0.1384532,-0.155406,0.432001,-0.02764284,-0.002430611,-0.1475,-0.04369564,-0.006384398,0,-0.0314265,-0.0006007786,-0.005670001,-0.000230366,0.3624746,-0.01159484,-0.008247017,0,-0.01501944,-0.02284663,-0.01885337,0.2235945,0.07158314,-0.001655829,-0.00125336,0.1048873,0.2873355,0.298124,0.005441573,0,25.54089,0.02471399,0.004057233,0.009943481,0.005271698,1.495869e-05,0,1,0,-1.195457e-05,0.4519375,1.009664,1.510488,39007,1,268.99,21.12432
12,1789982744.183,-0.148488,-0.170955,0.4680006,-0.02924966,-0.002887987,-0.1625,-0.05035714,-0.007177821,0,-0.03731991,-0.0006563398,-0.01812,-0.0005548395,0.3058245,-0.01296434,-0.0187791,0,-0.01821791,-0.03478508,-0.01954178,0.2392193,0.01386272,-0.001782826,-0.001366934,0.1148134,0.3195117,0.3393119,0.005439463,0,25.54089,0.02465739,0.004038958,0.009949747,0.005229222,1.59845e-05,0,1,0,4.324829e-08,0.4417596,1.016626,1.508004,38937,1,280.69,21.24309
13,1789982746.717,-0.1602618,-0.1850465,0.5040004,-0.03168025,-0.002819513,-0.1671428,-0.05466425,-0.007527932,0,-0.03960026,-0.0007036884,-0.01211429,-0.0006439616,0.3939855,-0.01312639,-0.0126518,0,-0.01903975,-0.03315054,-0.02057337,0.2604634,0.06769523,-0.001927921,-0.001424024,0.1218972,0.3579129,0.3792611,0.005410811,0,25.54089,0.02451088,0.004036762,0.009943055,0.005120253,1.629152e-05,0,1,0,4.223236e-05,0.4386277,1.012081,1.516505,38877,1,315.18,24.90819
14,1789982749.249,-0.1720026,-0.1945135,0.54,-0.03374026,-0.003503858,-0.2633332,-0.05399193,-0.008264989,0,-0.04010498,-0.0007552185,-0.009566667,-0.0002540978,0.4508998,-0.01401547,-0.01063994,0,-0.02037766,-0.03933948,-0.02221839,0.275429,0.08857628,-0.002057738,-0.001624277,0.1276742,0.3236855,0.48548,0.005437101,0,25.54089,0.02445707,0.004049025,0.009942107,0.005028832,1.74415e-05,0,1,0,-5.945156e-06,0.4346111,1.00584,1.520148,38917,1,345.3,26.4351
15,1789982751.736,-0.1738262,-0.1903348,0.5391001,-0.03236849,-0.003066861,-0.1939999,-0.05850783,-0.007821001,0,-0.04185221,-0.0007504289,-0.008408002,-0.0005067108,0.4590599,-0.01425846,-0.008937578,-0.0002024751,-0.01975868,-0.03300753,-0.02000283,0.27768,0.09903982,-0.002019938,-0.001528682,0.1324213,0.3593459,0.4259228,0.005335442,0,25.54089,0.02426883,0.004048628,0.009961683,0.004923076,1.435665e-05,0,1,0,2.763182e-05,0.4423227,0.9818757,1.499115,39622,1,356.69,26.30614
16,1789982754.255,-0.194669,-0.2200346,0.6119994,-0.03735126,-0.00342602,-0.2521428,-0.06467384,-0.009067738,0,-0.04687515,-0.0008559215,-0.01674572,-0.0005630992,0.4584069,-0.01591102,-0.0172159,0,-0.02302415,-0.03889814,-0.02121856,0.3160592,0.06683975,-0.002341979,-0.001740168,0.1537744,0.4291214,0.4958539,0.005294172,0,25.54089,0.02419109,0.004035529,0.009964635,0.004896753,1.572897e-05,0,1,0,2.502534e-05,0.4406213,0.9938865,1.519739,39108,1,375.76,27.08958
17,1789982756.805,-0.2057813,-0.2363842,0.647999,-0.03915566,-0.003784402,-0.3349998,-0.06669699,-0.009490279,0,-0.04800766,-0.0009049592,-0.02852667,-0.0003895927,0.4079159,-0.01589992,-0.02833047,0,-0.02443738,-0.03951261,-0.02331264,0.333748,0,-0.002455167,-0.001867085,0.1686978,0.4368798,0.5336744,0.005374024,0,25.54089,0.02420215,0.004036935,0.009959564,0.00483163,1.50519e-05,0,1,0,-1.180801e-06,0.437394,1.015117,1.528626,38645,1,410.92,29.44441
18,1789982759.347,-0.2151552,-0.2426036,0.6839988,-0.0424387,-0.004536308,-0.4249999,-0.07102819,-0.009892668,0,-0.05079169,-0.0009577083,-0.01873334,-0.0003295225,0.5161501,-0.01729694,-0.01907036,0,-0.02785257,-0.05351327,-0.02489367,0.347581,0.0721176,-0.002612028,-0.00201304,0.1803682,0.4201964,0.6438639,0.00532879,0,25.54089,0.02412034,0.004049039,0.009960158,0.004782355,1.410145e-05,0,1,0,2.844034e-05,0.432308,1.0108,1.524246,38777,1,418.01,30.07787
19,1789982761.899,-0.22559,-0.2361503,0.7199984,-0.05077738,-0.00297313,-0.11,-0.08070466,-0.01039903,-2.815068e-05,-0.05896388,-0.001001288,-0.01694,-0.001470344,0.5602503,-0.01743598,-0.01704651,0,-0.02603447,-0.03593124,-0.02836114,0.3791232,0.1100768,-0.002752676,-0.001889652,0.1995471,0.6211275,0.5367686,0.005381815,0,25.54089,0.02413734,0.004049832,0.009972774,0.004732916,1.463752e-05,0,1,0,3.01192e-05,0.4333652,1.015098,1.531388,38603,1,440.34,31.65431
20,1789982764.419,-0.2417943,-0.2712784,0.7559981,-0.05002717,-0.004392209,-0.294,-0.07916331,-0.01114819,0,-0.05777705,-0.001053161,-0.02018401,-0.0005880982,0.5541705,-0.01945046,-0.02340003,0,-0.02856254,-0.04821828,-0.02579634,0.3891534,0.0665577,-0.002874672,-0.002168233,0.1850286,0.5231332,0.6029853,0.005271447,0,25.54089,0.02401175,0.004032778,0.009976348,0.004731173,1.500691e-05,0,1,0,3.442599e-05,0.4355845,0.9849644,1.529075,39102,1,466.55,32.85958
21,1789982766.943,-0.2547258,-0.2833681,0.7919978,-0.04589222,-0.004914284,-0.4178571,-0.08294979,-0.01193697,-0.0001287273,-0.05844237,-0.001105568,-0.02461143,-0.0005121256,0.5724005,-0.01977555,-0.02566223,0,-0.03115261,-0.05472367,-0.02582954,0.4062305,0.06234915,-0.003013785,-0.002305537,0.1997551,0.5349926,0.54728,0.005272464,0,25.54089,0.02398069,0.004043614,0.009961687,0.004702921,1.294852e-05,0,1,0,1.582783e-05,0.4335074,0.9966874,1.519249,39072,1,499.73,36.44013
22,1789982769.471,-0.2678797,-0.3109125,0.8279983,-0.05331014,-0.005125059,-0.4116666,-0.08596627,-0.01253171,0,-0.06182325,-0.001156047,-0.02197333,-0.000471529,0.6227838,-0.02145821,-0.02327825,0,-0.0317704,-0.0509869,-0.02909823,0.4234662,0.08795395,-0.003146723,-0.002423366,0.1974381,0.4831152,0.8407304,0.005282421,0,25.54089,0.02395955,0.004053858,0.00996649,0.004656787,1.483937e-05,0,1,0,1.277107e-05,0.4279076,0.9907601,1.531062,38981,1,520.27,36.70337
23,1789982771.988,-0.2701035,-0.3092736,0.8639991,-0.05283689,-0.005181048,-0.357,-0.0933893,-0.01272079,-0.0009025637,-0.06674659,-0.001203601,-0.029568,-0.0008737649,0.5996308,-0.02182231,-0.03027016,-8.156773e-05,-0.03397985,-0.05940547,-0.03195096,0.4447556,0.05714359,-0.003304406,-0.002472181,0.212631,0.5535664,0.6488397,0.00528505,0,25.54089,0.02390693,0.004051742,0.009971944,0.00459819,1.381522e-05,0,1,0,-7.73347e-07,0.4246916,0.9912968,1.512158,39267,1,527.14,36.77275
24,1789982774.477,-0.2881346,-0.3291425,0.9,-0.05528237,-0.005514444,-0.38875,-0.09238052,-0.01320091,-0.0002188742,-0.06637684,-0.001254726,-0.03366999,-0.0004941445,0.6107757,-0.0230563,-0.03555267,0,-0.03470743,-0.06041847,-0.03065812,0.4623097,0.02721563,-0.003435723,-0.002626241,0.2071774,0.6241111,0.6529994,0.005296893,0,25.54089,0.02390239,0.004043671,0.009973384,0.004588444,1.474528e-05,0,1,0,1.787986e-05,0.428501,0.9920559,1.490823,39592,1,542.07,38.67053
