step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789609298.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.05712,1e-05,0.01488707,0.06235982,0,0.5341098,0.07860756,80219,0.4997409,,
1,1789609298.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03106,0.0003844336,-0.004996671,0.06740501,0,0.4684644,0.03937817,96785,0.4980446,,
2,1789609299.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90617,0.0005766504,-0.01257056,0.03694676,0,0.4711783,0.04120469,95928,0.4942005,,
3,1789609299.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75091,0.001297463,-0.0130431,0.03160984,0,0.4831483,0.03897619,94138,0.4892717,,
4,1789609300.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57955,0.0008649756,-0.01352654,0.02533259,0,0.482887,0.040344,93939,0.4847695,,
5,1789609301.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.40503,0.0003844336,-0.01653208,0.02185147,0,0.4866347,0.03868961,93565,0.4808128,,
6,1789609301.747,-0.6516613,0.1389583,-0.08939615,-0.01484006,-0.003547667,-0.003833334,0,-0.00140937,0.1895086,0.004732154,-0.0213329,0.0004679362,0,0,0,0,12.28592,0.0001708594,-0.01485872,0.01875111,0.5035328,0.6585512,0.03873348,70490,0.4779964,146,-4.725092
7,1789609302.422,-0.7530617,0.1592499,-0.09565785,-0.01959155,-0.003700681,-0.004,0,-0.001436669,0.2323743,0.007393355,-0.02379641,0.0006713867,0,0,0,0,12.18143,0.0001139063,-0.01458135,0.01785674,0.5154955,0.63275,0.03856635,73217,0.4751923,165,-5.121329
8,1789609302.958,-0.9461622,0.1980832,-0.1054837,-0.02346255,-0.004081337,-0.004,0,-0.001697752,0.2179135,0.005010616,-0.0267426,0.001627604,0,0,0,0,12.07797,3.375e-05,-0.01238269,0.01689344,0.5606068,0.4929645,0.03896236,92403,0.4724883,183,-6.070084
9,1789609303.499,-1.029026,0.2177082,-0.1129742,-0.02746104,-0.003855413,-0.004,0,-0.001738666,0.2906462,0.008410338,-0.02664943,0.002339681,0,0,0,0,11.99566,0.0003844336,-0.01129859,0.01611659,0.6050233,0.49455,0.04291964,91450,0.4695314,205.1429,-6.74445
10,1789609304.291,-1.139267,0.2489582,-0.1234956,-0.02827606,-0.00454549,-0.004,0,-0.001721003,0.3458666,0.01474882,-0.02584926,0.005086263,0,0,0,0,11.8181,0.0001708594,-0.01448522,0.01493119,0.5204262,0.7479515,0.03957176,62413,0.4654814,226.4615,-7.055606
11,1789609304.842,-1.251701,0.2737915,-0.1330713,-0.03423613,-0.004187433,-0.004,0,-0.001818058,0.3737917,0.008757601,-0.0288613,0.009867351,0,0,0,0,11.70381,0.0001708594,-0.01163804,0.01421646,0.5162123,0.507458,0.03984118,89808,0.462593,249.56,-7.417136
12,1789609305.394,-1.333605,0.2977915,-0.1372653,-0.03717969,-0.004260196,-0.004,0,-0.001980718,0.4224674,0.01282288,-0.03408487,0.01503499,0,0,0,0,11.5988,0.0001708594,-0.01115817,0.01405802,0.5338635,0.5081527,0.03940773,89765,0.4600382,272.8837,-7.76107
13,1789609305.961,-1.424189,0.3232914,-0.1584392,-0.03781557,-0.005055063,-0.004,0,-0.002245754,0.4528856,0.01442436,-0.03183627,0.02872721,0,0,0,0,11.50323,5.0625e-05,-0.01083149,0.0146133,0.4882667,0.523798,0.03887105,87355,0.4578642,293.4305,-8.126206
14,1789609306.536,-1.527696,0.3474164,-0.1643758,-0.03998622,-0.005066583,-0.004,0,-0.002200376,0.545166,0.01821094,-0.03239836,0.04909261,0,0,0,0,11.43483,0.0003844336,-0.01049448,0.01543761,0.5145103,0.5305898,0.03955364,86209,0.4554349,333.36,-8.553226
