episode,dir,cup_x_env_m,cup_y_env_m,cup_yaw_deg,cup_bearing_deg,found_by,grasp_mode,final_state,success,cup_lift_m,cup_axis_to_jaw_centre_mm,axis_error_mm,sim_time_s,failure
0,.,0.42,0.03,0.0,4.1,survey,outside,done,True,0.119,7.0,2.3,13.92,
1,episode_01,0.4122,-0.0912,-55.7,-12.5,survey,outside,done,True,0.1186,7.4,2.6,13.42,
2,episode_02,0.407,-0.0551,195.0,-7.7,survey,outside,done,True,0.1189,7.1,2.3,13.22,
3,episode_03,0.3936,-0.0098,39.6,-1.4,survey,outside,done,True,0.1191,6.9,2.2,13.12,
4,episode_04,0.3823,-0.0443,166.4,-6.6,survey,outside,done,True,0.1191,6.9,2.1,12.98,
5,episode_05,0.3847,0.0904,43.7,13.2,survey,outside,done,True,0.1191,6.7,2.0,13.1,
