step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789465512.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06557,1e-05,0.001356386,0.02496157,0,0.430727,0.07043099,3064,0.5000554,,
1,1789465512.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07192,2.25e-05,-0.03168066,0.03055478,0,0.3679302,0.03475237,3814,0.5004007,,
2,1789465512.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08481,1e-05,-0.04407953,0.02733865,0,0.3620555,0.03397274,3878,0.5006989,,
3,1789465513.360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08993,2.25e-05,-0.03920912,0.0254854,0,0.3790138,0.03478098,3711,0.50071,,
4,1789465513.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09035,1e-05,-0.04152816,0.02280217,0,0.4008875,0.03388166,3532,0.5007502,,
5,1789465514.260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09222,1.5e-05,-0.03971772,0.02479067,0,0.4187191,0.03971291,3350,0.5008063,,
6,1789465514.710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09523,1e-05,-0.04186967,0.02461688,0,0.4073565,0.0375123,3452,0.5009191,,
7,1789465515.472,-0.01193984,0.06895828,-0.003145659,-0.0015,0,-0.0008627998,0.03959715,0.0003682784,-0.01236367,0.006510417,0,0,0,0,13.10126,1e-05,-0.03577342,0.02640864,0.2481398,0.7233655,0.03542376,2024,0.50115,188,2.395966
8,1789465515.901,-0.03191942,0.1944999,-0.0089137,-0.004,0,-0.002835611,0.1624742,0.002670374,-0.03652322,0.03385417,0,0,0,0,13.10998,1.5e-05,-0.03889468,0.02675953,0.6502099,0.3930249,0.03284001,3606,0.5014049,196.3333,2.499547
9,1789465516.308,-0.03428978,0.2119999,-0.009015749,-0.004,0,-0.00329585,0.1589976,0.003023257,-0.05274873,0.046875,0,0,0,0,13.12041,1e-05,-0.03972722,0.02080731,0.5827742,0.3702884,0.0336318,3802,0.5017043,196.3333,2.499547
10,1789465516.716,-0.03428978,0.2119999,-0.009015749,-0.004,0,-0.00329585,0.1589976,0.003023257,-0.05274873,0.046875,0,0,0,0,13.13381,1.5e-05,-0.03780317,0.02856696,0.5827742,0.3723638,0.03244996,3794,0.5022061,196.3333,2.499547
11,1789465517.136,-0.04036032,0.2474581,-0.009193748,-0.004,0,-0.002898823,0.3517737,0.01273493,-0.04010072,0.06966146,0,0,0,0,13.1474,1e-05,-0.03916243,0.0260622,0.5508485,0.3833063,0.03316092,3688,0.5023961,236.8333,4.237886
12,1789465517.566,-0.04866584,0.2939581,-0.009921601,-0.004,0,-0.002932493,0.3207426,0.006927292,-0.03438005,0.1302083,0,0,0,0,13.15218,1.5e-05,-0.0341549,0.02966773,0.5794916,0.392956,0.03377914,3599,0.5025281,256,4.498163
13,1789465517.975,-0.05129556,0.3125414,-0.01043038,-0.004,0,-0.003432276,0.4255851,0.009916453,-0.0346362,0.155599,0,0,0,0,13.16279,1.5e-05,-0.04031411,0.01940954,0.6945622,0.3728321,0.0327003,3787,0.5029729,261.8,4.696624
14,1789465518.380,-0.0513956,0.3129998,-0.01045348,-0.004,0,-0.003465771,0.4290025,0.0101703,-0.03458,0.15625,0,0,0,0,13.17637,1e-05,-0.04342561,0.02401807,0.6973792,0.3694201,0.03299236,3816,0.5032633,261.8,4.696624
