timestamp,memory_used_mib,utilization_gpu_pct
2026/09/15 19:45:06.207, 632, 0
2026/09/15 19:45:08.209, 909, 0
2026/09/15 19:45:10.209, 1162, 0
2026/09/15 19:45:12.209, 3347, 60
2026/09/15 19:45:14.209, 3342, 53
2026/09/15 19:45:16.209, 3343, 54
2026/09/15 19:45:18.209, 3347, 63
2026/09/15 19:45:20.210, 3346, 65
2026/09/15 19:45:22.210, 3343, 53
2026/09/15 19:45:24.210, 3340, 51
2026/09/15 19:45:26.210, 3338, 60
2026/09/15 19:45:28.210, 3336, 55
2026/09/15 19:45:30.210, 3336, 66
2026/09/15 19:45:32.211, 3340, 65
2026/09/15 19:45:34.211, 3340, 64
2026/09/15 19:45:36.211, 3338, 65
2026/09/15 19:45:38.211, 3337, 59
2026/09/15 19:45:40.211, 3337, 60
2026/09/15 19:45:42.212, 3337, 66
2026/09/15 19:45:44.212, 3334, 63
2026/09/15 19:45:46.212, 3336, 65
2026/09/15 19:45:48.212, 3336, 65
2026/09/15 19:45:50.212, 3336, 65
2026/09/15 19:45:52.212, 3336, 65
