attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
3,9,0.18,spawn,0.01302,0.01071,-0.00741,0.01437,0.006,8.38,50.74,0.3267,0.0082,0.017,0.0,0.0,0,0.0,0.0
0,10,0.2,spawn,0.01225,0.0106,-0.00615,0.01264,0.0066,8.96,55.5,0.3243,0.0093,-0.006,0.0,0.0,0,0.0,0.0
1,10,0.2,spawn,0.01224,0.01059,-0.00615,0.01263,0.0066,8.96,55.5,0.3243,0.0093,-0.006,0.0,0.0,0,0.0,0.0
2,10,0.2,spawn,0.01224,0.01059,-0.00614,0.01263,0.0066,8.96,55.5,0.3243,0.0093,-0.006,0.0,0.0,0,0.0,0.0
3,10,0.2,spawn,0.01225,0.01059,-0.00615,0.01263,0.0066,8.96,55.5,0.3243,0.0093,-0.006,0.0,0.0,0,0.0,0.0
0,11,0.22,spawn,0.01229,0.01195,-0.00288,0.01281,0.0072,9.44,60.12,0.3222,0.0105,-0.024,0.0,0.0,0,0.0,0.0
1,11,0.22,spawn,0.01229,0.01195,-0.00288,0.01281,0.0072,9.44,60.12,0.3222,0.0105,-0.024,0.0,0.0,0,0.0,0.0
2,11,0.22,spawn,0.01229,0.01195,-0.00287,0.0128,0.0072,9.44,60.11,0.3222,0.0104,-0.024,0.0,0.0,0,0.0,0.0
3,11,0.22,spawn,0.01229,0.01195,-0.00288,0.01281,0.0072,9.43,60.12,0.3222,0.0104,-0.024,0.0,0.0,0,0.0,0.0
0,12,0.24,spawn,0.0124,0.01239,0.0002,0.01244,0.0078,9.94,64.69,0.3205,0.0117,-0.074,0.0,0.0,0,0.0,0.0
1,12,0.24,spawn,0.0124,0.0124,0.0002,0.01245,0.0078,9.95,64.69,0.3205,0.0117,-0.074,0.0,0.0,0,0.0,0.0
2,12,0.24,spawn,0.01242,0.01241,0.0002,0.01246,0.0078,9.95,64.69,0.3205,0.0117,-0.074,0.0,0.0,0,0.0,0.0
3,12,0.24,spawn,0.0124,0.0124,0.00019,0.01245,0.0078,9.94,64.69,0.3205,0.0117,-0.074,0.0,0.0,0,0.0,0.0
0,13,0.26,spawn,0.01194,0.01182,0.00169,0.01126,0.0084,10.09,69.19,0.3191,0.0128,-0.128,0.0,0.0,0,0.0,0.0
1,13,0.26,spawn,0.01194,0.01182,0.00169,0.01127,0.0084,10.09,69.18,0.3191,0.0128,-0.128,0.0,0.0,0,0.0,0.0
2,13,0.26,spawn,0.01195,0.01183,0.00169,0.01127,0.0084,10.09,69.18,0.3191,0.0128,-0.128,0.0,0.0,0,0.0,0.0
3,13,0.26,spawn,0.01195,0.01184,0.00167,0.01128,0.0084,10.09,69.19,0.3191,0.0128,-0.128,0.0,0.0,0,0.0,0.0
0,14,0.28,spawn,0.01001,0.00968,0.00256,0.00871,0.009,9.75,73.63,0.3179,0.0138,-0.18,0.0,0.0,0,0.0,0.0
1,14,0.28,spawn,0.01001,0.00968,0.00256,0.00871,0.009,9.75,73.63,0.3179,0.0138,-0.18,0.0,0.0,0,0.0,0.0
2,14,0.28,spawn,0.01001,0.00968,0.00256,0.00871,0.009,9.75,73.63,0.3179,0.0138,-0.18,0.0,0.0,0,0.0,0.0
3,14,0.28,spawn,0.01002,0.00969,0.00252,0.00871,0.009,9.74,73.63,0.3179,0.0138,-0.18,0.0,0.0,0,0.0,0.0
0,15,0.3,spawn,0.00782,0.00686,0.00375,0.00634,0.0096,9.11,77.79,0.317,0.0148,-0.223,0.0,0.0,0,0.0,0.0
1,15,0.3,spawn,0.00781,0.00685,0.00375,0.00634,0.0096,9.12,77.79,0.317,0.0148,-0.223,0.0,0.0,0,0.0,0.0
2,15,0.3,spawn,0.00781,0.00685,0.00376,0.00634,0.0096,9.11,77.79,0.317,0.0147,-0.223,0.0,0.0,0,0.0,0.0
3,15,0.3,spawn,0.00781,0.00686,0.00373,0.00632,0.0096,9.11,77.79,0.317,0.0147,-0.223,0.0,0.0,0,0.0,0.0
0,16,0.32,spawn,0.00767,0.00477,0.006,0.00674,0.0102,8.6,80.89,0.3163,0.0157,-0.258,0.0,0.0,0,0.0,0.0
1,16,0.32,spawn,0.00767,0.00478,0.006,0.00674,0.0102,8.6,80.89,0.3163,0.0157,-0.258,0.0,0.0,0,0.0,0.0
2,16,0.32,spawn,0.00768,0.00478,0.00601,0.00675,0.0102,8.6,80.89,0.3163,0.0157,-0.258,0.0,0.0,0,0.0,0.0
3,16,0.32,spawn,0.00765,0.00477,0.00598,0.00672,0.0102,8.59,80.9,0.3163,0.0157,-0.258,0.0,0.0,0,0.0,0.0
