step,wall_time,Episode/rew_action_rate,Episode/rew_action_rate_arm,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_collision,Episode/rew_dof_acc,Episode/rew_dof_acc_arm,Episode/rew_dof_pos_limits,Episode/rew_dof_vel,Episode/rew_dof_vel_arm,Episode/rew_feet_air_time,Episode/rew_feet_contact_forces,Episode/rew_feet_contact_number,Episode/rew_feet_drag,Episode/rew_feet_height,Episode/rew_feet_height_high,Episode/rew_feet_pos_xy,Episode/rew_hip_pos,Episode/rew_lin_vel_z,Episode/rew_ref_dof_leg,Episode/rew_stand_still,Episode/rew_torque_limits,Episode/rew_torques,Episode/rew_tracking_ang_vel,Episode/rew_tracking_ee_force_world,Episode/rew_tracking_lin_vel_force_world,Loss/learning_rate,Loss/mean_adaptation_module_loss,Loss/mean_surrogate_loss,Loss/surrogate,Loss/value_function,Perf/collection time,Perf/learning_time,Perf/total_fps,Policy/mean_noise_std,Train/mean_episode_length,Train/mean_reward
10,1789693444.768,-0.07530622,-0.08147948,0.2322645,-0.03011904,-0.001935294,-0.04509617,-0.01049398,-0.04804581,-0.00833133,-0.01213632,-0.007774284,-0.006085583,-0.004216757,0.123413,-0.007122643,-0.006667993,-0.01249162,-0.01218736,-0.01988123,-0.03993736,0.1199355,0.0201432,-0.001061858,-0.0007258987,0.04181975,0.1551281,0.1492127,8.779149e-05,0.0003469083,-0.0214508,-0.0214508,0.1632569,1.845176,1.44254,29900,1.001786,163.58,8.782485
11,1789693448.026,-0.08094468,-0.08726902,0.2484202,-0.03197075,-0.002041855,-0.05114056,-0.01108095,-0.0512898,-0.0116616,-0.01284202,-0.008538104,-0.006876342,-0.004699864,0.1321933,-0.007806851,-0.007587885,-0.01236586,-0.01292499,-0.02039192,-0.04339918,0.1284236,0.01870314,-0.001132643,-0.0007740881,0.04639024,0.1667593,0.1579553,0.0006666667,0.0003190359,-0.01740984,-0.01740984,0.1745074,1.840123,1.411629,30231,1.001324,178.2,9.458776
12,1789693451.324,-0.09811483,-0.1060629,0.3014845,-0.03778231,-0.002525082,-0.05160148,-0.01357811,-0.06109199,-0.01248494,-0.0154302,-0.009901052,-0.007917858,-0.005183241,0.1630031,-0.008879921,-0.008633814,-0.01046706,-0.01566065,-0.02563449,-0.04993678,0.1556633,0.02824008,-0.001370506,-0.000938287,0.05717221,0.1989161,0.2000397,0.0002962963,0.0003046948,-0.02023617,-0.02023617,0.1625945,1.829902,1.462263,29859,1.001476,196.37,10.65772
13,1789693454.569,-0.1000219,-0.1076364,0.3068052,-0.03723068,-0.00266372,-0.05105407,-0.01371074,-0.0618447,-0.01277189,-0.01525241,-0.009919904,-0.008306695,-0.005203073,0.1659331,-0.009025173,-0.009310868,-0.0125995,-0.01656379,-0.02721193,-0.04726282,0.1581914,0.02553043,-0.001416208,-0.0009492792,0.05914151,0.1963664,0.1999529,0.0006666667,0.0002793742,-0.01551202,-0.01551202,0.1785951,1.789603,1.450183,30342,1.002045,221.67,12.20003
14,1789693457.822,-0.1068757,-0.1147876,0.3267337,-0.03771054,-0.002802352,-0.0516808,-0.01437092,-0.06433245,-0.009569653,-0.01585808,-0.01030135,-0.009249697,-0.005251627,0.179606,-0.009398011,-0.01022768,-0.01440499,-0.01726107,-0.02840913,-0.04618483,0.1684791,0.0243625,-0.001497664,-0.001010028,0.06276371,0.2116063,0.2243891,0.0002962963,0.0002622528,-0.02163967,-0.02163967,0.1519614,1.793351,1.445929,30347,1.002162,213.7,12.25236
15,1789693461.058,-0.1177761,-0.1257955,0.3592202,-0.03890355,-0.003342871,-0.05599431,-0.01576492,-0.07328396,-0.008538576,-0.0169792,-0.0118773,-0.009815674,-0.005826131,0.1975184,-0.01067534,-0.01108679,-0.01294061,-0.01937952,-0.03258271,-0.05023093,0.1849788,0.0296989,-0.001648473,-0.001105601,0.07009047,0.2293724,0.2454333,0.0006666667,0.0002451422,-0.01801529,-0.01801529,0.1611198,1.795101,1.434258,30440,1.001481,240.9,13.86464
16,1789693464.327,-0.1291926,-0.1382494,0.3947266,-0.04226741,-0.003495231,-0.06426526,-0.01669112,-0.07897223,-0.01820372,-0.01818185,-0.01293231,-0.009472229,-0.006059156,0.2261086,-0.01098292,-0.01066243,-0.01004329,-0.02061855,-0.03257827,-0.04918395,0.2035991,0.04452307,-0.001769213,-0.001213965,0.08135369,0.2403015,0.2917917,0.0001975309,0.0002269406,-0.01951334,-0.01951334,0.1460716,1.79053,1.472903,30122,1.000352,260.65,15.98942
17,1789693467.635,-0.1427235,-0.1516309,0.4345892,-0.04610712,-0.003914776,-0.06583184,-0.01834626,-0.09018193,-0.0104665,-0.01963019,-0.01454472,-0.01134663,-0.006621664,0.2434974,-0.0125772,-0.01261882,-0.01413395,-0.02326736,-0.03691893,-0.0545572,0.2242572,0.04135648,-0.001979073,-0.001305321,0.0883994,0.2531764,0.301511,0.0004444444,0.0002163918,-0.01648851,-0.01648851,0.1462504,1.82583,1.475177,29780,1.000112,294,17.29154
18,1789693470.938,-0.1408589,-0.1512559,0.4319255,-0.04694697,-0.003967039,-0.06587376,-0.0185049,-0.08954059,-0.008934945,-0.01965867,-0.01426683,-0.01225858,-0.006565304,0.231905,-0.01168996,-0.01361599,-0.01718818,-0.023873,-0.03648019,-0.0564176,0.222982,0.03407658,-0.00198661,-0.001304806,0.08929466,0.2727821,0.3166784,0.0001975309,0.0002035116,-0.009216006,-0.009216006,0.1560015,1.825133,1.472861,29807,0.9995516,279.78,17.07307
19,1789693474.251,-0.1477935,-0.157187,0.4479256,-0.04369973,-0.004421726,-0.05602084,-0.01942628,-0.09215283,-0.008585388,-0.0198156,-0.01518043,-0.01059357,-0.006363365,0.2531012,-0.01204128,-0.01230528,-0.01476717,-0.02565312,-0.03972352,-0.04931009,0.2301561,0.05057002,-0.002096507,-0.001335262,0.09744583,0.2746225,0.3413634,0.0002962963,0.0001897007,-0.01592185,-0.01592185,0.1437637,1.829933,1.477389,29723,0.9985064,293.16,18.57851
20,1789693477.561,-0.1562425,-0.1665111,0.4752066,-0.04916918,-0.004435998,-0.0682361,-0.01949438,-0.09608889,-0.006589253,-0.02110237,-0.01523515,-0.01422364,-0.006827888,0.2766028,-0.01285638,-0.0159393,-0.01668189,-0.02373452,-0.04428451,-0.05917561,0.2433228,0.03422589,-0.002145627,-0.001495048,0.1019594,0.2775734,0.3358353,0.0002962963,0.0001769824,-0.01528502,-0.01528502,0.1258236,1.834213,1.469187,29758,0.9984019,306.01,18.54169
21,1789693480.847,-0.1699671,-0.1777747,0.5124889,-0.04779823,-0.004899938,-0.05926735,-0.0216244,-0.09844395,-0.01244721,-0.02230494,-0.01519712,-0.0124072,-0.00703198,0.2926862,-0.01313663,-0.01400643,-0.0115049,-0.02742998,-0.04640774,-0.06230708,0.2632192,0.05816225,-0.002355345,-0.001551705,0.1091859,0.2926563,0.3760094,0.0002962963,0.0001654021,-0.01625244,-0.01625244,0.1171079,1.822545,1.457284,29972,0.9968622,336.25,20.33671
22,1789693484.155,-0.2233605,-0.2367282,0.6788842,-0.0641028,-0.007377891,-0.1250347,-0.02767098,-0.1342847,-0.02781704,-0.02843108,-0.02281892,-0.0211332,-0.01004241,0.3759086,-0.01952435,-0.02267109,-0.01974567,-0.0382303,-0.06612292,-0.06594618,0.3484501,0.05062352,-0.003106362,-0.002041078,0.1511757,0.3877625,0.5109859,0.0001316872,0.000157939,-0.006163519,-0.006163519,0.1008346,1.826718,1.476166,29763,0.9964473,380.57,23.14662
23,1789693487.445,-0.1911256,-0.2014859,0.5824785,-0.05367462,-0.005869173,-0.1205903,-0.02404569,-0.1144001,-0.01071644,-0.02497136,-0.01832287,-0.01578292,-0.009087831,0.339762,-0.01757048,-0.01769954,-0.01368462,-0.03126465,-0.05227185,-0.06478719,0.299724,0.05023666,-0.002696739,-0.001764035,0.1300765,0.3292967,0.4385394,0.0002962963,0.0001484817,-0.01011148,-0.01011148,0.1010215,1.804041,1.479999,29933,0.9953154,397.02,23.53927
24,1789693490.727,-0.2409695,-0.2555438,0.7335202,-0.06705984,-0.007909413,-0.08947916,-0.03072177,-0.1294642,-0.01258682,-0.03123502,-0.01952735,-0.02267417,-0.008786972,0.4199304,-0.01843845,-0.02513015,-0.0155179,-0.04072793,-0.06454352,-0.07277769,0.3760167,0.05373796,-0.00345817,-0.002229695,0.1644758,0.3908165,0.5388031,8.779149e-05,0.0001455766,-0.01060676,-0.01060676,0.1020347,1.803314,1.472506,30008,0.9934739,431.92,26.07281
