timestamp,memory_used_mib,utilization_gpu_pct
2026/09/15 19:58:26.731, 608, 25
2026/09/15 19:58:28.731, 887, 0
2026/09/15 19:58:30.732, 1132, 0
2026/09/15 19:58:32.732, 3306, 7
2026/09/15 19:58:34.732, 3321, 62
2026/09/15 19:58:36.732, 3325, 62
2026/09/15 19:58:38.732, 3323, 47
2026/09/15 19:58:40.732, 3320, 54
2026/09/15 19:58:42.733, 3322, 54
2026/09/15 19:58:44.733, 3322, 64
2026/09/15 19:58:46.733, 3327, 63
2026/09/15 19:58:48.733, 3327, 61
2026/09/15 19:58:50.733, 3328, 57
2026/09/15 19:58:52.733, 3324, 64
2026/09/15 19:58:54.733, 3323, 65
2026/09/15 19:58:56.734, 3322, 65
2026/09/15 19:58:58.734, 3322, 63
2026/09/15 19:59:00.734, 3328, 52
2026/09/15 19:59:02.734, 3327, 62
2026/09/15 19:59:04.734, 3328, 55
2026/09/15 19:59:06.735, 3326, 59
2026/09/15 19:59:08.735, 3325, 48
2026/09/15 19:59:10.735, 3323, 54
2026/09/15 19:59:12.735, 3322, 48
2026/09/15 19:59:14.735, 3328, 64
