step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
16010,1790265514.971,-0.01796079,-0.02256291,0.1526249,-0.003959665,0,-0.0001516033,-0.044375,-0.008018222,-0.001256173,-0.0008828392,-0.006219951,-0.0001862471,0,-0.0002779667,0.1232249,-0.001869616,0,0,-0.005564867,0,-0.0129741,-0.002480259,0,0,0,0,0,0.07750103,0.0443344,-0.0006543554,-0.0004773844,0.07146254,0.1397044,0.05342393,0.1638025,0.0004972427,2.25e-05,15.69133,0.001826857,2.487892e-12,0.001287389,4.222497e-05,0.01333229,0.05,0.1,0,2.25e-05,-0.005293247,1.274867,0.04536987,0,0,0,0,0,0,0,0,60,0,1.250062,1.575734,34788,0.5861892,127.49,17.74231
16011,1790265517.839,-0.02587468,-0.03485434,0.2220002,-0.006640194,-0.05091145,-0.0003053272,-0.03375001,-0.0110793,-0.001746296,-0.03279682,-0.008501016,-0.0002609169,0,-0.0003348331,0.194356,-0.002746582,0,0,-0.00793632,0.01448658,-0.01843986,-0.002966932,-0.003946294,-0.001093805,0.05267232,0,-0.0125,0.1119681,0.06427826,-0.0009809987,-0.0006666113,0.1024211,0.2042287,0.07343911,0.2567061,0.000521684,3.375e-05,15.70143,0.002189724,1.941223e-12,0.001623418,4.46216e-05,0.01309826,0,0.1,0,3.375e-05,-0.008172745,1.315485,0.04518186,0,1,0,0,0,0,0,0,60,0.3333333,1.259844,1.595989,34422,0.5865725,151.87,21.57948
16012,1790265520.695,-0.03132645,-0.03920981,0.2572502,-0.007587044,-0.06795856,-0.0004615641,-0.11125,-0.0140837,-0.001956307,-0.02860073,-0.01070354,-0.0003078186,0,-0.0003545796,0.2186872,-0.003703351,0,0,-0.009203015,0.01810422,-0.02428792,-0.003894525,-0.007391435,-0.0007051972,0.07082062,0,0,0.126353,0.07345513,-0.001301856,-0.0008506125,0.1172073,0.2309707,0.08968093,0.2939552,0.0005533732,2.25e-05,15.71562,0.002509414,1.625806e-12,0.001908812,4.722947e-05,0.01384658,0.1,0.1,0,2.25e-05,-0.007496504,1.138074,0.06805725,0,0,0,0,0,0,0,0,60,0,1.251104,1.592711,34567,0.5870065,190.52,27.02404
16013,1790265523.565,-0.04300645,-0.05406527,0.3588755,-0.01020071,-0.08286469,-0.0005440316,-0.09875,-0.0214462,-0.002604367,-0.01175253,-0.01653615,-0.0004269785,-0.004225001,-0.00064348,0.3631247,-0.005811448,-0.004219024,0,-0.01190181,0.01881754,-0.02385579,-0.00597914,-0.01611719,-0.001612286,0.1007537,0,0,0.1838042,0.06670873,-0.001788988,-0.001289888,0.1818016,0.3139932,0.1192261,0.3829852,0.0005939999,2.25e-05,15.72657,0.00287081,1.268859e-12,0.002223889,5.29209e-05,0.01173819,0,0.05,0,2.25e-05,-0.00543286,1.368639,0.02201881,0,1,0,0,0,0,0,0,60,0,1.275115,1.584076,34381,0.5873301,210.08,29.08912
16014,1790265526.439,-0.06630222,-0.08374061,0.5195001,-0.01775422,-0.3912963,-0.001148243,-0.02666667,-0.03035872,-0.003691848,-0.1080386,-0.02552722,-0.0006017652,0,-0.0005275553,0.4638665,-0.008935062,0,0,-0.0182269,0.04962827,-0.03317372,-0.01257444,-0.08508889,-0.01503626,0.5489773,0,-0.03333334,0.2570643,0.1489991,-0.002610629,-0.001780007,0.2220506,0.3975459,0.1985034,0.5669698,0.000647011,2.25e-05,15.73712,0.003308684,9.640043e-13,0.002602088,5.95855e-05,0.0111252,0,0.05,0,2.25e-05,-0.005958701,1.235662,0.007123822,0,nan,0,0,0,0,0,0,60,0.3333333,1.254891,1.607985,34337,0.5876929,240.9,32.9678
16015,1790265529.303,-0.04914938,-0.05925664,0.3690008,-0.01472942,-0.2277196,-0.001110297,-0.1066667,-0.02320216,-0.002548902,-0.1491832,-0.0204923,-0.000432075,0,-0.0005356463,0.3247328,-0.006855281,0,0,-0.01397809,0.02404896,-0.02889193,-0.005677252,-0.05573165,-0.01138801,0.2142771,0,-0.03333334,0.177427,0.1041662,-0.002357539,-0.001388693,0.1682471,0.2723861,0.1214978,0.4042146,0.0006730802,1.5e-05,15.75104,0.003540357,7.933602e-13,0.002803016,6.426073e-05,0.01503797,0.15,0.15,0,1.5e-05,-0.004054506,1.334659,0.002189556,0,1,0,0,0,0,0,0,60,0.3333333,1.25868,1.594021,34459,0.588181,255.18,35.12603
16016,1790265532.179,-0.05072227,-0.06132433,0.3930009,-0.01292224,-0.1844435,-0.0009170206,-0.235,-0.02187573,-0.002879129,-0.1607465,-0.01736309,-0.0004628505,0,-0.0006563416,0.3538078,-0.006794165,0,0,-0.01438155,0.03540841,-0.04041046,-0.005419861,-0.04543799,-0.008913881,0.2203774,0,-0.06666668,0.1914743,0.1116965,-0.002444048,-0.001540077,0.1886217,0.3371767,0.1424072,0.4461971,0.0006590494,3.375e-05,15.76412,0.003647323,6.707444e-13,0.002917179,7.109512e-05,0.0126928,0,0.15,0,3.375e-05,-0.006306925,1.329201,0.03169187,0,0.8000001,0,0,0,0,0,0,60,0.6666667,1.256067,1.608232,34320,0.5886089,277.39,37.03125
16017,1790265535.058,-0.06773667,-0.08597228,0.5411249,-0.01561359,-0.1348324,-0.0005501712,-0.02125,-0.03245493,-0.003947665,-0.06767534,-0.0265231,-0.000641853,-0.00908,-0.001004027,0.5955625,-0.007875606,-0.01131321,0,-0.01662551,0.03041134,-0.02102814,-0.008922211,-0.01976675,-0.01592369,0.1774678,0,0,0.2878424,0.06258462,-0.002536061,-0.001698508,0.2677327,0.4666409,0.1836306,0.5499727,0.0006514957,2.25e-05,15.77784,0.003593476,5.55068e-13,0.002872035,6.994481e-05,0.01275701,0.05,0.05,0,2.25e-05,-0.003802919,1.187992,0.01079304,0,1,0,0,0,0,0,0,60,0,1.258327,1.609051,34283,0.5889938,293.51,41.291
16018,1790265537.936,-0.05005328,-0.06071873,0.397501,-0.012408,-0.2278618,-0.0007642216,-0.05333334,-0.01939198,-0.003074651,-0.08008042,-0.0159879,-0.0004552131,0,-0.0003250921,0.3872163,-0.006387541,0,0,-0.01448736,0.0410064,-0.02554847,-0.007078821,-0.05378862,-0.004145496,0.1952473,0,-0.06666668,0.1982418,0.1144215,-0.001990187,-0.001282105,0.1865933,0.3141143,0.1391015,0.4594111,0.0006630322,3.375e-05,15.79011,0.003657183,4.539492e-13,0.002924334,6.98169e-05,0.01229193,0,0.1,0,3.375e-05,-0.005351037,1.102458,0.003491909,0,nan,0,0,0,0,0,0,60,0.6666667,1.240151,1.625648,34302,0.589416,300.62,42.12982
16019,1790265540.797,-0.07896827,-0.1005766,0.7199984,-0.01149847,-0.684293,-0.004269309,-0.01,-0.0185911,-0.004908332,-0.03540761,-0.01263082,-0.0007374146,0,-0.0001224728,0.8345509,-0.009526546,0,0,-0.02995921,0.029194,-0.097019,-0.005622537,-0.01042648,-0.001756099,0.4462177,0,0,0.3451931,0.2032718,-0.002834298,-0.001265522,0.3583117,0.4938838,0.1518331,0.8994924,0.0006459302,2.25e-05,15.80543,0.003640016,3.772725e-13,0.002918813,7.527265e-05,0.01467817,0.1,0.1,0,2.25e-05,-0.005779051,0.8669104,0.04710154,0,1,0,0,0,0,0,0,60,0,1.245348,1.604364,34496,0.5899274,329.57,45.28574
