episode,dir,cup_x_env_m,cup_y_env_m,cup_yaw_deg,cup_bearing_deg,found_by,grasp_mode,final_state,success,cup_lift_m,cup_axis_to_jaw_centre_mm,axis_error_mm,sim_time_s,failure
0,.,0.42,0.03,0.0,4.1,survey,outside,done,True,0.119,7.0,2.3,13.92,
1,episode_01,0.341,-0.297,-84.3,-41.1,sweep stop -36.0,outside,done,True,0.1165,10.0,2.6,18.46,
2,episode_02,0.4058,-0.1873,177.9,-24.8,survey,outside,done,True,0.1182,10.3,2.8,12.98,
3,episode_03,0.4323,-0.0333,36.6,-4.4,survey,outside,done,True,0.1191,7.3,2.6,13.48,
4,episode_04,0.397,-0.144,153.0,-19.9,survey,outside,done,True,0.1183,7.2,2.5,13.46,
5,episode_05,0.3222,0.2767,71.1,40.7,sweep stop +35.9,outside,done,True,0.1185,6.3,1.8,15.98,
6,episode_06,0.3359,0.2824,48.4,40.1,sweep stop +35.7,outside,done,True,0.1185,6.6,2.0,16.12,
7,episode_07,0.3568,-0.3208,-76.3,-42.0,sweep stop -37.5,outside,done,True,0.1163,10.0,2.6,18.94,
8,episode_08,0.3975,-0.1008,-32.2,-14.2,survey,outside,done,True,0.1188,7.2,2.5,13.24,
9,episode_09,0.4029,-0.0311,180.6,-4.4,survey,outside,done,True,0.1191,7.0,2.2,13.06,
10,episode_10,0.4273,0.0031,162.8,0.4,survey,outside,done,True,0.119,7.1,2.4,13.22,
