step,wall_time,Episode/rew_action_rate,Episode/rew_action_rate_arm,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_collision,Episode/rew_dof_acc,Episode/rew_dof_acc_arm,Episode/rew_dof_pos_limits,Episode/rew_dof_vel,Episode/rew_dof_vel_arm,Episode/rew_feet_air_time,Episode/rew_feet_contact_forces,Episode/rew_feet_contact_number,Episode/rew_feet_drag,Episode/rew_feet_height,Episode/rew_feet_height_high,Episode/rew_feet_pos_xy,Episode/rew_hip_pos,Episode/rew_lin_vel_z,Episode/rew_ref_dof_leg,Episode/rew_stand_still,Episode/rew_torque_limits,Episode/rew_torques,Episode/rew_tracking_ang_vel,Episode/rew_tracking_ee_force_world,Episode/rew_tracking_lin_vel_force_world,Loss/learning_rate,Loss/mean_adaptation_module_loss,Loss/mean_surrogate_loss,Loss/surrogate,Loss/value_function,Perf/collection time,Perf/learning_time,Perf/total_fps,Policy/mean_noise_std,Train/mean_episode_length,Train/mean_reward
0,1789693586.811,-0.005663107,-0.006394814,0.01979904,-0.005937231,-0.0001275239,-0.005762126,-0.001129526,-0.003053691,-0.00312734,-0.001843541,-0.0004636971,-0.0006486612,-0.0007991997,0.006483059,-0.0008439326,-0.0002987054,-0.002332012,-0.0009072794,-0.001139042,-0.008130886,0.01050655,0.001759176,-9.514999e-05,-6.139747e-05,0.002925926,0.01135863,0.007825105,0.0002962963,0.0009554398,-0.009057699,-0.009057699,0.1126459,1.78329,0.6842356,39839,0.9988042,21.66,0.2319438
1,1789693589.194,-0.0163734,-0.01835787,0.05320114,-0.01367302,-0.0004544792,-0.01730458,-0.003015403,-0.01018233,-0.005597714,-0.004421982,-0.001596925,-0.001451215,-0.001736877,0.02241827,-0.002212983,-0.0009648761,-0.008574865,-0.002495522,-0.003971715,-0.02785779,0.02765314,0.004599551,-0.0002526839,-0.0001741016,0.008275815,0.03047824,0.0241123,0.0004444444,0.0008076287,-0.01990835,-0.01990835,0.1254528,1.707433,0.6534975,41637,0.9990244,43.72,0.8959993
2,1789693591.621,-0.02558827,-0.02836142,0.08160436,-0.01890609,-0.0006564294,-0.02593893,-0.004471458,-0.01614184,-0.008752795,-0.006122058,-0.002597337,-0.002025396,-0.002381214,0.03569444,-0.003237556,-0.00163127,-0.01104949,-0.004041938,-0.006887367,-0.03345245,0.04229125,0.00755353,-0.0003900654,-0.0002643705,0.01219168,0.04822441,0.03934692,0.0002962963,0.000713934,-0.02429758,-0.02429758,0.14246,1.746376,0.6743002,40610,0.9992564,60.38,1.288818
3,1789693594.245,-0.03328901,-0.03719126,0.1052125,-0.02258162,-0.0008311938,-0.02909024,-0.005620744,-0.0212736,-0.01050131,-0.00747308,-0.003415174,-0.002641754,-0.002857144,0.04810008,-0.004085227,-0.002372696,-0.01330747,-0.005362107,-0.00891298,-0.03720374,0.05449539,0.009185203,-0.0004997065,-0.0003353441,0.01611377,0.06417824,0.05353413,0.0002962963,0.0006637106,-0.01969285,-0.01969285,0.1815184,1.96029,0.6586185,37536,0.9997998,74.17,2.493324
4,1789693596.685,-0.03962072,-0.04380903,0.1245996,-0.02535154,-0.0009819642,-0.03060392,-0.00651747,-0.02541756,-0.01022593,-0.008474924,-0.004042368,-0.003131226,-0.003123628,0.05979341,-0.0046439,-0.002989474,-0.01355487,-0.006342307,-0.01114945,-0.03810514,0.06441042,0.01116475,-0.0005872136,-0.0003966649,0.01987111,0.07797398,0.06769041,0.0001316872,0.0006085575,-0.02421121,-0.02421121,0.1644072,1.747198,0.6797223,40505,1.000393,84.5,3.316746
5,1789693599.138,-0.0466976,-0.05161485,0.1459138,-0.02786798,-0.001127282,-0.03510673,-0.007370414,-0.02965445,-0.01146952,-0.009452237,-0.004823096,-0.003850758,-0.003502738,0.07034639,-0.00514241,-0.003726122,-0.01467419,-0.007430436,-0.01264063,-0.04226542,0.07553323,0.01176815,-0.0006805558,-0.0004612864,0.02291125,0.09421894,0.07945403,0.0002962963,0.0005507318,-0.01852063,-0.01852063,0.1812557,1.756175,0.6908429,40172,1.000605,105.95,4.071933
6,1789693601.580,-0.05288003,-0.05859365,0.164416,-0.02848969,-0.001305624,-0.03420354,-0.008125087,-0.03333375,-0.009845868,-0.01014589,-0.005300087,-0.004302842,-0.003710171,0.08136985,-0.005684074,-0.004350496,-0.01377474,-0.008468048,-0.01456855,-0.04160523,0.08496561,0.01351781,-0.0007643031,-0.0005182402,0.027019,0.1089398,0.0948066,0.0001316872,0.0004963221,-0.02158467,-0.02158467,0.1846843,1.753474,0.6824985,40355,1.001218,115.55,5.118705
7,1789693603.993,-0.05965862,-0.06539106,0.1847718,-0.02922158,-0.001429695,-0.04225957,-0.008863093,-0.03746818,-0.01145473,-0.01079908,-0.005834764,-0.004552679,-0.003893005,0.09236208,-0.006091913,-0.004968326,-0.01343147,-0.00967191,-0.01491208,-0.04263841,0.09584266,0.01620289,-0.0008572216,-0.0005746861,0.03101118,0.1210026,0.1080728,0.0006666667,0.0004553625,-0.01999,-0.01999,0.1890791,1.741402,0.6659548,40834,1.002246,116.74,5.181139
8,1789693606.495,-0.06599981,-0.07250164,0.2042799,-0.03046419,-0.001628107,-0.04636314,-0.009512587,-0.04104177,-0.009992439,-0.01150423,-0.006574817,-0.005222374,-0.00413711,0.104988,-0.00672555,-0.005406452,-0.01216483,-0.0106171,-0.01820713,-0.04354503,0.1056188,0.01861346,-0.0009459846,-0.0006398167,0.034939,0.1332235,0.1221028,0.0004444444,0.000427991,-0.02091506,-0.02091506,0.1778974,1.799484,0.696702,39381,1.002531,141.27,6.730267
9,1789693608.955,-0.07026298,-0.0769317,0.2174191,-0.03094832,-0.001727527,-0.04428078,-0.01005898,-0.04414191,-0.009220386,-0.01192257,-0.00708091,-0.005545912,-0.004279173,0.1134044,-0.006933985,-0.00596972,-0.01435034,-0.01135718,-0.01866784,-0.04180027,0.1125107,0.01924179,-0.001006294,-0.0006775856,0.03788364,0.1432386,0.1350992,0.0004444444,0.0003971703,-0.02320817,-0.02320817,0.1690603,1.759026,0.6951044,40056,1.002507,141.3,7.453712
10,1789693611.454,-0.07381159,-0.07969022,0.226429,-0.03031573,-0.001782737,-0.04511523,-0.01038969,-0.043719,-0.00947393,-0.01208799,-0.00691478,-0.006010651,-0.004020077,0.1190689,-0.006780508,-0.006492899,-0.01324742,-0.01171217,-0.0186288,-0.04092003,0.1172808,0.01834325,-0.001032818,-0.0007047202,0.04109903,0.1469449,0.1425161,0.0004444444,0.0003599357,-0.02332373,-0.02332373,0.1702113,1.794881,0.6986556,39423,1.002352,163.74,8.399063
11,1789693613.954,-0.08299264,-0.08962473,0.2539652,-0.0329588,-0.002130607,-0.04889792,-0.0116644,-0.05142139,-0.01306773,-0.01321402,-0.008112894,-0.00671185,-0.004545737,0.1337344,-0.007665853,-0.007263693,-0.01313353,-0.01368614,-0.02209244,-0.04434078,0.1313834,0.02168341,-0.001179374,-0.0007869735,0.04673017,0.1674316,0.1608773,0.0002962963,0.0003363343,-0.0232307,-0.0232307,0.1630529,1.789318,0.7048004,39414,1.002921,174.28,9.064945
