step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789605658.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06777,1e-05,0.0217076,0.01675171,0,0.5396681,0.07598209,79837,0.5001232,,
1,1789605659.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07423,5.0625e-05,-0.003977384,0.01245861,0,0.4736011,0.0401485,95673,0.5004429,,
2,1789605659.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09747,0.0003844336,-0.007856617,0.01210035,0,0.50175,0.04032421,90673,0.5014756,,
3,1789605660.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17191,0.0008649756,-0.0111844,0.01157748,0,0.4973056,0.03876472,91689,0.5041279,,
4,1789605660.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.24498,0.0003844336,-0.01228342,0.01218203,0,0.5042193,0.03987336,90337,0.5055304,,
5,1789605661.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28329,0.0001139063,-0.01228341,0.01371595,0,0.5005004,0.03898501,91109,0.5063795,,
6,1789605661.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31336,0.0005766504,-0.01043059,0.01526325,0,0.498523,0.03893256,91453,0.5075886,,
7,1789605662.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.37188,0.0005766504,-0.01297224,0.01645454,0,0.505897,0.03875041,90245,0.5095025,,
8,1789605663.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43281,0.0008649756,-0.01251954,0.01487249,0,0.5034482,0.03924465,90570,0.5108458,,
9,1789605663.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46981,0.0008649756,-0.01141281,0.01556909,0,0.499259,0.03957248,91219,0.5121025,,
