step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10,1790175040.888,-0.1275403,-0.1421255,0.3960012,-0.02247574,-0.002124005,-0.09999996,-0.0461864,-0.005835117,-7.836223e-05,-0.03245864,-0.0005485055,-0.01603,-0.0005861681,0.2413496,-0.01014807,-0.01750709,-7.43048e-05,-0.01538335,-0.0206599,-0.01827871,0.2069275,0.003154046,-0.001559426,-0.001091528,0.09579934,0.2791164,0.178026,0.2267183,0.005406786,0.0006666667,25.63104,0.01545815,0.002241493,0.003562152,0.004247716,0.010807,0,0.15,0,0.0006666667,-0.02212762,0.2537425,1.022149,1.551732,38192,1.005419,244.28,22.68841
11,1790175043.427,-0.1418483,-0.1570309,0.432001,-0.02676808,-0.002525316,-0.07666665,-0.05093399,-0.006272099,0,-0.03520158,-0.0006011999,-0.009773334,-0.0005993044,0.3315996,-0.01100052,-0.01165476,-0.001075372,-0.01702845,-0.02520957,-0.01700076,0.2248883,0.05685423,-0.001682791,-0.001217773,0.1092181,0.3258138,0.1775296,0.2906256,0.005365361,0.0001316872,25.63172,0.01449918,0.001945888,0.003135241,0.004052688,0.01474244,0.25,0.1,0,0.0001316872,-0.02697399,0.247022,0.9983635,1.533802,38822,1.00512,273.79,26.02209
12,1790175045.962,-0.148017,-0.1729634,0.4680006,-0.02978964,-0.0022759,-0.04999999,-0.05718679,-0.006965523,0,-0.04102416,-0.0006539255,-0.02089334,-0.0009170484,0.2870828,-0.01190013,-0.02067353,-0.0140912,-0.01852996,-0.02286686,-0.02115878,0.245213,0.009236785,-0.001796318,-0.001284805,0.1135087,0.3694195,0.2170563,0.3802711,0.005375962,0.0004444444,25.63259,0.01311604,0.001575373,0.002419321,0.00374538,0.00897499,0,0.2,0,0.0004444444,-0.02000467,0.2289006,0.9861772,1.54296,38868,1.005089,287.33,26.66951
13,1790175048.507,-0.1514441,-0.1730343,0.4690717,-0.0285868,-0.002309647,-0.05357143,-0.05399385,-0.006631718,-0.001558857,-0.0389682,-0.0006554041,-0.01794572,-0.0009207022,0.308228,-0.01162284,-0.01870166,-0.001021113,-0.01780153,-0.02567748,-0.02276124,0.2462418,0.02123345,-0.001816087,-0.001300726,0.1187934,0.3386273,0.1833685,0.3255029,0.00525134,0.0002962963,25.62918,0.01231846,0.001450658,0.002209948,0.00340651,0.01553856,0.15,0.15,0,0.0002962963,-0.02546406,0.2155032,0.9911234,1.548076,38714,1.005094,307.13,28.17812
14,1790175051.057,-0.1599167,-0.1784015,0.4982502,-0.02869601,-0.003035896,-0.1774999,-0.05580339,-0.007342794,-0.0001829061,-0.03861085,-0.000694089,-0.01478667,-0.0006736787,0.3544995,-0.01270219,-0.01428779,-0.003919543,-0.02017477,-0.0314078,-0.01824714,0.2570301,0.05266997,-0.001996696,-0.001424965,0.1340613,0.3210349,0.1821987,0.4253925,0.005190184,0.0006666667,25.63159,0.01181996,0.00132333,0.002092115,0.003214331,0.01165323,0,0.15,0,0.0006666667,-0.0247308,0.2174724,0.9889541,1.554575,38648,1.005184,324.37,29.76294
15,1790175053.591,-0.1729837,-0.1897207,0.5264999,-0.03099141,-0.002854052,-0.1116667,-0.0597487,-0.007499605,-0.000386177,-0.04258771,-0.0007344514,-0.01197334,-0.0007119013,0.3968245,-0.01373763,-0.01360249,0,-0.01903908,-0.03133064,-0.02251851,0.274048,0.07043727,-0.002019738,-0.001502875,0.1364851,0.3631986,0.1962977,0.3879596,0.005208547,0.0002962963,25.64196,0.01143032,0.001226733,0.001961253,0.003033788,0.01587026,0.15,0.1,0,0.0002962963,-0.02707171,0.2212271,0.9807236,1.547621,38880,1.006316,355.12,31.82815
16,1790175056.094,-0.200903,-0.2204994,0.6119994,-0.03637904,-0.003504654,-0.1464285,-0.06842651,-0.008839948,-0.005051987,-0.04774965,-0.0008523377,-0.02041715,-0.0009308631,0.4473569,-0.01602885,-0.02001451,0,-0.02263646,-0.03582627,-0.02243544,0.3168447,0.05126235,-0.002326582,-0.001779423,0.1555861,0.3962501,0.1957719,0.4579593,0.00508531,0.0006666667,25.64795,0.01053309,0.001055709,0.00159065,0.002801418,0.01208376,0,0.15,0,0.0006666667,-0.02560709,0.2068352,0.9806874,1.514909,39390,1.005869,378.89,34.21959
17,1790175058.623,-0.2092566,-0.2319674,0.647999,-0.0411573,-0.003444768,-0.113,-0.07451837,-0.009564425,-0.02164496,-0.05384971,-0.0009030504,-0.025776,-0.001244212,0.4186195,-0.0168017,-0.02750033,-0.001754855,-0.02467499,-0.03564107,-0.02475441,0.3386868,0.01759738,-0.002462707,-0.001886442,0.1553062,0.4665797,0.2470506,0.3917464,0.005082646,0.0004444444,25.64418,0.01008579,0.0009611077,0.001352379,0.002689657,0.01560355,0.1,0.1,0,0.0004444444,-0.02692482,0.183188,0.9699519,1.553327,38958,1.006174,405.11,36.51935
18,1790175061.155,-0.2186051,-0.2454426,0.6839988,-0.0411518,-0.003895111,-0.1533333,-0.0744695,-0.00996306,-0.005733272,-0.05332918,-0.0009549286,-0.01818667,-0.0008609005,0.4936165,-0.01800655,-0.0195139,0,-0.02518095,-0.04248948,-0.02549703,0.3538862,0.07311478,-0.002660194,-0.002028591,0.1623496,0.4316111,0.1987351,0.5733311,0.004997777,0.0006666667,25.65224,0.009600281,0.0008643029,0.00119246,0.00254574,0.01241566,0,0.1,0,0.0006666667,-0.02625806,0.1954682,0.9728577,1.552796,38922,1.006515,417.26,38.2584
19,1790175063.689,-0.1462758,-0.1649871,0.4524997,-0.02958749,-0.002474098,-0.03166667,-0.05938337,-0.00670041,-0.0008501328,-0.04091204,-0.0006307889,-0.02048,-0.001017139,0.2733498,-0.01104001,-0.01815604,-0.0003969758,-0.01990378,-0.0241879,-0.02150012,0.2367908,0.0194957,-0.00185872,-0.001270166,0.105375,0.3536751,0.1742194,0.3079197,0.004867692,0.0002962963,25.64227,0.009109687,0.0007711622,0.001080274,0.002390559,0.01610761,0.15,0.1,0,0.0002962963,-0.02786949,0.1692628,0.9705441,1.557559,38884,1.005644,430.39,39.14122
