step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/press_lost_fraction,Fixture/press_slip_radius_m,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14120,1790243754.229,-0.2260673,-0.2674719,0.3960012,-0.01527053,-0.2529344,-0.0002266809,0,-0.07297166,-0.002398009,-0.01485278,-0.046529,-0.0005122101,0,-0.0005337097,0.3453495,-0.01234774,0,0,-0.01222796,0.1698741,0,-2.873582e-20,-0.01990024,-0.008770901,0.2085429,0.1172898,-0.002332078,-0.002065374,0.153941,0.361274,0.1908074,0.4691746,35,0,0,0,0,2.347574,,0.15,0.2367831,0.280371,0.001105838,0.0001139063,31.71939,0.003153155,3.882455e-13,0.001926778,0.0001205393,0.01068438,0,0.1,0,0.0001139063,-0.01292531,0.9750023,1.325213,1.541066,34296,1.445926,226.82,22.88918
14121,1790243757.102,-0.2263558,-0.2893324,0.4122509,-0.01874341,-0.087634,-0.0003058424,0,-0.08510964,-0.002431286,-0.009811804,-0.05740976,-0.0005512446,-0.003986667,-0.001201994,0.3599746,-0.01206039,-0.002004697,-0.0002272347,-0.011313,0.06168551,-0.01666667,-0.07089545,-0.01755255,-0.01015174,0.2207926,0.1021434,-0.00261835,-0.002272619,0.1475609,0.3414942,0.1862549,0.4820046,35,0.2,0.2,0.2,0.4,3.289115,,0.15,0.4620864,0.3435709,0.001131857,0.0001139063,31.72987,0.002998019,4.215137e-13,0.001717376,0.0001487858,0.01372255,0.05,0.1,0,0.0001139063,-0.01464054,0.6644195,1.327496,1.535099,34340,1.44678,255.21,25.55807
14122,1790243759.988,-0.21781,-0.2849243,0.4016255,-0.01807205,-0.01894969,-0.0002577361,-0.00125,-0.08315523,-0.002454968,-0.01056556,-0.05724279,-0.0005391791,-0.00588,-0.001152366,0.3614622,-0.01134975,-0.003273868,-0.001185797,-0.01134535,0.02260495,-0.025,-0.1358396,-0.0173585,-0.009036789,0.213836,0.08492403,-0.002402731,-0.00216929,0.1446806,0.3463825,0.1838341,0.4590567,35,0.3333333,0.3333333,0.3333333,0.3333333,17.23824,,0.15,1.669534,0.4366497,0.001143753,0.0001139063,31.73863,0.002873266,4.142992e-13,0.001581844,0.0001476693,0.01510145,0.05,0.1,0,0.0001139063,-0.01326701,0.5404233,1.324925,1.550033,34193,1.447167,267.21,26.31017
14123,1790243762.860,-0.2800799,-0.3556017,0.5040003,-0.02118117,-0.1577019,-0.0002651699,0,-0.1086684,-0.003180546,-0.002556447,-0.07362889,-0.0006683737,-0.007760001,-0.001654243,0.4670331,-0.0153003,-0.005209272,-0.000443181,-0.01480245,0.07944345,0,-0.1349629,-0.02281517,-0.01230444,0.2696829,0.1009281,-0.002951995,-0.002584259,0.1832912,0.4782363,0.2468446,0.5720593,35,0,0,0,0.5,4.689063,,0.15,0.3034355,0.3621485,0.001168599,7.59375e-05,31.74141,0.003113366,4.338276e-13,0.001795159,0.0001496083,0.01053961,0.1,0.1,0,7.59375e-05,-0.01229696,0.4659325,1.329991,1.52931,34380,1.447221,281.82,28.2902
14124,1790243765.715,-0.2625789,-0.3274487,0.4665002,-0.02220186,-0.3152491,-0.0003479309,-0.0025,-0.09902987,-0.002607106,-0.0152424,-0.06554884,-0.0006024638,0,-0.001297761,0.3805247,-0.01462086,0,0,-0.01402751,0.1711727,-0.03333334,-0.02956032,-0.02206417,-0.01177968,0.2485148,0.1389314,-0.002645686,-0.002379683,0.1694773,0.402537,0.2133173,0.5344334,35,0.1666667,0.3333333,0.3333333,0,2.741893,,0.15,0.3271996,0.3888215,0.001149768,0.0001708594,31.73899,0.002881999,4.519245e-13,0.001541365,0.0001908658,0.01294535,0,0.15,0,0.0001708594,-0.01525769,0.3475213,1.307553,1.535524,34576,1.446767,294.01,28.64193
14125,1790243768.585,-0.235672,-0.3016547,0.4328571,-0.01816511,-0.159026,-0.0002956941,0,-0.08247972,-0.002355927,-0.004974929,-0.05494521,-0.0005767028,0,-0.0009888457,0.3630142,-0.01302093,0,0,-0.01147134,0.1043184,-0.04285715,-0.1277213,-0.01687934,-0.01110909,0.2338015,0.1298348,-0.002374908,-0.002196849,0.1618328,0.3768405,0.192103,0.5039269,35,0,0.4285715,0.2857143,0.4285715,0.4578206,,0.15,0.2687669,0.3902146,0.001131235,0.0001708594,31.73611,0.002833536,4.616432e-13,0.001460367,0.0002419346,0.0132542,0,0.05,0,0.0001708594,-0.01494608,0.4080335,1.32741,1.530071,34402,1.447055,303.97,29.56514
14126,1790243771.459,-0.2277014,-0.2952393,0.4125,-0.01753378,-0.1356977,-0.0002412561,-0.001,-0.07668896,-0.002479169,-0.005066107,-0.05164802,-0.0005434819,0,-0.0009583751,0.3537,-0.01273663,0,0,-0.01211445,0.08534575,-0.08000001,-0.1638739,-0.01933087,-0.008982374,0.2173978,0.1222144,-0.002289583,-0.002167033,0.1482173,0.3459823,0.2024349,0.4855245,35,0,0.8000001,0.6,0.4,3.192661,,0.15,0.2550784,0.3953782,0.001115112,0.0001139063,31.7392,0.002808484,4.533576e-13,0.00149158,0.0002017915,0.01565817,0.1,0.1,0,0.0001139063,-0.0145756,0.3100868,1.322956,1.540361,34332,1.446946,337.99,32.88271
14127,1790243774.332,-0.358474,-0.472317,0.647999,-0.02778636,-0.1799311,-0.0002893825,0,-0.1470786,-0.003875017,-0.01221419,-0.09928723,-0.0008531073,-0.009500003,-0.002063085,0.5838506,-0.01913735,-0.005896343,-0.002119608,-0.01950386,0.1009489,0,-0.2524253,-0.03261014,-0.01618514,0.3447665,0.1292332,-0.003900047,-0.003441857,0.2347553,0.5349404,0.2869268,0.7406752,35,0,0,0,0.5,3.274266,,0.15,0.3412957,0.379305,0.001127449,0.0001708594,31.73585,0.003427512,4.738063e-13,0.002042273,0.0002577898,0.01289301,0,0.1,0,0.0001708594,-0.01439069,0.343134,1.32933,1.532658,34348,1.446703,330.02,31.67855
14128,1790243777.212,-0.2942941,-0.357174,0.5159993,-0.02364865,-0.2323275,-0.000341085,-0.001,-0.1107613,-0.003206594,-0.01178921,-0.0738478,-0.0006623457,-0.007775999,-0.001504419,0.4584204,-0.01529947,-0.004338753,-0.0002222107,-0.01593931,0.1415302,-0.04,-0.003295098,-0.02388096,-0.01140764,0.2737341,0.113395,-0.003145777,-0.002791522,0.1866872,0.4748964,0.2494037,0.5986446,35,0,0.5,0.5,0,4.542386,,0.15,0.2971722,0.3731495,0.001129919,7.59375e-05,31.73455,0.003016322,4.666655e-13,0.001578636,0.0003077658,0.01309347,0.15,0.1,0,7.59375e-05,-0.01355482,0.2637996,1.334721,1.533787,34270,1.446641,363.19,34.57701
14129,1790243780.104,-0.2470807,-0.3133974,0.4487996,-0.01901112,-0.1559364,-0.0001973059,0,-0.09304719,-0.002686302,-0.00616337,-0.06261246,-0.0005922638,-0.003292001,-0.001108887,0.3939101,-0.01305496,-0.001856943,-0.0008389314,-0.01311814,0.101197,-0.08000001,-0.008499986,-0.01819669,-0.01006505,0.2404494,0.111888,-0.002564999,-0.002305566,0.1678312,0.3779128,0.2201049,0.5231401,35,0,1,0.75,0.25,2.300137,,0.15,0.2900239,0.3629967,0.001124595,0.0001139063,31.73067,0.002801731,4.754127e-13,0.001461051,0.000216085,0.009970928,0,0.1,0,0.0001139063,-0.0140027,0.239937,1.341858,1.537987,34135,1.445963,406.01,38.93513
14130,1790243782.980,-0.3581172,-0.4514183,0.6317488,-0.03193289,-0.1748912,-0.0003020795,0,-0.1437922,-0.003946606,-0.0111741,-0.09840115,-0.00083423,-0.01226333,-0.001824467,0.5799506,-0.01818911,-0.007211063,-0.001725622,-0.01853108,0.1080807,-0.03333334,-0.02926433,-0.02907044,-0.01344293,0.3365949,0.1139057,-0.003868821,-0.003443562,0.2320559,0.5592306,0.2827212,0.7273607,35,0,0.6666667,0.6666667,0,2.590037,,0.15,0.2830965,0.3712141,0.001125128,0.0001139063,31.71741,0.00258535,4.656648e-13,0.001251057,0.0002091647,0.01308036,0.05,0.1,0,0.0001139063,-0.01425622,0.2361021,1.325348,1.537071,34342,1.444811,432.27,41.54637
