step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13010,1790256257.650,-0.1736546,-0.2264539,0.3960012,-0.01759839,-0.2271541,-0.0009237962,-0.00375,-0.06133885,-0.002495867,-0.01080473,-0.0395807,-0.0005108857,0,-0.0007943664,0.3550995,-0.01161771,0,0,-0.01063928,-0.01904881,-0.008388135,-0.003583506,-0.0006491718,0.2479534,0,0.2086999,0.1173008,-0.00174603,-0.00149932,0.1498234,0.4243115,0.1639975,0.4814684,0.0008031593,0.0001139063,29.51716,0.004008107,1.500616e-10,0.003111438,9.35098e-05,0.01023788,0,0.05,0,0.0001139063,-0.0131721,1.341968,0.4191952,0,1,0.6666667,1,1,0,0,0.5,15,0,1.265059,1.572535,34643,1.27775,251.5,32.40317
13011,1790256260.472,-0.1932979,-0.2545445,0.432001,-0.01898617,-0.2234542,-0.001572961,-0.001666667,-0.06668683,-0.002529969,-0.001111283,-0.04324734,-0.0005521647,0,-0.00068425,0.4011495,-0.0132387,0,0,-0.01149753,-0.02413311,-0.00941431,-0.002840467,-9.939674e-05,0.2206677,0,0.2220714,0.1263821,-0.001904335,-0.001608752,0.1629737,0.4248354,0.1758493,0.5154166,0.0007949265,0.0001139063,29.52558,0.003803312,1.515564e-10,0.002912766,9.561977e-05,0.009604886,0,0.05,0,0.0001139063,-0.01240184,1.189553,0.5884877,0.5,1,0.6666667,0,1,0,0,1,15,0,1.272969,1.529887,35072,1.278241,274.79,35.54462
13012,1790256263.266,-0.203971,-0.263896,0.4680006,-0.01898899,-0.3212317,-0.0005696242,0,-0.06951129,-0.002706072,-0.007460295,-0.04602832,-0.0005974001,0,-0.0008709347,0.4042995,-0.01221008,0,0,-0.01298628,-0.01956188,-0.007676493,-0.004830656,-0.001255651,0.2354491,0,0.2526929,0.1403347,-0.002083073,-0.001810371,0.1760949,0.4853988,0.190033,0.5615726,0.0007933367,0.0001139063,29.53129,0.003747151,1.486531e-10,0.002860347,9.346633e-05,0.009773755,0,0.05,0,0.0001139063,-0.01126329,1.050471,0.5304663,0.5,nan,0.3333333,0,1,0,0,0,15,0,1.255075,1.526614,35339,1.278517,295.97,37.89126
13013,1790256266.082,-0.2281989,-0.2782317,0.5040003,-0.02253213,-0.2462907,-0.0004380275,0,-0.09316724,-0.003059378,-0.003019738,-0.06179525,-0.0006448069,-0.008393334,-0.0008312016,0.4707164,-0.01291836,-0.005057198,-0.000505753,-0.01403024,-0.02123312,-0.01067411,-0.003171043,-1.734747e-05,0.3338048,0,0.2693466,0.1001942,-0.002689891,-0.002282941,0.2009612,0.5544413,0.2369437,0.5882155,0.0007895482,0.0001708594,29.53503,0.003713303,1.560071e-10,0.002828026,9.572858e-05,0.01421219,0,0.1,0,0.0001708594,-0.01118219,0.9248593,0.5975858,0,1,0.5,1,1,0.5,1,1,15,0,1.280441,1.524861,35042,1.278876,324.25,41.89371
13014,1790256268.913,-0.2379649,-0.2993665,0.54,-0.02473565,-0.4191155,-0.0005304836,0,-0.08679251,-0.003543216,-0.01846053,-0.05701516,-0.000687441,0,-0.0009715295,0.4707249,-0.01418322,0,0,-0.01428783,-0.01784629,-0.009167125,-0.005367051,-0.0007936218,0.5079018,0,0.2895084,0.1613595,-0.002521561,-0.002084017,0.2112144,0.568498,0.2555053,0.6481915,0.0007797785,0.0001139063,29.54221,0.003681207,1.537616e-10,0.002804529,9.68987e-05,0.01137156,0.05,0.05,0,0.0001139063,-0.00952107,0.839103,0.5561451,0.5,1,0.5,0.5,1,0,0,0.5,15,0,1.280525,1.538665,34869,1.279291,348.37,44.96515
13015,1790256271.759,-0.2652819,-0.3268445,0.5759997,-0.02618314,-0.4211847,-0.001538343,0,-0.09871396,-0.003840113,-0.002414775,-0.06164478,-0.0007252735,0,-0.0009480561,0.5297753,-0.01847781,0,0,-0.0167583,-0.03281804,-0.009175974,-0.005187323,-0.0008172413,0.540325,0,0.2987317,0.1692829,-0.002575442,-0.002132057,0.2214142,0.6602127,0.2271207,0.696995,0.000775464,0.0001139063,29.54633,0.00368379,1.529674e-10,0.00281213,9.619547e-05,0.009571446,0,0.05,0,0.0001139063,-0.01348378,0.7699547,0.5861131,1,1,1,1,1,0,1,0,15,0,1.281591,1.553254,34677,1.279378,372.72,47.61543
13016,1790256274.599,-0.2704162,-0.3476894,0.6119994,-0.02959461,0,-0.001769442,0,-0.09778051,-0.003656562,-0.03363442,-0.06240845,-0.0008175862,0,-0.001040467,0.5521004,-0.01620292,0,0,-0.01696534,-0.03253987,-0.01502519,0,0,0,0,0.3154659,0.1792809,-0.002842163,-0.002469988,0.2350376,0.5020213,0.1900638,0.7105937,0.0007754384,0.0001139063,29.54708,0.003577546,1.535754e-10,0.002707517,9.459011e-05,0.009873143,0,0.05,0,0.0001139063,-0.01225553,0.6432234,0.4641938,0,1,0.25,0,1,0,1,0,15,0,1.290507,1.538675,34746,1.279376,393.29,49.80365
13017,1790256277.423,-0.2902174,-0.374968,0.647999,-0.02922071,-0.3019349,-0.001370403,0,-0.1150883,-0.004111859,-0.009068402,-0.07798912,-0.0008322137,-0.008200001,-0.001349014,0.6233708,-0.01776026,-0.005241114,-0.001166343,-0.01931522,-0.03533272,-0.01195567,-0.004783078,-0.0005394732,0.4306748,0,0.338681,0.1366105,-0.003143941,-0.002795154,0.241297,0.7028503,0.2901499,0.7590274,0.0007731078,0.0001139063,29.54764,0.003524687,1.515074e-10,0.002656731,9.484799e-05,0.01005176,0,0.05,0,0.0001139063,-0.01158523,0.6277346,0.5894995,1,1,1,1,1,0,1,0,15,0,1.260341,1.551985,34954,1.279504,420.69,55.50372
13018,1790256280.240,-0.3053597,-0.3925419,0.6839988,-0.03314327,-0.5543764,-0.003494715,-0.025,-0.1150175,-0.004219056,-0.1071356,-0.07387143,-0.000850908,0,-0.001449158,0.6331509,-0.02167842,0,0,-0.0199472,-0.05258273,-0.01392062,-0.01097928,-0.001639813,0.4219197,0,0.3434612,0.1977641,-0.003109712,-0.002717078,0.2570176,0.7052166,0.2717249,0.8192788,0.0007703541,0.0001139063,29.54794,0.003512167,1.574215e-10,0.002646351,9.546142e-05,0.009437994,0,0.05,0,0.0001139063,-0.01269822,0.5399919,0.6126026,1,1,0.6666667,0,1,0,1,1,15,0,1.257479,1.549263,35024,1.279478,442.76,56.7579
13019,1790256283.068,-0.3317809,-0.4147616,0.7199984,-0.03165373,-0.6582386,-0.002265666,0,-0.1160076,-0.004499339,-0.006053107,-0.07523587,-0.0008969638,0,-0.001392353,0.661651,-0.02127512,0,0,-0.02098418,-0.04545365,-0.0128808,-0.0111092,-0.004040339,0.6033985,0,0.3714351,0.2110161,-0.003275385,-0.002805154,0.2737468,0.786508,0.2988754,0.8551957,0.0007659657,7.59375e-05,29.54675,0.00349312,1.617508e-10,0.00263026,9.689444e-05,0.0093331,0.05,0.05,0,7.59375e-05,-0.007924697,0.4938741,0.5372289,0.5,1,0.5,0.5,1,0,0,1,15,0,1.259364,1.555572,34922,1.279447,464.65,60.15747
